id,fecha,lado,entrada,stop,tp,hora
T01,2026-08-14,1,1.15476,1.15438,1.15552,09:40
T02,2026-08-17,1,1.15919,1.15822,1.16114,08:30
T03,2026-08-18,1,1.15714,1.15678,1.15786,10:30
T04,2026-08-18,1,1.15705,1.15677,1.15762,08:20
T05,2026-08-19,1,1.15948,1.15883,1.16078,09:25
T06,2026-08-20,1,1.16928,1.16853,1.17078,09:55
T07,2026-08-20,-1,1.16831,1.16899,1.16704,09:05
T08,2026-08-24,-1,1.16721,1.16776,1.16611,09:20
T09,2026-08-25,1,1.16579,1.16525,1.16687,09:05
T10,2026-08-25,-1,1.16699,1.1674,1.16617,11:20
T11,2026-08-26,1,1.16639,1.16611,1.16695,08:45
T12,2026-08-26,-1,1.16743,1.16774,1.16681,10:35
T13,2026-08-27,-1,1.16512,1.16543,1.1645,10:30
T14,2026-08-28,1,1.16432,1.16418,1.16492,12:25
T15,2026-08-28,1,1.1645,1.16429,1.1649,08:25
T16,2026-08-28,-1,1.16468,1.16488,1.16428,09:05
T17,2026-08-03,-1,1.15257,1.15282,1.15207,08:40
T18,2026-08-04,-1,1.15127,1.15161,1.15059,09:30
T19,2026-08-05,1,1.15373,1.15339,1.15442,11:10
T20,2026-08-05,-1,1.15388,1.15426,1.15312,09:15
T21,2026-08-06,-1,1.15424,1.15476,1.1532,09:15
T22,2026-08-07,1,1.15287,1.15249,1.15375,11:20
T23,2026-08-10,-1,1.15617,1.15651,1.15549,10:50
T24,2026-08-10,-1,1.1559,1.15637,1.15496,09:55
T25,2026-08-11,-1,1.1537,1.15394,1.15322,08:25
