id,y,hora,riesgo,dist,lado,alto,dirH1,dirM15,toques,fuera,cuerpo,rango,mecha,pos,dsem,atr
T01,1,580,3.8000000000004697,4.699999999999704,1,1,1,1,6,10,0.8000000000008001,1.9999999999997797,0.700000000000145,0.29999999999977794,4,2.3428571428567895
T02,1,510,9.699999999999154,2.6999999999999247,1,1,1,1,3,1,2.4999999999986144,3.1000000000003247,0.20000000000131024,0.935483870967326,0,2.4928571428571376
T03,1,630,3.60000000000138,2.2999999999995246,1,0,1,-1,12,26,1.2999999999996348,1.900000000001345,0.6000000000017103,0.10526315789535193,1,2.3357142857140443
T04,0,500,2.7999999999983594,1.3999999999980695,1,0,-1,-1,4,2,0.9000000000014552,1.900000000001345,0.2999999999997449,0.8947368421046481,1,2.1071428571427044
T05,1,565,6.500000000000394,5.5000000000005045,1,1,1,-1,2,17,1.1999999999989797,1.500000000000945,0.10000000000065512,1.0666666666670614,2,2.6857142857142753
T06,1,595,7.500000000000284,9.100000000001884,1,1,1,1,4,8,3.1999999999987594,4.60000000000127,0.9000000000014552,0.8695652173914512,3,4.050000000000204
T07,0,545,6.800000000000139,-0.5999999999994898,-1,1,-1,-1,3,10,1.4999999999987246,2.60000000000149,0.5000000000010552,0.19230769230798794,3,3.5357142857146098
T17,0,520,2.4999999999986144,-0.9999999999998899,-1,0,1,1,1,1,0.10000000000065512,2.4000000000001798,1.4999999999987246,0.2499999999997687,0,3.007142857143049
T18,1,570,3.4000000000000696,-2.1999999999988695,-1,1,-1,-1,2,17,1.2999999999996348,3.5000000000007248,2.100000000000435,0.37142857142839014,1,3.3571428571429633
T19,1,670,3.4000000000000696,-3.1000000000003247,1,1,1,1,7,10,0.2999999999997449,2.300000000001745,0.8000000000008001,0.6086956521735772,2,3.5142857142857395
T20,0,555,3.8000000000004697,-1.5999999999993797,-1,1,-1,-1,3,9,0.6000000000017103,1.80000000000069,0.0,0.5555555555552815,2,3.0214285714288573
T22,1,680,3.8000000000004697,3.20000000000098,1,1,1,1,2,2,0.09999999999843467,0.9999999999998899,0.6000000000017103,0.29999999999977794,4,2.214285714285629
T23,1,650,3.4000000000000696,0.0,-1,1,-1,-1,6,25,0.40000000000040004,1.7000000000000348,0.1999999999990898,0.47058823529457866,0,2.4857142857143923
T24,0,595,4.699999999999704,-2.6999999999999247,-1,1,-1,-1,3,22,1.8999999999991246,2.8999999999990145,0.1999999999990898,0.8620689655178222,0,2.9000000000001247
T25,0,505,2.4000000000001798,-1.500000000000945,-1,0,1,1,1,2,2.1999999999988695,3.4000000000000696,0.0,0.26470588235336373,1,1.871428571428619
