id,motivo,R,rgo,rr
T01,TP,2.0,3.8000000000004697,2.0
T02,TP,2.010309278350813,9.699999999999154,2.010309278350813
T03,SL,-1.0,3.60000000000138,1.9999999999987663
T04,SL,-1.0,2.7999999999983594,2.035714285716127
T05,TP,1.9999999999996585,6.500000000000394,1.9999999999996585
T06,TP,1.999999999999704,7.500000000000284,1.999999999999704
T07,SL,-1.0,6.800000000000139,1.867647058823318
T08,sin datos,,5.499999999998284,2.0000000000008074
T09,sin datos,,5.40000000000207,1.9999999999991775
T10,sin datos,,4.100000000000215,2.0
T11,sin datos,,2.80000000000058,1.999999999999207
T12,sin datos,,3.1000000000003247,2.0
T13,sin datos,,3.1000000000003247,1.9999999999992837
T14,sin datos,,1.2999999999996348,2.0
T15,sin datos,,2.100000000000435,1.9047619047613005
T16,sin datos,,1.9999999999997797,2.0
