instr,entrada,slf,rr,phi,n,nres,tp,sl,ctr,wr,wrr,base,z,perd,gana,Rbruto,Rneto,usd,pest,pdin,pes0,pdi0,dias
NASDAQ,A,0.25,1:1,0.2,1691,1616,53.92000000000007,53.92000000000007,4,0.4931992903607333,0.49257425742574257,0.5,-0.597022314125994,431.3600000000006,431.3600000000006,-0.013323942253192418,-0.05783432800986892,-24.94741573033709,0.23716666666666666,0.19083333333333333,0.3715,0.25533333333333336,26.0
NASDAQ,A,0.25,1:1,0.5,1691,1616,53.92000000000007,53.92000000000007,9,0.4931992903607333,0.49257425742574257,0.5,-0.597022314125994,970.5600000000013,970.5600000000013,-0.013323942253192418,-0.05783432800986892,-56.13168539325835,0.30216666666666664,0.22466666666666665,0.4091666666666667,0.31316666666666665,7.0
NASDAQ,A,0.25,1:1,1.0,1691,1616,53.92000000000007,53.92000000000007,19,0.4931992903607333,0.49257425742574257,0.5,-0.597022314125994,2048.9600000000028,2048.9600000000028,-0.013323942253192418,-0.05783432800986892,-118.5002247191011,0.2175,0.18883333333333333,0.223,0.19083333333333333,4.0
NASDAQ,A,0.25,1:3,0.2,1691,1673,17.973333333333358,53.92000000000007,4,0.7421643997634536,0.7477585176329946,0.75,-0.21173012856017423,431.3600000000006,143.78666666666686,-0.0056070758615606635,-0.05011746161823718,-21.61866824364282,0.07283333333333333,0.06133333333333333,0.305,0.232,74.0
NASDAQ,A,0.25,1:3,0.5,1691,1673,17.973333333333358,53.92000000000007,9,0.7421643997634536,0.7477585176329946,0.75,-0.21173012856017423,970.5600000000013,323.52000000000044,-0.0056070758615606635,-0.05011746161823718,-48.6420035481963,0.23366666666666666,0.17016666666666666,0.4106666666666667,0.3025,19.0
NASDAQ,A,0.25,1:3,1.0,1691,1673,17.973333333333358,53.92000000000007,19,0.7421643997634536,0.7477585176329946,0.75,-0.21173012856017423,2048.9600000000028,682.9866666666676,-0.0056070758615606635,-0.05011746161823718,-102.68867415730331,0.32283333333333336,0.22666666666666666,0.4121666666666667,0.2781666666666667,5.0
NASDAQ,A,0.25,1:10,0.2,1691,1687,5.3920000000000075,53.92000000000007,4,0.9024246008279124,0.9045643153526971,0.9090909090909091,-0.6467281201639384,431.3600000000006,43.13600000000006,-0.005485698856048852,-0.049996084612725374,-21.566311058545246,0.0,0.0,0.059333333333333335,0.06733333333333333,
NASDAQ,A,0.25,1:10,0.5,1691,1687,5.3920000000000075,53.92000000000007,9,0.9024246008279124,0.9045643153526971,0.9090909090909091,-0.6467281201639384,970.5600000000013,97.05600000000014,-0.005485698856048852,-0.049996084612725374,-48.524199881726794,0.012333333333333333,0.01,0.337,0.25833333333333336,68.5
NASDAQ,A,0.25,1:10,1.0,1691,1687,5.3920000000000075,53.92000000000007,19,0.9024246008279124,0.9045643153526971,0.9090909090909091,-0.6467281201639384,2048.9600000000028,204.89600000000027,-0.005485698856048852,-0.049996084612725374,-102.43997752808987,0.10016666666666667,0.07866666666666666,0.4206666666666667,0.26916666666666667,26.0
NASDAQ,A,0.25,1:30,0.2,1691,1689,1.7973333333333357,53.92000000000007,4,0.0,0.9550029603315572,0.967741935483871,-2.9631277912840264,431.3600000000006,14.378666666666685,-0.013410270876069936,-0.057920656632746426,-24.984654445101533,0.0,0.0,0.0,0.0,
NASDAQ,A,0.25,1:30,0.5,1691,1689,1.7973333333333357,53.92000000000007,9,0.0,0.9550029603315572,0.967741935483871,-2.9631277912840264,970.5600000000013,32.35200000000004,-0.013410270876069936,-0.057920656632746426,-56.215472501478445,0.0,0.0,0.049166666666666664,0.049166666666666664,
NASDAQ,A,0.25,1:30,1.0,1691,1689,1.7973333333333357,53.92000000000007,19,0.0,0.9550029603315572,0.967741935483871,-2.9631277912840264,2048.9600000000028,68.29866666666676,-0.013410270876069936,-0.057920656632746426,-118.67710861423227,0.0,0.0,0.24966666666666668,0.152,
NASDAQ,A,0.5,1:1,0.2,1691,1265,107.84000000000015,107.84000000000015,2,0.5150798344175045,0.4964426877470356,0.5,-0.2530447007019885,431.3600000000006,431.3600000000006,0.026100437689846802,0.0038452448115085447,1.6586848018923281,0.413,0.29333333333333333,0.5015,0.3591666666666667,31.0
NASDAQ,A,0.5,1:1,0.5,1691,1265,107.84000000000015,107.84000000000015,5,0.5150798344175045,0.4964426877470356,0.5,-0.2530447007019885,1078.4000000000015,1078.4000000000015,0.026100437689846802,0.0038452448115085447,4.146712004730828,0.407,0.31333333333333335,0.44566666666666666,0.3365,6.0
NASDAQ,A,0.5,1:1,1.0,1691,1265,107.84000000000015,107.84000000000015,9,0.5150798344175045,0.4964426877470356,0.5,-0.2530447007019885,1941.1200000000026,1941.1200000000026,0.026100437689846802,0.0038452448115085447,7.4640816085154835,0.3431666666666667,0.2916666666666667,0.37816666666666665,0.32116666666666666,5.0
NASDAQ,A,0.5,1:3,0.2,1691,1585,35.946666666666715,107.84000000000015,2,0.7185097575399172,0.7520504731861198,0.75,0.1885246276380797,431.3600000000006,143.78666666666686,-0.008676395837391247,-0.030931588715729503,-13.342650108417097,0.1415,0.1065,0.26816666666666666,0.21633333333333332,79.0
NASDAQ,A,0.5,1:3,0.5,1691,1585,35.946666666666715,107.84000000000015,5,0.7185097575399172,0.7520504731861198,0.75,0.1885246276380797,1078.4000000000015,359.46666666666715,-0.008676395837391247,-0.030931588715729503,-33.35662527104273,0.3105,0.22566666666666665,0.3868333333333333,0.281,17.0
NASDAQ,A,0.5,1:3,1.0,1691,1585,35.946666666666715,107.84000000000015,9,0.7185097575399172,0.7520504731861198,0.75,0.1885246276380797,1941.1200000000026,647.0400000000009,-0.008676395837391247,-0.030931588715729503,-60.041925487876846,0.4036666666666667,0.3476666666666667,0.46166666666666667,0.402,4.0
NASDAQ,A,0.5,1:10,0.2,1691,1664,10.784000000000015,107.84000000000015,2,0.9053814311058546,0.9182692307692307,0.9090909090909091,1.3023647131866867,431.3600000000006,43.13600000000006,0.005732642441131044,-0.016522550437207226,-7.127167356593719,0.012,0.012,0.13866666666666666,0.1325,157.0
NASDAQ,A,0.5,1:10,0.5,1691,1664,10.784000000000015,107.84000000000015,5,0.9053814311058546,0.9182692307692307,0.9090909090909091,1.3023647131866867,1078.4000000000015,107.84000000000015,0.005732642441131044,-0.016522550437207226,-17.817918391484294,0.20216666666666666,0.15583333333333332,0.49916666666666665,0.368,64.0
NASDAQ,A,0.5,1:10,1.0,1691,1664,10.784000000000015,107.84000000000015,9,0.9053814311058546,0.9182692307692307,0.9090909090909091,1.3023647131866867,1941.1200000000026,194.11200000000028,0.005732642441131044,-0.016522550437207226,-32.07225310467173,0.3303333333333333,0.26816666666666666,0.5186666666666667,0.4206666666666667,21.0
NASDAQ,A,0.5,1:30,0.2,1691,1681,3.5946666666666713,107.84000000000015,2,0.9574216439976345,0.9631171921475312,0.967741935483871,-1.0731799703963107,431.3600000000006,14.378666666666685,-0.00650707570070443,-0.02876226857904267,-12.406892174255862,0.0,0.0,0.0,0.0,
NASDAQ,A,0.5,1:30,0.5,1691,1681,3.5946666666666713,107.84000000000015,5,0.9574216439976345,0.9631171921475312,0.967741935483871,-1.0731799703963107,1078.4000000000015,35.946666666666715,-0.00650707570070443,-0.02876226857904267,-31.017230435639664,0.0,0.0,0.12866666666666668,0.123,
NASDAQ,A,0.5,1:30,1.0,1691,1681,3.5946666666666713,107.84000000000015,9,0.9574216439976345,0.9631171921475312,0.967741935483871,-1.0731799703963107,1941.1200000000026,64.70400000000008,-0.00650707570070443,-0.02876226857904267,-55.8310147841514,0.003833333333333333,0.0026666666666666666,0.33716666666666667,0.27566666666666667,139.0
NASDAQ,A,1.0,1:1,0.2,1691,514,215.6800000000003,215.6800000000003,1,0.5215848610289769,0.4377431906614786,0.5,-2.822918984903878,431.3600000000006,431.3600000000006,0.015422271775694973,0.004294675336525843,1.8525511531637902,0.39366666666666666,0.291,0.471,0.34983333333333333,54.0
NASDAQ,A,1.0,1:1,0.5,1691,514,215.6800000000003,215.6800000000003,2,0.5215848610289769,0.4377431906614786,0.5,-2.822918984903878,862.7200000000012,862.7200000000012,0.015422271775694973,0.004294675336525843,3.7051023063275803,0.4171666666666667,0.318,0.4795,0.3415,16.0
NASDAQ,A,1.0,1:1,1.0,1691,514,215.6800000000003,215.6800000000003,5,0.5215848610289769,0.4377431906614786,0.5,-2.822918984903878,2156.800000000003,2156.800000000003,0.015422271775694973,0.004294675336525843,9.26275576581896,0.30783333333333335,0.24033333333333334,0.3323333333333333,0.266,7.0
NASDAQ,A,1.0,1:3,0.2,1691,1180,71.89333333333343,215.6800000000003,1,0.6457717327025428,0.8169491525423729,0.75,5.3111118990772335,431.3600000000006,143.78666666666686,-0.0001152205982564276,-0.011242817037425556,-4.849701557263894,0.18466666666666667,0.16366666666666665,0.2768333333333333,0.23266666666666666,97.0
NASDAQ,A,1.0,1:3,0.5,1691,1180,71.89333333333343,215.6800000000003,2,0.6457717327025428,0.8169491525423729,0.75,5.3111118990772335,862.7200000000012,287.5733333333337,-0.0001152205982564276,-0.011242817037425556,-9.699403114527788,0.3468333333333333,0.25533333333333336,0.4185,0.2961666666666667,30.0
NASDAQ,A,1.0,1:3,1.0,1691,1180,71.89333333333343,215.6800000000003,5,0.6457717327025428,0.8169491525423729,0.75,5.3111118990772335,2156.800000000003,718.9333333333343,-0.0001152205982564276,-0.011242817037425556,-24.24850778631947,0.411,0.31566666666666665,0.43533333333333335,0.3335,6.0
NASDAQ,A,1.0,1:10,0.2,1691,1531,21.56800000000003,215.6800000000003,1,0.8492016558249557,0.9314173742651861,0.9090909090909091,3.0387869283779976,431.3600000000006,43.13600000000006,-0.00887919078048026,-0.020006787219649394,-8.630127735067974,0.005666666666666667,0.004833333333333334,0.027833333333333335,0.025833333333333333,150.0
NASDAQ,A,1.0,1:10,0.5,1691,1531,21.56800000000003,215.6800000000003,2,0.8492016558249557,0.9314173742651861,0.9090909090909091,3.0387869283779976,862.7200000000012,86.27200000000012,-0.00887919078048026,-0.020006787219649394,-17.26025547013595,0.101,0.086,0.21783333333333332,0.17883333333333334,93.0
NASDAQ,A,1.0,1:10,1.0,1691,1531,21.56800000000003,215.6800000000003,5,0.8492016558249557,0.9314173742651861,0.9090909090909091,3.0387869283779976,2156.800000000003,215.6800000000003,-0.00887919078048026,-0.020006787219649394,-43.15063867533987,0.288,0.20683333333333334,0.39216666666666666,0.2628333333333333,19.0
