slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
1.0,2.0,0.8,4,215.6800000000003,107.84000000000015,1725.4400000000023,862.7200000000012,0.37195,0.35205,0.46485,0.43045,13.77322926829292,-7.379879879879888,6.0
1.0,1.5,0.8,4,215.6800000000003,143.78666666666686,1725.4400000000023,1150.2933333333349,0.369,0.3669,0.44435,0.42395,14.562528780487936,4.315227227227236,6.0
0.75,1.5,0.8,5,161.76000000000022,107.84000000000015,1617.6000000000022,1078.4000000000015,0.3532,0.35245,0.43155,0.4199,3.337434146341592,-1.1160210210211636,5.0
1.0,2.0,0.65,3,215.6800000000003,107.84000000000015,1294.0800000000017,647.0400000000009,0.35135,0.32515,0.4577,0.4178,10.3299219512197,-5.534909909909888,10.0
1.0,2.0,1.0,5,215.6800000000003,107.84000000000015,2156.800000000003,1078.4000000000015,0.3498,0.313,0.43895,0.40315,17.216536585366136,-9.224849849849866,5.0
1.0,3.0,0.8,4,215.6800000000003,71.89333333333343,1725.4400000000023,575.1466666666674,0.34455,0.3288,0.44555,0.4028,-0.0018237398371044348,-24.8767447447446,9.0
1.0,1.5,0.65,3,215.6800000000003,143.78666666666686,1294.0800000000017,862.7200000000012,0.34375,0.351,0.4575,0.4336,10.921896585365968,3.2364204204204685,8.0
1.0,1.0,0.65,3,215.6800000000003,215.6800000000003,1294.0800000000017,1294.0800000000017,0.34295,0.3327,0.43805,0.4128,14.79912585365859,9.615747747747706,8.0
0.5,1.0,0.35,3,107.84000000000015,107.84000000000015,647.0400000000009,647.0400000000009,0.34045,0.3435,0.4611,0.45085,10.043057560975619,9.141621621621397,14.0
1.0,1.0,0.5,2,215.6800000000003,215.6800000000003,862.7200000000012,862.7200000000012,0.3381,0.328,0.4606,0.4388,9.866083902439039,6.41049849849843,13.0
0.75,2.0,0.8,5,161.76000000000022,80.88000000000011,1617.6000000000022,808.8000000000011,0.3359,0.3501,0.4096,0.4202,-14.564058536585158,-16.424894894894955,6.0
1.0,1.0,0.35,2,215.6800000000003,215.6800000000003,862.7200000000012,862.7200000000012,0.33555,0.3308,0.4647,0.43915,9.866083902439039,6.41049849849843,14.0
