slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
1.0,1.5,0.8,7,45.91150000000016,30.607666666666773,1606.9025000000056,1071.268333333337,0.33045,0.31675,0.39675,0.3867,-17.097192982455745,-26.48342092092064,6.0
0.75,2.0,0.8,9,34.43362500000012,17.21681250000006,1549.5131250000054,774.7565625000027,0.3154,0.32755,0.38075,0.40325,-33.71798245614012,-23.869619932432094,7.0
1.0,1.5,0.65,6,45.91150000000016,30.607666666666773,1377.3450000000048,918.2300000000032,0.31065,0.3102,0.39585,0.38725,-14.654736842104924,-22.700075075074828,8.0
1.0,1.0,0.5,4,45.91150000000016,45.91150000000016,918.2300000000032,918.2300000000032,0.3096,0.30335,0.41465,0.397,-0.7190448343080718,-4.61190690690685,13.0
0.75,1.5,0.8,9,34.43362500000012,22.95575000000008,1549.5131250000054,1033.0087500000036,0.3073,0.3295,0.3788,0.40345,-38.146611842105074,-15.901165540540042,6.0
1.0,1.0,0.65,6,45.91150000000016,45.91150000000016,1377.3450000000048,1377.3450000000048,0.3064,0.30745,0.3915,0.38035,-1.0785672514620528,-6.917860360360216,8.0
0.75,1.0,0.65,8,34.43362500000012,34.43362500000012,1377.3450000000048,1377.3450000000048,0.3042,0.29125,0.37805,0.35335,-11.471067251462022,-30.01972972972986,6.0
1.0,2.0,0.8,7,45.91150000000016,22.95575000000008,1606.9025000000056,803.4512500000028,0.3025,0.3237,0.38035,0.402,-27.151838450291965,-23.698087462461828,7.0
0.75,1.5,0.65,8,34.43362500000012,22.95575000000008,1377.3450000000048,918.2300000000032,0.2953,0.32875,0.3723,0.4043,-33.90809941520449,-14.134369369368896,7.0
0.75,2.0,0.65,8,34.43362500000012,17.21681250000006,1377.3450000000048,688.6725000000024,0.2939,0.31,0.3644,0.3903,-29.97153996101337,-21.217439939939577,8.0
0.75,1.0,0.5,6,34.43362500000012,34.43362500000012,1033.0087500000036,1033.0087500000036,0.29275,0.2785,0.3862,0.3634,-8.603300438596508,-22.514797297297388,8.0
0.75,1.0,0.8,9,34.43362500000012,34.43362500000012,1549.5131250000054,1549.5131250000054,0.292,0.2779,0.3596,0.34315,-12.904950657894771,-33.7721959459461,6.0
1.0,2.0,1.0,9,45.91150000000016,22.95575000000008,2066.017500000007,1033.0087500000036,0.2908,0.2872,0.3771,0.3779,-34.90950657894689,-30.468969594593858,5.0
1.0,1.5,1.0,9,45.91150000000016,30.607666666666773,2066.017500000007,1377.3450000000048,0.2905,0.27675,0.3696,0.34705,-21.982105263157422,-34.05011261261229,5.0
1.0,1.0,0.8,7,45.91150000000016,45.91150000000016,1606.9025000000056,1606.9025000000056,0.29035,0.28765,0.3674,0.36145,-1.2583284600390627,-8.070837087086911,7.0
