apert,buf,rr,bias,n,R,z
480,1.0,2.0,False,1093,-0.1956545159602089,-4.526193217658891
480,1.0,2.0,True,561,0.19383021625849725,3.049035066379968
480,1.0,3.0,False,1070,-0.23641843741378538,-4.473347985481733
480,1.0,3.0,True,540,0.32105865303250425,3.815830779495343
480,1.0,0.0,False,963,-0.28936844521848626,-8.254237680063579
480,1.0,0.0,True,485,-0.094038519158351,-1.8465219032901912
480,3.0,2.0,False,1127,-0.14640802198875888,-3.423267677681628
480,3.0,2.0,True,570,0.2682145824454193,4.226194277690699
480,3.0,3.0,False,1084,-0.18755418791902864,-3.559771518745985
480,3.0,3.0,True,532,0.402449002944812,4.722761603488498
480,3.0,0.0,False,1004,-0.22707206226192286,-7.071874545231987
480,3.0,0.0,True,501,-0.05388013357472246,-1.1837121246648656
540,1.0,2.0,False,1090,-0.23249810049749,-5.363112122720003
540,1.0,2.0,True,520,0.10229183873483645,1.5500791349646321
540,1.0,3.0,False,1076,-0.2813996581048903,-5.364685361328639
540,1.0,3.0,True,506,0.16764556040220763,1.9604957307029078
540,1.0,0.0,False,970,-0.28850031035841894,-8.617371085563477
540,1.0,0.0,True,451,-0.10794526991968026,-2.1920788360799954
540,3.0,2.0,False,1140,-0.175555254327171,-4.1539893120157485
540,3.0,2.0,True,545,0.24331550542809288,3.7716923016851642
540,3.0,3.0,False,1106,-0.19666486225608784,-3.7693073903707175
540,3.0,3.0,True,516,0.361596550247019,4.198051211211582
540,3.0,0.0,False,1030,-0.207246932208462,-6.709261380808064
540,3.0,0.0,True,481,-0.02659669570286077,-0.5833932026111205
780,1.0,2.0,False,968,-0.3638963497616218,-8.3129057611111
780,1.0,2.0,True,464,-0.058280458638994455,-0.8516752761721126
780,1.0,3.0,False,929,-0.38999239758510784,-7.315251335575408
780,1.0,3.0,True,435,0.017377265892696475,0.19517922162412366
780,1.0,0.0,False,787,-0.3621390730205033,-9.746625110293774
780,1.0,0.0,True,376,-0.2511592688812396,-4.518845996338192
780,3.0,2.0,False,979,-0.3171012357225287,-7.287462982844476
780,3.0,2.0,True,464,0.044897045469929814,0.6497115952360485
780,3.0,3.0,False,928,-0.39961296411986363,-7.659381176842758
780,3.0,3.0,True,429,0.06754946344638844,0.7502723530901858
780,3.0,0.0,False,826,-0.2915020389359528,-7.844871774067807
780,3.0,0.0,True,395,-0.165349825440625,-3.096169033278102
