id,fecha,lado,entrada,stop,obj,riesgo,rr,motivo,mfe_R,min_a_sl,clase
S87,2026-03-16 10:34:00,-1.0,1.14703,1.14822,1.14431,11.900000000000244,2.2857142857142856,SL,0.22689075630251004,70.0,en contra desde el primer minuto
S89,2026-03-19 13:24:00,-1.0,1.14828,1.15071,1.14511,24.299999999999322,1.3045267489711867,SL,0.5555555555555556,29.0,se mueve poco y acaba yendo al stop
S53,2026-03-20 13:44:00,1.0,1.15579,1.1548,1.15774,9.900000000000464,1.9696969696967725,SL,0.1717171717171672,6.0,en contra desde el primer minuto
S40,2026-03-26 08:14:00,1.0,1.15527,1.15459,1.15705,6.800000000000139,2.617647058823318,SL,1.7941176470587852,191.0,se va a favor y vuelve
S25,2026-04-13 08:14:00,-1.0,1.16888,1.1696,1.1664,7.200000000000539,3.4444444444439304,SL,1.527777777777495,75.0,se va a favor y vuelve
S01,2026-04-16 08:44:00,1.0,1.17983,1.17914,1.18233,6.899999999998574,3.623188405798095,SL,1.0289855072465728,69.0,se va a favor y vuelve
S51,2026-04-17 11:09:00,-1.0,1.1793,1.1797,1.17842,3.9999999999995595,2.2000000000002222,SL,0.5,15.0,se mueve poco y acaba yendo al stop
S68,2026-04-28 08:09:00,1.0,1.17073,1.17002,1.1726,7.099999999999884,2.6338028169015053,SL,0.056338028169071346,27.0,en contra desde el primer minuto
S72,2026-04-29 08:29:00,1.0,1.16988,1.16956,1.17187,3.20000000000098,6.218749999997897,SL,2.9062499999987206,96.0,se va a favor y vuelve
S32,2026-05-05 10:34:00,-1.0,1.16899,1.16971,1.16766,7.200000000000539,1.847222222222158,SL,1.2222222222221195,120.0,se va a favor y vuelve
S84,2026-05-07 09:19:00,-1.0,1.17604,1.17698,1.17462,9.399999999999409,1.5106382978724109,SL,0.0638297872339923,65.0,en contra desde el primer minuto
S86,2026-05-08 08:14:00,-1.0,1.17404,1.17481,1.17231,7.699999999999374,2.2467532467534417,SL,0.012987012987099124,27.0,en contra desde el primer minuto
S56,2026-05-19 09:14:00,1.0,1.16343,1.16289,1.16608,5.399999999999849,4.907407407407621,SL,0.5925925925927906,58.0,se mueve poco y acaba yendo al stop
S81,2026-05-22 11:39:00,1.0,1.16029,1.15952,1.16186,7.699999999999374,2.038961038961009,SL,0.6233766233767207,76.0,se mueve poco y acaba yendo al stop
S34,2026-06-23 09:14:00,-1.0,1.14302,1.1437,1.14192,6.800000000000139,1.617647058823318,SL,0.01470588235271068,6.0,en contra desde el primer minuto
S20,2026-07-02 08:19:00,-1.0,1.13875,1.13928,1.13751,5.300000000001415,2.3396226415086354,SL,0.22641509433936968,28.0,en contra desde el primer minuto
S31,2026-07-03 08:24:00,-1.0,1.14513,1.14607,1.14207,9.399999999999409,3.2553191489364415,SL,0.0,10.0,en contra desde el primer minuto
S49,2026-07-21 08:54:00,-1.0,1.14205,1.14248,1.1409,4.299999999999304,2.6744186046515592,SL,0.13953488372083417,9.0,en contra desde el primer minuto
S58,2026-07-31 11:49:00,1.0,1.15086,1.15004,1.15234,8.20000000000043,1.804878048780303,SL,0.06097560975622305,71.0,en contra desde el primer minuto
