dia,i,fin,lado,entrada,stop,obj,riesgo,hora,R,motivo,neto
2026-08-03,130,179,1,1.15265,1.15238,1.15319,2.6999999999999247,9,-1.0,SL,-1.4444444444444569
2026-08-04,462,467,-1,1.15183,1.15209,1.1513099999999996,2.60000000000149,13,-1.0,SL,-1.461538461538197
2026-08-05,731,755,-1,1.15395,1.15422,1.15341,2.6999999999999247,11,-1.0,SL,-1.4444444444444569
2026-08-06,986,1043,1,1.15445,1.15411,1.15513,3.4000000000000696,9,-1.0,SL,-1.352941176470581
2026-08-07,1301,1331,-1,1.15272,1.15304,1.1520799999999998,3.20000000000098,11,-1.0,SL,-1.3749999999998852
2026-08-10,1578,1619,-1,1.15624,1.15656,1.1555999999999997,3.20000000000098,10,2.0,TP,1.6250000000001148
2026-08-11,1843,1907,1,1.1537,1.15318,1.1547399999999997,5.199999999998539,8,-1.0,SL,-1.2307692307692957
2026-08-13,2469,2481,-1,1.15358,1.15372,1.1533,1.40000000000029,12,-1.0,SL,-1.8571428571426796
2026-08-14,2713,2768,-1,1.15446,1.15478,1.1538200000000003,3.1999999999987594,9,-1.0,SL,-1.3750000000001454
2026-08-17,2996,3055,-1,1.15944,1.15977,1.1587800000000001,3.2999999999994145,9,-1.0,SL,-1.3636363636364282
2026-08-19,3562,3631,-1,1.15896,1.15918,1.1585199999999998,2.20000000000109,8,-1.0,SL,-1.5454545454542752
2026-08-20,3868,3918,-1,1.16872,1.16943,1.1673,7.099999999999884,9,-1.0,SL,-1.169014084507045
2026-08-21,4169,4204,-1,1.17044,1.17068,1.1699599999999999,2.4000000000001798,11,-1.0,SL,-1.4999999999999625
