dia,i,fin,lado,entrada,stop,obj,riesgo,hora,dist_niv,dist_niv_R,sitio,dist_obj,atrae_contra,atrae_favor,cuerpo,cuerpo_pct,mecha_arriba,mecha_abajo,mecha_niv,mecha_niv_R,dentro,exceso,rango_asia,atr,dsem,R,motivo,rr,neto,ts,mecha_rechazo,ac,limpio,R240,M240,R360,M360,min_tp,min_sl,prim_sl,prim_tp
2020-01-02,168,179,1,1.11876,1.11832,1.12245,4.39999999999996,13,13.199999999999878,3.0,-0.5569620253164546,36.89999999999971,inf,5.227272727272704,2.8999999999990145,0.5686274509801873,0.0784313725490964,0.3529411764707162,17.899999999999583,4.068181818181761,0,13.099999999999223,23.699999999999832,2.999999999999762,3,1.2272727272727044,cierre,8.386363636363647,0.9545454545454292,2020-01-02,0.3529411764707162,99.0,0,-1.0,SL,-1.0,SL,,134.0,134.0,
2020-01-03,407,466,1,1.11565,1.11514,1.11784,5.100000000000104,9,7.299999999998974,1.4313725490193774,-0.4999999999999239,21.899999999999142,inf,1.372549019607664,3.4000000000000696,0.4927536231883591,0.3478260869565077,0.1594202898551331,11.799999999999589,2.3137254901959503,0,9.799999999999809,14.600000000000168,2.6583333333332626,4,-1.0,SL,4.294117647058568,-1.235294117647054,2020-01-03,0.1594202898551331,99.0,0,-1.0,SL,-1.0,SL,,46.0,46.0,
2020-01-06,708,754,-1,1.11783,1.11824,1.1170100000000005,4.099999999997994,10,7.4000000000018495,1.804878048781822,1.5362318840581295,8.199999999995988,inf,2.8292682926844326,2.0999999999982144,0.5121951219507572,0.1219512195124461,0.3658536585367967,10.499999999999954,2.56097560975734,0,7.600000000000939,13.799999999999368,2.9208333333335017,0,-1.0,SL,2.0,-1.2926829268294115,2020-01-06,0.1219512195124461,99.0,0,-1.0,SL,-1.0,SL,,27.0,27.0,
2020-01-08,1279,1330,1,1.11353,1.11291,1.11682,6.199999999998429,9,9.700000000001374,1.5645161290328762,-0.4181034482759433,32.90000000000015,0.290322580644988,4.758064516130252,2.5999999999992696,0.6341463414632033,0.0731707317077926,0.2926829268290041,14.899999999999912,2.403225806452208,0,10.099999999999554,23.199999999998777,5.1916666666665385,2,-1.0,SL,5.306451612904595,-1.193548387096823,2020-01-08,0.2926829268290041,0.290322580644988,0,-1.0,SL,-1.0,SL,,29.0,29.0,
2020-01-09,1588,1618,1,1.11037,1.10986,1.11195,5.100000000000104,11,3.4000000000000696,0.6666666666666666,-0.2741935483871228,15.799999999999148,0.4117647058824297,2.0,2.6999999999999247,0.7941176470587851,0.0588235294114957,0.147058823529719,7.500000000000284,1.4705882352941433,0,5.20000000000076,12.399999999999078,3.7791666666667214,3,1.921568627450904,cierre,3.098039215686044,1.6862745098038496,2020-01-09,0.147058823529719,0.4117647058824297,0,0.5098039215684738,cierre,-1.0,SL,,307.0,307.0,
2020-01-10,1856,1906,1,1.10974,1.10922,1.11111,5.199999999998539,9,4.60000000000127,0.8846153846158773,-0.5054945054946637,13.700000000000934,0.1538461538459239,3.826923076924456,3.1999999999987594,0.6666666666663583,0.1875000000002891,0.1458333333333526,8.799999999999919,1.692307692308152,0,5.700000000001815,9.099999999999664,2.4249999999997884,4,-1.0,SL,2.6346153846163043,-1.2307692307692957,2020-01-10,0.1458333333333526,0.1538461538459239,0,-1.0,SL,-1.0,SL,282.0,27.0,27.0,
2020-01-14,2445,2482,1,1.11333,1.11295,1.11444,3.799999999998249,10,2.0999999999982144,0.5526315789471531,0.1590909090907752,11.100000000001664,4.157894736843796,0.73684210526365,2.79999999999836,0.7567567567563512,0.2432432432436487,0.0,0.700000000000145,0.1842105263159125,1,0.6000000000017103,13.199999999999878,2.9874999999999576,1,-1.0,SL,2.921052631580732,-1.315789473684356,2020-01-14,0.0,4.157894736843796,1,-1.0,SL,-1.0,SL,,22.0,22.0,
2020-01-15,2716,2770,1,1.11231,1.11175,1.11364,5.599999999998939,9,3.00000000000189,0.5357142857147247,-0.2912621359225519,13.300000000000534,0.6607142857143777,2.089285714286316,1.1999999999989797,0.4285714285709754,0.1785714285717684,0.3928571428572561,7.600000000000939,1.357142857143282,0,4.00000000000178,10.299999999998644,2.0499999999998297,2,2.3750000000005453,TP,2.3750000000005453,2.1607142857147905,2020-01-15,0.3928571428572561,0.6607142857143777,0,2.3750000000005453,TP,2.3750000000005453,TP,147.0,,,147.0
2020-01-16,3009,3058,-1,1.11578,1.11611,1.11512,3.2999999999994145,9,0.1999999999990898,0.0606060606057955,0.9851851851852522,6.599999999998829,1.6969696969703494,0.878787878787736,2.2999999999995246,0.8846153846154503,0.1153846153845497,0.0,3.60000000000138,1.0909090909097026,1,0.6000000000017103,13.499999999999623,2.80833333333369,3,2.0,TP,2.0,1.6363636363635718,2020-01-16,0.1153846153845497,1.6969696969703494,1,2.000000000000673,TP,2.000000000000673,TP,39.0,89.0,,39.0
2020-01-17,3321,3346,1,1.11202,1.11165,1.11425,3.699999999999815,11,10.600000000000607,2.864864864865173,-0.9059829059830408,22.299999999999542,inf,2.0810810810810163,1.7000000000000348,0.6799999999997869,0.3200000000002131,0.0,13.300000000000534,3.594594594594919,0,10.600000000000607,11.699999999998932,2.879166666666562,4,-1.0,SL,6.027027027027206,-1.3243243243243406,2020-01-17,0.0,99.0,0,-1.0,SL,-1.0,SL,,4.0,4.0,
