EL INVERTIDO CON STOPS ANCHOS · EXPLORATORIO, especificación nueva sobre datos ya vistos

   stop  ratio    obj     n  días    %TP  sin res     R/op  suma bruta/d      z  SUMA NETA/d      z    €/mes
    nat    1.5     8p  1142   882  42.3%     0.9%   +0.069        +0.090  +1.96       -0.447  -7.69    -549€
    nat    2.0    10p  1142   882  35.3%     1.6%   +0.084        +0.108  +2.04       -0.429  -6.76    -526€

     8p    1.5    12p  1142   882  42.6%     0.9%   +0.076        +0.098  +2.10       -0.098  -2.11    -120€
     8p    2.0    16p  1142   882  36.1%     1.7%   +0.109        +0.141  +2.59       -0.056  -1.03     -68€

    10p    1.5    15p  1142   882  43.2%     1.1%   +0.093        +0.121  +2.58       -0.046  -0.99     -57€
    10p    2.0    20p  1142   882  35.8%     2.2%   +0.109        +0.141  +2.64       -0.027  -0.51     -33€

    12p    1.5    18p  1142   882  42.7%     1.8%   +0.092        +0.119  +2.58       -0.025  -0.55     -31€
    12p    2.0    24p  1142   882  34.6%     4.5%   +0.106        +0.137  +2.60       -0.007  -0.14      -9€

    15p    1.5    22p  1142   882  39.3%     4.5%   +0.041        +0.053  +1.17       -0.066  -1.44     -81€
    15p    2.0    30p  1142   882  30.6%     8.5%   +0.050        +0.065  +1.26       -0.054  -1.05     -67€

    20p    1.5    30p  1142   882  36.3%    11.3%   +0.053        +0.069  +1.59       -0.022  -0.52     -27€
    20p    2.0    40p  1142   882  25.1%    18.5%   +0.027        +0.035  +0.74       -0.056  -1.16     -69€

