dia,i,fin,lado,entrada,stop,obj,riesgo,hora,dentro,barrido_rel,rechazo,R,motivo,rr,F,bloque
2023-01-03,108,167,-1,1844.445,1847.445,1838.445,300.0,9,0,0.182290664100097,0.11953352769681465,2.0,TP,2.0,0,XAUUSD 2023-2025
2023-01-04,381,443,-1,1856.115,1858.158,1852.0290000000002,204.29999999998927,8,0,0.7458722741433068,0.24615384615383215,-1.0,SL,2.0,0,XAUUSD 2023-2025
2023-01-05,670,719,1,1846.545,1843.715,1858.875,283.00000000001546,9,0,0.7259056732741007,0.13524590163940461,-0.4381625441695906,cierre,4.356890459363694,0,XAUUSD 2023-2025
2023-01-09,1205,1271,-1,1878.605,1880.915,1873.9850000000001,230.99999999999454,8,1,0.06619937694703974,0.0,2.0,TP,2.0,1,XAUUSD 2023-2025
2023-01-10,1532,1547,-1,1875.735,1876.225,1874.7549999999999,49.00000000000091,12,1,0.11995104039167802,0.1552857865452719,-1.0,SL,2.0,0,XAUUSD 2023-2025
2023-01-11,1784,1823,-1,1884.805,1885.717,1882.981,91.20000000000346,10,0,0.16141265702772126,0.22053231939162676,2.0,TP,2.0,0,XAUUSD 2023-2025
2023-01-12,2081,2099,-1,1885.165,1885.965,1883.565,79.99999999999545,12,0,0.0984196082142484,0.21543985637322682,-1.0,SL,2.0,0,XAUUSD 2023-2025
2023-01-13,2334,2375,-1,1904.715,1905.765,1902.6149999999996,105.00000000001819,10,0,0.6635838150288959,0.10554089709753457,-1.0,SL,2.0,0,XAUUSD 2023-2025
2023-01-16,2603,2651,1,1911.635,1910.655,1928.885,98.00000000000182,9,0,0.16124920331421058,0.23770491803275176,3.1938775510204604,cierre,17.602040816326205,0,XAUUSD 2023-2025
2023-01-17,2852,2879,1,1904.695,1904.165,1918.925,52.99999999999727,11,0,0.21729801105884677,0.25581395348863034,8.660377358491287,cierre,26.849056603775,0,XAUUSD 2023-2025
2023-01-18,3105,3155,-1,1910.778,1912.025,1908.2839999999999,124.7000000000071,9,0,0.12954876273655014,0.4330708661417027,-1.0,SL,2.0,0,XAUUSD 2023-2025
2023-01-19,3381,3431,-1,1912.618,1913.585,1910.6839999999997,96.70000000000982,9,0,0.24914072473731086,0.3690888119953292,2.0,TP,2.0,0,XAUUSD 2023-2025
2023-01-23,3927,3983,1,1920.367,1919.205,1935.445,116.20000000000346,9,0,0.1388504155124746,0.32553035844912126,5.267641996557584,cierre,12.975903614457424,0,XAUUSD 2023-2025
2023-01-24,4177,4247,-1,1938.475,1940.565,1934.2949999999996,209.00000000001455,8,1,0.06612090680101887,0.1040041601664302,-1.0,SL,2.0,1,XAUUSD 2023-2025
2023-01-25,4497,4523,1,1926.125,1925.075,1939.528,104.99999999999545,11,1,0.046082615929967395,0.40000000000007907,-1.0,SL,12.764761904762477,0,XAUUSD 2023-2025
2023-01-26,4739,4799,1,1942.835,1941.055,1949.085,177.99999999999727,8,1,0.22638680659669783,0.07806122448980468,-1.0,SL,3.5112359550562338,1,XAUUSD 2023-2025
2023-01-30,5303,5339,1,1923.185,1922.135,1934.425,104.99999999999545,9,0,0.22278878211415884,0.16310323762970957,-1.0,SL,10.704761904762377,0,XAUUSD 2023-2025
2023-01-31,5587,5603,1,1903.875,1901.075,1927.268,279.99999999999545,12,0,0.7065111125594646,0.011627906976733939,-1.0,SL,8.354642857143004,0,XAUUSD 2023-2025
2023-02-01,5825,5879,1,1924.845,1923.077,1928.665,176.8000000000029,9,1,0.3133976924887877,0.10256410256401287,2.1606334841628243,TP,2.1606334841628243,1,XAUUSD 2023-2025
2023-02-03,6404,6431,1,1910.577,1909.775,1918.485,80.19999999999072,11,0,0.26575761792126185,0.45028142589128206,-1.0,SL,9.860349127183063,0,XAUUSD 2023-2025
2023-02-07,6941,6983,-1,1876.018,1877.818,1872.4180000000001,179.99999999999545,10,1,0.09718144450968202,0.19653179190746506,2.0,TP,2.0,0,XAUUSD 2023-2025
2023-02-08,7205,7259,-1,1882.448,1884.815,1877.7140000000002,236.69999999999618,9,0,0.9014084507042497,0.012412081092252277,-1.0,SL,2.0,0,XAUUSD 2023-2025
2023-02-09,7512,7535,-1,1884.915,1885.758,1883.2289999999998,84.30000000000746,12,0,0.47813777917585787,0.08382229673085534,2.0,TP,2.0,0,XAUUSD 2023-2025
2023-02-10,7763,7811,-1,1867.655,1869.685,1863.595,202.99999999999727,9,0,0.3341922386195024,0.23756906077349316,-1.0,SL,2.0,0,XAUUSD 2023-2025
2023-02-13,8049,8087,1,1856.405,1854.818,1866.395,158.6999999999989,10,0,0.23703781292551732,0.31343283582083814,-1.0,SL,6.294896030245796,0,XAUUSD 2023-2025
2023-02-15,8588,8639,1,1835.055,1832.785,1859.998,226.99999999999818,9,0,0.5160251069266168,0.13080168776377946,-1.0,SL,10.988105726872327,0,XAUUSD 2023-2025
2023-02-17,9127,9191,1,1824.475,1821.825,1836.747,264.99999999998636,8,1,0.09229416935247486,0.10144927536233954,-1.0,SL,4.630943396226715,1,XAUUSD 2023-2025
2023-02-20,9402,9443,-1,1844.715,1845.665,1842.8149999999998,95.00000000000455,8,1,0.03555608763318845,0.104395604395625,-1.0,SL,2.0,1,XAUUSD 2023-2025
2023-02-21,9592,9641,1,1835.555,1833.465,1843.725,209.00000000001455,8,0,0.5275707898659153,0.10400000000008731,-1.0,SL,3.909090909090563,0,XAUUSD 2023-2025
2023-02-22,9787,9833,-1,1839.675,1840.725,1837.575,104.99999999999545,9,0,0.7041526953830414,0.412587412587496,2.0,TP,2.0,0,XAUUSD 2023-2025
2023-02-24,10173,10217,1,1820.855,1819.625,1827.715,123.00000000000182,9,0,0.6833333333333341,0.14529914529919846,-1.0,SL,5.57723577235756,0,XAUUSD 2023-2025
