dia,ts,i,fin,lado,rama,entrada,stop,obj,riesgo,R,motivo,rr,coste_R,neto
2020-01-02,2020-01-02 12:04:00,168,179,1,mínimo,1.11876,1.11832,1.12245,4.3999999999999595,1.2272727272727044,cierre Londres,8.386363636363647,0.2727272727272752,0.9545454545454293
2020-01-03,2020-01-03 08:04:00,407,466,1,mínimo,1.11565,1.11514,1.11784,5.1000000000001044,-1.0,SL,4.294117647058568,0.235294117647054,-1.235294117647054
2020-01-06,2020-01-06 09:09:00,708,754,-1,máximo,1.11783,1.11824,1.1170100000000005,4.099999999997994,-1.0,SL,2.0,0.2926829268294115,-1.2926829268294115
2020-01-08,2020-01-08 08:44:00,1279,1330,1,mínimo,1.11353,1.11291,1.11682,6.199999999998429,-1.0,SL,5.306451612904595,0.19354838709682323,-1.1935483870968233
2020-01-09,2020-01-09 10:29:00,1588,1618,1,mínimo,1.11037,1.10986,1.11195,5.1000000000001044,1.9215686274509036,cierre Londres,3.098039215686044,0.235294117647054,1.6862745098038496
2020-01-10,2020-01-10 08:49:00,1856,1906,1,mínimo,1.10974,1.10922,1.11111,5.199999999998539,-1.0,SL,2.6346153846163043,0.2307692307692956,-1.2307692307692957
2020-01-14,2020-01-14 09:54:00,2445,2482,1,mínimo,1.11333,1.11295,1.11444,3.7999999999982492,-1.0,SL,2.9210526315807313,0.315789473684356,-1.315789473684356
2020-01-15,2020-01-15 08:29:00,2716,2770,1,mínimo,1.11231,1.11175,1.11364,5.599999999998939,2.3750000000005453,TP,2.3750000000005453,0.21428571428575488,2.1607142857147905
2020-01-16,2020-01-16 08:54:00,3009,3058,-1,máximo,1.11578,1.11611,1.1151200000000001,3.2999999999994145,2.0,TP,2.0,0.36363636363642815,1.6363636363635718
2020-01-17,2020-01-17 10:54:00,3321,3346,1,mínimo,1.11202,1.11165,1.11425,3.6999999999998145,-1.0,SL,6.027027027027206,0.32432432432434055,-1.3243243243243406
2020-01-20,2020-01-20 07:29:00,3568,3634,-1,máximo,1.10986,1.11033,1.1089200000000001,4.699999999999704,2.0,TP,2.0,0.25531914893618624,1.7446808510638139
2020-01-21,2020-01-21 08:29:00,3868,3922,1,mínimo,1.10896,1.1086,1.10993,3.5999999999991594,-1.0,SL,2.6944444444454554,0.33333333333341114,-1.3333333333334112
2020-01-22,2020-01-22 07:29:00,4144,4210,1,mínimo,1.10791,1.10743,1.10868,4.8000000000003595,1.6041666666668788,TP,1.6041666666668788,0.24999999999998126,1.3541666666668974
2020-01-24,2020-01-24 09:49:00,4748,4786,1,mínimo,1.10434,1.1041,1.10562,2.4000000000001798,-1.0,SL,5.333333333332717,0.49999999999996253,-1.4999999999999625
2020-01-27,2020-01-27 11:34:00,5057,5074,1,mínimo,1.10235,1.10206,1.10358,2.8999999999990145,-1.0,SL,4.241379310346491,0.41379310344841647,-1.4137931034484166
2020-01-28,2020-01-28 07:24:00,5295,5362,1,mínimo,1.10172,1.10142,1.10252,2.9999999999996696,-1.0,SL,2.6666666666666665,0.40000000000004404,-1.400000000000044
2020-01-29,2020-01-29 08:44:00,5599,5650,1,mínimo,1.10054,1.10018,1.10276,3.60000000000138,-1.0,SL,6.1666666666639935,0.33333333333320553,-1.3333333333332056
2020-01-30,2020-01-30 07:19:00,5870,5938,1,mínimo,1.10087,1.10059,1.10179,2.80000000000058,3.2857142857137194,TP,3.2857142857137194,0.4285714285713398,2.85714285714238
2020-02-03,2020-02-03 08:14:00,6457,6514,1,mínimo,1.10782,1.10726,1.10907,5.60000000000116,-1.0,SL,2.2321428571423474,0.2142857142856699,-1.21428571428567
2020-02-04,2020-02-04 07:54:00,6741,6802,1,mínimo,1.1052,1.1048,1.10641,3.9999999999995595,-1.0,SL,3.0250000000001664,0.300000000000033,-1.3000000000000331
2020-02-05,2020-02-05 08:49:00,7040,7090,-1,máximo,1.10392,1.10484,1.10208,9.200000000000319,2.0,TP,2.0,0.13043478260869112,1.8695652173913089
2020-02-06,2020-02-06 07:44:00,7315,7378,-1,máximo,1.10027,1.10066,1.0994900000000003,3.8999999999989043,-1.0,SL,2.0,0.30769230769239414,-1.307692307692394
2020-02-07,2020-02-07 07:29:00,7600,7666,1,mínimo,1.09729,1.09676,1.09849,5.300000000001415,-1.0,SL,2.264150943395373,0.2264150943395622,-1.2264150943395622
2020-02-11,2020-02-11 08:44:00,8191,8242,1,mínimo,1.09098,1.09061,1.0917,3.6999999999998145,1.9459459459455892,TP,1.9459459459455892,0.32432432432434055,1.6216216216212487
2020-02-13,2020-02-13 07:44:00,8752,8815,-1,máximo,1.08767,1.0879699999999999,1.08707,2.9999999999996696,-1.0,SL,2.0,0.40000000000004404,-1.400000000000044
2020-02-14,2020-02-14 07:59:00,9043,9103,-1,máximo,1.0841,1.08442,1.0834600000000003,3.1999999999987594,2.0,TP,2.0,0.3750000000001454,1.6249999999998546
2020-02-17,2020-02-17 09:19:00,9347,9391,-1,máximo,1.08468,1.08519,1.08366,5.1000000000001044,2.0,TP,2.0,0.235294117647054,1.764705882352946
2020-02-19,2020-02-19 08:54:00,9918,9967,-1,máximo,1.08048,1.08076,1.0799200000000004,2.7999999999983594,-1.0,SL,2.0,0.4285714285716797,-1.4285714285716797
2020-02-20,2020-02-20 07:29:00,10189,10255,1,mínimo,1.07855,1.07768,1.08152,8.699999999999264,0.2988505747128402,cierre Londres,3.4137931034487248,0.13793103448277028,0.16091954023006994
2020-02-21,2020-02-21 08:29:00,10489,10543,-1,máximo,1.08001,1.0806,1.0788299999999997,5.9000000000009045,-1.0,SL,2.0,0.2033898305084434,-1.2033898305084434
2020-02-24,2020-02-24 10:49:00,10805,10831,1,mínimo,1.08187,1.08132,1.08423,5.5000000000005045,-0.09090909090927442,cierre Londres,4.290909090908547,0.21818181818179816,-0.30909090909107256
2020-02-25,2020-02-25 10:49:00,11093,11119,1,mínimo,1.0839,1.08338,1.08675,5.20000000000076,-1.0,SL,5.480769230768467,0.23076923076919706,-1.230769230769197
2020-02-26,2020-02-26 09:29:00,11365,11407,-1,máximo,1.0887,1.0895,1.0871000000000002,7.999999999999119,-1.0,SL,2.0,0.1500000000000165,-1.1500000000000166
2020-02-27,2020-02-27 09:29:00,11653,11695,-1,máximo,1.09341,1.09409,1.09205,6.800000000000139,-1.0,SL,2.0,0.1764705882352905,-1.1764705882352904
2020-02-28,2020-02-28 08:34:00,11930,11983,-1,máximo,1.10139,1.10288,1.09841,14.899999999999913,-1.0,SL,2.0,0.08053691275167832,-1.0805369127516784
2020-03-02,2020-03-02 09:49:00,12233,12271,-1,máximo,1.10774,1.10848,1.10626,7.399999999999629,-1.0,SL,2.0,0.16216216216217028,-1.1621621621621703
2020-03-03,2020-03-03 09:04:00,12512,12559,1,mínimo,1.11168,1.11069,1.11555,9.900000000000464,-1.0,SL,3.909090909090766,0.12121212121211553,-1.1212121212121156
2020-03-04,2020-03-04 11:04:00,12823,12846,1,mínimo,1.11397,1.11349,1.1185,4.799999999998139,-1.0,SL,9.437500000003961,0.2500000000000969,-1.2500000000000968
2020-03-05,2020-03-05 08:04:00,13075,13134,1,mínimo,1.11286,1.11185,1.11436,10.099999999999554,1.485148514851607,TP,1.485148514851607,0.11881188118812405,1.366336633663483
2020-03-06,2020-03-06 09:29:00,13380,13422,-1,máximo,1.12733,1.1276599999999999,1.12667,3.2999999999994145,-1.0,SL,2.0,0.36363636363642815,-1.3636363636364282
2020-03-12,2020-03-12 09:24:00,14555,14598,1,mínimo,1.1235,1.12263,1.13336,8.699999999999264,-1.0,SL,11.333333333334268,0.13793103448277028,-1.1379310344827702
2020-03-13,2020-03-13 10:19:00,14854,14886,1,mínimo,1.11538,1.11473,1.12213,6.500000000000394,-1.0,SL,10.384615384614806,0.1846153846153734,-1.1846153846153733
2020-03-16,2020-03-16 07:44:00,15111,15174,-1,máximo,1.12082,1.1225,1.1174599999999997,16.80000000000126,-1.0,SL,2.0,0.07142857142856608,-1.071428571428566
2020-03-17,2020-03-17 10:19:00,15430,15462,1,mínimo,1.10146,1.09994,1.11891,15.200000000001879,-1.0,SL,11.480263157893296,0.07894736842104287,-1.0789473684210429
2020-03-18,2020-03-18 07:59:00,15690,15750,1,mínimo,1.09722,1.09546,1.10451,17.599999999999838,-1.0,SL,4.142045454545503,0.0681818181818188,-1.0681818181818188
2020-03-19,2020-03-19 07:19:00,15970,16038,1,mínimo,1.08526,1.08122,1.0949,40.399999999998215,-1.0,SL,2.3861386138615144,0.029702970297031013,-1.029702970297031
2020-03-23,2020-03-23 12:09:00,16603,16613,-1,máximo,1.07717,1.07978,1.07195,26.100000000000012,-1.0,SL,2.0,0.04597701149425285,-1.0459770114942528
2020-03-24,2020-03-24 09:29:00,16859,16901,-1,máximo,1.08657,1.08748,1.08475,9.099999999999664,-1.0,SL,2.0,0.13186813186813673,-1.1318681318681367
2020-03-25,2020-03-25 09:04:00,17142,17189,-1,máximo,1.0841,1.0844799999999999,1.0833400000000004,3.7999999999982492,2.0,TP,2.0,0.315789473684356,1.684210526315644
2020-03-26,2020-03-26 07:24:00,17410,17477,-1,máximo,1.09225,1.09408,1.08859,18.299999999999983,-1.0,SL,2.0,0.06557377049180334,-1.0655737704918034
2020-03-27,2020-03-27 09:24:00,17722,17765,1,mínimo,1.10027,1.09895,1.10868,13.199999999999878,-1.0,SL,6.371212121212202,0.09090909090909174,-1.0909090909090917
2020-03-31,2020-03-31 09:49:00,18277,18303,1,mínimo,1.09729,1.09665,1.10506,6.40000000000196,-1.0,SL,12.140624999996021,0.18749999999994257,-1.1874999999999425
2020-04-01,2020-04-01 07:34:00,18538,18591,1,mínimo,1.09784,1.09701,1.10372,8.299999999998864,-1.0,SL,7.084337349398689,0.14457831325303183,-1.1445783132530318
2020-04-02,2020-04-02 08:29:00,18837,18879,1,mínimo,1.09193,1.09154,1.09594,3.900000000001125,-1.0,SL,10.282051282047924,0.30769230769221895,-1.307692307692219
2020-04-03,2020-04-03 08:29:00,19125,19167,1,mínimo,1.08043,1.07992,1.08586,5.1000000000001044,-1.0,SL,10.647058823529283,0.235294117647054,-1.235294117647054
2020-04-06,2020-04-06 08:59:00,19419,19455,1,mínimo,1.0793,1.07831,1.08354,9.899999999998244,0.6262626262628029,cierre Londres,4.2828282828290645,0.12121212121214271,0.5050505050506602
2020-04-07,2020-04-07 07:34:00,19690,19743,-1,máximo,1.08695,1.0877999999999999,1.0852500000000005,8.499999999997954,-1.0,SL,2.0,0.14117647058826926,-1.1411764705882692
2020-04-08,2020-04-08 06:44:00,19968,20031,1,mínimo,1.08463,1.08385,1.09019,7.800000000000029,2.807692307692187,cierre Londres,7.1282051282051135,0.15384615384615327,2.653846153846034
2020-04-09,2020-04-09 10:24:00,20300,20319,-1,máximo,1.08818,1.08903,1.08648,8.500000000000174,2.0,TP,2.0,0.1411764705882324,1.8588235294117676
2020-04-10,2020-04-10 08:19:00,20563,20607,-1,máximo,1.09409,1.0948,1.09267,7.099999999999884,0.5492957746480547,cierre Londres,2.0,0.169014084507045,0.38028169014100965
