REJILLA · ancho de stop x ratio · senales filtradas por contexto, la primera del dia
EXPLORATORIO: se prueban muchas combinaciones sobre datos ya vistos.

    stop  ratio  objetivo  winrate  sin resolver  PF bruto  PF neto    €/mes      z
      8p    1.0        8p    53.5%          0.3%      1.16     0.85    -206€  -2.84
      8p    1.5       12p    42.3%          0.9%      1.12     0.87    -212€  -2.36
      8p    2.0       16p    35.2%          1.6%      1.13     0.90    -186€  -1.79
      8p    2.5       20p    29.5%          2.8%      1.12     0.91    -185€  -1.59

     10p    1.0       10p    53.2%          0.5%      1.14     0.88    -161€  -2.22
     10p    1.5       15p    42.3%          1.3%      1.13     0.91    -142€  -1.58
     10p    2.0       20p    34.5%          2.5%      1.11     0.92    -151€  -1.46
     10p    2.5       25p    29.5%          4.7%      1.17     0.97     -51€  -0.44

     12p    1.0       12p    52.3%          0.7%      1.11     0.89    -153€  -2.11
     12p    1.5       18p    41.5%          1.7%      1.10     0.91    -141€  -1.58
     12p    2.0       24p    33.9%          4.5%      1.13     0.96     -77€  -0.75
     12p    2.5       30p    28.5%          6.9%      1.17     1.00      -2€  -0.02

     15p    1.0       15p    52.3%          1.7%      1.13     0.94     -77€  -1.07
     15p    1.5       22p    40.8%          4.4%      1.13     0.96     -57€  -0.65
     15p    2.0       30p    32.9%          7.9%      1.17     1.01     +22€  +0.22
     15p    2.5       38p    24.6%         13.2%      1.14     0.99     -17€  -0.16

     20p    1.0       20p    50.0%          5.2%      1.11     0.96     -54€  -0.76
     20p    1.5       30p    38.0%         11.0%      1.15     1.02     +26€  +0.30
     20p    2.0       40p    27.2%         18.9%      1.15     1.02     +32€  +0.34
     20p    2.5       50p    19.0%         25.2%      1.13     1.00      +7€  +0.07

