instr,F,obj,n,ac,R,neta,z,stop
EURUSD,0.5,1:2,7756,32.45740687265376,0.011741967122691266,-0.11891308461072148,-7.767843495772659,13.499999999999623
EURUSD,0.5,nivel,7188,64.14634146341463,0.014786061721493375,-0.11874080716640444,-10.230343302736934,13.200000000002099
EURUSD,0.618,1:2,6815,33.09946990957281,0.014657148604464603,-0.1481685904849824,-8.83486994695554,10.844999999999327
EURUSD,0.618,nivel,6490,65.13703993735317,0.03002407687828708,-0.13493178133485123,-10.893317598125723,10.700399999998833
EURUSD,0.705,1:2,6138,33.35018537243006,0.013452195156025994,-0.1878202371413476,-10.50199487689789,8.729499999999835
EURUSD,0.705,nivel,5949,64.2820730671198,0.05776947664606054,-0.14497939325835862,-10.484599457208368,8.729499999999835
EURUSD,0.79,1:2,5568,33.93574297188755,0.025821456259583812,-0.23459226491414925,-12.344667336027936,6.758000000000042
EURUSD,0.79,nivel,5474,63.26530612244898,0.07491446735563732,-0.18646070565298137,-12.31514210946733,6.726999999999705
GBPUSD,0.5,1:2,8115,32.47886933628932,0.009678472712685812,-0.09999178523585518,-6.6943875487909485,17.700000000000493
GBPUSD,0.5,nivel,7529,66.08187134502924,0.04546043874750908,-0.06668808532522114,-5.707179826994118,17.339999999999023
GBPUSD,0.618,1:2,7200,33.13101406365655,0.016475633431522904,-0.1209773530356965,-7.422735119524522,14.12260000000165
GBPUSD,0.618,nivel,6882,64.43625644804716,0.03278820223313718,-0.10631289898403289,-8.354620309105174,13.977999999998936
GBPUSD,0.705,1:2,6520,33.72019077901431,0.0247964156788633,-0.1455920920782729,-8.367537485061384,11.376000000000719
GBPUSD,0.705,nivel,6323,64.67582242095176,0.05718340652307176,-0.11460146527466325,-8.559927903190317,11.296999999999002
GBPUSD,0.79,1:2,5905,34.20554312274057,0.03267476692671805,-0.18578755513728445,-10.020505284746884,8.83500000000037
GBPUSD,0.79,nivel,5804,65.22116218560278,0.08637512491544616,-0.13307108147172336,-9.381792756724215,8.804000000000034
USDJPY,0.5,1:2,7098,32.283715012722645,0.011634457428487519,-0.08795782524990174,-5.510922992407515,19.200000000000728
USDJPY,0.5,nivel,6532,65.77868852459017,0.009080765442485768,-0.09264339408460211,-7.938506821540045,18.779999999998154
USDJPY,0.618,1:2,6148,33.472149921915666,0.02477729891467996,-0.10104042577094619,-5.71462542393034,15.086600000002193
USDJPY,0.618,nivel,5824,67.07317073170732,0.03614686086508231,-0.09179235015307982,-7.254262774834517,14.893800000000113
USDJPY,0.705,1:2,5443,32.19073152049023,-0.0173675716044606,-0.1727624050435227,-9.179661325393377,12.166000000000565
USDJPY,0.705,nivel,5247,66.4035425490951,0.04190085073774673,-0.11540284598614449,-8.416392374280084,12.008000000000152
USDJPY,0.79,1:2,4814,33.37566137566137,0.008316452729372741,-0.1946287008675099,-9.54973254592125,9.331000000000245
USDJPY,0.79,nivel,4731,64.88500851788757,0.06832869914349714,-0.13584736979596448,-8.934732322228678,9.237999999999147
XAUUSD,0.5,1:2,2963,32.298850574712645,0.004906474573776124,-0.0361274549159443,-1.4744347244173421,637.9799999999705
XAUUSD,0.5,nivel,2725,63.169897377423034,0.01825517377382563,-0.024059604387755704,-1.2448084382698288,619.6799999999939
XAUUSD,0.618,1:2,2594,32.85123966942149,0.008743257105711102,-0.04289864592951544,-1.5936860241273454,500.0026999999818
XAUUSD,0.618,nivel,2445,62.63552960800667,0.03531117171457749,-0.01743291170756141,-0.7997583889127637,487.3019999999997
XAUUSD,0.705,1:2,2287,32.71493212669683,-0.002295679260750088,-0.06660734483683833,-2.29239166231356,395.78999999998814
XAUUSD,0.705,nivel,2205,63.88251491509867,0.055608409726043674,-0.00950161833525188,-0.39455173660828224,390.3784999999971
XAUUSD,0.79,1:2,2027,32.21105527638191,-0.02164904313145065,-0.10617282437894346,-3.4321780178704717,292.42300000000796
XAUUSD,0.79,nivel,1997,62.089853609288234,0.029540100754773178,-0.05544663557587767,-2.2915718787602013,290.37700000001223
GRXEUR,0.5,1:2,3276,32.28949199721642,0.01555356192760538,-0.04351514630850663,-1.8565160399517855,37.49669999999969
GRXEUR,0.5,nivel,3022,65.9052165018752,-0.005491295754537371,-0.06570716160979499,-3.885196831979665,36.86340000000018
GRXEUR,0.618,1:2,2853,31.671664167916042,-0.023034929963011038,-0.0967750486062113,-3.7896819582531043,29.56250600000203
