instr,F,obj,n,ac,R,neta,z,stop
EURUSD,0.382,1:1,8245,45.4763491005996,-0.08347672374863667,-0.18638243891762746,-17.576647244804963,16.87299999999947
EURUSD,0.382,nivel,7394,54.52750352609309,-0.12795472365451221,-0.23434001115856265,-21.033497474767763,16.370400000000895
EURUSD,0.5,1:1,7495,46.36107193229901,-0.06875939542190086,-0.1934801675722966,-17.09815059505623,13.979999999997883
EURUSD,0.5,nivel,6921,53.577817531305904,-0.11434044599943893,-0.2417084697543521,-19.64655449161625,13.680000000002579
EURUSD,0.618,1:1,6597,46.4424723649385,-0.06832816682427162,-0.22672314564172993,-18.536883551029927,11.037799999999987
EURUSD,0.618,nivel,6266,52.5390625,-0.11131481929604767,-0.27184542705396403,-20.1180527116348,10.893199999999492
GBPUSD,0.382,1:1,8629,45.66909044520985,-0.08192431744956519,-0.1692867149480799,-16.36049122380791,22.1862000000006
GBPUSD,0.382,nivel,7735,56.10999329309189,-0.10879672237533065,-0.1990874163828356,-18.163223850655136,21.396399999999982
GBPUSD,0.5,1:1,7865,46.33882734396109,-0.06878969141803767,-0.17407371065285288,-15.781549954472984,18.419999999998993
GBPUSD,0.5,nivel,7278,55.906399774457284,-0.09054770469714092,-0.1981859517154278,-16.371132690135667,17.940000000000733
GBPUSD,0.618,1:1,6980,47.821607300559315,-0.04192254546650547,-0.17590075246808132,-14.774396555306565,14.387700000001447
GBPUSD,0.618,nivel,6662,54.333587204874334,-0.09106247572022876,-0.22666857254722655,-16.839859302143246,14.21899999999976
USDJPY,0.382,1:1,7725,46.60471765546819,-0.06462418294158113,-0.14370032680006026,-13.119819334603234,23.909399999999437
USDJPY,0.382,nivel,6819,57.6521204671174,-0.1126327249104248,-0.19440053793710366,-17.837036393604055,23.119599999998286
USDJPY,0.5,1:1,6826,46.40472123000466,-0.07039726243823047,-0.166454972472596,-14.036971537574873,19.7400000000016
USDJPY,0.5,nivel,6253,57.15464598118501,-0.1051389439757396,-0.2033605882352613,-17.027424280981087,19.20000000000357
USDJPY,0.618,1:1,5929,46.93028095733611,-0.05973485525586477,-0.18279857191011775,-14.156275028318786,15.27940000000001
USDJPY,0.618,nivel,5603,56.87624569668418,-0.09052928466041593,-0.21565574983939975,-16.18900887191623,14.942000000002054
NSXUSD,0.382,1:1,7615,45.03729202524383,-0.09294861946631353,-0.12352867775481761,-11.207717785097925,66.53418800000145
NSXUSD,0.382,nivel,6706,53.76744186046511,-0.12517457301508958,-0.1567329377346527,-12.891961013959104,63.873280000001614
NSXUSD,0.5,1:1,6787,45.83073079325422,-0.07790751615791094,-0.11524417910726317,-9.731203889226006,53.73359999999957
NSXUSD,0.5,nivel,6195,54.1645967875476,-0.10460481925234597,-0.14269209860712367,-10.545912324606473,52.73879999999917
NSXUSD,0.618,1:1,5974,46.35989010989011,-0.07215124320673616,-0.11958092253344488,-9.339176121228054,42.00051600000006
NSXUSD,0.618,nivel,5670,52.33912887614268,-0.10993231475585448,-0.15776823245451232,-10.440333691508405,41.7195099999999
