conf,ses,clave,lado,t,ent,stop,rgo,obj,tent,gano,rgoP,cpc,Rb,Rn
C1,londres,lo,1,2020-01-02 12:00:00,1.12011,1.11967,0.00043999999999999595,1.12099,2020-01-02 11:00:00,0,4.3999999999999595,32.5000000000003,-1.0,-1.3250000000000028
C2,londres,lo,1,2020-01-02 12:05:00,1.12015,1.11967,0.00048000000000003595,1.12111,2020-01-02 11:05:00,0,4.8000000000003595,29.791666666664437,-1.0,-1.2979166666666444
C1,londres,lo,1,2020-01-07 08:00:00,1.11832,1.11782,0.0004999999999999449,1.1193199999999999,2020-01-07 07:00:00,0,4.999999999999449,28.60000000000315,-1.0,-1.2860000000000316
C2,londres,lo,1,2020-01-07 08:05:00,1.11833,1.11782,0.0005100000000000104,1.11935,2020-01-07 07:05:00,0,5.1000000000001044,28.039215686273934,-1.0,-1.2803921568627392
C1,londres,lo,1,2020-01-08 08:15:00,1.11451,1.11447,3.999999999981796e-05,1.1145899999999995,2020-01-08 07:15:00,1,0.3999999999981796,357.500000001627,2.0,-1.5750000000162698
C2,londres,lo,1,2020-01-08 08:40:00,1.11508,1.11447,0.0006099999999999994,1.1163,2020-01-08 07:40:00,0,6.099999999999994,23.442622950819693,-1.0,-1.234426229508197
C1,londres,hi,-1,2020-01-09 08:40:00,1.11191,1.11199,8.000000000008001e-05,1.1117499999999998,2020-01-09 07:40:00,1,0.8000000000008001,178.74999999982123,2.0,0.21250000000178781
C2,londres,hi,-1,2020-01-09 08:50:00,1.11164,1.11199,0.0003500000000000725,1.1109399999999998,2020-01-09 07:50:00,1,3.5000000000007248,40.8571428571344,2.0,1.591428571428656
C1,londres,lo,1,2020-01-09 09:05:00,1.11072,1.1106,0.00011999999999989797,1.1109599999999997,2020-01-09 08:05:00,1,1.1999999999989797,119.166666666768,2.0,0.8083333333323202
C2,londres,lo,1,2020-01-09 09:30:00,1.11138,1.1106,0.0007800000000000029,1.11294,2020-01-09 08:30:00,0,7.800000000000029,18.333333333333265,-1.0,-1.1833333333333327
C1,londres,hi,-1,2020-01-13 10:05:00,1.1129,1.11334,0.00043999999999999595,1.11202,2020-01-13 09:05:00,1,4.3999999999999595,32.5000000000003,2.0,1.6749999999999972
C2,londres,hi,-1,2020-01-13 10:10:00,1.11276,1.11334,0.0005800000000000249,1.1116,2020-01-13 09:10:00,1,5.800000000000249,24.655172413792044,2.0,1.7534482758620795
C1,londres,lo,1,2020-01-13 11:00:00,1.1117,1.11125,0.0004499999999998394,1.1125999999999996,2020-01-13 10:00:00,1,4.499999999998394,31.77777777778912,2.0,1.6822222222221088
C2,londres,lo,1,2020-01-13 11:05:00,1.11174,1.11125,0.0004899999999998794,1.1127199999999997,2020-01-13 10:05:00,1,4.899999999998794,29.183673469394936,2.0,1.7081632653060508
C1,londres,lo,1,2020-01-14 10:00:00,1.11325,1.11311,0.000140000000000029,1.1135300000000001,2020-01-14 09:00:00,0,1.40000000000029,102.142857142836,-1.0,-2.02142857142836
C2,londres,lo,1,2020-01-14 10:20:00,1.11354,1.11311,0.00042999999999993044,1.1143999999999998,2020-01-14 09:20:00,0,4.299999999999304,33.25581395349375,-1.0,-1.3325581395349375
C1,londres,hi,-1,2020-01-15 08:00:00,1.1136,1.11368,8.000000000008001e-05,1.1134399999999998,2020-01-15 07:00:00,0,0.8000000000008001,178.74999999982123,-1.0,-2.787499999998212
C2,londres,hi,-1,2020-01-15 08:05:00,1.11355,1.11368,0.00012999999999996348,1.1132900000000001,2020-01-15 07:05:00,1,1.2999999999996348,110.00000000003091,2.0,0.899999999999691
C1,londres,lo,1,2020-01-15 09:50:00,1.11278,1.11239,0.0003900000000001125,1.1135600000000003,2020-01-15 08:50:00,0,3.900000000001125,36.66666666665609,-1.0,-1.366666666666561
C2,londres,lo,1,2020-01-15 09:55:00,1.11279,1.11239,0.00039999999999995595,1.1135899999999999,2020-01-15 08:55:00,1,3.9999999999995595,35.750000000003936,2.0,1.6424999999999605
C1,londres,hi,-1,2020-01-16 09:50:00,1.11578,1.11604,0.00025999999999992696,1.1152600000000001,2020-01-16 08:50:00,0,2.5999999999992696,55.000000000015454,-1.0,-1.5500000000001544
C2,londres,hi,-1,2020-01-16 09:55:00,1.11578,1.11604,0.00025999999999992696,1.1152600000000001,2020-01-16 08:55:00,1,2.5999999999992696,55.000000000015454,2.0,1.4499999999998456
C1,londres,hi,-1,2020-01-20 08:05:00,1.11009,1.11013,4.0000000000040004e-05,1.11001,2020-01-20 07:05:00,0,0.40000000000040004,357.49999999964245,-1.0,-4.574999999996424
C2,londres,hi,-1,2020-01-20 08:10:00,1.11003,1.11013,9.999999999998899e-05,1.10983,2020-01-20 07:10:00,1,0.9999999999998899,143.00000000001575,2.0,0.5699999999998426
C1,londres,lo,1,2020-01-20 09:55:00,1.1089,1.10886,4.0000000000040004e-05,1.10898,2020-01-20 08:55:00,1,0.40000000000040004,357.49999999964245,2.0,-1.5749999999964244
C2,londres,lo,1,2020-01-20 10:50:00,1.10913,1.10886,0.00026999999999999247,1.10967,2020-01-20 09:50:00,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
C1,londres,lo,1,2020-01-21 09:15:00,1.10893,1.10864,0.00028999999999990145,1.1095099999999998,2020-01-21 08:15:00,0,2.8999999999990145,49.31034482760296,-1.0,-1.4931034482760297
C2,londres,lo,1,2020-01-21 09:35:00,1.109,1.10864,0.00035999999999991594,1.1097199999999998,2020-01-21 08:35:00,0,3.5999999999991594,39.722222222231494,-1.0,-1.397222222222315
C1,londres,hi,-1,2020-01-21 11:00:00,1.10967,1.11002,0.0003500000000000725,1.1089699999999998,2020-01-21 10:00:00,0,3.5000000000007248,40.8571428571344,-1.0,-1.408571428571344
C1,londres,lo,1,2020-01-22 08:25:00,1.10791,1.1077,0.00021000000000004349,1.10833,2020-01-22 07:25:00,1,2.100000000000435,68.09523809522399,2.0,1.31904761904776
C2,londres,lo,1,2020-01-22 08:35:00,1.10798,1.1077,0.000280000000000058,1.10854,2020-01-22 07:35:00,1,2.80000000000058,51.071428571418,2.0,1.48928571428582
C1,londres,hi,-1,2020-01-22 11:55:00,1.10859,1.10879,0.00019999999999997797,1.10819,2020-01-22 10:55:00,0,1.9999999999997797,71.50000000000787,-1.0,-1.7150000000000787
C2,londres,hi,-1,2020-01-22 12:00:00,1.10858,1.10879,0.00021000000000004349,1.1081599999999998,2020-01-22 11:00:00,0,2.100000000000435,68.09523809522399,-1.0,-1.68095238095224
C1,londres,lo,1,2020-01-23 10:30:00,1.10815,1.1079,0.00024999999999986144,1.1086499999999997,2020-01-23 09:30:00,1,2.4999999999986144,57.2000000000317,2.0,1.4279999999996829
C2,londres,lo,1,2020-01-23 10:35:00,1.10821,1.1079,0.00030999999999981043,1.1088299999999995,2020-01-23 09:35:00,1,3.0999999999981043,46.12903225809273,2.0,1.5387096774190727
C1,londres,lo,1,2020-01-24 08:35:00,1.10453,1.10428,0.0002500000000000835,1.1050300000000002,2020-01-24 07:35:00,1,2.500000000000835,57.199999999980896,2.0,1.428000000000191
C2,londres,lo,1,2020-01-24 08:40:00,1.10453,1.10428,0.0002500000000000835,1.1050300000000002,2020-01-24 07:40:00,1,2.500000000000835,57.199999999980896,2.0,1.428000000000191
C1,londres,hi,-1,2020-01-24 09:30:00,1.1055,1.10617,0.0006700000000001705,1.1041599999999996,2020-01-24 08:30:00,1,6.700000000001705,21.343283582084123,2.0,1.7865671641791587
C2,londres,hi,-1,2020-01-24 09:35:00,1.10543,1.10617,0.000740000000000185,1.1039499999999995,2020-01-24 08:35:00,1,7.4000000000018495,19.324324324319495,2.0,1.806756756756805
C1,londres,hi,-1,2020-01-27 08:25:00,1.10354,1.10367,0.00012999999999996348,1.10328,2020-01-27 07:25:00,0,1.2999999999996348,110.00000000003091,-1.0,-2.1000000000003087
C2,londres,hi,-1,2020-01-27 08:30:00,1.10337,1.10367,0.00029999999999996696,1.10277,2020-01-27 07:30:00,0,2.9999999999996696,47.666666666671915,-1.0,-1.4766666666667192
C1,londres,lo,1,2020-01-27 11:40:00,1.10249,1.10213,0.00035999999999991594,1.1032099999999998,2020-01-27 10:40:00,0,3.5999999999991594,39.722222222231494,-1.0,-1.397222222222315
C2,londres,lo,1,2020-01-27 11:45:00,1.10251,1.10213,0.00038000000000004697,1.1032700000000002,2020-01-27 10:45:00,0,3.8000000000004697,37.63157894736377,-1.0,-1.3763157894736378
C1,londres,lo,1,2020-01-28 08:05:00,1.10178,1.10157,0.00021000000000004349,1.1022,2020-01-28 07:05:00,0,2.100000000000435,68.09523809522399,-1.0,-1.68095238095224
C2,londres,lo,1,2020-01-28 08:40:00,1.10184,1.10157,0.00026999999999999247,1.10238,2020-01-28 07:40:00,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
C1,londres,lo,1,2020-01-30 08:20:00,1.10109,1.10084,0.00024999999999986144,1.1015899999999996,2020-01-30 07:20:00,1,2.4999999999986144,57.2000000000317,2.0,1.4279999999996829
C2,londres,lo,1,2020-01-30 08:25:00,1.10115,1.10084,0.00031000000000003247,1.1017700000000001,2020-01-30 07:25:00,1,3.1000000000003247,46.12903225805968,2.0,1.5387096774194031
C1,londres,hi,-1,2020-01-30 09:35:00,1.10172,1.10188,0.00015999999999993797,1.1014000000000002,2020-01-30 08:35:00,0,1.5999999999993797,89.37500000003465,-1.0,-1.8937500000003464
C2,londres,hi,-1,2020-01-30 09:40:00,1.1017,1.10188,0.000180000000000069,1.1013399999999998,2020-01-30 08:40:00,0,1.80000000000069,79.44444444441399,-1.0,-1.7944444444441399
C1,londres,lo,1,2020-01-31 08:10:00,1.10202,1.10178,0.00024000000000001798,1.1025,2020-01-31 07:10:00,1,2.4000000000001798,59.58333333332887,2.0,1.4041666666667112
C2,londres,lo,1,2020-01-31 08:15:00,1.10205,1.10178,0.00026999999999999247,1.10259,2020-01-31 07:15:00,1,2.6999999999999247,52.96296296296444,2.0,1.4703703703703557
C1,londres,hi,-1,2020-01-31 10:35:00,1.10322,1.10341,0.00018999999999991246,1.1028400000000003,2020-01-31 09:35:00,1,1.8999999999991246,75.26315789477152,2.0,1.2473684210522848
C2,londres,hi,-1,2020-01-31 10:40:00,1.10282,1.10341,0.0005900000000000905,1.1016399999999997,2020-01-31 09:40:00,0,5.9000000000009045,24.237288135589505,-1.0,-1.242372881355895
C1,londres,lo,1,2020-02-04 09:05:00,1.10565,1.10502,0.0006300000000001305,1.1069100000000003,2020-02-04 08:05:00,0,6.300000000001305,22.698412698408,-1.0,-1.22698412698408
C2,londres,lo,1,2020-02-04 09:10:00,1.10569,1.10502,0.0006700000000001705,1.1070300000000004,2020-02-04 08:10:00,0,6.700000000001705,21.343283582084123,-1.0,-1.2134328358208413
C1,londres,hi,-1,2020-02-05 09:30:00,1.10452,1.10464,0.00012000000000012001,1.1042799999999997,2020-02-05 08:30:00,1,1.2000000000012,119.16666666654748,2.0,0.8083333333345251
C2,londres,hi,-1,2020-02-05 09:35:00,1.10446,1.10464,0.000180000000000069,1.1040999999999999,2020-02-05 08:35:00,0,1.80000000000069,79.44444444441399,-1.0,-1.7944444444441399
C1,londres,hi,-1,2020-02-06 09:05:00,1.10011,1.10095,0.0008400000000001739,1.0984299999999996,2020-02-06 08:05:00,1,8.40000000000174,17.023809523805998,2.0,1.82976190476194
C2,londres,hi,-1,2020-02-06 09:20:00,1.09996,1.10095,0.0009900000000000464,1.09798,2020-02-06 08:20:00,1,9.900000000000464,14.444444444443768,2.0,1.8555555555555623
C1,londres,lo,1,2020-02-06 09:40:00,1.09969,1.09939,0.00029999999999996696,1.10029,2020-02-06 08:40:00,1,2.9999999999996696,47.666666666671915,2.0,1.5233333333332808
C2,londres,lo,1,2020-02-06 09:45:00,1.0997,1.09939,0.00030999999999981043,1.1003199999999995,2020-02-06 08:45:00,1,3.0999999999981043,46.12903225809273,2.0,1.5387096774190727
C1,londres,lo,1,2020-02-11 08:25:00,1.09091,1.09059,0.000320000000000098,1.0915500000000002,2020-02-11 07:25:00,0,3.20000000000098,44.687499999986315,-1.0,-1.4468749999998631
C2,londres,lo,1,2020-02-11 08:30:00,1.09102,1.09059,0.0004300000000001525,1.0918800000000004,2020-02-11 07:30:00,0,4.300000000001525,33.255813953476576,-1.0,-1.3325581395347657
C1,londres,hi,-1,2020-02-11 11:30:00,1.09155,1.0918,0.0002500000000000835,1.0910499999999999,2020-02-11 10:30:00,0,2.500000000000835,57.199999999980896,-1.0,-1.571999999999809
C2,londres,hi,-1,2020-02-11 11:35:00,1.09155,1.0918,0.0002500000000000835,1.0910499999999999,2020-02-11 10:35:00,0,2.500000000000835,57.199999999980896,-1.0,-1.571999999999809
C1,londres,lo,1,2020-02-12 08:00:00,1.09051,1.08972,0.0007900000000000684,1.0920900000000002,2020-02-12 07:00:00,0,7.900000000000684,18.101265822783244,-1.0,-1.1810126582278324
C2,londres,lo,1,2020-02-12 08:20:00,1.09062,1.08972,0.0008999999999999009,1.0924199999999997,2020-02-12 07:20:00,1,8.999999999999009,15.888888888890639,2.0,1.8411111111110936
C1,londres,hi,-1,2020-02-12 10:15:00,1.09191,1.09222,0.00031000000000003247,1.0912899999999999,2020-02-12 09:15:00,0,3.1000000000003247,46.12903225805968,-1.0,-1.4612903225805969
C2,londres,hi,-1,2020-02-12 10:20:00,1.09189,1.09222,0.00032999999999994145,1.0912300000000001,2020-02-12 09:20:00,1,3.2999999999994145,43.333333333341024,2.0,1.5666666666665898
C1,londres,hi,-1,2020-02-13 08:25:00,1.08761,1.08785,0.00024000000000001798,1.08713,2020-02-13 07:25:00,0,2.4000000000001798,59.58333333332887,-1.0,-1.5958333333332888
C2,londres,hi,-1,2020-02-13 08:30:00,1.08752,1.08785,0.00032999999999994145,1.0868600000000002,2020-02-13 07:30:00,0,3.2999999999994145,43.333333333341024,-1.0,-1.4333333333334102
C1,londres,lo,1,2020-02-13 13:40:00,1.08671,1.08606,0.0006500000000000394,1.0880100000000001,2020-02-13 12:40:00,0,6.500000000000394,21.999999999998664,-1.0,-1.2199999999999867
C2,londres,lo,1,2020-02-13 13:45:00,1.08676,1.08606,0.0006999999999999229,1.0881599999999998,2020-02-13 12:45:00,0,6.999999999999229,20.42857142857368,-1.0,-1.2042857142857368
C1,londres,hi,-1,2020-02-14 08:55:00,1.0841,1.08432,0.00021999999999988695,1.0836600000000003,2020-02-14 07:55:00,0,2.1999999999988695,65.0000000000334,-1.0,-1.6500000000003339
C2,londres,hi,-1,2020-02-14 09:00:00,1.08404,1.08432,0.000280000000000058,1.0834799999999998,2020-02-14 08:00:00,1,2.80000000000058,51.071428571418,2.0,1.48928571428582
C1,londres,hi,-1,2020-02-17 08:55:00,1.08406,1.08422,0.00015999999999993797,1.0837400000000001,2020-02-17 07:55:00,0,1.5999999999993797,89.37500000003465,-1.0,-1.8937500000003464
C2,londres,hi,-1,2020-02-17 09:00:00,1.08393,1.08422,0.00028999999999990145,1.0833500000000003,2020-02-17 08:00:00,0,2.8999999999990145,49.31034482760296,-1.0,-1.4931034482760297
C1,londres,hi,-1,2020-02-18 08:30:00,1.0835,1.08372,0.000220000000000109,1.0830599999999997,2020-02-18 07:30:00,0,2.20000000000109,64.9999999999678,-1.0,-1.649999999999678
