conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C1,londres,lo,1,2020-01-02 12:00:00,2020-01-02 11:00:00,1.12011,1.11927,0.0008399999999999519,1.1217899999999998,0,8.399999999999519,17.0238095238105,-1.0,-1.170238095238105
C2,londres,lo,1,2020-01-02 12:05:00,2020-01-02 11:05:00,1.12015,1.11927,0.0008799999999999919,1.12191,0,8.799999999999919,16.25000000000015,-1.0,-1.1625000000000014
C1,londres,lo,1,2020-01-02 12:05:00,2020-01-02 11:05:00,1.1202,1.12004,0.00016000000000016001,1.1205200000000004,0,1.6000000000016001,89.37499999991061,-1.0,-1.893749999999106
C1,londres,lo,1,2020-01-07 08:00:00,2020-01-07 07:00:00,1.11832,1.11782,0.0004999999999999449,1.1193199999999999,0,4.999999999999449,28.60000000000315,-1.0,-1.2860000000000316
C2,londres,lo,1,2020-01-07 08:05:00,2020-01-07 07:05:00,1.11833,1.11782,0.0005100000000000104,1.11935,0,5.1000000000001044,28.039215686273934,-1.0,-1.2803921568627392
C1,londres,lo,1,2020-01-07 08:05:00,2020-01-07 07:05:00,1.11828,1.11802,0.00025999999999992696,1.1187999999999998,0,2.5999999999992696,55.000000000015454,-1.0,-1.5500000000001544
C2,londres,lo,1,2020-01-07 08:10:00,2020-01-07 07:10:00,1.11835,1.11802,0.00032999999999994145,1.1190099999999998,0,3.2999999999994145,43.333333333341024,-1.0,-1.4333333333334102
C1,londres,lo,1,2020-01-07 09:30:00,2020-01-07 08:30:00,1.11834,1.11726,0.0010799999999999699,1.1204999999999998,0,10.799999999999699,13.24074074074111,-1.0,-1.132407407407411
C2,londres,lo,1,2020-01-07 09:35:00,2020-01-07 08:35:00,1.11842,1.11726,0.0011600000000000499,1.12074,0,11.600000000000499,12.327586206896022,-1.0,-1.1232758620689602
C1,londres,lo,1,2020-01-07 10:45:00,2020-01-07 09:45:00,1.11826,1.11805,0.00021000000000004349,1.1186800000000001,0,2.100000000000435,68.09523809522399,-1.0,-1.68095238095224
C2,londres,lo,1,2020-01-07 10:50:00,2020-01-07 09:50:00,1.11828,1.11805,0.00022999999999995246,1.1187399999999998,0,2.2999999999995246,62.17391304349111,-1.0,-1.6217391304349111
C1,londres,lo,1,2020-01-07 10:50:00,2020-01-07 09:50:00,1.11835,1.11808,0.00026999999999999247,1.11889,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
C2,londres,lo,1,2020-01-07 10:55:00,2020-01-07 09:55:00,1.11836,1.11808,0.000280000000000058,1.1189200000000001,0,2.80000000000058,51.071428571418,-1.0,-1.51071428571418
C1,londres,lo,1,2020-01-07 12:40:00,2020-01-07 11:40:00,1.11811,1.11648,0.0016300000000000203,1.12137,0,16.300000000000203,8.773006134969215,-1.0,-1.087730061349692
C2,londres,lo,1,2020-01-07 12:45:00,2020-01-07 11:45:00,1.11817,1.11648,0.0016900000000001913,1.1215500000000005,0,16.900000000001913,8.461538461537504,-1.0,-1.084615384615375
C1,londres,lo,1,2020-01-07 12:55:00,2020-01-07 11:55:00,1.11816,1.11777,0.0003900000000001125,1.1189400000000003,0,3.900000000001125,36.66666666665609,-1.0,-1.366666666666561
C2,londres,lo,1,2020-01-07 13:00:00,2020-01-07 12:00:00,1.1182,1.11777,0.0004300000000001525,1.1190600000000004,0,4.300000000001525,33.255813953476576,-1.0,-1.3325581395347657
