i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
322,2020-01-06 03:49:00,1,1.30841,1.30795,1.316,4.60000000000127,16.499999999995413,1,12H,1,-1.0,SL,-1.326086956521649,GBPUSD,0.3260869565216491
349,2020-01-06 08:19:00,1,1.30758,1.30628,1.316,12.999999999998568,6.476923076923863,1,12H,1,6.476923076923863,TP,6.361538461539235,GBPUSD,0.11538461538462809
354,2020-01-06 09:09:00,-1,1.11783,1.11824,1.11523,4.099999999997994,6.341463414637634,1,4H,2,-1.0,SL,-1.2926829268294115,EURUSD,0.2926829268294115
360,2020-01-06 10:09:00,-1,1.11901,1.11954,1.11523,5.299999999999194,7.132075471699418,1,4H,2,-1.0,SL,-1.226415094339657,EURUSD,0.22641509433965706
362,2020-01-06 10:29:00,-1,1.31586,1.31676,1.30633,8.999999999999009,10.588888888890098,1,4H,1,-1.0,SL,-1.166666666666685,GBPUSD,0.16666666666668503
364,2020-01-06 10:49:00,-1,1.31626,1.3174,1.30633,11.399999999999189,8.710526315790089,1,4H,1,-1.0,SL,-1.1315789473684303,GBPUSD,0.13157894736843043
355,2020-01-06 13:39:00,1,8731.3,8725.78,8844.68,5.519999999998618,20.539855072469095,1,12H,1,-1.0,SL,-1.2717391304348507,NAS100,0.27173913043485065
393,2020-01-06 15:39:00,-1,1.1185,1.11912,1.11597,6.199999999998429,4.080645161291588,1,4H,1,-1.0,SL,-1.1935483870968233,EURUSD,0.19354838709682323
393,2020-01-06 15:39:00,-1,1.31498,1.31583,1.30638,8.500000000000174,10.117647058823254,1,4H,2,-1.0,SL,-1.1764705882352904,GBPUSD,0.1764705882352905
362,2020-01-06 16:09:00,1,3233.049,3229.534,3245.955,3.5149999999998727,3.6716927453770745,1,12H,1,3.6716927453770745,TP,3.5009957325747925,SPX500,0.17069701280228214
367,2020-01-06 16:59:00,1,3232.4,3230.543,3245.955,1.856999999999971,7.299407646742083,1,12H,1,7.299407646742083,TP,6.976305869682305,SPX500,0.3231017770597789
401,2020-01-06 21:14:00,1,8832.79,8826.52,8887.99,6.270000000000437,8.803827751195385,1,1D,1,-1.0,SL,-1.2392344497607488,NAS100,0.2392344497607489
436,2020-01-07 04:49:00,1,8863.38,8857.72,8887.99,5.6599999999998545,4.348056537102688,1,1D,1,-1.0,SL,-1.2650176678445297,NAS100,0.2650176678445298
481,2020-01-07 06:19:00,-1,1.11848,1.11896,1.11571,4.8000000000003595,5.770833333332774,1,12H,1,-1.0,SL,-1.2499999999999813,EURUSD,0.24999999999998126
443,2020-01-07 07:19:00,-1,3249.952,3252.255,3240.934,2.3029999999998836,3.915762049500862,1,4H,2,-1.0,SL,-1.2605297438124317,SPX500,0.26052974381243177
454,2020-01-07 07:49:00,-1,8846.89,8852.19,8827.64,5.300000000001091,3.632075471697365,1,4H,2,-1.0,SL,-1.28301886792447,NAS100,0.28301886792447
493,2020-01-07 08:19:00,-1,1.11744,1.11791,1.11571,4.699999999999704,3.6808510638300387,1,12H,1,-1.0,SL,-1.2553191489361861,EURUSD,0.25531914893618624
459,2020-01-07 08:39:00,-1,8859.4,8866.59,8827.64,7.190000000000509,4.417246175243111,1,4H,2,-1.0,SL,-1.2086230876216821,NAS100,0.20862308762168202
488,2020-01-07 13:29:00,1,8853.89,8847.36,8887.99,6.529999999998836,5.222052067382304,1,1D,1,-1.0,SL,-1.229709035222093,NAS100,0.22970903522209302
496,2020-01-07 14:49:00,1,8828.89,8815.84,8887.99,13.049999999999272,4.528735632184189,1,1D,1,-1.0,SL,-1.1149425287356385,NAS100,0.1149425287356386
535,2020-01-07 15:19:00,1,108.446,108.405,108.63,4.099999999999682,4.487804878049068,1,1D,1,-1.0,SL,-1.317073170731732,USDJPY,0.31707317073173197
509,2020-01-07 16:59:00,1,8853.31,8847.83,8887.99,5.479999999999563,6.328467153285229,1,1D,1,-1.0,SL,-1.2737226277372482,NAS100,0.2737226277372481
579,2020-01-07 22:39:00,1,1.31155,1.31097,1.31643,5.800000000000249,8.413793103447906,1,4H,1,-1.0,SL,-1.2586206896551613,GBPUSD,0.2586206896551613
581,2020-01-07 22:59:00,-1,1.31134,1.3119399999999999,1.30633,5.999999999999339,8.35000000000085,1,1D,1,-1.0,SL,-1.2500000000000275,GBPUSD,0.25000000000002753
587,2020-01-07 23:59:00,-1,1.31134,1.31179,1.30633,4.500000000000615,11.133333333331722,1,1D,1,-1.0,SL,-1.3333333333332877,GBPUSD,0.3333333333332878
591,2020-01-08 00:39:00,1,107.709,107.64099999999999,108.629,6.800000000001205,13.529411764703509,2,4H,1,13.529411764703509,TP,13.338235294115307,USDJPY,0.19117647058820142
546,2020-01-08 00:49:00,1,8673.56,8659.97,8875.64,13.590000000000146,14.869757174392772,2,12H,2,14.869757174392772,TP,14.759381898454583,NAS100,0.11037527593818866
592,2020-01-08 00:49:00,1,1.31099,1.31052,1.31643,4.700000000001925,11.574468085101408,1,4H,1,11.574468085101408,TP,11.255319148931326,GBPUSD,0.31914893617008205
598,2020-01-08 01:49:00,-1,1.31141,1.31217,1.30633,7.600000000000939,6.684210526314929,1,1D,1,-1.0,SL,-1.1973684210526072,GBPUSD,0.19736842105260718
607,2020-01-08 03:19:00,1,108.378,108.315,108.63,6.300000000000239,3.9999999999997744,1,1D,1,-1.0,SL,-1.2063492063491985,USDJPY,0.20634920634919854
555,2020-01-08 03:39:00,-1,3226.44,3228.5,3208.634,2.0599999999999454,8.643689320388598,1,1D,1,-1.0,SL,-1.2912621359223377,SPX500,0.2912621359223378
575,2020-01-08 05:39:00,1,8796.46,8788.43,8875.64,8.029999999998836,9.860523038606695,2,12H,2,-1.0,SL,-1.1867995018680222,NAS100,0.1867995018680221
570,2020-01-08 06:09:00,-1,3222.646,3225.143,3208.634,2.4969999999998436,5.611533840609151,1,1D,1,-1.0,SL,-1.2402883460152334,SPX500,0.2402883460152333
635,2020-01-08 07:59:00,1,108.421,108.37599999999999,108.63,4.500000000001592,4.6444444444425566,1,1D,1,4.6444444444425566,TP,4.35555555555377,USDJPY,0.2888888888887867
635,2020-01-08 07:59:00,-1,1.31522,1.31632,1.30633,10.999999999998789,8.08181818181913,1,1D,1,-1.0,SL,-1.1363636363636513,GBPUSD,0.13636363636365137
589,2020-01-08 09:19:00,-1,3231.137,3234.155,3208.634,3.018000000000029,7.456262425447296,1,1D,1,-1.0,SL,-1.1988071570576522,SPX500,0.19880715705765215
596,2020-01-08 10:29:00,-1,3235.446,3238.44,3208.634,2.994000000000142,8.955243820974825,1,1D,1,-1.0,SL,-1.2004008016031968,SPX500,0.2004008016031969
609,2020-01-08 11:19:00,1,8847.9,8841.61,8872.21,6.289999999999054,3.864864864865365,2,12H,1,-1.0,SL,-1.2384737678855684,NAS100,0.23847376788556846
614,2020-01-08 12:09:00,1,8852.2,8847.49,8872.21,4.710000000000946,4.248407643310909,2,12H,1,-1.0,SL,-1.3184713375795538,NAS100,0.31847133757955387
606,2020-01-08 12:09:00,1,3241.2,3239.152,3248.5,2.0479999999997744,3.5644531250004814,1,12H,1,-1.0,SL,-1.2929687500000322,SPX500,0.29296875000003225
661,2020-01-08 12:19:00,-1,1.31147,1.31205,1.30633,5.800000000000249,8.862068965516727,1,1D,1,-1.0,SL,-1.2586206896551613,GBPUSD,0.2586206896551613
609,2020-01-08 12:39:00,1,3240.14,3237.952,3248.5,2.187999999999647,3.820840950640528,1,12H,1,-1.0,SL,-1.274223034734962,SPX500,0.27422303473496196
617,2020-01-08 12:39:00,1,8850.19,8844.59,8872.21,5.600000000000364,3.9321428571423547,2,12H,1,-1.0,SL,-1.2678571428571255,NAS100,0.2678571428571255
614,2020-01-08 13:29:00,-1,3243.937,3246.949,3208.634,3.012000000000171,11.720783532535817,1,1D,1,-1.0,SL,-1.1992031872509847,SPX500,0.1992031872509847
617,2020-01-08 13:59:00,1,3239.452,3236.455,3248.5,2.9970000000002983,3.0190190190186432,1,12H,1,-1.0,SL,-1.2002002002001801,SPX500,0.20020020020018026
679,2020-01-08 15:19:00,-1,1.3128,1.31347,1.30633,6.699999999999484,9.656716417911156,1,1D,1,9.656716417911156,TP,9.432835820896214,GBPUSD,0.22388059701494262
688,2020-01-08 16:49:00,-1,1.30944,1.31046,1.30633,10.200000000000209,3.049019607843022,1,1D,1,-1.0,SL,-1.1470588235294088,GBPUSD,0.14705882352940874
635,2020-01-08 16:59:00,-1,3257.6,3262.546,3208.634,4.945999999999913,9.90012131014977,1,1D,1,-1.0,SL,-1.1213101496158533,SPX500,0.12131014961585333
641,2020-01-08 17:59:00,-1,3258.234,3260.8,3208.634,2.5660000000002583,19.32969602493956,1,1D,1,-1.0,SL,-1.2338269680436242,SPX500,0.23382696804362416
730,2020-01-08 23:49:00,-1,109.064,109.108,108.616,4.400000000001114,10.181818181815451,1,4H,1,-1.0,SL,-1.2954545454544706,USDJPY,0.29545454545447064
793,2020-01-09 10:19:00,1,1.30277,1.30212,1.31694,6.500000000000394,21.7999999999987,1,4H,2,-1.0,SL,-1.2307692307692168,GBPUSD,0.23076923076921677
824,2020-01-09 15:29:00,1,1.30457,1.30381,1.31187,7.600000000000939,9.60526315789366,1,4H,1,-1.0,SL,-1.1973684210526072,GBPUSD,0.19736842105260718
826,2020-01-09 15:49:00,1,1.30433,1.3032,1.31187,11.300000000000754,6.672566371681061,1,4H,1,-1.0,SL,-1.1327433628318495,GBPUSD,0.13274336283184954
790,2020-01-09 19:09:00,1,8975.49,8970.42,9003.51,5.069999999999709,5.526627218935315,1,4H,1,-1.0,SL,-1.2958579881656975,NAS100,0.29585798816569747
935,2020-01-10 09:59:00,1,1.30675,1.30499,1.31233,17.599999999999838,3.170454545454528,1,12H,1,-1.0,SL,-1.0852272727272736,GBPUSD,0.08522727272727351
946,2020-01-10 11:49:00,-1,1.30723,1.30812,1.30126,8.900000000000574,6.707865168538678,1,12H,2,-1.0,SL,-1.1685393258426857,GBPUSD,0.16853932584268574
1007,2020-01-10 21:59:00,-1,1.30569,1.30653,1.30126,8.399999999999519,5.2738095238097475,1,12H,2,5.2738095238097475,TP,5.095238095238309,GBPUSD,0.1785714285714388
981,2020-01-13 08:49:00,-1,3274.752,3277.1,3256.055,2.3479999999999563,7.962947189097301,1,1D,1,-1.0,SL,-1.2555366269165296,SPX500,0.25553662691652945
1075,2020-01-13 09:19:00,-1,109.824,109.891,109.528,6.700000000000728,4.417910447760599,2,4H,1,-1.0,SL,-1.1940298507462477,USDJPY,0.1940298507462476
1098,2020-01-13 13:09:00,-1,109.875,109.92200000000001,109.012,4.7000000000011255,18.361702127655168,1,1D,1,-1.0,SL,-1.276595744680785,USDJPY,0.27659574468078485
1009,2020-01-13 13:29:00,-1,3275.734,3277.6,3256.055,1.8659999999999854,10.546087888531748,1,1D,1,-1.0,SL,-1.3215434083601312,SPX500,0.3215434083601311
1219,2020-01-14 09:19:00,1,1.29674,1.29611,1.30269,6.299999999999084,9.444444444445658,2,4H,2,9.444444444445658,TP,9.206349206350385,GBPUSD,0.23809523809527272
1145,2020-01-14 13:59:00,-1,3287.243,3289.437,3267.34,2.19399999999996,9.071558796718394,1,12H,2,-1.0,SL,-1.2734731084776714,SPX500,0.27347310847767137
1156,2020-01-14 15:49:00,-1,3284.346,3287.055,3267.34,2.7089999999998327,6.277593207826102,1,12H,2,-1.0,SL,-1.2214839424141886,SPX500,0.22148394241418864
1184,2020-01-14 17:49:00,-1,9069.65,9074.95,8987.83,5.300000000001091,15.43773584905337,1,12H,3,-1.0,SL,-1.28301886792447,NAS100,0.28301886792447
1169,2020-01-14 17:59:00,-1,3291.052,3293.346,3267.34,2.293999999999869,10.336530078466147,1,12H,2,-1.0,SL,-1.2615518744551153,SPX500,0.2615518744551152
1196,2020-01-14 19:49:00,-1,9055.01,9063.7,8987.83,8.69000000000051,7.730724971230881,1,12H,3,-1.0,SL,-1.1726121979286435,NAS100,0.17261219792864352
1202,2020-01-14 20:49:00,-1,9035.96,9049.2,8987.83,13.2400000000016,3.6351963746218567,1,12H,3,-1.0,SL,-1.113293051359503,NAS100,0.11329305135950292
1186,2020-01-14 20:49:00,-1,3281.6,3285.849,3267.34,4.249000000000251,3.3560837844196096,1,12H,2,-1.0,SL,-1.1412096963991445,SPX500,0.1412096963991444
1307,2020-01-14 23:59:00,1,109.852,109.80699999999999,110.212,4.500000000001592,7.999999999997158,1,12H,1,-1.0,SL,-1.2888888888887866,USDJPY,0.2888888888887867
1213,2020-01-15 02:59:00,-1,3278.9,3280.855,3267.34,1.9549999999999272,5.913043478261062,2,12H,2,-1.0,SL,-1.3069053708440013,SPX500,0.30690537084400116
1242,2020-01-15 07:59:00,-1,3283.555,3285.355,3267.34,1.800000000000182,9.008333333332251,2,12H,2,-1.0,SL,-1.3333333333332997,SPX500,0.3333333333332996
1358,2020-01-15 08:29:00,1,1.11231,1.11175,1.11469,5.599999999998939,4.250000000000892,1,1D,1,4.250000000000892,TP,4.0357142857151365,EURUSD,0.21428571428575488
1359,2020-01-15 08:39:00,1,1.30118,1.30028,1.3045,8.999999999999009,3.6888888888892835,1,1D,1,-1.0,SL,-1.166666666666685,GBPUSD,0.16666666666668503
