i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
49,2020-01-05 23:59:00,1,1.30768,1.30623,1.316,14.499999999999513,5.737931034483024,1,12H,1,5.737931034483024,TP,5.634482758620952,GBPUSD,0.10344827586207243
51,2020-01-06 01:59:00,1,1.30788,1.30741,1.316,4.699999999999704,17.276595744682208,1,12H,1,-1.0,SL,-1.3191489361702329,GBPUSD,0.3191489361702328
56,2020-01-06 06:59:00,1,1.30824,1.30674,1.316,15.000000000000568,5.17333333333313,1,12H,1,-1.0,SL,-1.0999999999999963,GBPUSD,0.09999999999999622
58,2020-01-06 13:59:00,1,8733.85,8722.19,8844.68,11.659999999999854,9.50514579759874,1,12H,1,-1.0,SL,-1.1286449399656964,NAS100,0.1286449399656963
57,2020-01-06 13:59:00,1,3217.843,3214.334,3245.955,3.5090000000000146,8.01139925904815,1,12H,1,-1.0,SL,-1.1709888857224273,SPX500,0.17098888572242732
67,2020-01-06 17:59:00,-1,1.31589,1.31755,1.30638,16.599999999999948,5.728915662650564,1,4H,2,-1.0,SL,-1.0903614457831328,GBPUSD,0.09036144578313281
75,2020-01-07 01:59:00,-1,1.11934,1.1198,1.11571,4.599999999999049,7.891304347827766,1,12H,1,7.891304347827766,TP,7.630434782610321,EURUSD,0.2608695652174452
83,2020-01-07 09:59:00,-1,1.11845,1.11906,1.11571,6.099999999999994,4.4918032786884705,1,12H,1,4.4918032786884705,TP,4.2950819672130605,EURUSD,0.19672131147541
95,2020-01-07 21:59:00,1,1.31189,1.31124,1.31643,6.500000000000394,6.984615384614943,1,4H,1,-1.0,SL,-1.2307692307692168,GBPUSD,0.23076923076921677
97,2020-01-07 23:59:00,1,1.31134,1.31037,1.31643,9.699999999999154,5.247422680412869,1,4H,1,5.247422680412869,TP,5.092783505155124,GBPUSD,0.15463917525774545
99,2020-01-08 11:59:00,-1,3240.634,3246.64,3208.634,6.005999999999858,5.328005328005454,1,1D,1,-1.0,SL,-1.0999000999001023,SPX500,0.09990009990010226
103,2020-01-08 15:59:00,-1,3242.237,3250.055,3208.634,7.817999999999756,4.298158096700066,1,1D,1,-1.0,SL,-1.0767459708365335,SPX500,0.07674597083653348
115,2020-01-08 17:59:00,-1,1.31048,1.31178,1.30633,12.999999999998568,3.1923076923081193,1,1D,1,-1.0,SL,-1.115384615384628,GBPUSD,0.11538461538462809
