i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
8754,2021-06-01 00:59:00,-1,1.22295,1.22355,1.21845,5.999999999999339,7.50000000000074,1,4H,1,-1.0,SL,-1.200000000000022,EURUSD
16670,2022-09-05 21:59:00,1,0.9929,0.99234,1.00335,5.600000000000049,18.66071428571405,1,1D,1,-1.0,SL,-1.2142857142857124,EURUSD
19076,2023-01-24 05:59:00,-1,1.08781,1.08835,1.08022,5.399999999999849,14.055555555555921,1,1D,1,-1.0,SL,-1.2222222222222283,EURUSD
19294,2023-02-06 08:59:00,1,1.07852,1.07737,1.08247,11.499999999999844,3.4347826086958033,1,4H,2,-1.0,SL,-1.104347826086958,EURUSD
19623,2023-02-27 16:59:00,-1,1.0595,1.06051,1.05485,10.099999999999554,4.60396039603985,1,4H,1,-1.0,SL,-1.118811881188124,EURUSD
19655,2023-03-01 13:59:00,-1,1.06711,1.06923,1.05891,21.199999999998997,3.8679245283020625,1,4H,1,3.8679245283020625,TP,3.811320754717154,EURUSD
19659,2023-03-01 21:59:00,-1,1.06668,1.06722,1.05651,5.399999999999849,18.833333333333883,1,12H,2,-1.0,SL,-1.2222222222222283,EURUSD
19672,2023-03-02 13:59:00,1,1.05858,1.05809,1.06406,4.900000000001015,11.183673469385296,1,1D,1,-1.0,SL,-1.2448979591836227,EURUSD
19676,2023-03-02 21:59:00,-1,1.05957,1.06013,1.05651,5.60000000000116,5.464285714284298,1,12H,2,-1.0,SL,-1.21428571428567,EURUSD
19708,2023-03-06 17:59:00,-1,1.0685,1.06952,1.06219,10.200000000000209,6.186274509803832,1,4H,1,6.186274509803832,TP,6.068627450980305,EURUSD
19775,2023-03-10 14:59:00,-1,1.06662,1.06753,1.05378,9.100000000001884,14.109890109887147,1,12H,1,-1.0,SL,-1.1318681318681045,EURUSD
19875,2023-03-20 11:59:00,-1,1.0705,1.07186,1.06116,13.600000000000279,6.8676470588233185,1,12H,1,-1.0,SL,-1.0882352941176452,EURUSD
19876,2023-03-20 13:59:00,-1,1.07267,1.07305,1.06311,3.8000000000004697,25.15789473683903,2,4H,1,-1.0,SL,-1.3157894736841715,EURUSD
19898,2023-03-21 23:59:00,-1,1.07678,1.07769,1.07038,9.099999999999664,7.0329670329672505,1,12H,1,-1.0,SL,-1.1318681318681367,EURUSD
19977,2023-03-28 13:59:00,-1,1.08242,1.08402,1.07449,16.00000000000046,4.956249999999853,1,12H,1,-1.0,SL,-1.074999999999998,EURUSD
19999,2023-03-29 23:59:00,-1,1.08425,1.08468,1.07987,4.300000000001525,10.186046511623896,1,12H,1,-1.0,SL,-1.2790697674417615,EURUSD
20063,2023-04-04 12:59:00,1,1.08911,1.08857,1.09257,5.399999999999849,6.407407407407621,1,1D,1,6.407407407407621,TP,6.185185185185392,EURUSD
20175,2023-04-13 13:59:00,-1,1.10645,1.10686,1.09112,4.100000000000215,37.39024390243669,1,12H,1,-1.0,SL,-1.292682926829253,EURUSD
20181,2023-04-14 00:59:00,-1,1.10543,1.10599,1.09112,5.60000000000116,25.55357142856582,1,12H,1,-1.0,SL,-1.21428571428567,EURUSD
20211,2023-04-17 17:59:00,1,1.09237,1.09106,1.09843,13.100000000001444,4.625954198472738,1,4H,5,4.625954198472738,TP,4.5343511450376335,EURUSD
20313,2023-04-25 17:59:00,1,1.09685,1.0963100000000001,1.10237,5.399999999999849,10.22222222222245,1,4H,1,10.22222222222245,TP,10.000000000000222,EURUSD
20345,2023-04-27 13:59:00,1,1.101,1.0991,1.1067,19.000000000000128,3.0,1,12H,2,-1.0,SL,-1.0631578947368416,EURUSD
20363,2023-04-28 15:59:00,-1,1.10394,1.10459,1.09658,6.500000000000394,11.323076923075945,1,1D,3,11.323076923075945,TP,11.138461538460572,EURUSD
20371,2023-05-01 04:59:00,-1,1.10062,1.10153,1.09658,9.099999999999664,4.439560439560408,1,1D,3,-1.0,SL,-1.1318681318681367,EURUSD
20397,2023-05-02 17:59:00,-1,1.09972,1.10045,1.09422,7.299999999998974,7.534246575343608,1,4H,1,-1.0,SL,-1.1643835616438587,EURUSD
20400,2023-05-02 23:59:00,-1,1.10107,1.10147,1.09422,3.9999999999995595,17.125000000001943,1,4H,1,-1.0,SL,-1.3000000000000331,EURUSD
20446,2023-05-05 12:59:00,1,1.09759,1.09657,1.10917,10.200000000000209,11.352941176470281,1,12H,1,-1.0,SL,-1.117647058823527,EURUSD
20449,2023-05-05 18:59:00,1,1.10263,1.10096,1.10917,16.700000000000603,3.9161676646705113,1,12H,1,-1.0,SL,-1.0718562874251472,EURUSD
20482,2023-05-09 16:59:00,1,1.09552,1.09482,1.10535,7.0000000000014495,14.042857142854242,1,12H,1,-1.0,SL,-1.171428571428536,EURUSD
20587,2023-05-17 19:59:00,1,1.08397,1.08359,1.09046,3.8000000000004697,17.07894736841864,1,12H,1,-1.0,SL,-1.3157894736841715,EURUSD
20603,2023-05-18 17:59:00,1,1.07666,1.07614,1.08178,5.199999999998539,9.846153846156637,1,4H,1,-1.0,SL,-1.2307692307692957,EURUSD
20686,2023-05-25 13:59:00,1,1.07133,1.07063,1.07948,6.999999999999229,11.64285714285857,1,12H,1,-1.0,SL,-1.1714285714285904,EURUSD
20772,2023-06-01 16:59:00,-1,1.07598,1.0765,1.06845,5.20000000000076,14.480769230767185,1,4H,1,-1.0,SL,-1.230769230769197,EURUSD
20773,2023-06-01 18:59:00,-1,1.07617,1.07694,1.06845,7.699999999999374,10.025974025975064,1,4H,1,-1.0,SL,-1.1558441558441686,EURUSD
20793,2023-06-04 23:59:00,1,1.06967,1.06927,1.07748,3.9999999999995595,19.525000000002386,1,4H,1,-1.0,SL,-1.3000000000000331,EURUSD
20822,2023-06-06 12:59:00,1,1.06705,1.06659,1.07789,4.60000000000127,23.565217391297757,1,1D,1,23.565217391297757,TP,23.304347826080438,EURUSD
20828,2023-06-07 00:59:00,-1,1.07004,1.07053,1.06832,4.899999999998794,3.510204081633855,1,12H,1,3.510204081633855,TP,3.2653061224501214,EURUSD
20858,2023-06-08 17:59:00,-1,1.0778,1.07866,1.07238,8.599999999998609,6.302325581396346,1,4H,1,-1.0,SL,-1.1395348837209527,EURUSD
20878,2023-06-12 00:59:00,-1,1.07453,1.07513,1.06966,5.999999999999339,8.116666666667443,1,12H,1,-1.0,SL,-1.200000000000022,EURUSD
20960,2023-06-16 19:59:00,-1,1.09351,1.09454,1.08036,10.300000000000864,12.76699029126106,1,12H,1,-1.0,SL,-1.1165048543689222,EURUSD
21009,2023-06-21 18:59:00,-1,1.09847,1.09909,1.09081,6.199999999998429,12.35483870968055,1,4H,1,-1.0,SL,-1.1935483870968233,EURUSD
21012,2023-06-22 00:59:00,-1,1.09883,1.09931,1.09229,4.8000000000003595,13.624999999998959,1,4H,1,-1.0,SL,-1.2499999999999813,EURUSD
21198,2023-07-07 00:59:00,1,1.08851,1.08813,1.09078,3.8000000000004697,5.973684210525563,1,12H,1,-1.0,SL,-1.3157894736841715,EURUSD
21208,2023-07-07 11:59:00,-1,1.08875,1.0897999999999999,1.08337,10.499999999997733,5.123809523810785,1,12H,1,-1.0,SL,-1.114285714285739,EURUSD
21212,2023-07-07 17:59:00,-1,1.09675,1.09741,1.08337,6.6000000000010495,20.27272727272397,1,12H,1,-1.0,SL,-1.1818181818181528,EURUSD
21227,2023-07-10 14:59:00,-1,1.09746,1.09812,1.08669,6.599999999998829,16.318181818184968,1,12H,1,-1.0,SL,-1.181818181818214,EURUSD
21262,2023-07-12 17:59:00,-1,1.11297,1.11335,1.10148,3.8000000000004697,30.23684210525942,1,4H,1,-1.0,SL,-1.3157894736841715,EURUSD
21263,2023-07-12 20:59:00,-1,1.11295,1.1139,1.10148,9.499999999997844,12.073684210529153,1,4H,1,-1.0,SL,-1.1263157894737128,EURUSD
21266,2023-07-13 00:59:00,-1,1.11383,1.1146099999999999,1.10148,7.799999999997809,15.833333333337889,1,4H,1,-1.0,SL,-1.153846153846197,EURUSD
21466,2023-07-28 18:59:00,1,1.10233,1.10149,1.11439,8.399999999999519,14.357142857143632,1,12H,1,-1.0,SL,-1.142857142857151,EURUSD
22188,2023-09-10 21:59:00,-1,1.0715,1.07208,1.06941,5.800000000000249,3.603448275861785,1,4H,1,-1.0,SL,-1.206896551724129,EURUSD
13442,2022-03-01 10:59:00,1,1.33918,1.33855,1.34386,6.300000000001305,7.428571428569918,1,1D,1,-1.0,SL,-1.2380952380951888,GBPUSD
16785,2022-09-12 17:59:00,-1,1.16964,1.171,1.15504,13.600000000000279,10.735294117646799,1,12H,1,-1.0,SL,-1.1102941176470567,GBPUSD
19588,2023-02-23 22:59:00,1,1.20165,1.20093,1.20689,7.200000000000539,7.27777777777711,1,4H,3,-1.0,SL,-1.2083333333333177,GBPUSD
19599,2023-02-24 11:59:00,1,1.1987,1.19797,1.20689,7.300000000001194,11.219178082189835,1,4H,3,-1.0,SL,-1.205479452054761,GBPUSD
19741,2023-03-08 23:59:00,1,1.18486,1.18372,1.20152,11.399999999999189,14.614035087720248,2,12H,1,-1.0,SL,-1.1315789473684303,GBPUSD
19757,2023-03-09 20:59:00,1,1.1918,1.19021,1.20152,15.899999999999803,6.113207547169856,2,12H,1,6.113207547169856,TP,6.018867924528346,GBPUSD
19770,2023-03-10 13:59:00,-1,1.20178,1.2046,1.18316,28.199999999998226,6.602836879433068,1,12H,1,-1.0,SL,-1.0531914893617054,GBPUSD
19790,2023-03-13 18:59:00,-1,1.2185,1.21993,1.20459,14.300000000000423,9.727272727272346,1,4H,1,-1.0,SL,-1.104895104895102,GBPUSD
19824,2023-03-15 17:59:00,-1,1.20761,1.20858,1.20459,9.699999999999154,3.113402061855965,1,12H,2,3.113402061855965,TP,2.9587628865982194,GBPUSD
19826,2023-03-15 21:59:00,1,1.2055,1.20447,1.21124,10.300000000000864,5.572815533980191,1,4H,1,5.572815533980191,TP,5.427184466019038,GBPUSD
19873,2023-03-20 14:59:00,-1,1.22548,1.22608,1.21666,6.00000000000156,14.699999999995892,2,4H,1,-1.0,SL,-1.249999999999935,GBPUSD
19874,2023-03-20 16:59:00,-1,1.22673,1.22801,1.22127,12.799999999999478,4.26562500000019,2,4H,1,-1.0,SL,-1.1171875000000049,GBPUSD
19875,2023-03-20 18:59:00,-1,1.22768,1.22814,1.22127,4.599999999999049,13.93478260869859,2,4H,1,-1.0,SL,-1.3260869565218065,GBPUSD
