i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
188,2020-01-13 18:59:00,-1,1.11396,1.11458,1.1085,6.199999999998429,8.80645161290549,1,12H,1,-1.0,SL,-1.1935483870968233,EURUSD
235,2020-01-15 17:59:00,-1,1.11576,1.11624,1.11045,4.799999999998139,11.062500000004597,1,12H,1,-1.0,SL,-1.2500000000000968,EURUSD
299,2020-01-20 09:59:00,1,1.10896,1.10811,1.11282,8.500000000000174,4.541176470588113,1,12H,3,-1.0,SL,-1.1411764705882324,EURUSD
312,2020-01-20 22:59:00,1,1.10968,1.10924,1.11282,4.3999999999999595,7.136363636363522,2,12H,3,-1.0,SL,-1.2727272727272751,EURUSD
313,2020-01-20 23:59:00,1,1.10962,1.10923,1.11282,3.900000000001125,8.205128205125504,2,12H,3,-1.0,SL,-1.307692307692219,EURUSD
323,2020-01-21 09:59:00,1,1.10905,1.10845,1.11425,6.00000000000156,8.666666666664199,1,1D,1,-1.0,SL,-1.199999999999948,EURUSD
332,2020-01-21 18:59:00,1,1.10924,1.1088500000000001,1.11179,3.8999999999989043,6.538461538463509,2,4H,1,-1.0,SL,-1.307692307692394,EURUSD
366,2020-01-23 04:59:00,1,1.10852,1.10799,1.11179,5.299999999999194,6.169811320755855,1,1D,1,-1.0,SL,-1.226415094339657,EURUSD
368,2020-01-23 06:59:00,1,1.10851,1.10799,1.11179,5.20000000000076,6.30769230769129,1,1D,1,-1.0,SL,-1.230769230769197,EURUSD
371,2020-01-23 09:59:00,1,1.10843,1.1078000000000001,1.11179,6.299999999999084,5.3333333333341555,1,1D,1,-1.0,SL,-1.1904761904762182,EURUSD
402,2020-01-24 16:59:00,1,1.1025,1.10185,1.10617,6.500000000000394,5.646153846153599,1,4H,1,-1.0,SL,-1.1846153846153733,EURUSD
467,2020-01-29 09:59:00,1,1.10021,1.09935,1.10375,8.599999999998609,4.116279069768223,1,1D,2,-1.0,SL,-1.1395348837209527,EURUSD
469,2020-01-29 11:59:00,1,1.10015,1.09961,1.10375,5.399999999999849,6.6666666666669405,1,1D,2,-1.0,SL,-1.2222222222222283,EURUSD
504,2020-01-30 22:59:00,-1,1.10315,1.1036299999999999,1.10152,4.799999999998139,3.3958333333346924,1,4H,1,-1.0,SL,-1.2500000000000968,EURUSD
707,2020-02-12 09:59:00,1,1.09203,1.09104,1.0955,9.900000000000464,3.5050505050502014,2,12H,3,-1.0,SL,-1.1212121212121156,EURUSD
734,2020-02-13 12:59:00,1,1.08638,1.08521,1.09217,11.699999999998933,4.948717948718557,1,12H,1,-1.0,SL,-1.102564102564112,EURUSD
736,2020-02-13 14:59:00,1,1.08553,1.08466,1.09217,8.700000000001484,7.632183908044651,1,12H,1,-1.0,SL,-1.1379310344827351,EURUSD
763,2020-02-14 17:59:00,1,1.08433,1.08318,1.08877,11.499999999999844,3.860869565217443,1,12H,1,-1.0,SL,-1.104347826086958,EURUSD
814,2020-02-18 20:59:00,1,1.07958,1.07898,1.08367,5.999999999999339,6.816666666667296,1,4H,1,-1.0,SL,-1.200000000000022,EURUSD
845,2020-02-20 03:59:00,1,1.07969,1.07906,1.08373,6.300000000001305,6.412698412697154,1,1D,1,-1.0,SL,-1.190476190476151,EURUSD
849,2020-02-20 07:59:00,1,1.07905,1.07768,1.08373,13.700000000000934,3.416058394160364,1,1D,1,3.416058394160364,TP,3.3284671532844574,EURUSD
853,2020-02-20 11:59:00,1,1.07963,1.07864,1.08373,9.900000000000464,4.141414141413939,1,1D,1,-1.0,SL,-1.1212121212121156,EURUSD
860,2020-02-20 18:59:00,1,1.07935,1.07898,1.08373,3.6999999999998145,11.837837837838567,1,1D,1,-1.0,SL,-1.3243243243243406,EURUSD
862,2020-02-20 20:59:00,1,1.07896,1.0783800000000001,1.08373,5.799999999998029,8.224137931037559,1,1D,1,-1.0,SL,-1.2068965517242083,EURUSD
917,2020-02-25 03:59:00,-1,1.08628,1.08685,1.0814,5.700000000001815,8.561403508769196,1,4H,1,-1.0,SL,-1.2105263157894066,EURUSD
956,2020-02-26 18:59:00,1,1.08814,1.08737,1.09086,7.7000000000015945,3.532467532466585,1,4H,1,3.532467532466585,TP,3.3766233766224616,EURUSD
1004,2020-02-28 18:59:00,1,1.10006,1.0989200000000001,1.10449,11.399999999999189,3.8859649122809206,1,4H,1,3.8859649122809206,TP,3.7807017543861763,EURUSD
1276,2020-03-17 00:59:00,-1,1.11692,1.11741,1.10942,4.900000000001015,15.306122448976096,2,4H,3,-1.0,SL,-1.2448979591836227,EURUSD
1324,2020-03-19 00:59:00,1,1.09086,1.0884800000000001,1.10052,23.799999999998267,4.058823529412061,1,4H,2,-1.0,SL,-1.0504201680672305,EURUSD
1340,2020-03-19 16:59:00,1,1.06837,1.0654,1.09363,29.700000000001392,8.505050505050127,1,4H,1,-1.0,SL,-1.0404040404040384,EURUSD
1357,2020-03-20 09:59:00,1,1.07367,1.0705,1.08394,31.69999999999895,3.2397476340695084,1,12H,2,-1.0,SL,-1.0378548895899067,EURUSD
1364,2020-03-20 16:59:00,1,1.06665,1.06524,1.08394,14.100000000001334,12.262411347516434,1,12H,2,-1.0,SL,-1.0851063829787153,EURUSD
1381,2020-03-23 09:59:00,1,1.06915,1.06661,1.08309,25.399999999999867,5.488188976378006,2,12H,1,5.488188976378006,TP,5.440944881889817,EURUSD
1382,2020-03-23 10:59:00,1,1.06852,1.06654,1.08309,19.799999999998708,7.358585858586437,2,12H,1,7.358585858586437,TP,7.297979797980372,EURUSD
1413,2020-03-24 17:59:00,1,1.07586,1.07493,1.09818,9.300000000000974,23.999999999997375,1,1D,1,-1.0,SL,-1.1290322580645027,EURUSD
1416,2020-03-24 20:59:00,1,1.07829,1.07633,1.09818,19.599999999999618,10.147959183673649,1,1D,1,-1.0,SL,-1.0612244897959195,EURUSD
1423,2020-03-25 03:59:00,1,1.08113,1.0802100000000001,1.09818,9.199999999998099,18.532608695656016,1,1D,1,-1.0,SL,-1.1304347826087227,EURUSD
