i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
312,2020-01-20 22:59:00,1,1.10968,1.10924,1.11232,4.3999999999999595,6.0,1,4H,1,-1.0,SL,-1.2727272727272751,EURUSD
1263,2020-03-16 11:59:00,-1,1.11659,1.12014,1.08319,35.49999999999942,9.408450704225471,1,4H,6,9.408450704225471,TP,9.374647887324063,EURUSD
4174,2020-09-01 20:59:00,-1,1.19113,1.19157,1.17229,4.3999999999999595,42.81818181818214,2,4H,2,-1.0,SL,-1.2727272727272751,EURUSD
5788,2020-12-06 22:59:00,-1,1.2127,1.21318,1.17229,4.8000000000003595,84.18749999999335,2,4H,2,-1.0,SL,-1.2499999999999813,EURUSD
6469,2021-01-17 22:59:00,-1,1.20774,1.20848,1.17229,7.399999999999629,47.905405405407784,2,4H,2,-1.0,SL,-1.1621621621621703,EURUSD
7274,2021-03-04 11:59:00,-1,1.20345,1.205,1.17219,15.500000000001624,20.167741935481658,1,12H,1,-1.0,SL,-1.0774193548387017,EURUSD
7429,2021-03-14 20:59:00,1,1.19489,1.19429,1.20455,5.999999999999339,16.100000000001778,1,4H,1,-1.0,SL,-1.200000000000022,EURUSD
7488,2021-03-17 07:59:00,1,1.1898,1.18851,1.20455,12.900000000000134,11.434108527131697,1,4H,1,-1.0,SL,-1.0930232558139525,EURUSD
7722,2021-03-31 03:59:00,1,1.17071,1.17034,1.20455,3.6999999999998145,91.4594594594643,1,4H,1,14.405405405406281,tiempo,14.08108108108194,EURUSD
7911,2021-04-12 00:59:00,1,1.18973,1.18932,1.20455,4.100000000000215,36.146341463412874,1,4H,1,-1.0,SL,-1.292682926829253,EURUSD
8004,2021-04-15 21:59:00,1,1.19663,1.1962,1.20455,4.300000000001525,18.41860465115609,1,4H,1,-1.0,SL,-1.2790697674417615,EURUSD
8313,2021-05-04 19:59:00,1,1.20151,1.20083,1.20455,6.800000000000139,4.470588235293926,1,4H,1,-1.0,SL,-1.1764705882352904,EURUSD
8315,2021-05-04 21:59:00,1,1.20117,1.20063,1.20455,5.399999999999849,6.25925925925932,1,4H,1,-1.0,SL,-1.2222222222222283,EURUSD
9829,2021-08-02 19:59:00,-1,1.18709,1.18759,1.17219,4.999999999999449,29.80000000000311,1,12H,1,-1.0,SL,-1.2400000000000264,EURUSD
