i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
617,2020-02-06 15:59:00,1,1.09767,1.09634,1.10336,13.299999999998313,4.278195488722327,1,4H,1,-1.0,SL,-1.090225563909786,EURUSD
696,2020-02-11 22:59:00,1,1.09185,1.09128,1.10041,5.699999999999594,15.017543859650408,1,4H,1,-1.0,SL,-1.2105263157894885,EURUSD
888,2020-02-23 22:59:00,1,1.08296,1.08122,1.10041,17.399999999998528,10.028735632184864,1,4H,1,-1.0,SL,-1.0689655172413852,EURUSD
1128,2020-03-08 20:59:00,-1,1.1347,1.13577,1.09907,10.699999999999044,33.29906542056377,2,4H,2,-1.0,SL,-1.1121495327102904,EURUSD
2207,2020-05-10 21:59:00,1,1.08325,1.08229,1.09822,9.600000000000719,15.593749999998757,2,4H,3,-1.0,SL,-1.1249999999999907,EURUSD
2327,2020-05-17 21:59:00,1,1.08158,1.08057,1.09822,10.099999999999554,16.47524752475319,2,4H,3,-1.0,SL,-1.118811881188124,EURUSD
2687,2020-06-07 21:59:00,-1,1.12959,1.13076,1.12112,11.699999999998933,7.23931623931707,2,1D,3,-1.0,SL,-1.102564102564112,EURUSD
2708,2020-06-08 18:59:00,-1,1.13036,1.13095,1.12112,5.899999999998684,15.661016949156268,2,1D,3,-1.0,SL,-1.20338983050852,EURUSD
2760,2020-06-10 22:59:00,-1,1.13771,1.13818,1.12112,4.699999999999704,35.29787234042797,2,1D,3,-1.0,SL,-1.2553191489361861,EURUSD
3415,2020-07-20 05:59:00,-1,1.14523,1.14568,1.12112,4.500000000000615,53.57777777777063,1,1D,3,-1.0,SL,-1.2666666666666302,EURUSD
3512,2020-07-24 06:59:00,-1,1.16142,1.16181,1.12112,3.900000000001125,103.33333333330354,1,1D,3,-1.0,SL,-1.307692307692219,EURUSD
3804,2020-08-11 10:59:00,-1,1.17908,1.1809,1.12112,18.20000000000155,31.846153846151143,1,1D,3,-1.0,SL,-1.0659340659340604,EURUSD
3862,2020-08-13 20:59:00,-1,1.18131,1.18174,1.17229,4.299999999999304,20.97674418604997,3,4H,3,-1.0,SL,-1.2790697674419056,EURUSD
4174,2020-09-01 20:59:00,-1,1.19113,1.19157,1.18836,4.3999999999999595,6.295454545454465,3,4H,3,-1.0,SL,-1.2727272727272751,EURUSD
4413,2020-09-15 19:59:00,-1,1.18464,1.18552,1.17219,8.799999999999919,14.147727272727233,2,12H,3,-1.0,SL,-1.1363636363636376,EURUSD
