i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
75,2020-01-07 01:59:00,-1,1.11934,1.1198,1.11571,4.599999999999049,7.891304347827766,1,12H,1,7.891304347827766,TP,7.630434782610321,EURUSD
83,2020-01-07 09:59:00,-1,1.11845,1.11906,1.11571,6.099999999999994,4.4918032786884705,1,12H,1,4.4918032786884705,TP,4.2950819672130605,EURUSD
111,2020-01-08 13:59:00,1,1.11199,1.11101,1.11682,9.799999999999809,4.928571428571412,1,4H,1,-1.0,SL,-1.122448979591839,EURUSD
132,2020-01-09 10:59:00,1,1.11096,1.10956,1.11682,13.999999999998458,4.18571428571473,1,4H,1,-1.0,SL,-1.0857142857142952,EURUSD
157,2020-01-10 11:59:00,1,1.1093,1.1084,1.11682,8.999999999999009,8.355555555556444,1,4H,1,3.8333333333337034,tiempo,3.7000000000003554,EURUSD
165,2020-01-10 19:59:00,1,1.1122,1.11161,1.11682,5.9000000000009045,7.830508474574811,1,4H,1,-1.0,SL,-1.2033898305084434,EURUSD
168,2020-01-12 22:59:00,1,1.11166,1.11118,1.11682,4.8000000000003595,10.749999999998844,1,4H,1,-1.0,SL,-1.2499999999999813,EURUSD
176,2020-01-13 06:59:00,1,1.11287,1.1124,1.11682,4.699999999999704,8.404255319149248,1,4H,1,-1.0,SL,-1.2553191489361861,EURUSD
178,2020-01-13 08:59:00,1,1.1128,1.1119,1.11682,8.999999999999009,4.466666666667061,1,4H,1,-1.0,SL,-1.133333333333348,EURUSD
180,2020-01-13 10:59:00,1,1.11167,1.11115,1.11682,5.199999999998539,9.903846153848914,1,4H,1,-1.0,SL,-1.2307692307692957,EURUSD
184,2020-01-13 14:59:00,1,1.1124,1.11165,1.11682,7.500000000000284,5.893333333332935,1,4H,1,-1.0,SL,-1.159999999999994,EURUSD
195,2020-01-14 01:59:00,1,1.11371,1.1130200000000001,1.11682,6.899999999998574,4.507246376812447,1,4H,1,-1.0,SL,-1.1739130434782967,EURUSD
204,2020-01-14 10:59:00,1,1.11339,1.11274,1.11682,6.500000000000394,5.276923076922483,1,4H,1,-1.0,SL,-1.1846153846153733,EURUSD
312,2020-01-20 22:59:00,1,1.10968,1.10924,1.11425,4.3999999999999595,10.386363636363647,1,1D,2,-1.0,SL,-1.2727272727272751,EURUSD
313,2020-01-20 23:59:00,1,1.10962,1.10923,1.11425,3.900000000001125,11.871794871791222,1,1D,2,-1.0,SL,-1.307692307692219,EURUSD
323,2020-01-21 09:59:00,1,1.10905,1.10845,1.11425,6.00000000000156,8.666666666664199,1,1D,2,-1.0,SL,-1.199999999999948,EURUSD
332,2020-01-21 18:59:00,1,1.10924,1.1088500000000001,1.11425,3.8999999999989043,12.84615384615735,1,1D,2,-1.0,SL,-1.307692307692394,EURUSD
350,2020-01-22 12:59:00,1,1.10835,1.10761,1.11179,7.399999999999629,4.64864864864903,2,12H,3,-1.0,SL,-1.1621621621621703,EURUSD
353,2020-01-22 15:59:00,1,1.10754,1.1069,1.11179,6.399999999999739,6.640625000000407,2,12H,3,-1.0,SL,-1.1875000000000075,EURUSD
366,2020-01-23 04:59:00,1,1.10852,1.10799,1.11179,5.299999999999194,6.169811320755855,2,1D,3,-1.0,SL,-1.226415094339657,EURUSD
368,2020-01-23 06:59:00,1,1.10851,1.10799,1.11179,5.20000000000076,6.30769230769129,2,1D,3,-1.0,SL,-1.230769230769197,EURUSD
371,2020-01-23 09:59:00,1,1.10843,1.1078000000000001,1.11179,6.299999999999084,5.3333333333341555,2,1D,3,-1.0,SL,-1.1904761904762182,EURUSD
384,2020-01-23 22:59:00,1,1.10553,1.10504,1.11179,4.899999999998794,12.77551020408509,1,1D,1,-1.0,SL,-1.2448979591837337,EURUSD
396,2020-01-24 10:59:00,1,1.10374,1.10306,1.11179,6.800000000000139,11.83823529411757,1,1D,1,-1.0,SL,-1.1764705882352904,EURUSD
402,2020-01-24 16:59:00,1,1.1025,1.10185,1.11179,6.500000000000394,14.292307692306856,1,1D,1,-1.0,SL,-1.1846153846153733,EURUSD
467,2020-01-29 09:59:00,1,1.10021,1.09935,1.10375,8.599999999998609,4.116279069768223,2,1D,2,-1.0,SL,-1.1395348837209527,EURUSD
469,2020-01-29 11:59:00,1,1.10015,1.09961,1.10375,5.399999999999849,6.6666666666669405,2,1D,2,-1.0,SL,-1.2222222222222283,EURUSD
479,2020-01-29 21:59:00,1,1.10098,1.10006,1.10375,9.200000000000319,3.0108695652172206,2,1D,2,3.0108695652172206,TP,2.8804347826085293,EURUSD
494,2020-01-30 12:59:00,-1,1.10227,1.10282,1.09923,5.499999999998284,5.527272727274731,1,4H,1,-1.0,SL,-1.2181818181818862,EURUSD
500,2020-01-30 18:59:00,-1,1.10345,1.10395,1.09923,4.999999999999449,8.440000000001154,1,4H,1,-1.0,SL,-1.2400000000000264,EURUSD
534,2020-02-03 04:59:00,-1,1.10817,1.10859,1.1023,4.199999999998649,13.97619047619507,1,4H,1,-1.0,SL,-1.2857142857143775,EURUSD
536,2020-02-03 06:59:00,-1,1.10824,1.10872,1.1023,4.8000000000003595,12.374999999998728,1,4H,1,12.374999999998728,TP,12.124999999998748,EURUSD
547,2020-02-03 17:59:00,-1,1.10585,1.10673,1.1023,8.799999999999919,4.034090909090881,1,4H,1,4.034090909090881,TP,3.897727272727243,EURUSD
568,2020-02-04 14:59:00,1,1.10444,1.10398,1.10641,4.60000000000127,4.282608695650568,1,4H,1,-1.0,SL,-1.2608695652173192,EURUSD
572,2020-02-04 18:59:00,1,1.10409,1.10355,1.10641,5.399999999999849,4.296296296296189,1,4H,1,-1.0,SL,-1.2222222222222283,EURUSD
596,2020-02-05 18:59:00,1,1.10022,1.09979,1.10276,4.299999999999304,5.906976744186971,3,12H,2,-1.0,SL,-1.2790697674419056,EURUSD
603,2020-02-06 01:59:00,1,1.09981,1.09933,1.10276,4.8000000000003595,6.14583333333289,3,12H,2,-1.0,SL,-1.2499999999999813,EURUSD
613,2020-02-06 11:59:00,1,1.10001,1.09945,1.10276,5.599999999998939,4.91071428571527,3,12H,2,-1.0,SL,-1.2142857142857548,EURUSD
668,2020-02-10 18:59:00,1,1.09136,1.09083,1.10276,5.300000000001415,21.509433962258136,2,12H,2,-1.0,SL,-1.2264150943395622,EURUSD
679,2020-02-11 05:59:00,1,1.09122,1.09068,1.10276,5.399999999999849,21.37037037037075,2,12H,2,-1.0,SL,-1.2222222222222283,EURUSD
707,2020-02-12 09:59:00,1,1.09203,1.09104,1.09527,9.900000000000464,3.2727272727270282,2,12H,3,-1.0,SL,-1.1212121212121156,EURUSD
771,2020-02-17 01:59:00,1,1.08365,1.08324,1.08764,4.100000000000215,9.73170731707251,3,4H,4,-1.0,SL,-1.292682926829253,EURUSD
788,2020-02-17 18:59:00,1,1.08327,1.0829,1.08509,3.6999999999998145,4.918918918919584,3,4H,4,-1.0,SL,-1.3243243243243406,EURUSD
795,2020-02-18 01:59:00,1,1.08276,1.08219,1.08509,5.699999999999594,4.087719298246195,3,4H,4,-1.0,SL,-1.2105263157894885,EURUSD
814,2020-02-18 20:59:00,1,1.07958,1.07898,1.08509,5.999999999999339,9.183333333334554,3,4H,4,-1.0,SL,-1.200000000000022,EURUSD
860,2020-02-20 18:59:00,1,1.07935,1.07898,1.08211,3.6999999999998145,7.459459459459492,3,4H,4,-1.0,SL,-1.3243243243243406,EURUSD
862,2020-02-20 20:59:00,1,1.07896,1.0783800000000001,1.08211,5.799999999998029,5.431034482760443,3,4H,4,-1.0,SL,-1.2068965517242083,EURUSD
914,2020-02-25 00:59:00,1,1.08517,1.08471,1.0872,4.599999999999049,4.41304347826173,2,4H,4,-1.0,SL,-1.2608695652174453,EURUSD
917,2020-02-25 03:59:00,-1,1.08628,1.08685,1.08414,5.700000000001815,3.75438596491075,1,4H,2,3.75438596491075,TP,3.543859649121343,EURUSD
932,2020-02-25 18:59:00,-1,1.08768,1.08837,1.0845,6.900000000000794,4.608695652173325,1,4H,1,-1.0,SL,-1.1739130434782408,EURUSD
933,2020-02-25 19:59:00,-1,1.08815,1.08912,1.0845,9.700000000001374,3.7628865979375403,1,4H,1,-1.0,SL,-1.123711340206168,EURUSD
936,2020-02-25 22:59:00,1,1.08809,1.08759,1.09184,4.999999999999449,7.500000000000666,1,12H,4,-1.0,SL,-1.2400000000000264,EURUSD
956,2020-02-26 18:59:00,1,1.08814,1.08737,1.09184,7.7000000000015945,4.805194805193569,1,12H,4,4.805194805193569,TP,4.649350649349445,EURUSD
