i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
312,2020-01-20 22:59:00,1,1.10968,1.10924,1.11291,4.3999999999999595,7.340909090909308,1,4H,1,-1.0,SL,-1.2727272727272751,EURUSD
696,2020-02-11 22:59:00,1,1.09185,1.09128,1.09833,5.699999999999594,11.36842105263246,1,12H,1,-1.0,SL,-1.2105263157894885,EURUSD
888,2020-02-23 22:59:00,1,1.08296,1.08122,1.09833,17.399999999998528,8.833333333334142,1,12H,1,-1.0,SL,-1.0689655172413852,EURUSD
1490,2020-03-30 00:59:00,-1,1.11047,1.11393,1.06527,34.600000000000186,13.063583815028869,2,12H,1,5.147398843930638,tiempo,5.112716763005783,EURUSD
1727,2020-04-12 21:59:00,-1,1.09409,1.09492,1.06527,8.299999999998864,34.722891566269894,2,12H,1,-1.0,SL,-1.1445783132530318,EURUSD
2183,2020-05-07 21:59:00,-1,1.08315,1.08394,1.07271,7.899999999998464,13.215189873420297,1,12H,6,-1.0,SL,-1.1518987341772446,EURUSD
2207,2020-05-10 21:59:00,1,1.08325,1.08229,1.09994,9.600000000000719,17.38541666666523,2,4H,3,-1.0,SL,-1.1249999999999907,EURUSD
2327,2020-05-17 21:59:00,1,1.08158,1.08057,1.08538,10.099999999999554,3.762376237623954,2,4H,3,-1.0,SL,-1.118811881188124,EURUSD
2567,2020-05-31 21:59:00,-1,1.1113,1.11204,1.07271,7.399999999999629,52.14864864865113,1,12H,6,-1.0,SL,-1.1621621621621703,EURUSD
2687,2020-06-07 21:59:00,-1,1.12959,1.13076,1.10809,11.699999999998933,18.376068376070116,2,4H,6,-1.0,SL,-1.102564102564112,EURUSD
2708,2020-06-08 18:59:00,-1,1.13036,1.13095,1.10809,5.899999999998684,37.74576271187284,2,4H,6,-1.0,SL,-1.20338983050852,EURUSD
2760,2020-06-10 22:59:00,-1,1.13771,1.13818,1.10809,4.699999999999704,63.0212765957486,2,4H,6,-1.0,SL,-1.2553191489361861,EURUSD
3015,2020-06-25 13:59:00,-1,1.12166,1.1222699999999999,1.10809,6.099999999997774,22.245901639352514,1,4H,1,-1.0,SL,-1.1967213114754816,EURUSD
3047,2020-06-28 21:59:00,1,1.12231,1.12139,1.13405,9.199999999998099,12.76086956522012,1,12H,2,-1.0,SL,-1.1304347826087227,EURUSD
3407,2020-07-19 21:59:00,1,1.14183,1.14074,1.1452,10.899999999998133,3.091743119266672,1,4H,5,3.091743119266672,TP,2.981651376147387,EURUSD
3415,2020-07-20 05:59:00,-1,1.14523,1.14568,1.12547,4.500000000000615,43.911111111105114,1,1D,1,-1.0,SL,-1.2666666666666302,EURUSD
3512,2020-07-24 06:59:00,-1,1.16142,1.16181,1.12547,3.900000000001125,92.17948717946041,1,1D,1,-1.0,SL,-1.307692307692219,EURUSD
3804,2020-08-11 10:59:00,-1,1.17908,1.1809,1.15812,18.20000000000155,11.516483516482465,1,1D,1,-1.0,SL,-1.0659340659340604,EURUSD
3862,2020-08-13 20:59:00,-1,1.18131,1.18174,1.15812,4.299999999999304,53.93023255814836,1,1D,1,-1.0,SL,-1.2790697674419056,EURUSD
4174,2020-09-01 20:59:00,-1,1.19113,1.19157,1.17817,4.3999999999999595,29.45454545454591,2,1D,2,-1.0,SL,-1.2727272727272751,EURUSD
4413,2020-09-15 19:59:00,-1,1.18464,1.18552,1.17817,8.799999999999919,7.3522727272727675,2,1D,2,-1.0,SL,-1.1363636363636376,EURUSD
