i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
32,2020-01-03 06:59:00,1,1.11691,1.11628,1.1203,6.300000000001305,5.380952380951273,2,4H,2,-1.0,SL,-1.190476190476151,EURUSD
45,2020-01-03 19:59:00,1,1.11673,1.11602,1.12141,7.099999999999884,6.59154929577478,1,12H,2,-1.0,SL,-1.169014084507045,EURUSD
323,2020-01-21 09:59:00,1,1.10905,1.10845,1.11411,6.00000000000156,8.433333333330879,1,1D,1,-1.0,SL,-1.199999999999948,EURUSD
332,2020-01-21 18:59:00,1,1.10924,1.1088500000000001,1.11411,3.8999999999989043,12.487179487182816,1,1D,1,-1.0,SL,-1.307692307692394,EURUSD
366,2020-01-23 04:59:00,1,1.10852,1.10799,1.11179,5.299999999999194,6.169811320755855,1,1D,1,-1.0,SL,-1.226415094339657,EURUSD
368,2020-01-23 06:59:00,1,1.10851,1.10799,1.11179,5.20000000000076,6.30769230769129,1,1D,1,-1.0,SL,-1.230769230769197,EURUSD
371,2020-01-23 09:59:00,1,1.10843,1.1078000000000001,1.11179,6.299999999999084,5.3333333333341555,1,1D,1,-1.0,SL,-1.1904761904762182,EURUSD
384,2020-01-23 22:59:00,1,1.10553,1.10504,1.11179,4.899999999998794,12.77551020408509,1,1D,1,-1.0,SL,-1.2448979591837337,EURUSD
707,2020-02-12 09:59:00,1,1.09203,1.09104,1.09574,9.900000000000464,3.7474747474744508,1,1D,1,-1.0,SL,-1.1212121212121156,EURUSD
788,2020-02-17 18:59:00,1,1.08327,1.0829,1.08509,3.6999999999998145,4.918918918919584,1,4H,1,-1.0,SL,-1.3243243243243406,EURUSD
814,2020-02-18 20:59:00,1,1.07958,1.07898,1.08611,5.999999999999339,10.883333333334406,1,1D,1,-1.0,SL,-1.200000000000022,EURUSD
849,2020-02-20 07:59:00,1,1.07905,1.07768,1.08372,13.700000000000934,3.408759124087324,1,1D,2,3.408759124087324,TP,3.3211678832114173,EURUSD
853,2020-02-20 11:59:00,1,1.07963,1.07864,1.08372,9.900000000000464,4.131313131312864,1,1D,2,-1.0,SL,-1.1212121212121156,EURUSD
860,2020-02-20 18:59:00,1,1.07935,1.07898,1.08372,3.6999999999998145,11.810810810811363,1,1D,2,-1.0,SL,-1.3243243243243406,EURUSD
862,2020-02-20 20:59:00,1,1.07896,1.0783800000000001,1.08372,5.799999999998029,8.206896551727095,1,1D,2,-1.0,SL,-1.2068965517242083,EURUSD
900,2020-02-24 10:59:00,1,1.08158,1.08119,1.08321,3.8999999999989043,4.179487179488405,1,4H,1,4.179487179488405,TP,3.8717948717960113,EURUSD
917,2020-02-25 03:59:00,-1,1.08628,1.08685,1.0813,5.700000000001815,8.736842105260349,1,4H,4,-1.0,SL,-1.2105263157894066,EURUSD
956,2020-02-26 18:59:00,1,1.08814,1.08737,1.09086,7.7000000000015945,3.532467532466585,1,4H,1,3.532467532466585,TP,3.3766233766224616,EURUSD
960,2020-02-26 22:59:00,-1,1.08823,1.0887,1.08549,4.699999999999704,5.829787234042844,1,4H,1,-1.0,SL,-1.2553191489361861,EURUSD
1004,2020-02-28 18:59:00,1,1.10006,1.0989200000000001,1.1053,11.399999999999189,4.596491228070425,1,4H,1,4.596491228070425,TP,4.491228070175681,EURUSD
1080,2020-03-04 22:59:00,1,1.11332,1.11295,1.11726,3.6999999999998145,10.648648648648729,1,4H,1,-1.0,SL,-1.3243243243243406,EURUSD
1086,2020-03-05 04:59:00,1,1.11383,1.11347,1.11726,3.60000000000138,9.52777777777363,1,4H,1,-1.0,SL,-1.3333333333332056,EURUSD
1214,2020-03-12 10:59:00,1,1.1237,1.12105,1.13667,26.49999999999819,4.894339622641899,1,12H,1,-1.0,SL,-1.0452830188679276,EURUSD
1357,2020-03-20 09:59:00,1,1.07367,1.0705,1.09475,31.69999999999895,6.649842271293592,1,12H,3,-1.0,SL,-1.0378548895899067,EURUSD
1364,2020-03-20 16:59:00,1,1.06665,1.06524,1.09475,14.100000000001334,19.929078014182366,1,12H,3,-1.0,SL,-1.0851063829787153,EURUSD
1381,2020-03-23 09:59:00,1,1.06915,1.06661,1.08309,25.399999999999867,5.488188976378006,1,12H,1,5.488188976378006,TP,5.440944881889817,EURUSD
1382,2020-03-23 10:59:00,1,1.06852,1.06654,1.08309,19.799999999998708,7.358585858586437,1,12H,1,7.358585858586437,TP,7.297979797980372,EURUSD
1396,2020-03-24 00:59:00,-1,1.07934,1.08237,1.06664,30.300000000000882,4.191419141914047,1,4H,3,-1.0,SL,-1.0396039603960385,EURUSD
1519,2020-03-31 05:59:00,1,1.10181,1.10065,1.1106,11.600000000000499,7.577586206896291,1,12H,3,-1.0,SL,-1.1034482758620645,EURUSD
1525,2020-03-31 11:59:00,1,1.09519,1.09255,1.1106,26.400000000001977,5.837121212120746,1,12H,3,-1.0,SL,-1.045454545454542,EURUSD
1537,2020-03-31 23:59:00,-1,1.10259,1.10382,1.09649,12.300000000000644,4.959349593495671,1,4H,2,4.959349593495671,TP,4.86178861788592,EURUSD
1540,2020-04-01 02:59:00,1,1.10245,1.10046,1.1106,19.899999999999363,4.0954773869348555,1,12H,3,-1.0,SL,-1.0603015075376905,EURUSD
1541,2020-04-01 03:59:00,-1,1.10195,1.1032,1.09649,12.499999999999734,4.36800000000011,2,4H,2,-1.0,SL,-1.096000000000002,EURUSD
1565,2020-04-02 03:59:00,1,1.09389,1.0929200000000001,1.10329,9.699999999999154,9.690721649485459,1,12H,1,-1.0,SL,-1.1237113402061965,EURUSD
