i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
312,2020-01-20 22:59:00,1,1.10968,1.10924,1.11291,4.3999999999999595,7.340909090909308,1,4H,1,-1.0,SL,-1.2727272727272751,EURUSD
2183,2020-05-07 21:59:00,-1,1.08315,1.08394,1.06375,7.899999999998464,24.556962025321337,1,4H,1,-1.0,SL,-1.1518987341772446,EURUSD
3047,2020-06-28 21:59:00,1,1.12231,1.12139,1.13405,9.199999999998099,12.76086956522012,1,12H,2,-1.0,SL,-1.1304347826087227,EURUSD
6853,2021-02-08 22:59:00,1,1.20517,1.20459,1.21469,5.800000000000249,16.413793103447524,2,1D,1,12.258620689654558,tiempo,12.051724137930428,EURUSD
6885,2021-02-10 06:59:00,1,1.21271,1.2122,1.21469,5.1000000000001044,3.882352941176573,2,1D,1,-1.0,SL,-1.235294117647054,EURUSD
7429,2021-03-14 20:59:00,1,1.19489,1.19429,1.21469,5.999999999999339,33.0000000000037,2,1D,1,-1.0,SL,-1.200000000000022,EURUSD
7488,2021-03-17 07:59:00,1,1.1898,1.18851,1.21469,12.900000000000134,19.294573643410715,2,1D,1,-1.0,SL,-1.0930232558139525,EURUSD
7722,2021-03-31 03:59:00,1,1.17071,1.17034,1.21469,3.6999999999998145,118.86486486487118,2,1D,1,14.405405405406281,tiempo,14.08108108108194,EURUSD
7911,2021-04-12 00:59:00,1,1.18973,1.18932,1.21469,4.100000000000215,60.878048780484846,2,1D,1,-1.0,SL,-1.292682926829253,EURUSD
8004,2021-04-15 21:59:00,1,1.19663,1.1962,1.21469,4.300000000001525,41.99999999998502,2,1D,1,-1.0,SL,-1.2790697674417615,EURUSD
8148,2021-04-25 21:59:00,1,1.20943,1.20902,1.21469,4.100000000000215,12.82926829268236,2,1D,1,-1.0,SL,-1.292682926829253,EURUSD
8313,2021-05-04 19:59:00,1,1.20151,1.20083,1.22031,6.800000000000139,27.647058823528738,1,4H,1,-1.0,SL,-1.1764705882352904,EURUSD
8315,2021-05-04 21:59:00,1,1.20117,1.20063,1.22031,5.399999999999849,35.44444444444531,1,4H,1,-1.0,SL,-1.2222222222222283,EURUSD
8387,2021-05-09 21:59:00,1,1.21665,1.2159,1.22031,7.500000000000284,4.879999999999811,1,4H,1,-1.0,SL,-1.159999999999994,EURUSD
9615,2021-07-20 21:59:00,1,1.17808,1.17766,1.18822,4.20000000000087,24.142857142852232,1,4H,1,-1.0,SL,-1.2857142857142265,EURUSD
9639,2021-07-21 21:59:00,1,1.17952,1.17881,1.18822,7.099999999999884,12.253521126760978,1,4H,1,-1.0,SL,-1.169014084507045,EURUSD
9687,2021-07-25 21:59:00,1,1.17704,1.17661,1.18822,4.300000000001525,25.999999999990706,1,4H,1,-1.0,SL,-1.2790697674417615,EURUSD
10719,2021-09-22 21:59:00,1,1.1693,1.16844,1.17888,8.60000000000083,11.139534883719765,2,1D,2,-1.0,SL,-1.1395348837209167,EURUSD
10863,2021-09-30 21:59:00,1,1.15802,1.15731,1.17888,7.099999999999884,29.380281690141153,2,1D,2,-1.0,SL,-1.169014084507045,EURUSD
11007,2021-10-10 21:59:00,1,1.15715,1.15652,1.17888,6.299999999999084,34.49206349206855,2,1D,2,-1.0,SL,-1.1904761904762182,EURUSD
11127,2021-10-17 21:59:00,1,1.15994,1.15893,1.17888,10.099999999999554,18.75247524752554,2,1D,2,-1.0,SL,-1.118811881188124,EURUSD
11286,2021-10-26 12:59:00,1,1.16176,1.16101,1.17888,7.499999999998064,22.82666666667259,1,1D,2,-1.0,SL,-1.1600000000000412,EURUSD
11737,2021-11-22 08:59:00,1,1.1265,1.12588,1.13405,6.200000000000649,12.177419354837346,3,12H,3,-1.0,SL,-1.1935483870967538,EURUSD
11775,2021-11-23 22:59:00,1,1.12491,1.12419,1.13405,7.200000000000539,12.694444444443391,3,12H,3,-1.0,SL,-1.166666666666654,EURUSD
11799,2021-11-24 22:59:00,1,1.12001,1.11934,1.13405,6.699999999999484,20.955223880598705,3,12H,3,13.417910447762306,tiempo,13.238805970150352,EURUSD
11854,2021-11-29 05:59:00,1,1.12782,1.12716,1.13405,6.6000000000010495,9.439393939392374,3,12H,3,-1.0,SL,-1.1818181818181528,EURUSD
12399,2021-12-29 22:59:00,1,1.13473,1.13425,1.17888,4.8000000000003595,91.9791666666596,1,1D,2,-1.0,SL,-1.2499999999999813,EURUSD
12855,2022-01-25 22:59:00,1,1.13016,1.12932,1.13405,8.399999999999519,4.630952380952586,2,12H,2,-1.0,SL,-1.142857142857151,EURUSD
13167,2022-02-13 22:59:00,1,1.1342,1.13355,1.17888,6.500000000000394,68.7384615384571,1,1D,2,-1.0,SL,-1.1846153846153733,EURUSD
13239,2022-02-16 22:59:00,1,1.13755,1.13703,1.17888,5.20000000000076,79.48076923075736,1,1D,2,-1.0,SL,-1.230769230769197,EURUSD
14246,2022-04-17 21:59:00,1,1.0808,1.07999,1.10339,8.099999999999774,27.888888888889802,3,1D,2,-1.0,SL,-1.1481481481481524,EURUSD
14432,2022-04-27 15:59:00,1,1.05453,1.05135,1.10339,31.799999999999606,15.364779874214067,3,1D,2,-1.0,SL,-1.0377358490566042,EURUSD
15062,2022-06-02 21:59:00,1,1.07471,1.07428,1.10339,4.300000000001525,66.69767441858109,2,1D,2,-1.0,SL,-1.2790697674417615,EURUSD
15446,2022-06-26 21:58:00,1,1.05522,1.05447,1.10339,7.500000000000284,64.2266666666643,2,1D,2,-1.0,SL,-1.159999999999994,EURUSD
15686,2022-07-10 21:59:00,1,1.01795,1.01687,1.10339,10.799999999999699,79.11111111111349,2,1D,2,-1.0,SL,-1.1111111111111143,EURUSD
15998,2022-07-27 21:59:00,1,1.02002,1.01925,1.10339,7.699999999999374,108.27272727273629,2,1D,2,-1.0,SL,-1.1558441558441686,EURUSD
16574,2022-08-30 21:59:00,1,1.00161,1.0011,1.10339,5.099999999997884,199.5686274510636,2,1D,2,-1.0,SL,-1.2352941176471564,EURUSD
16670,2022-09-05 21:59:00,1,0.9929,0.99234,1.10339,5.600000000000049,197.30357142856985,2,1D,2,-1.0,SL,-1.2142857142857124,EURUSD
16718,2022-09-07 21:58:00,1,1.00077,0.99979,1.10339,9.799999999999809,104.71428571428791,2,1D,2,-1.0,SL,-1.122448979591839,EURUSD
16886,2022-09-18 21:59:00,1,1.00131,1.00062,1.10339,6.899999999998574,147.94202898553806,2,1D,2,-1.0,SL,-1.1739130434782967,EURUSD
16996,2022-09-23 11:59:00,1,0.97511,0.97378,1.10339,13.300000000000534,96.45112781954505,2,1D,2,-1.0,SL,-1.0902255639097709,EURUSD
17198,2022-10-05 21:59:00,1,0.98843,0.98643,1.10339,20.000000000000018,57.47999999999998,2,1D,2,-1.0,SL,-1.06,EURUSD
17558,2022-10-26 21:59:00,1,1.00809,1.0071,1.10339,9.899999999998244,96.26262626264351,1,1D,1,-1.0,SL,-1.1212121212121426,EURUSD
17654,2022-11-01 20:59:00,1,0.98746,0.98709,1.10339,3.6999999999998145,313.3243243243403,1,1D,1,-1.0,SL,-1.3243243243243406,EURUSD
18038,2022-11-23 22:59:00,1,1.03957,1.03904,1.10339,5.300000000001415,120.41509433959048,1,1D,1,-1.0,SL,-1.2264150943395622,EURUSD
18182,2022-12-01 22:59:00,1,1.05216,1.05146,1.10339,6.999999999999229,73.1857142857225,1,1D,1,-1.0,SL,-1.1714285714285904,EURUSD
18208,2022-12-05 00:59:00,-1,1.05426,1.05488,0.97048,6.200000000000649,135.1290322580503,1,12H,2,-1.0,SL,-1.1935483870967538,EURUSD
18254,2022-12-06 22:59:00,1,1.04654,1.0461,1.10339,4.3999999999999595,129.2045454545468,1,1D,1,-1.0,SL,-1.2727272727272751,EURUSD
18278,2022-12-07 22:59:00,1,1.05071,1.05001,1.10339,6.999999999999229,75.25714285715124,1,1D,1,-1.0,SL,-1.1714285714285904,EURUSD
18780,2023-01-05 21:59:00,1,1.05202,1.05145,1.0619,5.699999999999594,17.33333333333476,2,4H,1,-1.0,SL,-1.2105263157894885,EURUSD
18900,2023-01-12 21:59:00,-1,1.08516,1.0856,0.97048,4.3999999999999595,260.6363636363658,1,12H,2,-1.0,SL,-1.2727272727272751,EURUSD
19021,2023-01-19 22:59:00,1,1.08299,1.08255,1.10339,4.3999999999999595,46.363636363637234,1,1D,1,-1.0,SL,-1.2727272727272751,EURUSD
19164,2023-01-29 22:59:00,1,1.0865,1.08585,1.10339,6.500000000000394,25.984615384613917,1,1D,1,-1.0,SL,-1.1846153846153733,EURUSD
19294,2023-02-06 08:59:00,1,1.07852,1.07737,1.10339,11.499999999999844,21.62608695652218,1,1D,1,-1.0,SL,-1.104347826086958,EURUSD
19404,2023-02-12 22:59:00,-1,1.06777,1.06831,0.97048,5.399999999999849,180.1666666666719,1,12H,2,-1.0,SL,-1.2222222222222283,EURUSD
19540,2023-02-20 20:59:00,-1,1.06844,1.06883,1.06661,3.8999999999989043,4.692307692309006,2,4H,2,4.692307692309006,TP,4.384615384616612,EURUSD
19643,2023-02-28 22:59:00,1,1.05788,1.05716,1.10339,7.199999999998319,63.208333333348314,1,1D,1,-1.0,SL,-1.1666666666667056,EURUSD
19656,2023-03-01 15:59:00,1,1.06721,1.06424,1.10339,29.69999999999917,12.181818181818556,1,1D,1,-1.0,SL,-1.0404040404040416,EURUSD
19690,2023-03-03 14:59:00,-1,1.06135,1.06304,0.97048,16.899999999999693,53.76923076923175,1,12H,2,-1.0,SL,-1.0710059171597646,EURUSD
19691,2023-03-03 16:59:00,1,1.06159,1.05914,1.10339,24.500000000000632,17.061224489795503,1,1D,1,-1.0,SL,-1.0489795918367335,EURUSD
19729,2023-03-08 00:59:00,1,1.05502,1.05409,1.06065,9.300000000000974,6.053763440859607,2,4H,1,-1.0,SL,-1.1290322580645027,EURUSD
19776,2023-03-10 16:59:00,-1,1.06585,1.06883,0.97048,29.799999999999827,32.00335570469816,1,12H,2,-1.0,SL,-1.040268456375839,EURUSD
19880,2023-03-20 21:59:00,1,1.07224,1.07183,1.10339,4.100000000000215,75.97560975609362,1,1D,1,-1.0,SL,-1.292682926829253,EURUSD
19898,2023-03-21 23:59:00,-1,1.07678,1.07769,0.97048,9.099999999999664,116.8131868131912,1,12H,2,-1.0,SL,-1.1318681318681367,EURUSD
19911,2023-03-22 16:59:00,-1,1.0794,1.08007,0.97048,6.700000000001705,162.56716417906298,1,12H,2,-1.0,SL,-1.1791044776118946,EURUSD
