i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
7911,2021-04-12 00:59:00,1,1.18973,1.18932,1.19103,4.100000000000215,3.1707317073170995,1,4H,1,-1.0,SL,-1.292682926829253,EURUSD
16574,2022-08-30 21:59:00,1,1.00161,1.0011,1.00898,5.099999999997884,14.450980392163052,2,1D,4,-1.0,SL,-1.2352941176471564,EURUSD
16646,2022-09-04 21:59:00,1,0.99211,0.99143,1.00898,6.800000000000139,24.808823529411168,1,1D,4,-1.0,SL,-1.1764705882352904,EURUSD
16670,2022-09-05 21:59:00,1,0.9929,0.99234,1.00335,5.600000000000049,18.66071428571405,2,12H,4,-1.0,SL,-1.2142857142857124,EURUSD
19076,2023-01-24 05:59:00,-1,1.08781,1.08835,1.08022,5.399999999999849,14.055555555555921,1,1D,1,-1.0,SL,-1.2222222222222283,EURUSD
19592,2023-02-23 22:59:00,1,1.05953,1.05917,1.06638,3.60000000000138,19.02777777777055,1,12H,1,-1.0,SL,-1.3333333333332056,EURUSD
19605,2023-02-24 14:59:00,1,1.05475,1.05349,1.05959,12.600000000000389,3.8412698412696873,1,4H,1,-1.0,SL,-1.0952380952380922,EURUSD
19627,2023-02-28 00:59:00,-1,1.06096,1.06158,1.05554,6.200000000000649,8.741935483870021,1,4H,2,-1.0,SL,-1.1935483870967538,EURUSD
19639,2023-02-28 14:59:00,-1,1.06342,1.06416,1.05328,7.399999999999629,13.70270270270344,1,12H,1,-1.0,SL,-1.1621621621621703,EURUSD
19643,2023-02-28 22:59:00,1,1.05788,1.05716,1.06406,7.199999999998319,8.58333333333544,1,4H,1,-1.0,SL,-1.1666666666667056,EURUSD
19659,2023-03-01 21:59:00,-1,1.06668,1.06722,1.06254,5.399999999999849,7.6666666666669405,1,4H,2,-1.0,SL,-1.2222222222222283,EURUSD
19676,2023-03-02 21:59:00,-1,1.05957,1.06013,1.05651,5.60000000000116,5.464285714284298,1,12H,1,-1.0,SL,-1.21428571428567,EURUSD
19729,2023-03-08 00:59:00,1,1.05502,1.05409,1.06719,9.300000000000974,13.086021505374989,1,4H,1,-1.0,SL,-1.1290322580645027,EURUSD
19775,2023-03-10 14:59:00,-1,1.06662,1.06753,1.05378,9.100000000001884,14.109890109887147,1,12H,1,-1.0,SL,-1.1318681318681045,EURUSD
19776,2023-03-10 16:59:00,-1,1.06585,1.06883,1.05378,29.799999999999827,4.050335570469831,1,12H,1,-1.0,SL,-1.040268456375839,EURUSD
19779,2023-03-12 20:59:00,-1,1.0694,1.06978,1.05806,3.8000000000004697,29.842105263153957,2,4H,1,-1.0,SL,-1.3157894736841715,EURUSD
19875,2023-03-20 11:59:00,-1,1.0705,1.07186,1.06122,13.600000000000279,6.823529411764533,1,12H,1,-1.0,SL,-1.0882352941176452,EURUSD
