i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins
19,2020-01-02 17:59:00,1,1.11698,1.11625,1.12141,7.300000000001194,6.068493150683848,1,4H,1,-1.0,SL,-1.1643835616438087,EURUSD
48,2020-01-05 22:59:00,-1,1.11594,1.11677,1.11249,8.300000000001084,4.156626506023497,1,12H,1,-1.0,SL,-1.1445783132529932,EURUSD
49,2020-01-05 23:59:00,-1,1.11604,1.11687,1.11249,8.300000000001084,4.277108433734311,1,12H,1,-1.0,SL,-1.1445783132529932,EURUSD
107,2020-01-08 09:59:00,1,1.11383,1.11243,1.11831,14.000000000000679,3.1999999999997146,1,4H,1,-1.0,SL,-1.0857142857142816,EURUSD
313,2020-01-20 23:59:00,1,1.10962,1.10923,1.11425,3.900000000001125,11.871794871791222,1,1D,1,-1.0,SL,-1.307692307692219,EURUSD
323,2020-01-21 09:59:00,1,1.10905,1.10845,1.11425,6.00000000000156,8.666666666664199,1,1D,1,-1.0,SL,-1.199999999999948,EURUSD
332,2020-01-21 18:59:00,1,1.10924,1.1088500000000001,1.11425,3.8999999999989043,12.84615384615735,1,1D,1,-1.0,SL,-1.307692307692394,EURUSD
366,2020-01-23 04:59:00,1,1.10852,1.10799,1.11179,5.299999999999194,6.169811320755855,1,1D,1,-1.0,SL,-1.226415094339657,EURUSD
368,2020-01-23 06:59:00,1,1.10851,1.10799,1.11179,5.20000000000076,6.30769230769129,1,1D,1,-1.0,SL,-1.230769230769197,EURUSD
371,2020-01-23 09:59:00,1,1.10843,1.1078000000000001,1.11179,6.299999999999084,5.3333333333341555,1,1D,1,-1.0,SL,-1.1904761904762182,EURUSD
373,2020-01-23 11:59:00,-1,1.10903,1.10958,1.107,5.5000000000005045,3.690909090908709,1,12H,1,-1.0,SL,-1.2181818181817983,EURUSD
384,2020-01-23 22:59:00,1,1.10553,1.10504,1.11087,4.899999999998794,10.8979591836764,2,4H,1,-1.0,SL,-1.2448979591837337,EURUSD
467,2020-01-29 09:59:00,1,1.10021,1.09935,1.10375,8.599999999998609,4.116279069768223,1,1D,2,-1.0,SL,-1.1395348837209527,EURUSD
469,2020-01-29 11:59:00,1,1.10015,1.09961,1.10375,5.399999999999849,6.6666666666669405,1,1D,2,-1.0,SL,-1.2222222222222283,EURUSD
479,2020-01-29 21:59:00,1,1.10098,1.10006,1.10375,9.200000000000319,3.0108695652172206,1,1D,2,3.0108695652172206,TP,2.8804347826085293,EURUSD
504,2020-01-30 22:59:00,-1,1.10315,1.1036299999999999,1.10152,4.799999999998139,3.3958333333346924,1,4H,2,-1.0,SL,-1.2500000000000968,EURUSD
707,2020-02-12 09:59:00,1,1.09203,1.09104,1.09527,9.900000000000464,3.2727272727270282,2,12H,3,-1.0,SL,-1.1212121212121156,EURUSD
845,2020-02-20 03:59:00,1,1.07969,1.07906,1.08372,6.300000000001305,6.396825396824037,1,1D,2,-1.0,SL,-1.190476190476151,EURUSD
849,2020-02-20 07:59:00,1,1.07905,1.07768,1.08372,13.700000000000934,3.408759124087324,1,1D,2,3.408759124087324,TP,3.3211678832114173,EURUSD
853,2020-02-20 11:59:00,1,1.07963,1.07864,1.08372,9.900000000000464,4.131313131312864,1,1D,2,-1.0,SL,-1.1212121212121156,EURUSD
860,2020-02-20 18:59:00,1,1.07935,1.07898,1.08372,3.6999999999998145,11.810810810811363,1,1D,2,-1.0,SL,-1.3243243243243406,EURUSD
862,2020-02-20 20:59:00,1,1.07896,1.0783800000000001,1.08372,5.799999999998029,8.206896551727095,1,1D,2,-1.0,SL,-1.2068965517242083,EURUSD
1001,2020-02-28 15:59:00,-1,1.09843,1.09911,1.09418,6.800000000000139,6.25,1,12H,1,-1.0,SL,-1.1764705882352904,EURUSD
1126,2020-03-06 20:59:00,-1,1.1306,1.13267,1.12288,20.700000000000163,3.7294685990337624,1,4H,1,-1.0,SL,-1.0579710144927532,EURUSD
1300,2020-03-18 00:59:00,1,1.10007,1.09837,1.11891,17.000000000000348,11.082352941176225,1,12H,1,-1.0,SL,-1.0705882352941163,EURUSD
1307,2020-03-18 07:59:00,1,1.09722,1.09546,1.11891,17.599999999999838,12.323863636363743,1,12H,1,-1.0,SL,-1.0681818181818188,EURUSD
1381,2020-03-23 09:59:00,1,1.06915,1.06661,1.08309,25.399999999999867,5.488188976378006,2,12H,1,5.488188976378006,TP,5.440944881889817,EURUSD
1382,2020-03-23 10:59:00,1,1.06852,1.06654,1.08309,19.799999999998708,7.358585858586437,2,12H,1,7.358585858586437,TP,7.297979797980372,EURUSD
1396,2020-03-24 00:59:00,-1,1.07934,1.08237,1.06664,30.300000000000882,4.191419141914047,1,4H,3,-1.0,SL,-1.0396039603960385,EURUSD
1413,2020-03-24 17:59:00,1,1.07586,1.07493,1.09475,9.300000000000974,20.31182795698696,1,1D,1,-1.0,SL,-1.1290322580645027,EURUSD
1416,2020-03-24 20:59:00,1,1.07829,1.07633,1.09475,19.599999999999618,8.397959183673592,1,1D,1,-1.0,SL,-1.0612244897959195,EURUSD
1425,2020-03-25 05:59:00,-1,1.08159,1.08242,1.06664,8.299999999998864,18.012048192773573,1,1D,1,-1.0,SL,-1.1445783132530318,EURUSD
1439,2020-03-25 19:59:00,-1,1.08812,1.08948,1.06664,13.600000000000279,15.794117647058458,1,1D,1,-1.0,SL,-1.0882352941176452,EURUSD
1537,2020-03-31 23:59:00,-1,1.10259,1.10382,1.09649,12.300000000000644,4.959349593495671,1,4H,2,4.959349593495671,TP,4.86178861788592,EURUSD
1541,2020-04-01 03:59:00,-1,1.10195,1.1032,1.09649,12.499999999999734,4.36800000000011,1,4H,2,-1.0,SL,-1.096000000000002,EURUSD
