huso,lectura,n,bruta,neta,neta_rec,z,aciertos,riesgo,rr
UTC,A,512,0.14518156209281174,-0.002592007129224763,-0.09275861354638887,-0.014529445334310366,0.11328125,7.999999999998764,10.283171996774893
UTC,B,2911,0.12281082285254473,-0.018890281230306647,-0.06080846919327991,-0.3397676719082106,0.15630367571281348,9.299999999998931,6.333802816900992
UTC,C,10,-0.5918032786885563,-0.7171970653715813,-0.752362448130127,-1.797038746257085,0.1,15.774999999999247,4.915906423389059
NY,A,364,0.09068484083927085,-0.056796531220301524,-0.1251784613047144,-0.313997354322111,0.12912087912087913,7.959999999999596,10.455334000666804
NY,B,2922,0.12478081498916592,-0.015886937774309776,-0.07294262266543718,-0.272716975157425,0.15571526351813827,9.199999999998099,6.588082340196054
NY,C,6,-0.3196721311475938,-0.5116526205751112,-0.5445180577335788,-0.7560623246448058,0.16666666666666666,6.050000000000022,8.161225490195923
Madrid,A,504,0.18077285992273448,0.04015091691836096,-0.09367749199896883,0.19805578637834625,0.10714285714285714,8.799999999999653,10.217765526553606
Madrid,B,3060,0.023637889281561807,-0.12000992508108099,-0.15302599292682031,-2.38079454021709,0.14705882352941177,9.100000000001884,6.520926966291376
Madrid,C,8,-0.2439931350114819,-0.3608275380482559,-0.41354378935660313,-0.47243826263827055,0.125,9.513500000000477,6.8391651376354385
Broker,A,481,0.25071324728796124,0.10887694274071434,-0.025410314697235883,0.5128187559684456,0.11434511434511435,8.579999999999927,10.219621962197396
Broker,B,3005,-0.037551339112780135,-0.18135767345632553,-0.2148872216837541,-3.667025660865202,0.14043261231281198,9.099999999999664,6.611111111110848
Broker,C,6,0.008009153318024135,-0.11593268908327481,-0.1661386427102718,-0.1136361473408854,0.16666666666666666,9.513500000000477,10.692743875102524
