F,obj,mot,R,neta,rgo,lado,anio
0.5,nivel,TP,1.471354166666995,1.285156250000299,7.679999999998799,-1,2020
0.5,1:2,TP,2.0,1.8138020833333042,7.679999999998799,-1,2020
0.618,nivel,TP,0.11514522821600433,-0.11663641078818686,6.169599999998887,-1,2020
0.618,1:2,TP,2.0,1.7682183609958089,6.169599999998887,-1,2020
0.705,nivel,TP,0.3607594936712419,0.07792721519016427,5.055999999998839,-1,2020
0.705,1:2,TP,2.0,1.7171677215189223,5.055999999998839,-1,2020
0.79,nivel,TP,0.7338709677425853,0.3734879032263327,3.9679999999986393,-1,2020
0.79,1:2,TP,2.0,1.6396169354837473,3.9679999999986393,-1,2020
0.5,nivel,SL,-1.0,-1.1401960784313696,10.200000000000209,1,2020
0.5,1:2,SL,-1.0,-1.1401960784313696,10.200000000000209,1,2020
0.618,nivel,TP,0.08616060532114977,-0.08835733463493384,8.193999999999146,1,2020
0.618,1:2,SL,-1.0,-1.1745179399560837,8.193999999999146,1,2020
0.705,nivel,TP,0.3253909158602266,0.1124348473568556,6.71499999999936,1,2020
0.705,1:2,SL,-1.0,-1.2129560685033711,6.71499999999936,1,2020
0.79,nivel,TP,0.6888045540799842,0.41745730550310534,5.269999999999442,1,2020
0.79,1:2,SL,-1.0,-1.2713472485768789,5.269999999999442,1,2020
0.5,nivel,TP,0.1732673267327422,-0.06270627062703879,6.059999999998844,-1,2020
0.5,1:2,TP,2.0,1.764026402640219,6.059999999998844,-1,2020
0.5,nivel,TP,0.36596119929459064,0.2398589065256277,11.339999999999684,-1,2020
0.5,1:2,TP,2.0,1.873897707231037,11.339999999999684,-1,2020
0.618,nivel,TP,0.23724142108618018,0.12896386709882818,13.20679999999852,-1,2020
0.618,1:2,TP,2.0,1.891722446012648,13.20679999999852,-1,2020
0.705,nivel,TP,0.5097477594012222,0.3776217314976811,10.822999999999805,-1,2020
0.705,1:2,TP,2.0,1.8678739720964588,10.822999999999805,-1,2020
0.5,1:2,TP,2.0,1.8784013605442245,11.760000000000659,-1,2020
0.618,1:2,TP,2.0,1.8486323990177178,9.44720000000121,-1,2020
0.705,nivel,TP,0.0023249806250844026,-0.18238181348492433,7.742000000001692,-1,2020
0.705,1:2,TP,2.0,1.8152932058899913,7.742000000001692,-1,2020
0.79,nivel,TP,0.27715602369966297,0.041803818301433676,6.076000000001525,-1,2020
0.79,1:2,TP,2.0,1.7646477946017707,6.076000000001525,-1,2020
0.5,nivel,TP,0.4613095238095681,0.3549107142857595,13.440000000000119,-1,2020
