F,obj,mot,R,neta,rgo,lado,anio
0.5,nivel,SL,-1.0,-1.1079622132253886,14.819999999997613,-1,2020
0.5,1:2,SL,-1.0,-1.1079622132253886,14.819999999997613,-1,2020
0.618,nivel,SL,-1.0,-1.105381018244083,15.183000000000835,-1,2020
0.618,1:2,SL,-1.0,-1.105381018244083,15.183000000000835,-1,2020
0.705,nivel,SL,-1.0,-1.1285915209965784,12.442500000000578,-1,2020
0.705,1:2,SL,-1.0,-1.1285915209965784,12.442500000000578,-1,2020
0.79,nivel,SL,-1.0,-1.1638504864311052,9.765000000001578,-1,2020
0.79,1:2,SL,-1.0,-1.1638504864311052,9.765000000001578,-1,2020
0.5,nivel,TP,0.002037489812564506,-0.06316218418907256,24.53999999999734,-1,2020
0.5,1:2,SL,-1.0,-1.065199674001637,24.53999999999734,-1,2020
0.618,nivel,TP,0.24734957238074168,0.16618815246169427,19.71379999999856,-1,2020
0.618,1:2,SL,-1.0,-1.0811614199190474,19.71379999999856,-1,2020
0.705,nivel,TP,0.5220822630063469,0.42304478351019453,16.1554999999991,-1,2020
0.705,1:2,SL,-1.0,-1.0990374794961524,16.1554999999991,-1,2020
0.79,nivel,TP,0.9394273996373688,0.8132344822148359,12.678999999997664,-1,2020
0.79,1:2,SL,-1.0,-1.126192917422533,12.678999999997664,-1,2020
0.5,nivel,TP,1.9942528735634355,1.9022988505749219,17.399999999998528,1,2020
0.5,1:2,TP,2.0,1.9080459770114864,17.399999999998528,1,2020
0.618,nivel,TP,2.7272857347262365,2.6128201459438554,13.977999999998936,1,2020
0.618,1:2,TP,2.0,1.8855344112176189,13.977999999998936,1,2020
0.705,nivel,TP,3.5482322130081614,3.4085552160635713,11.454999999997995,1,2020
0.705,1:2,TP,2.0,1.8603230030554099,11.454999999997995,1,2020
0.79,nivel,TP,4.795328142380461,4.617352614015608,8.989999999999831,1,2020
0.79,1:2,TP,2.0,1.8220244716351468,8.989999999999831,1,2020
0.5,nivel,TP,0.11846901579583288,0.08606723369781821,49.38000000000109,-1,2020
0.5,1:2,TP,2.0,1.9675982179019853,49.38000000000109,-1,2020
0.618,nivel,TP,0.3922850819035513,0.35195091331681033,39.66860000000016,-1,2020
0.618,1:2,TP,2.0,1.9596658314132591,39.66860000000016,-1,2020
0.705,nivel,TP,0.6989402771583084,0.6497223803005623,32.50849999999916,-1,2020
0.705,1:2,TP,2.0,1.9507821031422539,32.50849999999916,-1,2020
0.5,nivel,SL,-1.0,-1.0554400554400565,28.85999999999944,1,2020
0.5,1:2,SL,-1.0,-1.0554400554400565,28.85999999999944,1,2020
0.618,nivel,SL,-1.0,-1.0690125171452993,23.184199999999322,1,2020
0.618,1:2,SL,-1.0,-1.0690125171452993,23.184199999999322,1,2020
0.705,nivel,SL,-1.0,-1.0842127424405963,18.999499999998726,1,2020
0.705,1:2,SL,-1.0,-1.0842127424405963,18.999499999998726,1,2020
0.79,nivel,SL,-1.0,-1.107303333109787,14.910999999999675,1,2020
0.79,1:2,SL,-1.0,-1.107303333109787,14.910999999999675,1,2020
0.5,nivel,TP,0.15879707700959997,0.11382799325468085,35.5799999999995,1,2020
0.5,1:2,SL,-1.0,-1.044969083754919,35.5799999999995,1,2020
0.618,nivel,TP,0.44248598797873423,0.38650787542074444,28.582600000000014,1,2020
0.618,1:2,SL,-1.0,-1.05597811255799,28.582600000000014,1,2020
0.705,nivel,TP,0.7601980916600072,0.691890622665199,23.423500000001596,1,2020
0.705,1:2,SL,-1.0,-1.0683074689948082,23.423500000001596,1,2020
0.79,nivel,TP,0.13311211445362728,0.046075178153783106,18.382999999999594,1,2020
0.79,1:2,SL,-1.0,-1.0870369362998442,18.382999999999594,1,2020
0.5,nivel,TP,0.16435414601917386,0.1379253386191078,60.540000000000035,-1,2020
0.5,1:2,fuera,-0.387347208457225,-0.413776015857291,60.540000000000035,-1,2020
0.5,1:2,fuera,-0.7296954314720955,-0.7635363790186279,47.27999999999843,-1,2020
0.618,nivel,TP,0.21585188617650447,0.17372622533019866,37.981599999998835,-1,2020
0.618,1:2,fuera,-0.6635212839901612,-0.7056469448364671,37.981599999998835,-1,2020
0.705,nivel,TP,0.1398830559660693,0.08847908500931138,31.1259999999991,-1,2020
0.705,1:2,fuera,-0.5894107819829315,-0.6408147529396894,31.1259999999991,-1,2020
0.5,1:2,fuera,-0.7296954314720955,-0.7635363790186279,47.27999999999843,-1,2020
0.618,nivel,TP,0.21585188617650447,0.17372622533019866,37.981599999998835,-1,2020
0.618,1:2,fuera,-0.6635212839901612,-0.7056469448364671,37.981599999998835,-1,2020
0.705,nivel,TP,0.1398830559660693,0.08847908500931138,31.1259999999991,-1,2020
0.705,1:2,fuera,-0.5894107819829315,-0.6408147529396894,31.1259999999991,-1,2020
0.5,1:2,fuera,-0.7296954314720955,-0.7635363790186279,47.27999999999843,-1,2020
0.618,nivel,TP,0.21585188617650447,0.17372622533019866,37.981599999998835,-1,2020
0.618,1:2,fuera,-0.6635212839901612,-0.7056469448364671,37.981599999998835,-1,2020
0.705,nivel,TP,0.1398830559660693,0.08847908500931138,31.1259999999991,-1,2020
0.705,1:2,fuera,-0.5894107819829315,-0.6408147529396894,31.1259999999991,-1,2020
0.5,1:2,fuera,-0.7296954314720955,-0.7635363790186279,47.27999999999843,-1,2020
