F,obj,mot,R,neta,rgo,lado,anio
0.5,nivel,SL,-1.0,-1.0518218623481796,30.874999999999098,-1,2020
0.5,1:2,SL,-1.0,-1.0518218623481796,30.874999999999098,-1,2020
0.618,nivel,SL,-1.0,-1.0448707162488073,35.658000000000634,-1,2020
0.618,1:2,SL,-1.0,-1.0448707162488073,35.658000000000634,-1,2020
0.705,nivel,SL,-1.0,-1.0486063643958374,32.91750000000037,-1,2020
0.705,1:2,SL,-1.0,-1.0486063643958374,32.91750000000037,-1,2020
0.79,nivel,SL,-1.0,-1.0529100529100506,30.240000000001377,-1,2020
0.79,1:2,SL,-1.0,-1.0529100529100506,30.240000000001377,-1,2020
0.5,nivel,TP,0.000977995110030885,-0.03031784841075241,51.12499999999853,-1,2020
0.5,1:2,SL,-1.0,-1.0312958435207833,51.12499999999853,-1,2020
0.618,nivel,TP,0.10532022428225214,0.07076209318598164,46.29879999999975,-1,2020
0.618,1:2,SL,-1.0,-1.0345581310962706,46.29879999999975,-1,2020
0.705,nivel,TP,0.19734209941387,0.15990687989140326,42.74050000000029,-1,2020
0.705,1:2,SL,-1.0,-1.0374352195224668,42.74050000000029,-1,2020
0.79,nivel,TP,0.30335676446618665,0.2626069682151667,39.26399999999885,-1,2020
0.79,1:2,SL,-1.0,-1.04074979625102,39.26399999999885,-1,2020
0.5,nivel,TP,0.9572413793104295,0.9131034482759439,36.24999999999767,1,2020
0.5,1:2,SL,-1.0,-1.0441379310344856,36.24999999999767,1,2020
0.618,nivel,TP,1.1612647739735185,1.1125258925308448,32.82799999999808,1,2020
0.618,1:2,SL,-1.0,-1.0487388814426737,32.82799999999808,1,2020
0.705,nivel,TP,1.3411978221417327,1.2884012539186622,30.30499999999714,1,2020
0.705,1:2,SL,-1.0,-1.0527965682230704,30.30499999999714,1,2020
0.79,nivel,TP,1.5484913793103852,1.491020114942567,27.839999999998977,1,2020
0.79,1:2,SL,-1.0,-1.0574712643678181,27.839999999998977,1,2020
0.5,nivel,TP,0.05686512758200101,0.04131227217495363,102.87500000000004,-1,2020
0.5,1:2,fuera,0.6128797083839397,0.5973268529768923,102.87500000000004,-1,2020
0.618,nivel,TP,0.1670330472416204,0.14985895779037534,93.16359999999912,-1,2020
0.618,1:2,fuera,0.781006745123626,0.7638326556723809,93.16359999999912,-1,2020
0.705,nivel,TP,0.2641927363421347,0.24558884231456563,86.00349999999811,-1,2020
0.705,1:2,fuera,0.9292819478277221,0.9106780538001531,86.00349999999811,-1,2020
0.5,nivel,TP,0.0008316008316062829,-0.025779625779620438,60.12499999999976,1,2020
0.5,1:2,SL,-1.0,-1.0266112266112266,60.12499999999976,1,2020
0.618,nivel,TP,0.10515856982288968,0.07577338142710038,54.44919999999964,1,2020
0.618,1:2,SL,-1.0,-1.0293851883957892,54.44919999999964,1,2020
0.705,nivel,TP,0.19716698664069535,0.16533537586171554,50.264499999999046,1,2020
0.705,1:2,SL,-1.0,-1.0318316107789798,50.264499999999046,1,2020
0.79,nivel,TP,0.303166146916149,0.2685161122661144,46.175999999999995,1,2020
0.79,1:2,SL,-1.0,-1.0346500346500347,46.175999999999995,1,2020
0.5,nivel,TP,0.07622259696460874,0.054637436762247346,74.12499999999822,1,2020
0.5,1:2,SL,-1.0,-1.0215851602023613,74.12499999999822,1,2020
0.618,nivel,TP,0.1884083447047297,0.1645731413010622,67.12759999999874,1,2020
0.618,1:2,SL,-1.0,-1.0238352034036675,67.12759999999874,1,2020
0.705,nivel,TP,0.2873476040246141,0.26152803440456535,61.96850000000031,1,2020
0.705,1:2,SL,-1.0,-1.0258195696200487,61.96850000000031,1,2020
0.79,nivel,TP,0.04298412029231746,0.014878442945492568,56.92799999999831,1,2020
0.79,1:2,SL,-1.0,-1.028105677346825,56.92799999999831,1,2020
0.5,nivel,TP,0.07888999008920403,0.06620416253717222,126.12499999999915,-1,2020
0.5,1:2,fuera,0.0400396432110986,0.027353815659066798,126.12499999999915,-1,2020
0.5,1:2,fuera,-0.06091370558375154,-0.07715736040608707,98.49999999999692,-1,2020
0.618,nivel,TP,0.09190866531543736,0.07397176732257571,89.20159999999733,-1,2020
0.618,1:2,fuera,0.03697691521228717,0.01904001721942552,89.20159999999733,-1,2020
0.705,nivel,TP,0.05287445656133722,0.03344424744371102,82.34599999999759,-1,2020
0.705,1:2,fuera,0.12330896461273522,0.10387875549510901,82.34599999999759,-1,2020
0.5,1:2,fuera,-0.06091370558375154,-0.07715736040608707,98.49999999999692,-1,2020
0.618,nivel,TP,0.09190866531543736,0.07397176732257571,89.20159999999733,-1,2020
0.618,1:2,fuera,0.03697691521228717,0.01904001721942552,89.20159999999733,-1,2020
0.705,nivel,TP,0.05287445656133722,0.03344424744371102,82.34599999999759,-1,2020
0.705,1:2,fuera,0.12330896461273522,0.10387875549510901,82.34599999999759,-1,2020
0.5,1:2,fuera,-0.06091370558375154,-0.07715736040608707,98.49999999999692,-1,2020
0.618,nivel,TP,0.09190866531543736,0.07397176732257571,89.20159999999733,-1,2020
0.618,1:2,fuera,0.03697691521228717,0.01904001721942552,89.20159999999733,-1,2020
0.705,nivel,TP,0.05287445656133722,0.03344424744371102,82.34599999999759,-1,2020
0.705,1:2,fuera,0.12330896461273522,0.10387875549510901,82.34599999999759,-1,2020
0.5,1:2,fuera,-0.06091370558375154,-0.07715736040608707,98.49999999999692,-1,2020
0.618,nivel,TP,0.09190866531543736,0.07397176732257571,89.20159999999733,-1,2020
0.618,1:2,fuera,0.03697691521228717,0.01904001721942552,89.20159999999733,-1,2020
0.705,nivel,TP,0.05287445656133722,0.03344424744371102,82.34599999999759,-1,2020
0.705,1:2,fuera,0.12330896461273522,0.10387875549510901,82.34599999999759,-1,2020
0.5,1:2,fuera,-0.06091370558375154,-0.07715736040608707,98.49999999999692,-1,2020
0.618,nivel,TP,0.09190866531543736,0.07397176732257571,89.20159999999733,-1,2020
0.618,1:2,fuera,0.03697691521228717,0.01904001721942552,89.20159999999733,-1,2020
0.705,nivel,TP,0.05287445656133722,0.03344424744371102,82.34599999999759,-1,2020
0.705,1:2,fuera,0.12330896461273522,0.10387875549510901,82.34599999999759,-1,2020
0.5,nivel,SL,-1.0,-1.0901408450704297,17.7499999999986,-1,2020
0.5,1:2,SL,-1.0,-1.0901408450704297,17.7499999999986,-1,2020
0.618,nivel,TP,0.029587418503994167,-0.0699497337380861,16.074399999999045,-1,2020
0.618,1:2,SL,-1.0,-1.0995371522420803,16.074399999999045,-1,2020
