F,obj,mot,R,neta,rgo,lado,anio
0.5,nivel,SL,-1.0,-1.1651254953765058,9.083999999998923,-1,2020
0.5,1:2,SL,-1.0,-1.1651254953765058,9.083999999998923,-1,2020
0.618,nivel,SL,-1.0,-1.2055504091823686,7.297479999999268,-1,2020
0.618,1:2,SL,-1.0,-1.2055504091823686,7.297479999999268,-1,2020
0.705,nivel,SL,-1.0,-1.2508235372807694,5.980299999999261,-1,2020
0.705,1:2,TP,2.0,1.7491764627192306,5.980299999999261,-1,2020
0.79,nivel,SL,-1.0,-1.3195977329868636,4.693399999998292,-1,2020
0.79,1:2,TP,2.0,1.6804022670131364,4.693399999998292,-1,2020
0.5,nivel,SL,-1.0,-1.1422070534698674,10.547999999998865,1,2020
0.5,1:2,SL,-1.0,-1.1422070534698674,10.547999999998865,1,2020
0.618,nivel,SL,-1.0,-1.1770212283857004,8.473560000000361,1,2020
0.618,1:2,SL,-1.0,-1.1770212283857004,8.473560000000361,1,2020
0.705,nivel,SL,-1.0,-1.2160107141314018,6.944100000000617,1,2020
0.705,1:2,SL,-1.0,-1.2160107141314018,6.944100000000617,1,2020
0.79,nivel,SL,-1.0,-1.2752394583287296,5.449800000000323,1,2020
0.79,1:2,SL,-1.0,-1.2752394583287296,5.449800000000323,1,2020
0.5,nivel,TP,0.14821393329386634,0.13341227550819437,101.34000000000015,-1,2020
0.5,1:2,SL,-1.0,-1.014801657785672,101.34000000000015,-1,2020
0.618,nivel,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.618,1:2,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.705,nivel,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.705,1:2,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.79,nivel,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.79,1:2,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.5,nivel,TP,0.14821393329386634,0.13341227550819437,101.34000000000015,-1,2020
0.5,1:2,SL,-1.0,-1.014801657785672,101.34000000000015,-1,2020
0.618,nivel,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.618,1:2,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.705,nivel,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.705,1:2,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.79,nivel,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.79,1:2,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.5,nivel,TP,0.14821393329386634,0.13341227550819437,101.34000000000015,-1,2020
0.5,1:2,SL,-1.0,-1.014801657785672,101.34000000000015,-1,2020
0.618,nivel,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.618,1:2,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.705,nivel,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.705,1:2,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.79,nivel,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.79,1:2,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.5,nivel,TP,0.14821393329386634,0.13341227550819437,101.34000000000015,-1,2020
0.5,1:2,SL,-1.0,-1.014801657785672,101.34000000000015,-1,2020
0.618,nivel,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.618,1:2,SL,-1.0,-1.0184253001481396,81.40979999999945,-1,2020
0.705,nivel,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.705,1:2,SL,-1.0,-1.0224835308136788,66.71550000000025,-1,2020
0.79,nivel,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.79,1:2,SL,-1.0,-1.028648369907752,52.35900000000038,-1,2020
0.5,nivel,TP,1.107129019759885,1.0102673382410874,15.485999999998967,1,2020
0.5,1:2,SL,-1.0,-1.0968616815187977,15.485999999998967,1,2020
0.618,nivel,TP,0.01210409294859227,-0.10847061433620213,12.440420000000813,1,2020
0.618,1:2,TP,2.0,1.8794252927152055,12.440420000000813,1,2020
0.705,nivel,TP,0.23502322228175668,0.08789155415193509,10.194949999999153,1,2020
0.705,1:2,TP,2.0,1.8528683318701784,10.194949999999153,1,2020
0.79,nivel,TP,0.573658621939626,0.3861843996451797,8.001099999999497,1,2020
0.79,1:2,TP,2.0,1.8125257777055537,8.001099999999497,1,2020
0.5,1:2,TP,2.0,1.9317871759890797,21.989999999997963,1,2020
0.5,1:2,SL,-1.0,-1.0892219842969313,16.811999999999898,1,2020
0.618,1:2,TP,2.0,1.8889352892569278,13.505639999999403,1,2020
0.5,nivel,TP,1.4350790010194108,1.3872961264016734,31.391999999999825,-1,2020
0.5,1:2,fuera,1.151248725790056,1.1034658511723188,31.391999999999825,-1,2020
0.5,nivel,TP,1.089628297361961,0.9772182254195232,13.34400000000096,1,2020
0.5,1:2,TP,2.0,1.887589928057562,13.34400000000096,1,2020
0.5,nivel,SL,-1.0,-1.16436554898093,9.126000000000204,-1,2020
0.5,1:2,SL,-1.0,-1.16436554898093,9.126000000000204,-1,2020
0.618,nivel,SL,-1.0,-1.1923382691607465,7.798759999999675,-1,2020
0.618,1:2,SL,-1.0,-1.1923382691607465,7.798759999999675,-1,2020
0.705,nivel,SL,-1.0,-1.2347013816087729,6.391100000000733,-1,2020
0.705,1:2,SL,-1.0,-1.2347013816087729,6.391100000000733,-1,2020
0.79,nivel,SL,-1.0,-1.2990549862434089,5.015800000001036,-1,2020
0.79,1:2,SL,-1.0,-1.2990549862434089,5.015800000001036,-1,2020
0.5,nivel,SL,-1.0,-1.1662234042553632,9.023999999997613,1,2020
0.5,1:2,SL,-1.0,-1.1662234042553632,9.023999999997613,1,2020
0.618,nivel,SL,-1.0,-1.2069171007328143,7.24927999999818,1,2020
0.618,1:2,SL,-1.0,-1.2069171007328143,7.24927999999818,1,2020
0.705,nivel,SL,-1.0,-1.2524912469701692,5.9407999999984895,1,2020
0.705,1:2,SL,-1.0,-1.2524912469701692,5.9407999999984895,1,2020
0.79,nivel,SL,-1.0,-1.3217227179135724,4.662399999999252,1,2020
0.79,1:2,SL,-1.0,-1.3217227179135724,4.662399999999252,1,2020
0.5,nivel,TP,0.5357318391821428,0.49886955666960886,40.6919999999991,-1,2020
0.5,1:2,fuera,0.6340312592155668,0.5971689767030328,40.6919999999991,-1,2020
0.618,nivel,TP,0.9116993848740119,0.865812726144717,32.6892399999997,-1,2020
0.618,1:2,fuera,1.0340638081521314,0.9881771494228365,32.6892399999997,-1,2020
0.705,nivel,TP,1.3327572240741279,1.27676388354876,26.788899999999558,-1,2020
0.705,1:2,TP,2.0,1.9440066594746321,26.788899999999558,-1,2020
0.5,nivel,SL,-1.0,-1.047519482988024,31.566000000000713,1,2020
0.5,1:2,SL,-1.0,-1.047519482988024,31.566000000000713,1,2020
0.618,nivel,SL,-1.0,-1.0568823468291149,26.37021999999888,1,2020
0.618,1:2,SL,-1.0,-1.0568823468291149,26.37021999999888,1,2020
0.705,nivel,SL,-1.0,-1.0694108637256508,21.610450000000128,1,2020
0.705,1:2,SL,-1.0,-1.0694108637256508,21.610450000000128,1,2020
0.79,nivel,TP,0.036609453953684444,-0.0518334207935151,16.96010000000024,1,2020
0.79,1:2,TP,2.0,1.9115571252528005,16.96010000000024,1,2020
0.5,nivel,SL,-1.0,-1.0475918522748877,31.518000000001848,-1,2020
0.5,1:2,SL,-1.0,-1.0475918522748877,31.518000000001848,-1,2020
0.618,nivel,SL,-1.0,-1.0592429696367918,25.319460000000618,-1,2020
0.618,1:2,SL,-1.0,-1.0592429696367918,25.319460000000618,-1,2020
0.705,nivel,SL,-1.0,-1.0722914211770487,20.74935000000005,-1,2020
0.705,1:2,SL,-1.0,-1.0722914211770487,20.74935000000005,-1,2020
0.79,nivel,SL,-1.0,-1.0921132624675234,16.284300000001167,-1,2020
0.79,1:2,SL,-1.0,-1.0921132624675234,16.284300000001167,-1,2020
0.5,nivel,TP,0.7150955620344184,0.6341107871720882,18.521999999999025,1,2020
0.5,1:2,TP,2.0,1.9190152251376698,18.521999999999025,1,2020
0.618,nivel,TP,1.1349737286735089,1.0341628056083696,14.879339999999502,1,2020
0.618,1:2,TP,2.0,1.8991890769348607,14.879339999999502,1,2020
0.705,nivel,TP,1.6052084486598988,1.4821936007677505,12.193649999999252,1,2020
0.705,1:2,TP,2.0,1.8769851521078518,12.193649999999252,1,2020
0.79,nivel,TP,2.3195397974857923,2.162795071945807,9.569700000000012,1,2020
0.79,1:2,TP,2.0,1.8432552744600146,9.569700000000012,1,2020
0.5,nivel,SL,-1.0,-1.087382034253752,17.166000000001077,-1,2020
0.5,1:2,SL,-1.0,-1.087382034253752,17.166000000001077,-1,2020
0.618,nivel,SL,-1.0,-1.1087743164984503,13.790020000000368,-1,2020
0.618,1:2,SL,-1.0,-1.1087743164984503,13.790020000000368,-1,2020
0.705,nivel,SL,-1.0,-1.1327322039297494,11.30095000000074,-1,2020
0.705,1:2,SL,-1.0,-1.1327322039297494,11.30095000000074,-1,2020
0.79,nivel,SL,-1.0,-1.1691265179105004,8.86909999999989,-1,2020
0.79,1:2,SL,-1.0,-1.1691265179105004,8.86909999999989,-1,2020
0.5,nivel,SL,-1.0,-1.1079913606911351,13.890000000001237,1,2020
0.5,1:2,SL,-1.0,-1.1079913606911351,13.890000000001237,1,2020
0.618,nivel,SL,-1.0,-1.1344290796985088,11.158300000000963,1,2020
0.618,1:2,SL,-1.0,-1.1344290796985088,11.158300000000963,1,2020
0.705,nivel,SL,-1.0,-1.1640375099105782,9.144250000001193,1,2020
0.705,1:2,SL,-1.0,-1.1640375099105782,9.144250000001193,1,2020
0.79,nivel,SL,-1.0,-1.2090155368215827,7.176499999999578,1,2020
0.79,1:2,SL,-1.0,-1.2090155368215827,7.176499999999578,1,2020
0.5,nivel,TP,0.33553791887116646,0.26940035273360646,22.68000000000211,1,2020
0.5,1:2,TP,2.0,1.93386243386244,22.68000000000211,1,2020
0.618,nivel,TP,0.05381018244090723,-0.02851873806228552,18.219600000000355,1,2020
0.618,1:2,TP,2.0,1.9176710794968073,18.219600000000355,1,2020
0.705,nivel,TP,0.285915209965849,0.18545308418727086,14.931000000000495,1,2020
0.705,1:2,TP,2.0,1.899537874221422,14.931000000000495,1,2020
0.79,nivel,TP,0.5949156108568951,0.4711476180849474,12.119450000000143,1,2020
0.79,1:2,TP,2.0,1.8762320072280523,12.119450000000143,1,2020
0.5,nivel,SL,-1.0,-1.1474926253687305,10.170000000000073,-1,2020
0.5,1:2,SL,-1.0,-1.1474926253687305,10.170000000000073,-1,2020
0.618,nivel,TP,0.09732065263972456,-0.0862801258275995,8.169899999998961,-1,2020
0.618,1:2,SL,-1.0,-1.1836007784673241,8.169899999998961,-1,2020
0.705,nivel,TP,0.3390089989173944,0.11496956797751051,6.69524999999885,-1,2020
0.705,1:2,SL,-1.0,-1.2240394309398839,6.69524999999885,-1,2020
0.79,nivel,TP,0.706156627652809,0.4206870301648924,5.254499999999098,-1,2020
0.79,1:2,TP,2.0,1.7145304025120836,5.254499999999098,-1,2020
0.5,nivel,TP,0.1563928782743957,0.07570867624115533,18.59100000000035,1,2020
0.5,1:2,TP,2.0,1.9193157979667597,18.59100000000035,1,2020
0.618,nivel,TP,0.4394932094702442,0.33905644345375946,14.934769999999844,1,2020
0.618,1:2,TP,2.0,1.8995632339835153,14.934769999999844,1,2020
0.705,nivel,TP,0.7565461442143764,0.63398786264489,12.239074999999502,1,2020
0.705,1:2,TP,2.0,1.8774417184305137,12.239074999999502,1,2020
0.79,nivel,TP,0.08361486046835853,-0.07254811120888682,9.605349999999817,1,2020
0.79,1:2,TP,2.0,1.8438370283227545,9.605349999999817,1,2020
0.5,nivel,TP,0.11240703177830472,0.049019607843210355,23.66399999999885,-1,2020
0.5,1:2,SL,-1.0,-1.0633874239350944,23.66399999999885,-1,2020
0.618,nivel,SL,-1.0,-1.0789055069731426,19.010080000000016,-1,2020
0.618,1:2,SL,-1.0,-1.0789055069731426,19.010080000000016,-1,2020
0.705,nivel,SL,-1.0,-1.096284694584953,15.578799999999319,-1,2020
0.705,1:2,SL,-1.0,-1.096284694584953,15.578799999999319,-1,2020
0.79,nivel,TP,0.2459922790028896,0.12330694235432141,12.226399999999558,-1,2020
0.79,1:2,SL,-1.0,-1.1226853366485683,12.226399999999558,-1,2020
0.5,nivel,SL,-1.0,-1.1142074006395613,13.134000000000015,-1,2020
0.5,1:2,SL,-1.0,-1.1142074006395613,13.134000000000015,-1,2020
0.618,nivel,SL,-1.0,-1.1421668887629397,10.550979999999981,-1,2020
0.618,1:2,TP,2.0,1.8578331112370603,10.550979999999981,-1,2020
0.705,nivel,SL,-1.0,-1.173479595908205,8.646549999999479,-1,2020
0.705,1:2,TP,2.0,1.826520404091795,8.646549999999479,-1,2020
0.79,nivel,TP,0.1065591889062862,-0.11448739297671102,6.785900000000765,-1,2020
0.79,1:2,TP,2.0,1.7789534181170028,6.785900000000765,-1,2020
0.5,1:2,TP,2.0,1.8701973001038477,11.556000000000495,1,2020
0.618,1:2,SL,-1.0,-1.110238512044661,13.60685999999987,1,2020
0.705,1:2,SL,-1.0,-1.134518893178547,11.150849999999991,1,2020
0.79,1:2,SL,-1.0,-1.1714031058242795,8.751299999999901,1,2020
0.5,nivel,SL,-1.0,-1.2512562814069863,5.970000000001164,-1,2020
0.5,1:2,SL,-1.0,-1.2512562814069863,5.970000000001164,-1,2020
0.618,nivel,SL,-1.0,-1.3127671552784028,4.795900000000984,-1,2020
0.618,1:2,SL,-1.0,-1.3127671552784028,4.795900000000984,-1,2020
0.705,nivel,SL,-1.0,-1.3816551109979067,3.9302500000012515,-1,2020
0.705,1:2,SL,-1.0,-1.3816551109979067,3.9302500000012515,-1,2020
0.79,nivel,SL,-1.0,-1.4863024801425158,3.084500000000844,-1,2020
0.79,1:2,SL,-1.0,-1.4863024801425158,3.084500000000844,-1,2020
0.5,nivel,SL,-1.0,-1.108790252393382,13.788000000000466,-1,2020
0.5,1:2,SL,-1.0,-1.108790252393382,13.788000000000466,-1,2020
0.618,nivel,TP,0.10668125629708491,-0.028742294400064122,11.076360000000932,-1,2020
0.618,1:2,SL,-1.0,-1.135423550697149,11.076360000000932,-1,2020
0.705,nivel,TP,0.3504313051524422,0.18518028885869978,9.077100000000428,-1,2020
0.705,1:2,TP,2.0,1.8347489837062576,9.077100000000428,-1,2020
0.79,nivel,TP,0.7207108565649972,0.5101490777391255,7.123800000001211,-1,2020
0.79,1:2,TP,2.0,1.7894382211741282,7.123800000001211,-1,2020
0.5,nivel,TP,0.37919765607395917,0.336939373450564,35.495999999999185,1,2020
0.5,1:2,TP,2.0,1.9577417173766047,35.495999999999185,1,2020
0.618,nivel,TP,0.15889394819304387,0.10629027687761547,28.515120000000024,1,2020
0.618,1:2,TP,2.0,1.9473963286845717,28.515120000000024,1,2020
0.705,nivel,TP,0.03200075316032213,-0.03218904322964653,23.36819999999898,1,2020
0.705,1:2,TP,2.0,1.9358102036100313,23.36819999999898,1,2020
0.79,nivel,TP,0.15902200702306335,0.07723178259068454,18.339599999999336,1,2020
0.79,1:2,TP,2.0,1.9182097755676213,18.339599999999336,1,2020
0.5,nivel,TP,0.37919765607395917,0.336939373450564,35.495999999999185,1,2020
0.5,1:2,TP,2.0,1.9577417173766047,35.495999999999185,1,2020
0.618,nivel,TP,0.15889394819304387,0.10629027687761547,28.515120000000024,1,2020
0.618,1:2,TP,2.0,1.9473963286845717,28.515120000000024,1,2020
0.705,nivel,TP,0.03200075316032213,-0.03218904322964653,23.36819999999898,1,2020
0.705,1:2,TP,2.0,1.9358102036100313,23.36819999999898,1,2020
0.79,nivel,TP,0.15902200702306335,0.07723178259068454,18.339599999999336,1,2020
0.79,1:2,TP,2.0,1.9182097755676213,18.339599999999336,1,2020
0.5,nivel,TP,0.24793547889177187,0.19005170950070654,25.91399999999885,-1,2020
0.5,1:2,SL,-1.0,-1.0578837693910652,25.91399999999885,-1,2020
0.618,nivel,TP,0.5534466542221286,0.4813921695029599,20.817579999998998,-1,2020
0.618,1:2,SL,-1.0,-1.0720544847191686,20.817579999998998,-1,2020
0.705,nivel,TP,0.8955981957848806,0.8076734827857982,17.060050000000047,-1,2020
0.705,1:2,SL,-1.0,-1.0879247129990823,17.060050000000047,-1,2020
0.79,nivel,TP,0.06946799214271443,-0.04256510990450445,13.388899999999921,-1,2020
0.79,1:2,SL,-1.0,-1.112033102047219,13.388899999999921,-1,2020
0.5,nivel,TP,0.24793547889177187,0.19005170950070654,25.91399999999885,-1,2020
0.5,1:2,SL,-1.0,-1.0578837693910652,25.91399999999885,-1,2020
0.618,nivel,TP,0.5534466542221286,0.4813921695029599,20.817579999998998,-1,2020
0.618,1:2,SL,-1.0,-1.0720544847191686,20.817579999998998,-1,2020
0.705,nivel,TP,0.8955981957848806,0.8076734827857982,17.060050000000047,-1,2020
0.705,1:2,SL,-1.0,-1.0879247129990823,17.060050000000047,-1,2020
0.79,nivel,TP,0.06946799214271443,-0.04256510990450445,13.388899999999921,-1,2020
0.79,1:2,SL,-1.0,-1.112033102047219,13.388899999999921,-1,2020
0.5,nivel,TP,0.24793547889177187,0.19005170950070654,25.91399999999885,-1,2020
0.5,1:2,SL,-1.0,-1.0578837693910652,25.91399999999885,-1,2020
0.618,nivel,TP,0.5534466542221286,0.4813921695029599,20.817579999998998,-1,2020
0.618,1:2,SL,-1.0,-1.0720544847191686,20.817579999998998,-1,2020
0.705,nivel,TP,0.8955981957848806,0.8076734827857982,17.060050000000047,-1,2020
0.705,1:2,SL,-1.0,-1.0879247129990823,17.060050000000047,-1,2020
0.79,nivel,TP,0.06946799214271443,-0.04256510990450445,13.388899999999921,-1,2020
0.79,1:2,SL,-1.0,-1.112033102047219,13.388899999999921,-1,2020
0.5,nivel,SL,-1.0,-1.1063829787234014,14.100000000000364,-1,2020
0.5,1:2,SL,-1.0,-1.1063829787234014,14.100000000000364,-1,2020
0.618,nivel,SL,-1.0,-1.1324269444689548,11.327000000001135,-1,2020
0.618,1:2,SL,-1.0,-1.1324269444689548,11.327000000001135,-1,2020
0.705,nivel,SL,-1.0,-1.161594398060847,9.282500000001164,-1,2020
