F,obj,mot,R,neta,rgo,lado,anio
0.5,nivel,SL,-1.0,-1.2516103059581283,1.9872000000000298,-1,2020
0.5,1:2,SL,-1.0,-1.2516103059581283,1.9872000000000298,-1,2020
0.618,nivel,SL,-1.0,-1.3132078497404245,1.5963839999999436,-1,2020
0.618,1:2,SL,-1.0,-1.3132078497404245,1.5963839999999436,-1,2020
0.705,nivel,SL,-1.0,-1.382192869809867,1.3082399999998415,-1,2020
0.705,1:2,SL,-1.0,-1.382192869809867,1.3082399999998415,-1,2020
0.79,nivel,SL,-1.0,-1.4869876889512987,1.026719999999841,-1,2020
0.79,1:2,SL,-1.0,-1.4869876889512987,1.026719999999841,-1,2020
0.5,nivel,SL,-1.0,-1.1569661580962998,3.1854000000002998,1,2020
0.5,1:2,SL,-1.0,-1.1569661580962998,3.1854000000002998,1,2020
0.618,nivel,SL,-1.0,-1.1953935577962325,2.5589380000001256,1,2020
0.618,1:2,SL,-1.0,-1.1953935577962325,2.5589380000001256,1,2020
0.705,nivel,SL,-1.0,-1.2384296072348873,2.097055000000182,1,2020
0.705,1:2,SL,-1.0,-1.2384296072348873,2.097055000000182,1,2020
0.79,nivel,SL,-1.0,-1.303805467283183,1.6457900000000336,1,2020
0.79,1:2,SL,-1.0,-1.303805467283183,1.6457900000000336,1,2020
0.5,nivel,TP,0.457925047275259,0.4042031975245269,9.307199999999739,-1,2020
0.5,1:2,TP,2.0,1.9462781502492679,9.307199999999739,-1,2020
0.618,nivel,TP,0.21137644206389422,0.1445027701750175,7.476783999999952,-1,2020
0.618,1:2,TP,2.0,1.9331263281111233,7.476783999999952,-1,2020
0.705,nivel,TP,0.4781859368982587,0.39658312715031085,6.1272399999998015,-1,2020
0.705,1:2,TP,2.0,1.918397190252052,6.1272399999998015,-1,2020
0.79,nivel,TP,0.8834949841122388,0.7795172104011472,4.808719999999994,-1,2020
0.79,1:2,TP,2.0,1.8960222262889084,4.808719999999994,-1,2020
0.5,nivel,TP,0.2865435725276135,0.21660372080009804,7.148999999999887,1,2020
0.5,1:2,SL,-1.0,-1.0699398517275154,7.148999999999887,1,2020
0.618,nivel,TP,0.4013991920762611,0.3268344710914849,6.705584000000272,1,2020
0.618,1:2,SL,-1.0,-1.0745647209847762,6.705584000000272,1,2020
0.5,nivel,SL,-1.0,-1.0717277787341477,6.970800000000054,1,2020
0.5,1:2,SL,-1.0,-1.0717277787341477,6.970800000000054,1,2020
0.618,nivel,TP,0.22749146588238273,0.13820377451207735,5.599876000000222,1,2020
0.618,1:2,SL,-1.0,-1.0892876913703053,5.599876000000222,1,2020
0.705,nivel,TP,0.4978503457097365,0.38889675775912913,4.589109999999891,1,2020
0.705,1:2,SL,-1.0,-1.1089535879506074,4.589109999999891,1,2020
0.79,nivel,SL,-1.0,-1.1388279588402863,3.6015800000000127,1,2020
0.79,1:2,SL,-1.0,-1.1388279588402863,3.6015800000000127,1,2020
0.5,nivel,SL,-1.0,-1.0717277787341477,6.970800000000054,1,2020
0.5,1:2,SL,-1.0,-1.0717277787341477,6.970800000000054,1,2020
0.618,nivel,TP,0.22749146588238273,0.13820377451207735,5.599876000000222,1,2020
0.618,1:2,SL,-1.0,-1.0892876913703053,5.599876000000222,1,2020
0.705,nivel,TP,0.4978503457097365,0.38889675775912913,4.589109999999891,1,2020
0.705,1:2,SL,-1.0,-1.1089535879506074,4.589109999999891,1,2020
0.79,nivel,SL,-1.0,-1.1388279588402863,3.6015800000000127,1,2020
0.79,1:2,SL,-1.0,-1.1388279588402863,3.6015800000000127,1,2020
0.5,nivel,TP,0.033333333333339106,0.017460317460323234,31.5,-1,2020
0.5,1:2,SL,-1.0,-1.0158730158730158,31.5,-1,2020
0.618,nivel,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.618,1:2,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.705,nivel,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.705,1:2,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.79,nivel,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.79,1:2,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.5,nivel,TP,0.033333333333339106,0.017460317460323234,31.5,-1,2020
0.5,1:2,SL,-1.0,-1.0158730158730158,31.5,-1,2020
0.618,nivel,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.618,1:2,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.705,nivel,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.705,1:2,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.79,nivel,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.79,1:2,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.5,nivel,TP,0.033333333333339106,0.017460317460323234,31.5,-1,2020
0.5,1:2,SL,-1.0,-1.0158730158730158,31.5,-1,2020
0.618,nivel,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.618,1:2,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.705,nivel,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.705,1:2,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.79,nivel,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.79,1:2,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.5,nivel,TP,0.033333333333339106,0.017460317460323234,31.5,-1,2020
0.5,1:2,SL,-1.0,-1.0158730158730158,31.5,-1,2020
0.618,nivel,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.618,1:2,SL,-1.0,-1.0197589409207668,25.304999999999836,-1,2020
0.705,nivel,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.705,1:2,SL,-1.0,-1.0241109101868593,20.737500000000182,-1,2020
0.79,nivel,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.79,1:2,SL,-1.0,-1.030721966205837,16.27500000000009,-1,2020
0.5,nivel,SL,-1.0,-1.113874464790024,4.390799999999672,-1,2020
0.5,1:2,SL,-1.0,-1.113874464790024,4.390799999999672,-1,2020
0.618,nivel,SL,-1.0,-1.1417524457967079,3.5272759999998016,-1,2020
0.618,1:2,SL,-1.0,-1.1417524457967079,3.5272759999998016,-1,2020
0.705,nivel,SL,-1.0,-1.1729738705671167,2.890609999999924,-1,2020
0.705,1:2,SL,-1.0,-1.1729738705671167,2.890609999999924,-1,2020
0.79,nivel,SL,-1.0,-1.220402189916166,2.268579999999929,-1,2020
0.79,1:2,SL,-1.0,-1.220402189916166,2.268579999999929,-1,2020
0.5,nivel,TP,1.2423500611994338,1.185683847862475,8.82360000000017,1,2020
0.5,1:2,TP,2.0,1.9433337866630411,8.82360000000017,1,2020
0.618,nivel,TP,1.7381332360585748,1.6690460300419057,7.237229999999727,1,2020
0.618,1:2,TP,2.0,1.9309127939833308,7.237229999999727,1,2020
0.5,nivel,TP,0.07363802241722497,0.0012309207286924084,6.9054000000001,1,2020
0.5,1:2,TP,2.0,1.9275928983114674,6.9054000000001,1,2020
0.618,nivel,TP,0.336478866079478,0.24634554447549928,5.547338000000309,1,2020
0.618,1:2,TP,2.0,1.9098666783960212,5.547338000000309,1,2020
0.705,nivel,TP,0.6308425656969839,0.5208570947776985,4.546055000000251,1,2020
0.705,1:2,TP,2.0,1.8900145290807144,4.546055000000251,1,2020
0.79,nivel,TP,1.0780090756462375,0.9378662981845618,3.567790000000059,1,2020
0.79,1:2,TP,2.0,1.8598572225383243,3.567790000000059,1,2020
0.5,nivel,SL,-1.0,-1.1042057438205954,4.798200000000179,-1,2020
0.5,1:2,SL,-1.0,-1.1042057438205954,4.798200000000179,-1,2020
0.618,nivel,SL,-1.0,-1.129716693552613,3.8545540000000074,-1,2020
0.618,1:2,SL,-1.0,-1.129716693552613,3.8545540000000074,-1,2020
0.705,nivel,TP,0.02940501422211084,-0.12888219158131967,3.1588150000002315,-1,2020
0.705,1:2,SL,-1.0,-1.1582872058034306,3.1588150000002315,-1,2020
0.79,nivel,SL,-1.0,-1.2016885364269405,2.47907000000032,-1,2020
0.79,1:2,SL,-1.0,-1.2016885364269405,2.47907000000032,-1,2020
0.5,nivel,TP,1.3857055542822487,1.1947054778822173,2.6177999999999884,1,2020
0.5,1:2,TP,2.0,1.8089999235999685,2.6177999999999884,1,2020
0.618,nivel,TP,1.9697579513887855,1.7319985201854193,2.102965999999924,1,2020
0.618,1:2,TP,2.0,1.7622405687966338,2.102965999999924,1,2020
0.5,1:2,TP,2.0,1.9150440072042698,5.885400000000118,1,2020
0.618,nivel,TP,0.11949437577225501,0.013740027893750562,4.727937999999995,1,2020
0.618,1:2,TP,2.0,1.8942456521214956,4.727937999999995,1,2020
0.705,nivel,TP,0.3660665547398582,0.23701947707545123,3.874554999999873,1,2020
0.705,1:2,TP,2.0,1.870952922335593,3.874554999999873,1,2020
0.79,nivel,TP,0.7406331907168502,0.5762022369186605,3.0407900000000154,1,2020
0.79,1:2,TP,2.0,1.8355690462018102,3.0407900000000154,1,2020
0.5,1:2,SL,-1.0,-1.1066325442525093,4.688999999999851,1,2020
0.618,1:2,SL,-1.0,-1.132737606953326,3.766830000000027,1,2020
0.705,1:2,TP,2.0,1.838026515059488,3.0869250000000648,1,2020
0.5,nivel,TP,0.9559131828831532,0.8942532988037382,8.109000000000378,-1,2020
0.5,1:2,fuera,1.239178690343989,1.1775188062645738,8.109000000000378,-1,2020
0.618,nivel,TP,1.4347467006844525,1.3579916582619433,6.514230000000225,-1,2020
0.618,1:2,TP,2.0,1.9232449575774906,6.514230000000225,-1,2020
0.5,nivel,TP,0.23982696330088696,0.12098307663042532,4.2072000000002845,1,2020
0.5,1:2,TP,2.0,1.8811561133295385,4.2072000000002845,1,2020
0.5,nivel,SL,-1.0,-1.1850618106447677,2.701799999999821,1,2020
0.5,1:2,TP,2.0,1.8149381893552323,2.701799999999821,1,2020
0.5,1:2,SL,-1.0,-1.0611935183825338,8.170799999999872,1,2020
0.618,1:2,SL,-1.0,-1.0761745042106199,6.563876000000164,1,2020
0.5,nivel,TP,0.5376876343267405,0.495380007107706,11.81820000000016,-1,2020
0.5,1:2,fuera,0.08922678580495971,0.04691915858592524,11.81820000000016,-1,2020
0.618,nivel,TP,0.0688591918604628,0.016194095737182827,9.49395400000003,-1,2020
0.618,1:2,fuera,0.35588396573232906,0.3032188696090491,9.49395400000003,-1,2020
0.705,nivel,TP,0.30427881133353546,0.24001406112740606,7.780314999999973,-1,2020
0.705,1:2,fuera,0.654521699956929,0.5902569497507996,7.780314999999973,-1,2020
0.79,nivel,TP,0.6619036466991024,0.5800179165977479,6.106070000000273,-1,2020
0.79,1:2,TP,2.0,1.9181142698986455,6.106070000000273,-1,2020
0.5,nivel,SL,-1.0,-1.055588908900896,8.994599999999991,-1,2020
0.5,1:2,SL,-1.0,-1.055588908900896,8.994599999999991,-1,2020
0.618,nivel,SL,-1.0,-1.0691978119098309,7.225661999999829,-1,2020
0.618,1:2,SL,-1.0,-1.0691978119098309,7.225661999999829,-1,2020
0.705,nivel,SL,-1.0,-1.0844388489633872,5.921444999999949,-1,2020
0.705,1:2,SL,-1.0,-1.0844388489633872,5.921444999999949,-1,2020
0.79,nivel,SL,-1.0,-1.1075914365823776,4.647210000000086,-1,2020
0.79,1:2,SL,-1.0,-1.1075914365823776,4.647210000000086,-1,2020
0.5,nivel,TP,0.2967781178871506,0.24772388352563957,10.192799999999806,1,2020
0.5,1:2,fuera,-0.039537712895357534,-0.08859194725686856,10.192799999999806,1,2020
0.618,nivel,TP,0.6142466197765031,0.5531832575007645,8.188216000000011,1,2020
0.618,1:2,fuera,0.3784199146675957,0.3173565523918571,8.188216000000011,1,2020
0.705,nivel,TP,0.9697895461575747,0.8952767851021196,6.710260000000289,1,2020
0.705,1:2,TP,2.0,1.9254872389445448,6.710260000000289,1,2020
0.5,nivel,TP,0.9693795163700604,0.8684550482420007,4.954199999999673,1,2020
0.5,1:2,TP,2.0,1.8990755318719403,4.954199999999673,1,2020
0.618,nivel,TP,1.4515097714147842,1.325877653413062,3.979874000000109,1,2020
0.618,1:2,TP,2.0,1.8743678819982779,3.979874000000109,1,2020
0.705,nivel,TP,1.9914625565115711,1.838159566949957,3.26151499999969,1,2020
0.705,1:2,TP,2.0,1.846697010438386,3.26151499999969,1,2020
0.79,nivel,TP,2.811702289748109,2.616364609500272,2.5596700000000965,1,2020
0.79,1:2,TP,2.0,1.804662319752163,2.5596700000000965,1,2020
