F,obj,mot,R,neta,rgo,lado,anio
0.5,nivel,TP,1.4215686274510855,1.2745098039216587,10.199999999998965,-1,2020
0.5,1:2,TP,2.0,1.8529411764705732,10.199999999998965,-1,2020
0.5,nivel,SL,-1.0,-1.2032520325203095,7.380000000000564,1,2020
0.5,1:2,SL,-1.0,-1.2032520325203095,7.380000000000564,1,2020
0.618,nivel,SL,-1.0,-1.2530108288634745,5.928600000000017,1,2020
0.618,1:2,SL,-1.0,-1.2530108288634745,5.928600000000017,1,2020
0.705,nivel,SL,-1.0,-1.3087372645878181,4.8585000000002765,1,2020
0.705,1:2,TP,2.0,1.6912627354121819,4.8585000000002765,1,2020
0.79,nivel,TP,0.13558877524278554,-0.25780225544176294,3.8129999999995334,1,2020
0.79,1:2,TP,2.0,1.6066089693154515,3.8129999999995334,1,2020
0.5,nivel,TP,0.011737089201602293,-0.34037558685479286,4.259999999999309,-1,2020
0.5,1:2,TP,2.0,1.647887323943605,4.259999999999309,-1,2020
0.618,nivel,TP,0.25942376249142585,-0.17889077201854164,3.4221999999999753,-1,2020
0.618,1:2,TP,2.0,1.5616854654900325,3.4221999999999753,-1,2020
0.705,nivel,TP,0.5368158316988441,0.0019611338915892507,2.804499999999166,-1,2020
0.705,1:2,TP,2.0,1.4651453021927452,2.804499999999166,-1,2020
0.79,nivel,TP,0.9582008178097214,0.2766924125392205,2.2009999999994534,-1,2020
0.79,1:2,TP,2.0,1.318491594729499,2.2009999999994534,-1,2020
0.5,nivel,TP,0.37545787545815096,0.10073260073284374,5.459999999999354,1,2020
0.5,1:2,TP,2.0,1.7252747252746927,5.459999999999354,1,2020
0.618,nivel,SL,-1.0,-1.168218010541643,8.917000000000996,1,2020
0.618,1:2,SL,-1.0,-1.168218010541643,8.917000000000996,1,2020
0.705,nivel,TP,0.15634621963738943,-0.04892234006154189,7.307500000000289,1,2020
0.705,1:2,SL,-1.0,-1.2052685596989314,7.307500000000289,1,2020
0.5,nivel,SL,-1.0,-1.0672043010752714,22.31999999999914,-1,2020
0.5,1:2,SL,-1.0,-1.0672043010752714,22.31999999999914,-1,2020
0.618,nivel,SL,-1.0,-1.0836568063177612,17.93040000000019,-1,2020
0.618,1:2,SL,-1.0,-1.0836568063177612,17.93040000000019,-1,2020
0.705,nivel,SL,-1.0,-1.1020824826459774,14.694000000000074,-1,2020
0.705,1:2,SL,-1.0,-1.1020824826459774,14.694000000000074,-1,2020
0.79,nivel,SL,-1.0,-1.1300728407908462,11.531999999999698,-1,2020
0.79,1:2,SL,-1.0,-1.1300728407908462,11.531999999999698,-1,2020
0.5,nivel,SL,-1.0,-1.0902527075812332,16.619999999998925,-1,2020
0.5,1:2,SL,-1.0,-1.0902527075812332,16.619999999998925,-1,2020
0.618,nivel,SL,-1.0,-1.1123477687733196,13.351399999999103,-1,2020
0.618,1:2,SL,-1.0,-1.1123477687733196,13.351399999999103,-1,2020
0.705,nivel,SL,-1.0,-1.13709272037655,10.941499999999849,-1,2020
0.705,1:2,SL,-1.0,-1.13709272037655,10.941499999999849,-1,2020
0.79,nivel,TP,0.10282985908935874,-0.07185280074527522,8.586999999999989,-1,2020
0.79,1:2,TP,2.0,1.825317340165366,8.586999999999989,-1,2020
0.5,nivel,SL,-1.0,-1.320512820512789,4.680000000000462,-1,2020
0.5,1:2,TP,2.0,1.679487179487211,4.680000000000462,-1,2020
0.618,nivel,SL,-1.0,-1.3989786147461676,3.7596000000007734,-1,2020
0.618,1:2,TP,2.0,1.6010213852538324,3.7596000000007734,-1,2020
0.705,nivel,SL,-1.0,-1.4868549172346253,3.0810000000002447,-1,2020
0.705,1:2,TP,2.0,1.5131450827653747,3.0810000000002447,-1,2020
0.79,nivel,SL,-1.0,-1.6203473945409121,2.41800000000012,-1,2020
0.79,1:2,TP,2.0,1.3796526054590879,2.41800000000012,-1,2020
0.5,nivel,fuera,2.200854700854948,2.072649572649809,11.699999999999022,-1,2020
0.5,1:2,TP,2.0,1.8717948717948611,11.699999999999022,-1,2020
0.618,nivel,TP,0.19693584423883426,0.037344398340318996,9.398999999999091,-1,2020
0.618,1:2,TP,2.0,1.8404085541014847,9.398999999999091,-1,2020
0.705,nivel,TP,0.4605647517041088,0.2658227848102227,7.7024999999991905,-1,2020
0.705,1:2,TP,2.0,1.8052580331061139,7.7024999999991905,-1,2020
0.79,nivel,TP,0.8610421836231269,0.6129032258067038,6.044999999998879,-1,2020
0.79,1:2,TP,2.0,1.7518610421835767,6.044999999998879,-1,2020
0.5,nivel,TP,0.7138114209827604,0.6142098273572605,15.059999999999718,-1,2020
0.5,1:2,SL,-1.0,-1.0996015936255,15.059999999999718,-1,2020
0.618,nivel,SL,-1.0,-1.0854954174456235,17.544800000000293,-1,2020
0.618,1:2,SL,-1.0,-1.0854954174456235,17.544800000000293,-1,2020
0.705,nivel,TP,0.09472805675339019,-0.009597996939747264,14.378000000000668,-1,2020
