F,obj,mot,R,neta,rgo,lado,anio
0.5,1:2,fuera,-0.16793462947309307,-0.19611158072696758,709.7999999999956,1,2023
0.618,1:2,fuera,0.30697321471817834,0.2746823385052525,619.3700000000035,1,2023
0.705,1:2,fuera,0.5948382012510611,0.5554351573659208,507.5749999999971,1,2023
0.5,1:2,fuera,-0.16793462947309307,-0.19611158072696758,709.7999999999956,1,2023
0.618,1:2,fuera,0.30697321471817834,0.2746823385052525,619.3700000000035,1,2023
0.705,1:2,fuera,0.5948382012510611,0.5554351573659208,507.5749999999971,1,2023
0.5,nivel,fuera,0.1933904528763942,0.1525907792737834,490.20000000000437,1,2023
0.5,1:2,fuera,0.1933904528763942,0.1525907792737834,490.20000000000437,1,2023
0.618,nivel,fuera,1.6681462896844523,1.6173583142455177,393.7940000000026,1,2023
0.618,1:2,TP,2.0,1.9492120245610653,393.7940000000026,1,2023
0.5,nivel,fuera,0.1933904528763942,0.1525907792737834,490.20000000000437,1,2023
0.5,1:2,fuera,0.1933904528763942,0.1525907792737834,490.20000000000437,1,2023
0.618,nivel,fuera,1.6681462896844523,1.6173583142455177,393.7940000000026,1,2023
0.618,1:2,TP,2.0,1.9492120245610653,393.7940000000026,1,2023
0.5,1:2,SL,-1.0,-1.0361023863677388,553.9800000000014,1,2023
0.618,nivel,SL,-1.0,-1.0449407299183477,445.0305999999955,1,2023
0.618,1:2,SL,-1.0,-1.0449407299183477,445.0305999999955,1,2023
0.705,nivel,SL,-1.0,-1.0548390679003634,364.703499999996,1,2023
0.705,1:2,SL,-1.0,-1.0548390679003634,364.703499999996,1,2023
0.79,nivel,SL,-1.0,-1.0698755865182055,286.2229999999954,1,2023
0.79,1:2,SL,-1.0,-1.0698755865182055,286.2229999999954,1,2023
0.5,1:2,SL,-1.0,-1.0361023863677388,553.9800000000014,1,2023
0.618,nivel,SL,-1.0,-1.0449407299183477,445.0305999999955,1,2023
0.618,1:2,SL,-1.0,-1.0449407299183477,445.0305999999955,1,2023
0.705,nivel,SL,-1.0,-1.0548390679003634,364.703499999996,1,2023
0.705,1:2,SL,-1.0,-1.0548390679003634,364.703499999996,1,2023
0.79,nivel,SL,-1.0,-1.0698755865182055,286.2229999999954,1,2023
0.79,1:2,SL,-1.0,-1.0698755865182055,286.2229999999954,1,2023
0.5,nivel,SL,-1.0,-1.0923361034164287,216.60000000001673,-1,2023
0.5,1:2,SL,-1.0,-1.0923361034164287,216.60000000001673,-1,2023
0.618,nivel,SL,-1.0,-1.1149412075723144,174.0020000000186,-1,2023
0.618,1:2,SL,-1.0,-1.1149412075723144,174.0020000000186,-1,2023
0.705,nivel,SL,-1.0,-1.1402573722781248,142.5950000000057,-1,2023
0.705,1:2,SL,-1.0,-1.1402573722781248,142.5950000000057,-1,2023
0.79,nivel,SL,-1.0,-1.1787150388705023,111.91000000001168,-1,2023
0.79,1:2,SL,-1.0,-1.1787150388705023,111.91000000001168,-1,2023
0.5,nivel,SL,-1.0,-1.0205761316872433,971.99999999998,-1,2023
0.5,1:2,SL,-1.0,-1.0205761316872433,971.99999999998,-1,2023
0.618,nivel,SL,-1.0,-1.0256134419343275,780.8399999999892,-1,2023
0.618,1:2,SL,-1.0,-1.0256134419343275,780.8399999999892,-1,2023
0.5,nivel,TP,1.3979944674964795,1.3288381742737976,289.2000000000053,1,2023
0.5,1:2,TP,2.0,1.930843706777318,289.2000000000053,1,2023
0.618,nivel,TP,1.9850553537301872,1.8989686816687534,232.32399999999416,1,2023
0.618,1:2,TP,2.0,1.9139133279385663,232.32399999999416,1,2023
0.705,nivel,TP,2.64252324176683,2.5374757077576917,190.39000000000215,1,2023
0.705,1:2,TP,2.0,1.894952465990862,190.39000000000215,1,2023
0.79,nivel,TP,0.22607415339315107,0.09222326328471969,149.41999999998643,1,2023
0.79,1:2,TP,2.0,1.8661491098915686,149.41999999998643,1,2023
0.5,nivel,TP,1.3979944674964795,1.3288381742737976,289.2000000000053,1,2023
0.5,1:2,TP,2.0,1.930843706777318,289.2000000000053,1,2023
0.618,nivel,TP,1.9850553537301872,1.8989686816687534,232.32399999999416,1,2023
0.618,1:2,TP,2.0,1.9139133279385663,232.32399999999416,1,2023
0.705,nivel,TP,2.64252324176683,2.5374757077576917,190.39000000000215,1,2023
