ins,tf,celda,n,acierto,lo,hi
EURUSD,H4,cierra FUERA (continuidad),2663,0.48742020277882087,0.46843553535017435,0.5064048702074674
EURUSD,H4,cierra DENTRO (reversión),1921,0.5226444560124935,0.5003078826903646,0.5449810293346224
EURUSD,D1,cierra FUERA (continuidad),498,0.5301204819277109,0.48628538720459896,0.5739555766508228
EURUSD,D1,cierra DENTRO (reversión),381,0.4881889763779528,0.4379960651728374,0.5383818875830682
NAS100,H4,cierra FUERA (continuidad),2895,0.5132987910189982,0.49509138317252716,0.5315061988654692
NAS100,H4,cierra DENTRO (reversión),1875,0.5130666666666667,0.49044226575375394,0.5356910675795794
NAS100,D1,cierra FUERA (continuidad),546,0.5,0.45805987173393053,0.5419401282660694
NAS100,D1,cierra DENTRO (reversión),354,0.4604519774011299,0.40852875179405296,0.5123752030082068
GBPUSD,H4,cierra FUERA (continuidad),2641,0.49943203332071184,0.48036243281908686,0.5185016338223368
GBPUSD,H4,cierra DENTRO (reversión),1962,0.49745158002038736,0.47532720898868036,0.5195759510520943
GBPUSD,D1,cierra FUERA (continuidad),466,0.5,0.4546023766480162,0.5453976233519838
GBPUSD,D1,cierra DENTRO (reversión),396,0.48484848484848486,0.43562424813754347,0.5340727215594263
USDJPY,H4,cierra FUERA (continuidad),2685,0.5236499068901304,0.5047583578981675,0.5425414558820932
USDJPY,H4,cierra DENTRO (reversión),1996,0.4904809619238477,0.4685495249403362,0.5124123989073592
USDJPY,D1,cierra FUERA (continuidad),537,0.5065176908752328,0.4642311625252892,0.5488042192251764
USDJPY,D1,cierra DENTRO (reversión),321,0.5202492211838006,0.4655958294819493,0.5749026128856519
