tfb,reg,buf,rr,ent,n,R,z
240,ema20,1.0,2.0,mercado,27171,-0.362635439924174,-43.1145701164783
240,ema20,1.0,2.0,fvg,25191,-0.4386413502736498,-50.88639885884335
240,ema20,1.0,3.0,mercado,27107,-0.36739106115352016,-36.04797582589874
240,ema20,1.0,3.0,fvg,25153,-0.4440281355410812,-42.66034780388862
240,ema20,3.0,2.0,mercado,29637,-0.28729955721272316,-35.47880261224663
240,ema20,3.0,2.0,fvg,28316,-0.33645880574493875,-40.82513225281638
240,ema20,3.0,3.0,mercado,29542,-0.29073383071014497,-29.515636075512088
240,ema20,3.0,3.0,fvg,28264,-0.34367842084827915,-34.443241714355864
240,ema20,6.0,2.0,mercado,30883,-0.19210685039611275,-24.027981476014755
240,ema20,6.0,2.0,fvg,30056,-0.22820106862830208,-28.25464529287231
240,ema20,6.0,3.0,mercado,30674,-0.1995385754384813,-20.429547440450143
240,ema20,6.0,3.0,fvg,29918,-0.23214372344372058,-23.5720416172683
240,ema50,1.0,2.0,mercado,27226,-0.345823409542539,-40.98772448274119
240,ema50,1.0,2.0,fvg,25275,-0.42180591985766636,-48.780255845976
240,ema50,1.0,3.0,mercado,27167,-0.3545254166264273,-34.68109602051091
240,ema50,1.0,3.0,fvg,25236,-0.4251383731606565,-40.61884730598492
240,ema50,3.0,2.0,mercado,29645,-0.2693530739682581,-33.1452119168001
240,ema50,3.0,2.0,fvg,28373,-0.32008703033275937,-38.7163874285705
240,ema50,3.0,3.0,mercado,29559,-0.27541116796344056,-27.8424916796503
240,ema50,3.0,3.0,fvg,28319,-0.32653688445816076,-32.56423387056492
240,ema50,6.0,2.0,mercado,30911,-0.18314975827455438,-22.868029696740084
240,ema50,6.0,2.0,fvg,30091,-0.2148138356848912,-26.522271347400935
240,ema50,6.0,3.0,mercado,30719,-0.19569361345185848,-20.03192398157586
240,ema50,6.0,3.0,fvg,29953,-0.2235346638502212,-22.646742915795713
240,rango,1.0,2.0,mercado,27205,-0.3621489497725568,-43.07077787235821
240,rango,1.0,2.0,fvg,25254,-0.4372405927108998,-50.76230700000901
240,rango,1.0,3.0,mercado,27145,-0.37116464566194474,-36.49108649203929
240,rango,1.0,3.0,fvg,25218,-0.4419492452769343,-42.48048234038146
240,rango,3.0,2.0,mercado,29694,-0.291475130086367,-36.06320367766025
240,rango,3.0,2.0,fvg,28384,-0.33738346575681416,-41.00742826763184
240,rango,3.0,3.0,mercado,29606,-0.29567935391121997,-30.098401456324677
240,rango,3.0,3.0,fvg,28336,-0.34440950506385026,-34.5713431674203
240,rango,6.0,2.0,mercado,30930,-0.1930676199804964,-24.1700968094451
240,rango,6.0,2.0,fvg,30135,-0.22871990596011382,-28.359904216665505
240,rango,6.0,3.0,mercado,30726,-0.20763481797999936,-21.338785577116038
240,rango,6.0,3.0,fvg,30005,-0.23414472060406993,-23.82586442792764
1440,ema20,1.0,2.0,mercado,27249,-0.3410057102835529,-40.39109555596997
