i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,d_high,d_low,d_close,d_crt_dir,d_atrD,dc_high,dc_low,ins,U,CO,R,riesgo_u,Rneto,f1_acuerdo,f2_obj_dentro,f3_dist,f4_ya_barrio,f5_pos
19,20,1,True,1.11845,1.11943,1.11726,0.0,0.0,0.823529411764673,1.12055,1.11571,1.11968,0,,1.11975,1.11726,EURUSD,0.0001,1.2,-1.0,11.900000000000244,-1.1008403361344516,False,True,,False,0.5661157024793367
27,28,1,True,1.1118,1.11385,1.11087,0.0,0.0,2.204301075269228,1.11975,1.11335,1.11526,0,,1.11682,1.11087,EURUSD,0.0001,1.2,-1.0,9.299999999998754,-1.1290322580645333,False,True,,True,-0.24218750000002684
29,30,1,False,1.11174,1.11016,1.11195,0.0,1.0,7.52380952380756,1.11682,1.11016,1.11053,0,,1.11195,1.11033,EURUSD,0.0001,1.2,-1.0,2.100000000000435,-1.571428571428453,False,True,,False,0.23723723723722842
33,34,1,True,1.11046,1.11173,1.10924,0.0,0.0,1.0409836065574636,1.11682,1.11016,1.11053,0,,1.11204,1.10924,EURUSD,0.0001,1.2,-1.0,12.199999999999989,-1.098360655737705,False,True,,True,0.04504504504504084
35,36,1,True,1.11042,1.11098,1.1102,1.0,0.0,2.5454545454563804,1.11204,1.10924,1.11051,1,,1.11094,1.1102,EURUSD,0.0001,1.2,2.5454545454563804,2.1999999999988695,2.0000000000015548,True,True,,False,0.4214285714285697
36,37,1,False,1.11089,1.1102,1.11111,1.0,1.0,3.1363636363614344,1.11204,1.10924,1.11051,1,,1.11111,1.1102,EURUSD,0.0001,1.2,3.1363636363614344,2.20000000000109,2.590909090907159,False,True,,False,0.5892857142857072
41,42,1,True,1.11213,1.11232,1.11128,1.0,1.0,0.2235294117645983,1.11291,1.1085,1.11165,0,,1.11214,1.11128,EURUSD,0.0001,1.2,0.2235294117645983,8.500000000000174,0.08235294117636591,False,True,,False,0.8231292517006806
44,45,1,True,1.11186,1.11361,1.11125,1.0,1.0,2.8688524590162623,1.11291,1.1085,1.11165,0,,1.11361,1.11125,EURUSD,0.0001,1.2,2.8688524590162623,6.099999999999994,2.6721311475408522,False,False,,False,0.7619047619047643
47,48,1,True,1.11371,1.11448,1.11312,0.0,0.0,1.305084745762897,1.11469,1.11125,1.11338,0,,1.11421,1.11312,EURUSD,0.0001,1.2,-1.0,5.899999999998684,-1.20338983050852,False,True,,False,0.7151162790697637
51,52,1,True,1.1131,1.11354,1.11045,1.0,1.0,0.1660377358490525,1.11469,1.11125,1.11338,0,,1.11444,1.11045,EURUSD,0.0001,1.2,0.1660377358490525,26.500000000000412,0.12075471698112866,False,True,,True,0.5377906976744092
52,53,1,False,1.11274,1.11045,1.11348,0.0,0.0,3.094594594594919,1.11469,1.11125,1.11338,0,,1.11444,1.11045,EURUSD,0.0001,1.2,-1.0,7.399999999999629,-1.1621621621621703,False,False,,False,0.4331395348837326
62,63,1,False,1.11514,1.11445,1.11727,1.0,1.0,0.3239436619718736,1.11634,1.11185,1.11495,0,,1.11727,1.11445,EURUSD,0.0001,1.2,0.3239436619718736,21.299999999999653,0.26760563380285857,False,True,,True,0.7327394209353982
65,66,1,False,1.11368,1.11317,1.11392,0.0,1.0,2.1249999999998845,1.11727,1.11279,1.11358,-1,,1.11392,1.11339,EURUSD,0.0001,1.2,-1.0,2.4000000000001798,-1.4999999999999625,True,True,,False,0.19866071428572535
72,73,1,False,1.10979,1.10889,1.10989,0.0,1.0,9.00000000000222,1.11425,1.10862,1.1089,0,,1.10989,1.10889,EURUSD,0.0001,1.2,-1.0,0.9999999999998899,-2.200000000000132,False,True,,False,0.20781527531085442
75,76,1,True,1.10834,1.10906,1.10766,1.0,1.0,1.0588235294114958,1.11425,1.10862,1.1089,0,,1.11023,1.10766,EURUSD,0.0001,1.2,1.0588235294114958,6.800000000000139,0.8823529411762053,False,True,,True,-0.04973357015982855
78,79,1,False,1.10952,1.10887,1.10993,1.0,0.0,1.5853658536585498,1.11023,1.10766,1.10944,1,,1.10993,1.10887,EURUSD,0.0001,1.2,1.5853658536585498,4.100000000000215,1.2926829268292968,False,True,,False,0.7237354085603116
81,82,1,True,1.10917,1.11179,1.10889,0.0,0.0,9.357142857141158,1.11023,1.10766,1.10944,1,,1.11179,1.10855,EURUSD,0.0001,1.2,-1.0,2.80000000000058,-1.4285714285713398,True,False,,False,0.5875486381322658
84,85,1,True,1.10845,1.10868,1.10773,0.0,1.0,0.3194444444447614,1.11179,1.10809,1.10819,-1,,1.10868,1.10773,EURUSD,0.0001,1.2,-1.0,7.199999999998319,-1.1666666666667056,False,True,,True,0.09729729729727361
86,87,1,False,1.10896,1.10749,1.10947,0.0,1.0,2.8823529411761375,1.11179,1.10809,1.10819,-1,,1.10947,1.10749,EURUSD,0.0001,1.2,-1.0,5.1000000000001044,-1.235294117647054,True,False,,False,0.23513513513511292
92,93,1,False,1.10866,1.1079,1.11087,1.0,1.0,0.3438914027148671,1.10984,1.107,1.1092,1,,1.11087,1.1079,EURUSD,0.0001,1.2,0.3438914027148671,22.100000000000453,0.2895927601809316,False,True,,True,0.5845070422535288
