dia,cierre_min,c,cerca,nivel_alto,toca,cuerpo_fuera,mecha,toque,h4,m15,hora,rango,dia_dir,suya,ocupada
2020-01-15,480,1.11355,0.8999999999992347,True,False,False,False,0,1.0,1.0,0,1.40000000000029,0.0,False,False
2020-01-15,485,1.1136,0.40000000000040004,True,True,False,True,0,1.0,1.0,5,1.2999999999996348,1.0,True,False
2020-01-15,490,1.11343,2.100000000000435,True,True,False,True,1,1.0,1.0,10,2.500000000000835,-1.0,False,True
2020-01-15,495,1.11343,2.100000000000435,True,False,False,False,2,1.0,-1.0,15,1.9999999999997797,-1.0,False,True
2020-01-15,500,1.11351,1.2999999999996348,True,False,False,False,2,1.0,-1.0,20,1.2999999999996348,-1.0,False,True
2020-01-15,505,1.11354,0.9999999999998899,True,False,False,False,2,1.0,-1.0,25,0.9999999999998899,-1.0,False,True
2020-01-15,510,1.11349,1.4999999999987246,True,False,False,False,2,1.0,1.0,30,1.500000000000945,-1.0,False,True
2020-01-15,515,1.11322,4.199999999998649,True,False,False,False,2,1.0,1.0,35,3.2999999999994145,-1.0,False,True
2020-01-15,520,1.11301,3.9999999999995595,False,False,False,False,0,1.0,1.0,40,3.20000000000098,-1.0,True,False
2020-01-15,525,1.11293,3.1999999999987594,False,False,False,False,0,1.0,-1.0,45,1.0999999999983245,-1.0,False,True
2020-01-15,530,1.11298,3.6999999999998145,False,False,False,False,0,1.0,-1.0,50,1.0999999999983245,-1.0,False,True
2020-01-15,535,1.1129,2.8999999999990145,False,False,False,False,0,1.0,-1.0,55,2.100000000000435,-1.0,False,True
2020-01-15,540,1.11284,2.2999999999995246,False,False,False,False,0,1.0,-1.0,60,2.2999999999995246,-1.0,False,True
2020-01-15,545,1.11251,0.9999999999998899,False,True,True,False,0,1.0,-1.0,65,4.299999999999304,-1.0,False,True
2020-01-15,550,1.11244,1.7000000000000348,False,False,False,False,1,1.0,-1.0,70,3.1000000000003247,-1.0,False,False
2020-01-15,555,1.11221,4.00000000000178,False,False,False,False,1,1.0,-1.0,75,2.900000000001235,-1.0,False,False
2020-01-15,560,1.11221,4.00000000000178,False,False,False,False,1,1.0,-1.0,80,2.5999999999992696,-1.0,True,False
2020-01-15,565,1.11219,4.20000000000087,False,False,False,False,1,1.0,-1.0,85,4.20000000000087,-1.0,False,True
2020-01-15,570,1.11231,3.00000000000189,False,False,False,False,1,1.0,-1.0,90,2.80000000000058,-1.0,False,True
2020-01-15,575,1.11224,3.700000000002035,False,False,False,False,1,1.0,-1.0,95,1.8999999999991246,-1.0,False,True
2020-01-15,580,1.11245,1.6000000000016001,False,False,False,False,1,1.0,-1.0,100,3.1000000000003247,-1.0,False,True
2020-01-15,585,1.1123,3.1000000000003247,False,False,False,False,1,1.0,-1.0,105,2.6999999999999247,-1.0,False,True
2020-01-15,590,1.11255,0.6000000000017103,False,False,False,False,1,1.0,-1.0,110,2.5999999999992696,-1.0,False,True
2020-01-15,595,1.11278,1.7000000000000348,False,True,False,True,1,1.0,-1.0,115,3.9999999999995595,-1.0,False,True
2020-01-15,600,1.11301,3.9999999999995595,False,False,False,False,2,1.0,1.0,120,3.5000000000007248,-1.0,False,True
2020-01-15,605,1.11283,2.1999999999988695,False,False,False,False,2,1.0,1.0,125,3.00000000000189,-1.0,False,True
2020-01-15,610,1.11284,2.2999999999995246,False,True,False,True,2,1.0,1.0,130,3.1000000000003247,-1.0,False,True
2020-01-15,615,1.113,3.8999999999989043,False,False,False,False,3,1.0,1.0,135,3.1999999999987594,-1.0,False,True
2020-01-15,620,1.11289,2.7999999999983594,False,False,False,False,3,1.0,1.0,140,2.900000000001235,-1.0,False,True
2020-01-15,625,1.11304,4.299999999999304,False,False,False,False,3,1.0,1.0,145,1.7000000000000348,-1.0,False,True
2020-01-15,630,1.1132,4.3999999999999595,True,False,False,False,2,1.0,1.0,150,2.20000000000109,-1.0,False,False
2020-01-15,635,1.11293,3.1999999999987594,False,False,False,False,3,1.0,1.0,155,5.299999999999194,-1.0,False,False
2020-01-15,640,1.1133,3.4000000000000696,True,False,False,False,2,1.0,1.0,160,4.100000000000215,-1.0,False,False
2020-01-15,645,1.11324,3.9999999999995595,True,False,False,False,2,1.0,1.0,165,2.4000000000001798,-1.0,False,False
2020-01-15,650,1.11309,4.799999999998139,False,False,False,False,3,1.0,1.0,170,1.7999999999984695,-1.0,False,False
2020-01-15,655,1.11292,3.0999999999981043,False,False,False,False,3,1.0,1.0,175,2.5999999999992696,-1.0,False,False
2020-01-15,660,1.11282,2.0999999999982144,False,False,False,False,3,1.0,-1.0,180,2.20000000000109,-1.0,False,False
2020-01-15,665,1.11258,0.30000000000196536,False,True,True,False,3,1.0,-1.0,185,2.8999999999990145,-1.0,False,False
2020-01-15,670,1.11264,0.2999999999997449,False,True,False,True,4,1.0,-1.0,190,1.5999999999993797,-1.0,False,False
2020-01-15,675,1.11254,0.700000000000145,False,True,True,False,5,1.0,-1.0,195,1.500000000000945,-1.0,False,False
2020-01-15,680,1.11286,2.4999999999986144,False,True,False,True,6,1.0,-1.0,200,3.2999999999994145,-1.0,False,False
2020-01-15,685,1.11284,2.2999999999995246,False,False,False,False,7,1.0,-1.0,205,2.5999999999992696,-1.0,False,False
2020-01-15,690,1.11306,4.499999999998394,False,False,False,False,7,1.0,-1.0,210,2.1999999999988695,-1.0,False,False
2020-02-21,480,1.07903,4.500000000000615,True,False,False,False,0,1.0,-1.0,0,1.40000000000029,0.0,False,False
2020-02-21,485,1.07906,4.20000000000087,True,False,False,False,0,1.0,-1.0,5,1.7000000000000348,1.0,True,False
2020-02-21,490,1.07917,3.1000000000003247,True,False,False,False,0,1.0,-1.0,10,1.4999999999987246,1.0,False,True
2020-02-21,495,1.07927,2.100000000000435,True,False,False,False,0,1.0,-1.0,15,2.60000000000149,1.0,False,True
2020-02-21,500,1.07948,0.0,True,True,False,True,0,1.0,-1.0,20,2.9999999999996696,1.0,False,True
2020-02-21,505,1.07962,1.40000000000029,True,True,True,False,1,1.0,-1.0,25,1.9999999999997797,1.0,False,False
2020-02-21,510,1.07958,0.9999999999998899,True,False,False,False,2,1.0,1.0,30,1.5999999999993797,1.0,False,False
2020-02-21,515,1.07964,1.5999999999993797,True,False,False,False,2,1.0,1.0,35,1.2999999999996348,1.0,False,False
2020-02-21,520,1.07963,1.500000000000945,True,False,False,False,2,1.0,1.0,40,1.500000000000945,1.0,False,False
2020-02-21,525,1.07955,0.700000000000145,True,True,True,False,2,1.0,1.0,45,4.299999999999304,1.0,False,False
2020-02-21,530,1.07978,2.9999999999996696,True,False,False,False,3,1.0,1.0,50,2.80000000000058,1.0,False,False
2020-02-21,535,1.07968,1.9999999999997797,True,False,False,False,3,1.0,1.0,55,2.4000000000001798,1.0,False,False
2020-02-21,540,1.07961,1.2999999999996348,True,False,False,False,3,1.0,1.0,60,2.6999999999999247,1.0,False,False
2020-02-21,545,1.07921,2.6999999999999247,True,True,False,True,3,1.0,1.0,65,5.300000000001415,1.0,True,False
2020-02-21,550,1.07904,4.3999999999999595,True,True,False,True,4,1.0,1.0,70,4.799999999998139,1.0,False,True
2020-02-21,555,1.07952,0.40000000000040004,True,True,True,False,5,1.0,1.0,75,6.200000000000649,1.0,False,True
2020-02-21,560,1.08003,5.5000000000005045,True,False,False,False,6,1.0,1.0,80,9.599999999998499,1.0,False,False
2020-02-21,565,1.08009,6.099999999999994,True,False,False,False,6,1.0,1.0,85,5.299999999999194,1.0,False,False
2020-02-21,570,1.08001,5.299999999999194,True,False,False,False,6,1.0,1.0,90,4.3999999999999595,1.0,True,False
2020-02-21,575,1.08137,18.899999999999473,True,False,False,False,6,1.0,1.0,95,19.299999999999873,1.0,False,True
2020-02-21,580,1.08121,17.300000000000093,True,False,False,False,6,1.0,1.0,100,6.099999999999994,1.0,False,True
2020-02-21,585,1.08104,15.600000000000058,True,False,False,False,6,1.0,1.0,105,6.500000000000394,1.0,False,True
2020-02-21,590,1.08137,18.899999999999473,True,False,False,False,6,1.0,1.0,110,4.900000000001015,1.0,False,True
2020-02-21,595,1.08139,19.100000000000783,True,False,False,False,6,1.0,1.0,115,1.8999999999991246,1.0,False,True
2020-02-21,600,1.08141,19.299999999999873,True,False,False,False,6,1.0,1.0,120,2.500000000000835,1.0,False,True
2020-02-21,605,1.08181,23.299999999999432,True,False,False,False,6,1.0,1.0,125,4.699999999999704,1.0,False,True
2020-02-21,610,1.08168,21.999999999999797,True,False,False,False,6,1.0,1.0,130,2.80000000000058,1.0,False,True
2020-02-21,615,1.08157,20.899999999999253,True,False,False,False,6,1.0,1.0,135,3.900000000001125,1.0,False,True
2020-02-21,620,1.08149,20.100000000000673,True,False,False,False,6,1.0,1.0,140,2.8999999999990145,1.0,False,True
2020-02-21,625,1.08138,19.000000000000128,True,False,False,False,6,1.0,1.0,145,3.20000000000098,1.0,False,True
2020-02-21,630,1.08156,20.800000000000818,True,False,False,False,6,1.0,1.0,150,3.5999999999991594,1.0,False,True
2020-02-21,635,1.08171,22.299999999999542,True,False,False,False,6,1.0,1.0,155,1.9999999999997797,1.0,False,True
2020-02-21,640,1.0814,19.199999999999218,True,False,False,False,6,1.0,1.0,160,3.900000000001125,1.0,False,True
2020-02-21,645,1.08154,20.599999999999508,True,False,False,False,6,1.0,1.0,165,1.8999999999991246,1.0,False,True
2020-02-21,650,1.08145,19.700000000000273,True,False,False,False,6,1.0,1.0,170,1.6000000000016001,1.0,False,True
2020-02-21,655,1.0814,19.199999999999218,True,False,False,False,6,1.0,1.0,175,1.8999999999991246,1.0,False,True
2020-02-21,660,1.08097,14.899999999999913,True,False,False,False,6,1.0,-1.0,180,5.499999999998284,1.0,False,True
