par,fecha,wk,lado,conf,rgo_u,R_W,rr_W,R_D,rr_D,R_H4,rr_H4,coste
EURUSD,2020-01-08 06:15:00,2020-01-05,1,3,8.999999999999009,-1.0,10.655555555556715,-1.0,7.088888888889728,-1.0,2.922222222222691,0.1588888888889064
EURUSD,2020-01-09 00:45:00,2020-01-05,1,0,2.100000000000435,-1.0,50.61904761903674,,,,,0.68095238095224
EURUSD,2020-01-10 02:45:00,2020-01-05,1,0,2.6999999999999247,-1.0,43.555555555556744,,,,,0.5296296296296444
EURUSD,2020-01-20 05:30:00,2020-01-19,1,1,3.20000000000098,-1.0,27.06249999999137,,,-1.0,5.062499999998309,0.4468749999998632
EURUSD,2020-01-21 01:00:00,2020-01-19,1,1,3.1000000000003247,-1.0,24.483870967739325,,,,,0.4612903225805969
EURUSD,2020-01-22 01:45:00,2020-01-19,1,0,2.100000000000435,-1.0,42.76190476189585,,,,,0.68095238095224
EURUSD,2020-01-23 03:15:00,2020-01-19,1,1,3.6999999999998145,-1.0,23.486486486487898,,,,,0.38648648648650585
EURUSD,2020-01-24 00:45:00,2020-01-19,1,2,2.20000000000109,-1.0,56.363636363608286,,,-1.0,2.9999999999979816,0.649999999999678
EURUSD,2020-01-27 04:30:00,2020-01-26,1,2,2.80000000000058,-1.0,35.714285714278354,,,-1.0,6.999999999998414,0.51071428571418
EURUSD,2020-01-28 02:30:00,2020-01-26,1,2,3.8000000000004697,-1.0,26.315789473680983,,,-1.0,1.92105263157844,0.3763157894736377
EURUSD,2020-01-29 02:45:00,2020-01-26,1,2,2.8999999999990145,-1.0,38.72413793104789,,,-1.0,5.896551724140281,0.49310344827602964
EURUSD,2020-01-30 02:45:00,2020-01-26,1,0,2.8999999999990145,28.551724137940962,36.65517241380604,,,,,0.49310344827602964
EURUSD,2020-01-31 02:00:00,2020-01-26,1,2,3.5000000000007248,21.17142857142395,27.885714285708485,,,3.799999999998731,3.799999999998731,0.408571428571344
EURUSD,2020-02-06 10:45:00,2020-02-02,1,3,12.099999999999334,-1.0,9.82644628099224,-1.0,5.900826446281254,-1.0,2.5537190082646344,0.1181818181818247
EURUSD,2020-02-07 02:15:00,2020-02-02,1,2,4.300000000001525,-1.0,28.488372093012856,,,-1.0,2.7906976744173075,0.3325581395347658
EURUSD,2020-02-09 19:00:00,2020-02-09,1,1,2.500000000000835,-1.0,57.35999999998092,-1.0,13.119999999995416,,,0.571999999999809
EURUSD,2020-02-10 03:15:00,2020-02-09,1,1,2.7999999999983594,-1.0,52.28571428574567,,,,,0.510714285714585
EURUSD,2020-02-11 02:15:00,2020-02-09,1,3,3.5000000000007248,-1.0,52.79999999998922,-1.0,13.799999999996828,-1.0,2.2571428571419507,0.408571428571344
EURUSD,2020-02-12 00:00:00,2020-02-09,1,1,2.100000000000435,-1.0,86.04761904760137,,,,,0.68095238095224
EURUSD,2020-02-13 03:00:00,2020-02-09,1,0,4.899999999998794,-1.0,43.571428571439704,,,,,0.2918367346939494
