par,dia,asia,ses_alto,ses_bajo
EURUSD,2020-01-01,23.699999999999832,ASIA,NY
EURUSD,2020-01-02,26.299999999999102,NY,LONDRES
EURUSD,2020-01-05,13.799999999999368,LONDRES,ASIA
EURUSD,2020-01-06,24.100000000000232,ASIA,NY
EURUSD,2020-01-07,24.999999999999467,ASIA,NY
EURUSD,2020-01-08,11.299999999998533,ASIA,NY
EURUSD,2020-01-09,9.099999999999664,NY,LONDRES
EURUSD,2020-01-12,15.899999999999803,NY,LONDRES
EURUSD,2020-01-13,13.199999999999878,ASIA,NY
EURUSD,2020-01-14,9.799999999999809,NY,LONDRES
EURUSD,2020-01-15,13.499999999999623,LONDRES,NY
EURUSD,2020-01-16,11.699999999998933,ASIA,NY
EURUSD,2020-01-19,9.900000000000464,ASIA,NY
EURUSD,2020-01-20,10.600000000000609,NY,LONDRES
EURUSD,2020-01-21,11.500000000002064,NY,NY
EURUSD,2020-01-22,19.900000000001583,NY,NY
EURUSD,2020-01-23,13.000000000000789,LONDRES,NY
EURUSD,2020-01-26,13.000000000000789,ASIA,NY
EURUSD,2020-01-27,11.099999999999444,ASIA,NY
EURUSD,2020-01-28,24.899999999998812,ASIA,NY
EURUSD,2020-01-29,10.300000000000864,NY,ASIA
EURUSD,2020-01-30,16.799999999999038,NY,ASIA
EURUSD,2020-02-02,18.599999999999728,ASIA,NY
EURUSD,2020-02-03,15.299999999998093,ASIA,NY
EURUSD,2020-02-04,11.300000000000754,LONDRES,NY
EURUSD,2020-02-05,11.600000000000499,LONDRES,NY
EURUSD,2020-02-06,18.199999999999328,ASIA,NY
EURUSD,2020-02-09,12.299999999998423,ASIA,NY
EURUSD,2020-02-10,11.399999999999189,NY,NY
EURUSD,2020-02-11,22.400000000000198,LONDRES,NY
EURUSD,2020-02-12,14.300000000000423,LONDRES,NY
EURUSD,2020-02-13,16.099999999998893,NY,ASIA
EURUSD,2020-02-16,8.799999999999919,LONDRES,NY
EURUSD,2020-02-17,14.300000000000423,ASIA,NY
EURUSD,2020-02-18,13.199999999999878,LONDRES,NY
EURUSD,2020-02-19,37.400000000000766,NY,ASIA
EURUSD,2020-02-20,11.399999999999189,NY,ASIA
EURUSD,2020-02-23,37.30000000000011,NY,ASIA
EURUSD,2020-02-24,22.500000000000853,NY,LONDRES
EURUSD,2020-02-25,17.199999999999438,LONDRES,NY
EURUSD,2020-02-26,37.30000000000011,NY,ASIA
EURUSD,2020-02-27,25.800000000000267,LONDRES,NY
EURUSD,2020-03-01,42.40000000000021,NY,ASIA
EURUSD,2020-03-02,40.50000000000109,NY,NY
EURUSD,2020-03-03,36.49999999999931,LONDRES,NY
EURUSD,2020-03-04,24.100000000000232,NY,ASIA
EURUSD,2020-03-05,37.50000000000142,NY,ASIA
EURUSD,2020-03-08,139.49999999999906,ASIA,ASIA
EURUSD,2020-03-09,93.19999999999995,ASIA,NY
EURUSD,2020-03-10,65.10000000000015,ASIA,NY
EURUSD,2020-03-11,74.29999999999825,ASIA,NY
EURUSD,2020-03-12,69.09999999999971,ASIA,NY
EURUSD,2020-03-15,96.49999999999936,LONDRES,ASIA
EURUSD,2020-03-16,60.50000000000111,ASIA,NY
EURUSD,2020-03-17,78.70000000000043,ASIA,NY
EURUSD,2020-03-18,103.99999999999964,ASIA,NY
EURUSD,2020-03-19,178.2000000000017,ASIA,ASIA
EURUSD,2020-03-22,110.69999999999912,NY,ASIA
EURUSD,2020-03-23,114.00000000000077,LONDRES,ASIA
EURUSD,2020-03-24,80.4999999999989,NY,ASIA
EURUSD,2020-03-25,59.40000000000056,NY,ASIA
EURUSD,2020-03-26,78.600000000002,NY,NY
EURUSD,2020-03-29,77.70000000000054,ASIA,NY
EURUSD,2020-03-30,59.500000000001215,ASIA,LONDRES
EURUSD,2020-03-31,56.00000000000049,ASIA,LONDRES
EURUSD,2020-04-01,34.19999999999978,ASIA,NY
EURUSD,2020-04-02,31.800000000001827,ASIA,NY
EURUSD,2020-04-05,36.89999999999971,ASIA,NY
EURUSD,2020-04-06,77.49999999999923,NY,ASIA
EURUSD,2020-04-07,72.00000000000095,ASIA,ASIA
EURUSD,2020-04-08,39.29999999999989,NY,ASIA
EURUSD,2020-04-09,29.999999999998916,NY,ASIA
EURUSD,2020-04-12,41.400000000000325,LONDRES,NY
EURUSD,2020-04-13,34.19999999999978,NY,ASIA
EURUSD,2020-04-14,30.999999999998806,ASIA,NY
EURUSD,2020-04-15,42.69999999999996,ASIA,NY
EURUSD,2020-04-16,33.199999999999896,NY,LONDRES
EURUSD,2020-04-19,31.000000000001027,LONDRES,ASIA
