par,t,d,rr,R,neta,tp,p_D5,p_D10,p_D20,p_W3,p_W6,p_W12,bd,fuera
EURUSD,2020-01-04 00:00:00,-1,3.210000000000048,-1.0,-1.0572000000000012,0,0,0,0,0,0,0,-1,False
EURUSD,2020-01-07 12:00:00,1,2.0892857142854995,-1.0,-1.0851190476190413,0,0,0,0,0,0,0,1,False
EURUSD,2020-01-09 12:00:00,1,5.475000000000666,-1.0,-1.1787500000000197,0,0,0,0,0,0,0,-1,False
EURUSD,2020-01-10 00:00:00,1,2.1124260355027773,-1.0,-1.084615384615386,0,1,1,1,0,0,0,-1,False
EURUSD,2020-01-10 12:00:00,1,4.668750000000569,4.668750000000569,4.490000000000549,1,1,1,1,0,0,0,-1,False
EURUSD,2020-01-13 12:00:00,-1,4.098726114649617,-1.0,-1.0910828025477666,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-01-14 00:00:00,-1,2.8319999999999617,-1.0,-1.1144000000000025,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-01-15 00:00:00,1,1.1804347826087216,1.1804347826087216,1.1182608695652425,1,1,1,1,0,0,0,-1,False
EURUSD,2020-01-16 00:00:00,-1,4.9636363636361285,-1.0,-1.1299999999999881,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-01-16 12:00:00,-1,7.437499999999595,-1.0,-1.2979166666666444,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-01-17 00:00:00,-1,0.8022284122563315,0.8022284122563315,0.7623955431755514,1,-1,-1,-1,0,0,0,-1,False
EURUSD,2020-01-21 00:00:00,1,1.5459183673471273,-1.0,-1.0729591836734709,0,1,1,1,0,0,0,1,False
EURUSD,2020-01-22 00:00:00,-1,1.1250000000000762,-0.15853658536581156,-0.202134146341422,0,-1,-1,-1,0,0,0,-1,False
EURUSD,2020-01-23 00:00:00,1,1.1556420233462024,-1.0,-1.0556420233463044,0,1,1,1,0,0,0,1,False
