dia,cierre_min,o,h,l,c,patrones,alcista,bajista,neutro,cierre,cuerpo,pos_cierre,frac_cuerpo,verde,m5tend,m15dir,m15tend,m15pos,suya,lado,R,mot,ocupada,ent_min,rgo,lado_t,neta,res,mismo,toca,mecha,cuerpo_fuera,cerca,hora,lleno
2020-01-15,485,1.11355,1.11368,1.11355,1.1136,ninguno,False,False,False,cierra en medio,cuerpo medio,0.3846153846145962,0.3846153846145962,True,1.0,1.0,-1.0,1.1428571428564631,True,-1,2.0,TP,False,487,2.4,-1,1.4041666666666668,True,False,True,True,False,0.4000000000004,5,False
2020-01-15,520,1.11323,1.11324,1.11292,1.11301,ninguno,False,False,False,cierra en medio,cuerpo lleno,0.2812500000003686,0.6874999999994362,False,-1.0,1.0,1.0,-2.4117647058824296,True,-1,2.0,TP,False,520,2.9,-1,1.506896551724138,True,True,False,False,False,3.99999999999956,40,True
2020-01-15,560,1.11221,1.11231,1.11205,1.11221,doji,False,False,True,cierra en medio,cuerpo pequeño,0.6153846153845497,0.0,False,-1.0,-1.0,-1.0,0.0958904109589082,True,1,2.0,TP,False,562,4.6,1,1.6891304347826086,True,False,False,False,False,4.00000000000178,80,False
2020-02-21,485,1.07903,1.07915,1.07898,1.07906,trompo,False,False,True,cierra en medio,cuerpo pequeño,0.4705882352932725,0.1764705882351404,True,-1.0,-1.0,-1.0,0.4799999999994315,True,1,2.0,TP,False,487,2.2,1,1.35,True,True,False,False,False,4.20000000000087,5,False
2020-02-21,545,1.0796,1.07969,1.07916,1.07921,ninguno,False,False,False,cierra abajo,cuerpo lleno,0.0943396226416833,0.7358490566033704,False,1.0,1.0,1.0,-0.8285714285709754,True,1,2.0,TP,False,547,4.8,1,1.7020833333333334,True,False,True,True,False,2.6999999999999247,65,True
2020-02-21,570,1.08009,1.08031,1.07987,1.08001,trompo+envolvente bajista,False,True,True,cierra en medio,cuerpo pequeño,0.3181818181813823,0.1818181818183653,False,1.0,1.0,1.0,0.4948453608245935,True,-1,2.0,TP,False,574,6.1,-1,1.7655737704918033,True,True,False,False,False,5.299999999999194,90,False
2020-03-16,490,1.11824,1.11888,1.11787,1.11885,ninguno,False,False,False,cierra arriba,cuerpo lleno,0.970297029702781,0.6039603960394972,True,1.0,1.0,1.0,1.3127753303964715,True,1,2.0,TP,False,490,11.8,1,1.8788135593220339,True,True,True,False,True,7.099999999999884,10,True
2020-03-16,570,1.12173,1.12178,1.12102,1.12105,tres cuervos negros,False,True,False,cierra abajo,cuerpo lleno,0.03947368421078,0.8947368421048787,False,-1.0,-1.0,1.0,0.011450381679464,True,-1,2.0,TP,False,570,12.2,-1,1.8827868852459015,True,True,False,False,False,29.100000000001906,90,True
2020-04-08,480,1.08847,1.08878,1.08809,1.08812,cubierta de nube oscura,False,True,False,cierra abajo,cuerpo medio,0.0434782608695232,0.5072463768116409,False,1.0,1.0,1.0,0.4634146341462842,True,-1,2.0,TP,False,481,7.4,-1,1.8067567567567568,True,True,False,False,False,20.700000000000163,0,False
2020-04-08,505,1.08351,1.08382,1.08299,1.08329,trompo,False,False,True,cierra en medio,cuerpo pequeño,0.3614457831327106,0.2650602409636846,False,-1.0,-1.0,-1.0,-0.1121076233183756,True,1,2.0,TP,False,508,10.2,1,1.8598039215686275,True,False,False,False,False,25.899999999998705,25,False
2020-05-01,570,1.09563,1.09578,1.09524,1.0954,ninguno,False,False,False,cierra en medio,cuerpo medio,0.2962962962961897,0.425925925926261,False,-1.0,-1.0,-1.0,0.1666666666665895,True,-1,-1.0,SL,False,570,9.1,-1,-1.157142857142857,True,True,True,True,False,1.40000000000029,90,False
2020-07-03,560,1.12453,1.12468,1.12427,1.12437,cubierta de nube oscura,False,True,False,cierra abajo,cuerpo medio,0.2439024390244827,0.390243902439064,False,1.0,1.0,1.0,0.7619047619048375,True,-1,2.0,TP,False,561,5.9,-1,1.7576271186440677,True,True,False,False,False,5.499999999998284,80,False
2020-09-18,505,1.1851,1.18529,1.18473,1.18496,trompo,False,False,True,cierra en medio,cuerpo pequeño,0.4107142857142786,0.2500000000000991,False,-1.0,-1.0,1.0,-0.31481481481483,True,1,2.0,TP,False,506,6.1,1,1.7655737704918033,True,False,False,False,False,6.6000000000010495,25,False
2020-09-18,550,1.18632,1.1869,1.1863,1.18647,estrella fugaz,False,True,False,cierra en medio,cuerpo pequeño,0.2833333333332655,0.2499999999997224,True,1.0,1.0,1.0,0.8367346938773845,True,-1,2.0,TP,False,550,8.3,-1,1.8277108433734939,True,False,False,False,False,2.8999999999990145,70,False
2020-10-20,540,1.17744,1.17744,1.17666,1.17671,envolvente bajista,False,True,False,cierra abajo,cuerpo lleno,0.0641025641024144,0.9358974358975856,False,-1.0,-1.0,-1.0,0.0632911392403533,True,1,-1.0,SL,False,541,5.3,1,-1.269811320754717,True,False,False,False,False,3.1000000000003247,60,True
2020-10-20,580,1.17638,1.17668,1.17635,1.17665,envolvente alcista,True,False,False,cierra arriba,cuerpo lleno,0.9090909090909702,0.8181818181819405,True,-1.0,1.0,-1.0,1.098360655737621,True,1,2.0,TP,False,581,6.9,1,1.7927536231884058,True,True,True,True,False,2.500000000000835,100,True
2020-10-20,630,1.17855,1.17857,1.17821,1.17833,ninguno,False,False,False,cierra en medio,cuerpo lleno,0.3333333333337445,0.6111111111109397,False,1.0,1.0,1.0,0.5970149253732481,True,-1,-1.0,SL,False,633,8.8,-1,-1.1625,True,True,False,False,False,2.80000000000058,150,True
2020-11-10,630,1.18362,1.18362,1.18299,1.18319,estrella del atardecer,False,True,False,cierra en medio,cuerpo lleno,0.3174603174603286,0.6825396825396713,False,-1.0,-1.0,-1.0,0.1904761904761703,True,-1,2.0,TP,False,630,9.8,-1,1.8540816326530614,True,True,False,False,False,6.500000000000394,150,True
2021-01-27,505,1.21593,1.21608,1.21565,1.2157,ninguno,False,False,False,cierra abajo,cuerpo medio,0.116279069767646,0.5348837209299323,False,-1.0,-1.0,-1.0,-0.1764705882351404,True,-1,2.0,TP,False,506,4.7,-1,1.695744680851064,True,True,False,False,False,3.99999999999956,25,False
2021-02-26,645,1.21422,1.21436,1.21389,1.21389,envolvente bajista,False,True,False,cierra abajo,cuerpo lleno,0.0,0.7021276595745284,False,1.0,1.0,-1.0,0.3370786516853344,True,-1,2.0,TP,False,645,7.3,-1,1.8041095890410959,True,True,False,False,False,1.7000000000000348,165,True
2021-03-02,530,1.20043,1.20101,1.20041,1.20068,ninguno,False,False,False,cierra en medio,cuerpo medio,0.450000000000037,0.4166666666664816,True,-1.0,-1.0,-1.0,0.2158273381294722,True,-1,-1.0,SL,False,531,11.8,-1,-1.1211864406779661,True,False,False,False,False,8.300000000001084,50,False
2021-03-22,490,1.18827,1.18827,1.18757,1.18795,ninguno,False,False,False,cierra en medio,cuerpo medio,0.5428571428572697,0.4571428571427303,False,1.0,1.0,1.0,0.1808510638298023,True,1,2.0,TP,False,491,7.3,1,1.8041095890410959,True,False,False,False,False,5.100000000000104,10,False
2021-03-22,595,1.18989,1.18994,1.18932,1.18964,cubierta de nube oscura,False,True,False,cierra en medio,cuerpo medio,0.5161290322581685,0.4032258064513472,False,1.0,1.0,-1.0,0.1481481481483004,True,1,2.0,TP,False,597,4.8,1,1.7020833333333334,True,False,False,False,False,3.1999999999987594,115,False
2021-04-08,525,1.1869,1.18728,1.18686,1.18726,envolvente alcista,True,False,False,cierra arriba,cuerpo lleno,0.9523809523811538,0.8571428571429327,True,-1.0,1.0,-1.0,0.9649122807019116,True,1,2.0,TP,False,525,4.1,1,1.6512195121951219,True,True,False,False,False,8.20000000000043,45,True
2021-04-08,545,1.18814,1.18814,1.1877,1.18781,cubierta de nube oscura,False,True,False,cierra en medio,cuerpo lleno,0.2500000000001262,0.7499999999998739,False,1.0,1.0,1.0,0.6571428571429357,True,1,2.0,TP,False,545,3.2,1,1.553125,True,False,True,True,False,2.6999999999999247,65,True
2021-04-13,515,1.1897,1.18987,1.18957,1.18966,trompo,False,False,True,cierra en medio,cuerpo pequeño,0.2999999999997779,0.1333333333334813,False,-1.0,-1.0,1.0,-0.0555555555559324,True,-1,2.0,TP,False,515,5.1,-1,1.719607843137255,True,True,False,False,False,10.900000000000354,35,False
2021-04-13,545,1.18845,1.18909,1.18845,1.18877,ninguno,False,False,False,cierra en medio,cuerpo medio,0.5000000000001735,0.5000000000001735,True,-1.0,-1.0,-1.0,0.3333333333333836,True,1,2.0,TP,False,547,5.1,1,1.719607843137255,True,True,True,True,False,2.000000000002,65,False
2021-04-14,565,1.19702,1.19721,1.19636,1.19639,ninguno,False,False,False,cierra abajo,cuerpo lleno,0.035294117647028,0.7411764705881123,False,1.0,-1.0,-1.0,0.2771084337351138,True,-1,-1.0,SL,False,568,4.7,-1,-1.304255319148936,True,True,True,True,False,1.8999999999991248,85,True
2021-04-15,515,1.1973,1.19747,1.19725,1.19744,envolvente alcista,True,False,False,cierra arriba,cuerpo lleno,0.8636363636365472,0.6363636363634528,True,-1.0,-1.0,-1.0,0.2553191489364416,True,1,2.0,TP,False,516,6.3,1,1.773015873015873,True,True,False,False,False,4.80000000000036,35,True
2021-04-16,520,1.19608,1.19652,1.1959,1.19652,ninguno,False,False,False,cierra arriba,cuerpo lleno,1.0,0.7096774193547578,True,-1.0,-1.0,-1.0,0.5779816513762477,True,1,-1.0,SL,False,520,4.3,1,-1.3325581395348838,True,True,False,False,False,9.399999999999409,40,True
2021-05-03,500,1.20171,1.2019,1.20156,1.20184,ninguno,False,False,False,cierra arriba,cuerpo medio,0.8235294117648595,0.3823529411763553,True,-1.0,-1.0,-1.0,0.6136363636363522,True,1,2.0,TP,False,500,5.8,1,1.7534482758620689,True,True,True,True,False,2.20000000000109,20,False
2021-05-03,615,1.20337,1.2034,1.20311,1.20335,ninguno,False,False,False,cierra arriba,cuerpo pequeño,0.8275862068962613,0.0689655172418017,False,-1.0,-1.0,-1.0,0.3934426229508495,True,1,2.0,TP,False,615,5.8,1,1.7534482758620689,True,False,False,False,False,1.900000000001345,135,False
