par,ema,fib,rr,ts,lado,R
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.056895042571815
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.056895042571815
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.056895042571815
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.056895042571815
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.056895042571815
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.0319964199809806
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.0319964199809806
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.0319964199809806
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.0319964199809806
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.0319964199809806
EURUSD,10,0.705,1.0,2020-03-18 12:00:00,1,-1.024469750767888
EURUSD,10,0.705,1.0,2020-03-12 12:00:00,1,-1.0206187053471654
EURUSD,10,0.705,1.0,2020-03-12 12:00:00,1,-1.0206187053471654
EURUSD,10,0.705,1.0,2020-03-26 08:00:00,-1,-1.0199074235199945
EURUSD,10,0.705,1.0,2020-03-24 08:00:00,-1,0.985270563272201
EURUSD,10,0.705,1.0,2020-03-24 08:00:00,-1,0.985270563272201
EURUSD,10,0.705,1.0,2020-03-23 04:00:00,1,0.9727976564134757
EURUSD,10,0.705,1.0,2020-04-02 12:00:00,1,-1.016051184195757
EURUSD,10,0.705,1.0,2020-04-02 12:00:00,1,-1.016051184195757
EURUSD,10,0.705,1.0,2020-04-02 12:00:00,1,-1.016051184195757
EURUSD,10,0.705,1.0,2020-04-17 08:00:00,1,0.9693198884359582
EURUSD,10,0.705,1.0,2020-04-17 08:00:00,1,0.9693198884359582
EURUSD,10,0.705,1.0,2020-04-16 12:00:00,1,-1.0830044114232633
EURUSD,10,0.705,1.0,2020-05-06 08:00:00,1,0.9464960526808092
EURUSD,10,0.705,1.0,2020-05-05 08:00:00,1,0.9384058751319122
EURUSD,10,0.705,1.0,2020-05-05 08:00:00,1,0.9287138584247241
EURUSD,10,0.705,1.0,2020-05-05 08:00:00,1,0.9287138584247241
EURUSD,10,0.705,1.0,2020-05-05 04:00:00,1,-1.0261037028923994
EURUSD,10,0.705,1.0,2020-05-20 12:00:00,-1,0.9606217901939982
EURUSD,10,0.705,1.0,2020-05-20 12:00:00,-1,0.9606217901939982
EURUSD,10,0.705,1.0,2020-05-20 12:00:00,-1,0.9606217901939982
EURUSD,10,0.705,1.0,2020-05-20 12:00:00,-1,0.9606217901939982
EURUSD,10,0.705,1.0,2020-06-09 08:00:00,1,0.9710772217952346
