tf,ema,fib,rr,filtro,n,R,z,fuente
15,10,0.382,1.0,sin filtro,51150,-0.2424803165922268,-54.500815176020566,real
15,10,0.382,1.0,K<=20/>=80,4320,-0.1570915677803263,-10.256034722968808,real
15,10,0.382,1.0,K<=30/>=70,7947,-0.22156524250739568,-19.563518259053335,real
15,10,0.382,1.0,cruce K>D,16677,-0.2825205973494826,-36.25319287383331,real
15,10,0.382,2.0,sin filtro,49065,-0.2738204069290373,-44.09517295978323,real
15,10,0.382,2.0,K<=20/>=80,3850,-0.27534464064167724,-12.546449043610508,real
15,10,0.382,2.0,K<=30/>=70,7242,-0.29034400771019425,-18.13515261411866,real
15,10,0.382,2.0,cruce K>D,16266,-0.2812897747845155,-25.890222822361647,real
15,10,0.382,3.0,sin filtro,47153,-0.3475876964959856,-46.67514599191736,real
15,10,0.382,3.0,K<=20/>=80,3528,-0.4667845967280988,-18.45741960522462,real
15,10,0.382,3.0,K<=30/>=70,6729,-0.4433001934915817,-23.739043490658137,real
15,10,0.382,3.0,cruce K>D,15848,-0.3221336223428172,-24.507982787166714,real
15,10,0.5,1.0,sin filtro,47639,-0.24547834477280508,-53.16414032988489,real
15,10,0.5,1.0,K<=20/>=80,6173,-0.19528465719371974,-15.29321064190203,real
15,10,0.5,1.0,K<=30/>=70,10467,-0.2474482169562298,-25.168534296441653,real
15,10,0.5,1.0,cruce K>D,13747,-0.31409351410130726,-36.59573099962906,real
15,10,0.5,2.0,sin filtro,46325,-0.25042408194341675,-38.58404939331714,real
15,10,0.5,2.0,K<=20/>=80,5732,-0.20772507959831293,-11.262711183616185,real
15,10,0.5,2.0,K<=30/>=70,9849,-0.24785986014685646,-17.724310811844717,real
15,10,0.5,2.0,cruce K>D,13507,-0.3057402155737897,-25.64297287716782,real
15,10,0.5,3.0,sin filtro,45038,-0.2959823682750281,-37.57356576314293,real
15,10,0.5,3.0,K<=20/>=80,5341,-0.37983662700481635,-17.51213789261116,real
15,10,0.5,3.0,K<=30/>=70,9309,-0.3674401089212048,-22.088628765839385,real
15,10,0.5,3.0,cruce K>D,13226,-0.3256939839137063,-22.419174817541165,real
