tf,ema,fib,rr,lado,n,R,z,fuente
15,10,0.382,1.0,todo,51150,-0.2424803165922268,-54.500815176020566,real
15,10,0.382,1.0,compras,25741,-0.26299292698992,-42.01707036572678,real
15,10,0.382,1.0,ventas,25409,-0.22169968357845124,-35.06422964899023,real
15,10,0.382,2.0,todo,49065,-0.2738204069290373,-44.09517295978323,real
15,10,0.382,2.0,compras,24781,-0.28756642888922607,-33.04468833368484,real
15,10,0.382,2.0,ventas,24284,-0.259793056813923,-29.31408163799155,real
15,10,0.382,3.0,todo,47153,-0.3475876964959856,-46.67514599191736,real
15,10,0.382,3.0,compras,23870,-0.351968679337368,-33.670593197670684,real
15,10,0.382,3.0,ventas,23283,-0.3430962623842389,-32.33178352811981,real
15,10,0.5,1.0,todo,47639,-0.24547834477280508,-53.16414032988489,real
15,10,0.5,1.0,compras,24055,-0.25806129507769326,-39.77692426196993,real
15,10,0.5,1.0,ventas,23584,-0.2326440982673741,-35.399135095849786,real
15,10,0.5,2.0,todo,46325,-0.25042408194341675,-38.58404939331714,real
15,10,0.5,2.0,compras,23454,-0.2549446281444667,-27.984047450329076,real
15,10,0.5,2.0,ventas,22871,-0.2457883034204214,-26.575326714116887,real
15,10,0.5,3.0,todo,45038,-0.2959823682750281,-37.57356576314293,real
15,10,0.5,3.0,compras,22869,-0.2927121777956274,-26.43749211222834,real
15,10,0.5,3.0,ventas,22169,-0.29935581705816744,-26.70387064744038,real
15,10,0.618,1.0,todo,41726,-0.28265884636782196,-57.301305031212394,real
15,10,0.618,1.0,compras,20928,-0.290241652827173,-41.75653601582668,real
15,10,0.618,1.0,ventas,20798,-0.2750286428106867,-39.282345754495125,real
15,10,0.618,2.0,todo,40991,-0.25198070064224853,-36.226144505536986,real
15,10,0.618,2.0,compras,20537,-0.265852753832089,-27.19419886898912,real
15,10,0.618,2.0,ventas,20454,-0.2380523562421433,-24.052587615242174,real
15,10,0.618,3.0,todo,40234,-0.2729555668600394,-32.093720214354086,real
15,10,0.618,3.0,compras,20195,-0.2754619674411658,-22.994579863552335,real
15,10,0.618,3.0,ventas,20039,-0.2704296544025392,-22.392384486598313,real
15,10,0.705,1.0,todo,34903,-0.33974247078030023,-63.004282647775874,real
15,10,0.705,1.0,compras,17438,-0.34879335557960345,-45.81608258139208,real
15,10,0.705,1.0,ventas,17465,-0.33070557818767204,-43.29420558858872,real
15,10,0.705,2.0,todo,34459,-0.2873492858446313,-37.934828334969914,real
15,10,0.705,2.0,compras,17232,-0.29586343086763844,-27.713193312158992,real
15,10,0.705,2.0,ventas,17227,-0.27883266965861764,-25.941010586459655,real
15,10,0.705,3.0,todo,34075,-0.2723537074973145,-29.164552919141954,real
15,10,0.705,3.0,compras,17034,-0.29196820442091903,-22.279514564893425,real
15,10,0.705,3.0,ventas,17041,-0.25274726769937556,-18.99446976420661,real
15,10,0.786,1.0,todo,25482,-0.4088091862766338,-65.13044718118341,real
15,10,0.786,1.0,compras,12697,-0.41150441393329157,-46.34458667343597,real
15,10,0.786,1.0,ventas,12785,-0.40613251005007267,-45.76460867843226,real
15,10,0.786,2.0,todo,25274,-0.32947507533102427,-37.4005854197928,real
15,10,0.786,2.0,compras,12610,-0.33267648433866825,-26.72413350389723,real
15,10,0.786,2.0,ventas,12664,-0.3262873173093571,-26.169227101948664,real
15,10,0.786,3.0,todo,25006,-0.31535522745990646,-29.08159970549766,real
15,10,0.786,3.0,compras,12490,-0.3205289808045259,-20.95026572227864,real
15,10,0.786,3.0,ventas,12516,-0.3101922217652519,-20.179540964453665,real
15,20,0.382,1.0,todo,56631,-0.2842844858043575,-67.45184850459299,real
15,20,0.382,1.0,compras,28342,-0.3078759735979775,-51.86243348736109,real
15,20,0.382,1.0,ventas,28289,-0.2606487988925974,-43.578241184513914,real
15,20,0.382,2.0,todo,54233,-0.32544035743578315,-56.11470725469913,real
15,20,0.382,2.0,compras,27257,-0.33953499640085144,-41.70522412243482,real
15,20,0.382,2.0,ventas,26976,-0.3111988993148287,-37.66560981070813,real
15,20,0.382,3.0,todo,52098,-0.4050154326675882,-58.8193598097715,real
15,20,0.382,3.0,compras,26242,-0.4055329230240058,-41.786963869628856,real
15,20,0.382,3.0,ventas,25856,-0.4044902167821803,-41.394475572357464,real
15,20,0.5,1.0,todo,53057,-0.276402057210481,-63.25270247588371,real
15,20,0.5,1.0,compras,26616,-0.2887593035388832,-46.91794267759452,real
15,20,0.5,1.0,ventas,26441,-0.26396302433438884,-42.544087682879315,real
15,20,0.5,2.0,todo,51559,-0.2871371713802945,-47.21291708992951,real
15,20,0.5,2.0,compras,25941,-0.29436657225630314,-34.42596825336337,real
15,20,0.5,2.0,ventas,25618,-0.2798166198881975,-32.34263445302062,real
15,20,0.5,3.0,todo,50072,-0.3411875395069904,-46.576055046332954,real
15,20,0.5,3.0,compras,25291,-0.3402047124604801,-32.99323008013704,real
15,20,0.5,3.0,ventas,24781,-0.3421905934125346,-32.874953798643546,real
15,20,0.618,1.0,todo,46836,-0.3002162807658821,-64.50463656627257,real
15,20,0.618,1.0,compras,23373,-0.30926765208149043,-47.063266285103495,real
15,20,0.618,1.0,ventas,23463,-0.29119962894131945,-44.173456455953655,real
15,20,0.618,2.0,todo,45979,-0.27656879887188046,-42.41734111735406,real
15,20,0.618,2.0,compras,22914,-0.29645329590655844,-32.344045618919424,real
15,20,0.618,2.0,ventas,23065,-0.2568144799881774,-27.693482124000518,real
15,20,0.618,3.0,todo,45109,-0.3020882184742188,-38.06461418474524,real
15,20,0.618,3.0,compras,22529,-0.31035924358095063,-27.766201265982268,real
15,20,0.618,3.0,ventas,22580,-0.2938358746022276,-26.074864741674283,real
15,20,0.705,1.0,todo,39579,-0.34240915241963216,-67.59113028052903,real
15,20,0.705,1.0,compras,19708,-0.3573294010125874,-49.90899160119223,real
15,20,0.705,1.0,ventas,19871,-0.32761129326458405,-45.709073060705634,real
15,20,0.705,2.0,todo,39067,-0.2984293899022369,-42.09504454534111,real
15,20,0.705,2.0,compras,19457,-0.315579867666846,-31.605804429311046,real
15,20,0.705,2.0,ventas,19610,-0.28141272259647454,-27.95992526443474,real
15,20,0.705,3.0,todo,38608,-0.2862102679062966,-32.80758063401372,real
15,20,0.705,3.0,compras,19223,-0.317576629754615,-26.009159685952497,real
15,20,0.705,3.0,ventas,19385,-0.2551060340239018,-20.47820494631246,real
15,20,0.786,1.0,todo,29309,-0.40792904262268004,-69.64038224828323,real
15,20,0.786,1.0,compras,14571,-0.41058984756221606,-49.45011218842801,real
15,20,0.786,1.0,ventas,14738,-0.40529838793588546,-49.03690353308264,real
15,20,0.786,2.0,todo,29058,-0.33608864888170564,-40.99216196018892,real
15,20,0.786,2.0,compras,14471,-0.3426195246606238,-29.563110556163764,real
15,20,0.786,2.0,ventas,14587,-0.32960970849665555,-28.413894537100735,real
15,20,0.786,3.0,todo,28760,-0.3221432978661625,-31.95053679030999,real
15,20,0.786,3.0,compras,14335,-0.3360069259065627,-23.663609292459466,real
15,20,0.786,3.0,ventas,14425,-0.30836616733173366,-21.538567371394937,real
15,50,0.382,1.0,todo,62164,-0.40542231804587997,-102.42441811114155,real
15,50,0.382,1.0,compras,30864,-0.42960830016530005,-77.04022713689552,real
15,50,0.382,1.0,ventas,31300,-0.3815732397029477,-67.95460749920443,real
15,50,0.382,2.0,todo,59765,-0.4514719903082,-85.66514137718939,real
15,50,0.382,2.0,compras,29765,-0.46423018721773585,-62.57418058212545,real
15,50,0.382,2.0,ventas,30000,-0.43881373260778894,-58.617222309686774,real
15,50,0.382,3.0,todo,57693,-0.5282133330032459,-86.04949132104225,real
15,50,0.382,3.0,compras,28812,-0.5258251663861138,-60.46459196968694,real
15,50,0.382,3.0,ventas,28881,-0.5305957940181972,-61.22731303094805,real
15,50,0.5,1.0,todo,58119,-0.3885910084306104,-94.05261263546771,real
15,50,0.5,1.0,compras,28945,-0.40402065322288916,-69.34654806299957,real
15,50,0.5,1.0,ventas,29174,-0.37328247794070474,-63.719246231241264,real
15,50,0.5,2.0,todo,56600,-0.3999922860594208,-71.41356055863618,real
15,50,0.5,2.0,compras,28269,-0.41119413097384566,-52.16930289186964,real
15,50,0.5,2.0,ventas,28331,-0.3888149554362208,-48.84910524474078,real
15,50,0.5,3.0,todo,55158,-0.45820707712500564,-69.10951222647489,real
15,50,0.5,3.0,compras,27634,-0.45992503754083525,-49.17189464009416,real
15,50,0.5,3.0,ventas,27524,-0.4564822508595268,-48.5631900838767,real
15,50,0.618,1.0,todo,51196,-0.3929382092509659,-88.86050718272078,real
15,50,0.618,1.0,compras,25445,-0.4076792916076169,-65.27024427610398,real
15,50,0.618,1.0,ventas,25751,-0.3783722956722705,-60.44693317680545,real
15,50,0.618,2.0,todo,50283,-0.374969264309301,-61.80640627913884,real
15,50,0.618,2.0,compras,24955,-0.4050131966737272,-47.63330274560994,real
15,50,0.618,2.0,ventas,25328,-0.34536778246492905,-39.9285935272179,real
15,50,0.618,3.0,todo,49416,-0.4006022065342128,-54.837408235731736,real
15,50,0.618,3.0,compras,24569,-0.4204759791510068,-41.01839921262354,real
15,50,0.618,3.0,ventas,24847,-0.3809507910948434,-36.60343139875322,real
15,50,0.705,1.0,todo,43031,-0.4120963239695242,-85.27567341248655,real
15,50,0.705,1.0,compras,21352,-0.4284762521633088,-62.65922387852039,real
15,50,0.705,1.0,ventas,21679,-0.3959634660520147,-57.988228289075174,real
15,50,0.705,2.0,todo,42516,-0.3743864765766724,-56.22258718844036,real
15,50,0.705,2.0,compras,21089,-0.3993204071402928,-42.63043040993455,real
15,50,0.705,2.0,ventas,21427,-0.3498458660546119,-36.9726180456284,real
15,50,0.705,3.0,todo,42042,-0.3656018945733617,-44.959883317268165,real
15,50,0.705,3.0,compras,20852,-0.4069912913688589,-35.89184818217127,real
15,50,0.705,3.0,ventas,21190,-0.3248726967451547,-27.89512428261822,real
15,50,0.786,1.0,todo,31575,-0.450384957140143,-80.1748435003255,real
15,50,0.786,1.0,compras,15684,-0.4533653017062666,-56.84486606257965,real
15,50,0.786,1.0,ventas,15891,-0.4474434352614014,-56.539411483936654,real
15,50,0.786,2.0,todo,31323,-0.38245607623424294,-49.04334935625135,real
15,50,0.786,2.0,compras,15582,-0.39593801978622817,-35.95692563025476,real
15,50,0.786,2.0,ventas,15741,-0.36911031393025767,-33.421144583976044,real
15,50,0.786,3.0,todo,31028,-0.367042942368874,-38.40371294321242,real
15,50,0.786,3.0,compras,15437,-0.3924368708738736,-29.262405103438176,real
15,50,0.786,3.0,ventas,15591,-0.3418998422257351,-25.110263130884693,real
15,100,0.382,1.0,todo,64668,-0.4783742461531114,-125.43041792916937,real
15,100,0.382,1.0,compras,31835,-0.4970585048266328,-92.22101161326957,real
15,100,0.382,1.0,ventas,32833,-0.4602579188339035,-85.3262647796291,real
15,100,0.382,2.0,todo,62377,-0.5252633087180649,-105.30902018127513,real
15,100,0.382,2.0,compras,30785,-0.5352596040018351,-75.92585961492702,real
15,100,0.382,2.0,ventas,31592,-0.5155223632156951,-73.05884252369215,real
15,100,0.382,3.0,todo,60472,-0.5933034554293475,-102.90535644503224,real
15,100,0.382,3.0,compras,29929,-0.5940547428069961,-72.6033045936143,real
15,100,0.382,3.0,ventas,30543,-0.5925672710360118,-72.92674768836149,real
15,100,0.5,1.0,todo,60367,-0.4590864265919052,-114.77719382777562,real
15,100,0.5,1.0,compras,29836,-0.47341181391117576,-83.7288980569144,real
15,100,0.5,1.0,ventas,30531,-0.4450871387841768,-78.67687152602437,real
15,100,0.5,2.0,todo,58916,-0.47294837015242563,-88.57525407869635,real
15,100,0.5,2.0,compras,29189,-0.48352846449979064,-64.15687419685585,real
15,100,0.5,2.0,ventas,29727,-0.4625597546209142,-61.15094340002952,real
15,100,0.5,3.0,todo,57532,-0.5309049142443278,-84.81873362652249,real
15,100,0.5,3.0,compras,28583,-0.5376340863507855,-60.8546506532048,real
15,100,0.5,3.0,ventas,28949,-0.5242608185477968,-59.11576196620696,real
15,100,0.618,1.0,todo,52873,-0.46357074944891247,-107.79161094302655,real
15,100,0.618,1.0,compras,26121,-0.48027094948628446,-78.94781203497206,real
15,100,0.618,1.0,ventas,26752,-0.4472644573893957,-73.58418685813261,real
15,100,0.618,2.0,todo,52017,-0.4420396499835385,-75.78058615415725,real
15,100,0.618,2.0,compras,25660,-0.4743097443880973,-57.990419732120415,real
15,100,0.618,2.0,ventas,26357,-0.41062292492298624,-49.41618427442713,real
15,100,0.618,3.0,todo,51203,-0.4691191636500403,-67.29684724709675,real
15,100,0.618,3.0,compras,25300,-0.49388336494855356,-50.52851897455408,real
15,100,0.618,3.0,ventas,25903,-0.4449314520779295,-44.787169302524795,real
15,100,0.705,1.0,todo,44041,-0.4720073815546814,-99.72015360060252,real
15,100,0.705,1.0,compras,21735,-0.48872995981048484,-72.85074869167576,real
15,100,0.705,1.0,ventas,22306,-0.455712876112653,-68.24949897729084,real
15,100,0.705,2.0,todo,43545,-0.4346723445418968,-67.3221010480258,real
15,100,0.705,2.0,compras,21477,-0.4645188059682783,-51.17414956140301,real
15,100,0.705,2.0,ventas,22068,-0.4056251969954768,-44.20480295560249,real
15,100,0.705,3.0,todo,43105,-0.4252886243474939,-54.18890291315168,real
15,100,0.705,3.0,compras,21261,-0.4724681479722416,-43.25830326363341,real
15,100,0.705,3.0,ventas,21844,-0.37936828687332436,-33.709871958225406,real
15,100,0.786,1.0,todo,32006,-0.49456742345329807,-89.30553056493268,real
15,100,0.786,1.0,compras,15862,-0.49502594260441835,-62.88592611995937,real
15,100,0.786,1.0,ventas,16144,-0.49411691361837057,-63.408135923241005,real
15,100,0.786,2.0,todo,31761,-0.43467361558335066,-57.03513807730334,real
15,100,0.786,2.0,compras,15764,-0.44864673199445493,-41.69529528623052,real
15,100,0.786,2.0,ventas,15997,-0.4209040208402959,-38.99474126582011,real
15,100,0.786,3.0,todo,31469,-0.4172460897927036,-44.792211088106804,real
15,100,0.786,3.0,compras,15617,-0.44179697281259966,-33.795811010844616,real
15,100,0.786,3.0,ventas,15852,-0.39305916447591593,-29.624911385081397,real
15,200,0.382,1.0,todo,65607,-0.5298879663695419,-142.26400114669264,real
15,200,0.382,1.0,compras,32256,-0.5442566235068925,-103.29636798429989,real
15,200,0.382,1.0,ventas,33351,-0.5159910695861657,-98.02761763023044,real
15,200,0.382,2.0,todo,63480,-0.5760605351851673,-119.65490227303317,real
15,200,0.382,2.0,compras,31267,-0.5844821944054933,-85.84161402977291,real
15,200,0.382,2.0,ventas,32213,-0.5678861950478956,-83.43245674650551,real
15,200,0.382,3.0,todo,61748,-0.6365887893889252,-114.82032285259098,real
15,200,0.382,3.0,compras,30487,-0.6404829879857569,-81.57078107504698,real
15,200,0.382,3.0,ventas,31261,-0.6327910083639546,-80.8271825145723,real
15,200,0.5,1.0,todo,61112,-0.5133009055327598,-131.00070978292334,real
