tf,ema,fib,rr,n,bruto,zb,neto,zn,coste
15,10,0.382,1.0,51144,-0.05916627561395276,-13.403827246669449,-0.2223576897030231,-49.983136349844166,0.16319141408907037
15,10,0.382,2.0,49034,-0.08520618346453482,-13.660897522974446,-0.25268602737667906,-40.442030340973986,0.1674798439121442
15,10,0.382,3.0,47101,-0.1558565635549139,-20.72377163529839,-0.3268802646149458,-43.49266767406981,0.17102370106003187
15,10,0.5,1.0,47626,-0.025784235501616765,-5.628804524006104,-0.2162632824747808,-46.8732952044244,0.19047904697316403
15,10,0.5,2.0,46290,-0.023590408295528192,-3.610746777195983,-0.21737318718636703,-33.21644371261894,0.19378277889083884
15,10,0.5,3.0,44989,-0.06519371401898241,-8.168913382422854,-0.2618495912312064,-32.817843122718564,0.19665587721222402
15,10,0.618,1.0,41701,-0.016906069398815376,-3.452810532185342,-0.24031844382832046,-48.72135129410601,0.22341237442950507
15,10,0.618,2.0,40959,0.022705632461730022,3.2314094144196552,-0.20309385583246703,-28.85999681127675,0.22579948829419705
15,10,0.618,3.0,40182,0.006719426608929371,0.7759158922976586,-0.22126865488022035,-25.554134335266884,0.22798808148914967
15,10,0.705,1.0,34879,-0.023653201066544338,-4.41862588564745,-0.27581108545088506,-51.109937448433506,0.2521578843843407
15,10,0.705,2.0,34429,0.04493305062592582,5.833064144086481,-0.2090263939834519,-27.110889129025757,0.25395944460937775
15,10,0.705,3.0,34038,0.0671602326811211,7.003721120890679,-0.18829608415981858,-19.64157861087441,0.2554563168409397
15,10,0.786,1.0,25459,-0.03994658077693546,-6.378793425078827,-0.32297853861509934,-51.18500249896551,0.2830319578381639
15,10,0.786,2.0,25240,0.058201267828843106,6.450335018523378,-0.2259427489385854,-25.024451046609997,0.2841440167674285
15,10,0.786,3.0,24969,0.08678761664463935,7.707104108011393,-0.19866445348448997,-17.657239513779338,0.2854520701291293
15,20,0.382,1.0,56625,-0.10392935982339956,-24.86547494544881,-0.26314716475171,-62.390247939529,0.1592178049283105
15,20,0.382,2.0,54199,-0.13994723149873614,-24.015512580507554,-0.3034835077357555,-51.95445794158263,0.16353627623701936
15,20,0.382,3.0,52040,-0.21529592621060722,-30.919812717029885,-0.38233266458413157,-54.917452997244496,0.16703673837352434
15,20,0.5,1.0,53044,-0.06006334363924289,-13.858248432036076,-0.246295079065092,-56.356009703082584,0.1862317354258491
15,20,0.5,2.0,51519,-0.06457811681127351,-10.547400835969041,-0.25412732992029746,-41.40851224674485,0.1895492131090239
15,20,0.5,3.0,50017,-0.11542075694263951,-15.54932960628651,-0.307880638786775,-41.464061497905696,0.1924598818441356
15,20,0.618,1.0,46810,-0.0391369365520188,-8.473920186458312,-0.25817314390130974,-55.42962462894854,0.21903620734929094
15,20,0.618,2.0,45938,-0.007292437633331882,-1.107230521679977,-0.22879060431360884,-34.66271293943075,0.22149816668027697
15,20,0.618,3.0,45046,-0.02863739288727079,-3.5435816398209274,-0.25235870184387593,-31.222865355970317,0.22372130895660516
15,20,0.705,1.0,39554,-0.03281589725438641,-6.529921585699022,-0.2810085531800552,-55.4005838485187,0.24819265592566878
15,20,0.705,2.0,39031,0.02649176295764905,3.67716341017501,-0.2235372538571371,-30.97673914466049,0.2500290168147861
15,20,0.705,3.0,38562,0.0442404439603755,4.944914814983509,-0.20737510285591623,-23.172115252054965,0.2516155468162917
15,20,0.786,1.0,29285,-0.043127881167833365,-7.387161509046253,-0.32269677582434375,-54.80209900537356,0.27956889465651036
15,20,0.786,2.0,29023,0.04627364504014058,5.513696658620276,-0.2344503920471811,-27.899637660443428,0.28072403708732163
15,20,0.786,3.0,28717,0.07462478671170387,7.132238538503032,-0.20742461255603337,-19.82894180926054,0.28204939926773726
15,50,0.382,1.0,62158,-0.21113935454808713,-53.85388129450292,-0.37597841737963084,-94.55242457954995,0.16483906283154373
15,50,0.382,2.0,59736,-0.25120530333467256,-47.28836584785682,-0.420221946659951,-78.69215661765787,0.16901664332527844
15,50,0.382,3.0,57639,-0.32365238813997466,-51.82514058783694,-0.49596407018319777,-79.27915613527568,0.1723116820432231
15,50,0.5,1.0,58107,-0.15975700001720963,-39.01076201571202,-0.3506145563807782,-84.49543824485892,0.1908575563635686
15,50,0.5,2.0,56569,-0.16335802294542948,-28.87964538158219,-0.35744667115450596,-62.88082833770823,0.19408864820907654
15,50,0.5,3.0,55109,-0.21820392313415232,-32.29359215275411,-0.4150257937541806,-61.30056488478102,0.1968218706200283
15,50,0.618,1.0,51169,-0.11962320936504524,-27.25488991681744,-0.3423954792077498,-77.035807362646,0.22277226984270465
15,50,0.618,2.0,50239,-0.09341348354863752,-15.19825064290433,-0.3187219685702963,-51.614443033556675,0.2253084850216588
15,50,0.618,3.0,49358,-0.11374042708375542,-15.211343012882171,-0.34115713949920884,-45.55006550862408,0.2274167124154534
15,50,0.705,1.0,43007,-0.09172925337735717,-19.103249450391157,-0.34271402572742043,-70.50394617889317,0.2509847723500633
15,50,0.705,2.0,42477,-0.040680839042305246,-5.992286989439821,-0.29343845896070475,-43.07026312757814,0.2527576199183995
15,50,0.705,3.0,41993,-0.02526611578120163,-3.01506679974464,-0.279624126587994,-33.326318373138534,0.25435801080679243
15,50,0.786,1.0,31553,-0.07641111780179381,-13.612615070716073,-0.3569766185004128,-62.96477721535139,0.28056550069861896
15,50,0.786,2.0,31288,0.009652262848376374,1.2043721656131188,-0.27202609872462125,-33.86696803522178,0.2816783615729976
15,50,0.786,3.0,30984,0.0386005680351149,3.8742055319652065,-0.24437341931619613,-24.518214723686956,0.282973987351311
15,100,0.382,1.0,64662,-0.275370387553741,-72.83870918320787,-0.44522129285683126,-115.82495909324867,0.16985090530309024
15,100,0.382,2.0,62348,-0.3157759671521139,-62.63822190261854,-0.48963086787110605,-96.45439753854347,0.17385490071899215
15,100,0.382,3.0,60417,-0.37990962808481055,-64.50245522887084,-0.5568284037787182,-94.27967923161312,0.17691877569390757
15,100,0.5,1.0,60356,-0.22102193651004043,-55.675953021480964,-0.41678601144608257,-103.39613198853047,0.19576407493604212
15,100,0.5,2.0,58887,-0.227571450405013,-42.09968288735451,-0.42643328161023036,-78.37024726145663,0.19886183120521744
15,100,0.5,3.0,57483,-0.28110919750187013,-43.88329049506341,-0.4826127001996534,-75.09662726479148,0.20150350269778328
15,100,0.618,1.0,52847,-0.18167540257725132,-42.47078526314554,-0.4090457935175867,-94.25403275600738,0.2273703909403354
15,100,0.618,2.0,51974,-0.15121022049486282,-25.51106226063561,-0.3809898609800075,-63.90003793315518,0.22977964048514465
15,100,0.618,3.0,51147,-0.17305022777484505,-24.160169289597075,-0.40482127679055674,-56.368276962402085,0.23177104901571172
15,100,0.705,1.0,44019,-0.1463231786274109,-31.03330273556883,-0.40051460659928756,-83.7609447001132,0.25419142797187666
15,100,0.705,2.0,43509,-0.09673860580569538,-14.662415214773429,-0.3526523738581438,-53.18963755656782,0.25591376805244836
15,100,0.705,3.0,43059,-0.07921688845537518,-9.762159383515922,-0.3366418671272468,-41.40111547754572,0.2574249786718716
15,100,0.786,1.0,31986,-0.11598824485712499,-20.88470399090777,-0.3986217978375969,-71.01703914778416,0.2826335529804719
15,100,0.786,2.0,31728,-0.039901664145234494,-5.078588659183252,-0.32361205415712196,-41.063041826316834,0.28371039001188747
15,100,0.786,3.0,31426,-0.009100744606376885,-0.9342894719684055,-0.29409822340818814,-30.162569201233424,0.28499747880181125
15,200,0.382,1.0,65602,-0.3206914423340752,-86.71782487635282,-0.4944823646097473,-131.35406833330336,0.17379092227567214
15,200,0.382,2.0,63450,-0.36,-73.78513957453694,-0.5375667990861871,-109.31862583489644,0.17756679908618708
15,200,0.382,3.0,61690,-0.41676122548225,-73.32645041180882,-0.5971914902043847,-104.71566423896765,0.18043026472213472
15,200,0.5,1.0,61102,-0.26928742103368136,-69.11732892942419,-0.46879080406529217,-118.34617535075421,0.19950338303161078
