tf,ema,fib,rr,n,bruto,zb,neto,zn,coste
15,10,0.382,1.0,51171,-0.019757284399366828,-4.470125743906758,-0.18293570923441424,-41.16498608522601,0.16317842483504744
15,10,0.382,2.0,49087,-0.0860716686699126,-13.810784909091085,-0.25350752120034037,-40.61879390676158,0.16743585253042778
15,10,0.382,3.0,47168,-0.16824966078697423,-22.509566572364147,-0.33920374807045733,-45.401568786905685,0.1709540872834831
15,10,0.5,1.0,47692,0.05212614274930806,11.398944124962716,-0.13828020601464205,-30.133812797885113,0.19040634876395013
15,10,0.5,2.0,46347,-0.016247006278723542,-2.4835023522600146,-0.20997114544917475,-32.058543548762735,0.1937241391704512
15,10,0.5,3.0,45057,-0.08329449364138758,-10.516474794969293,-0.2798675190363609,-35.336639455036504,0.19657302539497334
15,10,0.618,1.0,41789,0.15848668309842304,32.812743972684025,-0.06473952065694656,-13.389669407697943,0.22322620375536956
15,10,0.618,2.0,41007,0.05113761065183993,7.235087051282212,-0.17460438608692944,-24.700434384372247,0.22574199673876938
15,10,0.618,3.0,40256,-0.008346581875993641,-0.9695599835044346,-0.23622377679539885,-27.44743794093912,0.22787719491940517
15,10,0.705,1.0,34968,0.22391901166781056,42.9625739377766,-0.02804563407015866,-5.362895550013448,0.25196464573796923
15,10,0.705,2.0,34499,0.12194556363952579,15.60353441987287,-0.13186082537667237,-16.888186813362342,0.2538063890161982
15,10,0.705,3.0,34092,0.0463451836207908,4.867512976899399,-0.2090374456084239,-21.963565841091377,0.2553826292292146
15,10,0.786,1.0,25537,0.2588009554763676,42.815039879769365,-0.023989763103432843,-3.944670823339613,0.2827907185798005
15,10,0.786,2.0,25297,0.21318733446653754,23.02946669327203,-0.0708277571891621,-7.664408150535101,0.28401509165569966
15,10,0.786,3.0,25034,0.11080929935288009,9.786441421917836,-0.17449075422568322,-15.434987042713702,0.2853000535785633
15,20,0.382,1.0,56651,-0.0751090007237295,-17.927528257275075,-0.2343150277867105,-55.50900421515084,0.15920602706298104
15,20,0.382,2.0,54253,-0.14506110261183713,-24.950053346730442,-0.30855769509828435,-52.944836819295595,0.16349659248644718
15,20,0.382,3.0,52113,-0.23097883445589393,-33.45067248436977,-0.3979478008793993,-57.61560400766787,0.16696896642350542
15,20,0.5,1.0,53113,-0.0019016060098281024,-0.43824569067344393,-0.18806427349443755,-43.084101786988526,0.18616266748460944
15,20,0.5,2.0,51578,-0.06431036488425297,-10.508860004613025,-0.2538020593563325,-41.37803155076754,0.18949169447207953
15,20,0.5,3.0,50092,-0.13487183582208737,-18.329516092681118,-0.32724923652568516,-44.446013731758285,0.1923774007035978
15,20,0.618,1.0,46900,0.10434968017057569,22.722199367418497,-0.11452911070735358,-24.852165525387072,0.21887879087792927
15,20,0.618,2.0,45995,0.011501250135884336,1.7392009589738577,-0.20991926724203852,-31.705876131206203,0.22142051737792284
15,20,0.618,3.0,45127,-0.04748819996897644,-5.920970931459641,-0.2710888770311424,-33.795109078489496,0.22360067706216594
15,20,0.705,1.0,39657,0.18652444713417554,37.80764409545234,-0.06146536682070645,-12.39541946027892,0.24798981395488198
15,20,0.705,2.0,39110,0.08793147532600358,12.056748964688902,-0.16193424538830162,-22.202120815083113,0.24986572071430518
15,20,0.705,3.0,38622,0.02035109523069753,2.2937293909299563,-0.23117231781175338,-26.048113965993846,0.2515234130424509
15,20,0.786,1.0,29369,0.2431475365180973,42.95760974684149,-0.03619044651030881,-6.345700696973418,0.2793379830284061
15,20,0.786,2.0,29082,0.17835774706003713,20.759960354414666,-0.10225159306550807,-11.911503924376833,0.28060934012554517
15,20,0.786,3.0,28788,0.08434069751285257,8.047928805465673,-0.19755729884298687,-18.865482508792915,0.28189799635583945
15,50,0.382,1.0,62175,-0.20109368717330117,-51.187801015658486,-0.36592395273442907,-91.85628159175599,0.1648302655611279
15,50,0.382,2.0,59785,-0.26832817596387054,-50.926948430461636,-0.4373136610875966,-82.51291684754464,0.16898548512372613
15,50,0.382,3.0,57708,-0.3505926388022458,-57.09494031449697,-0.5228386282156441,-84.9182885899667,0.17224598941339833
15,50,0.5,1.0,58168,-0.12787099436116078,-31.09498099680051,-0.3186593937315106,-76.5517054961882,0.19078839937034986
15,50,0.5,2.0,56611,-0.1798237091731289,-31.998471801002,-0.3738697381472216,-66.15794207475071,0.1940460289740927
15,50,0.5,3.0,55176,-0.24938379005364653,-37.50851907657283,-0.44613848428471486,-66.91941902491564,0.1967546942310684
15,50,0.618,1.0,51256,-0.018222256906508506,-4.126125183763507,-0.24083091265860365,-54.00817994096686,0.22260865575209512
15,50,0.618,2.0,50294,-0.0950013918161212,-15.47275416901131,-0.32021963733660874,-51.93069149671717,0.22521824552048764
15,50,0.618,3.0,49428,-0.14922715869547626,-20.26848056613957,-0.3765323197274094,-51.034794583848225,0.22730516103193327
15,50,0.705,1.0,43103,0.07463517620583254,15.538362690590196,-0.1761525129438249,-36.3079650617662,0.25078768914965743
15,50,0.705,2.0,42556,-0.009610865682864931,-1.4053318419474885,-0.26219477976162475,-38.231993505017094,0.25258391407875985
15,50,0.705,3.0,42048,-0.06782724505327245,-8.224472112243593,-0.3220722702750966,-38.985648196713676,0.2542450252218242
15,50,0.786,1.0,31630,0.16218779639582676,29.231385971618767,-0.11816825962047334,-21.096664277644656,0.28035605601630004
15,50,0.786,2.0,31342,0.09779210005743093,11.980395524088266,-0.18377748218315046,-22.500020587701375,0.28156958224058143
15,50,0.786,3.0,31048,0.022288070085029633,2.250890140088446,-0.2605258323611491,-26.308253691518118,0.28281390244617877
15,100,0.382,1.0,64679,-0.2745404227028866,-72.6107918305454,-0.4443815540204464,-115.55654956816312,0.16984113131755985
15,100,0.382,2.0,62397,-0.3387182076061349,-68.03535986763664,-0.5125394351532786,-102.14226317861875,0.17382122754714371
15,100,0.382,3.0,60487,-0.41124539157174267,-71.36821522597494,-0.5880934133422987,-101.66137857772655,0.17684802177055595
15,100,0.5,1.0,60416,-0.20305879237288135,-50.972697988868376,-0.39875081285867,-98.59922560108345,0.19569202048578863
15,100,0.5,2.0,58926,-0.2503309235312086,-46.7849645465374,-0.44914899765022703,-83.31629785977755,0.1988180741190184
15,100,0.5,3.0,57549,-0.3183547933065735,-50.7792063693562,-0.5197852939144879,-82.55767874973924,0.2014305006079144
15,100,0.618,1.0,52929,-0.09973738404277428,-23.06065362131011,-0.3269412222399035,-74.65484894003451,0.22720383819712914
15,100,0.618,2.0,52027,-0.16418398139427604,-27.844445071704964,-0.39386975255217166,-66.39789670902202,0.2296857711578956
15,100,0.618,3.0,51213,-0.2157460019916818,-30.743930172794915,-0.4474020678302521,-63.537675751793515,0.2316560658385703
15,100,0.705,1.0,44107,-0.0057360509669666946,-1.2046724622600098,-0.25973528708508326,-53.86011708437705,0.2539992361181166
15,100,0.705,2.0,43584,-0.07729900881057268,-11.656079079354546,-0.33303850105506455,-49.995218405200426,0.2557394922444919
15,100,0.705,3.0,43111,-0.127832803692793,-16.06977094736449,-0.38514360885557547,-48.287508053870944,0.2573108051627825
15,100,0.786,1.0,32057,0.09717066475340799,17.480341540751986,-0.18526899038503178,-32.95950523614892,0.2824396551384397
15,100,0.786,2.0,31778,0.03005223739694128,3.7607657062164828,-0.2535578253085485,-31.675496793096396,0.2836100627054897
15,100,0.786,3.0,31489,-0.03483756232335101,-3.612038459595276,-0.3196888979624989,-33.119736091097415,0.2848513356391479
15,200,0.382,1.0,65618,-0.3249718065165046,-88.02166823649567,-0.49874730277888213,-132.63939413766298,0.17377549626237754
15,200,0.382,2.0,63500,-0.38644094488188974,-80.47538210860995,-0.5639668740300285,-116.38899984608156,0.17752592914813878
15,200,0.382,3.0,61763,-0.4516458073603938,-81.58587250531858,-0.6319939818872056,-113.62319084862185,0.1803481745268118
15,200,0.5,1.0,61158,-0.25851074266653584,-66.17908935006417,-0.45793664906764603,-115.28270808070262,0.19942590640111027
15,200,0.5,2.0,59782,-0.3020641664715132,-58.26588342549116,-0.5044303536294786,-96.45126875869799,0.2023661871579655
15,200,0.5,3.0,58524,-0.364841774314811,-60.37325100408237,-0.5696301519038021,-93.76288511116262,0.20478837758899102
15,200,0.618,1.0,53332,-0.15334133353333834,-35.83570822929526,-0.3838978759876746,-88.45400601120724,0.23055654245433632
15,200,0.618,2.0,52503,-0.21461630763956346,-37.28725872047584,-0.4474821497418199,-77.2131808278374,0.23286584210225642
15,200,0.618,3.0,51765,-0.260349657104221,-38.14394465001197,-0.4950380957981924,-72.2251003533829,0.2346884386939714
15,200,0.705,1.0,44173,-0.05539583003191995,-11.660521918691426,-0.31192039041989394,-64.73991382880673,0.25652456038797405
15,200,0.705,2.0,43675,-0.1279908414424728,-19.635636274029196,-0.38622358435970017,-58.92786340597469,0.25823274291722736
15,200,0.705,3.0,43238,-0.17535501179518018,-22.532859235414275,-0.4350655487147343,-55.724091287300936,0.25971053691955415
15,200,0.786,1.0,31922,0.04517260823256688,8.078988071067943,-0.23955470815374041,-42.317598630510055,0.28472731638630727
15,200,0.786,2.0,31657,-0.018416148087310864,-2.3278648279865926,-0.3042893741062312,-38.361030774845496,0.28587322601892035
15,200,0.786,3.0,31374,-0.08267992605342003,-8.708702171802175,-0.3697753345208562,-38.900929453863675,0.28709540846743614
60,10,0.382,1.0,14051,-0.014732047541100277,-1.7464188370799036,-0.09225837349108619,-10.910034319005948,0.07752632594998592
60,10,0.382,2.0,13429,-0.05413657010946459,-4.500570081583455,-0.13383305258779293,-11.114782362243613,0.07969648247832833
60,10,0.382,3.0,12830,-0.1407638347622759,-9.705403087505687,-0.2224333198615683,-15.340447225851847,0.08166948509929237
60,10,0.5,1.0,13614,0.07962391655648597,9.31969173276002,-0.016245077396928577,-1.8950781716985765,0.09586899395341454
60,10,0.5,2.0,13149,0.013232945471138489,1.0694444832412968,-0.08472223909274415,-6.842645538319575,0.09795518456388264
60,10,0.5,3.0,12761,-0.05336572368936604,-3.54574267702858,-0.15300458834200523,-10.164529925766043,0.09963886465263919
60,10,0.618,1.0,12939,0.1586675940953706,18.279258350818775,0.03403752325686261,3.892344185810135,0.124630070838508
60,10,0.618,2.0,12704,0.07564546599496222,5.925962957610676,-0.05039997185174891,-3.9452740239596684,0.12604543784671113
60,10,0.618,3.0,12418,-0.005636978579481398,-0.36334064247337533,-0.13335025197661546,-8.593331419554591,0.12771327339713404
60,10,0.705,1.0,12174,0.18991292919336292,21.34174375952002,0.0345959095664675,3.843835496291583,0.15531701962689543
60,10,0.705,2.0,12052,0.1612180550945901,12.111647305183107,0.005023437991573645,0.3769774075919359,0.15619461710301646
60,10,0.705,3.0,11913,0.07882145555275749,4.8459949165326455,-0.07843213131011113,-4.821607272222058,0.15725358686286864
60,10,0.786,1.0,10934,0.1512712639473203,16.001209967009537,-0.04269501448475717,-4.429155955953773,0.19396627843207745
60,10,0.786,2.0,10895,0.2002753556677375,14.222558236491272,0.005925497741489041,0.41970724068178267,0.19434985792624845
60,10,0.786,3.0,10829,0.15061409179056237,8.655641300794798,-0.04429580666534052,-2.5463526302920383,0.19490989845590292
60,20,0.382,1.0,15389,-0.07817272077457925,-9.726965351590865,-0.15503065290478704,-19.19285150300461,0.07685793213020779
60,20,0.382,2.0,14693,-0.10283808616347921,-9.075198103861203,-0.18191695830667629,-16.017594455798328,0.07907887214319705
60,20,0.382,3.0,14003,-0.19988573877026353,-14.782013862366485,-0.2810509528174766,-20.77384304945911,0.08116521404721315
