tf,ema,fib,rr,n,bruto,zb,neto,zn,coste
15,10,0.382,1.0,51150,-0.07929618768328446,-17.990390478072776,-0.2424803165922268,-54.500815176020566,0.1631841289089423
15,10,0.382,2.0,49065,-0.10638948333842861,-17.176580185732377,-0.2738204069290373,-44.09517295978323,0.16743092359060874
15,10,0.382,3.0,47153,-0.17663775369541704,-23.716700605005514,-0.3475876964959856,-46.67514599191736,0.17094994280056852
15,10,0.5,1.0,47639,-0.05501794748000588,-12.026505118244856,-0.24547834477280508,-53.16414032988489,0.19046039729279923
15,10,0.5,2.0,46325,-0.05670804101457096,-8.762706833019307,-0.25042408194341675,-38.58404939331714,0.1937160409288458
15,10,0.5,3.0,45038,-0.09942715040632355,-12.62959947990469,-0.2959823682750281,-37.57356576314293,0.19655521786870453
15,10,0.618,1.0,41726,-0.059291568806020226,-12.132654717345753,-0.28265884636782196,-57.301305031212394,0.22336727756180172
15,10,0.618,2.0,40991,-0.026249664560513284,-3.783488593977824,-0.25198070064224853,-36.226144505536986,0.22573103608173525
15,10,0.618,3.0,40234,-0.04508624546403539,-5.30338805966886,-0.2729555668600394,-32.093720214354086,0.227869321396004
15,10,0.705,1.0,34903,-0.08764289602612955,-16.436762654790364,-0.33974247078030023,-63.004282647775874,0.25209957475417066
15,10,0.705,2.0,34459,-0.033460053977190284,-4.43041025890777,-0.2873492858446313,-37.934828334969914,0.25388923186744106
15,10,0.705,3.0,34075,-0.016991929567131327,-1.8213300072171599,-0.2723537074973145,-29.164552919141954,0.2553617779301832
15,10,0.786,1.0,25482,-0.12581430029040105,-20.244311501527804,-0.4088091862766338,-65.13044718118341,0.28299488598623274
15,10,0.786,2.0,25274,-0.045422172984094324,-5.167722144243939,-0.32947507533102427,-37.4005854197928,0.28405290234692987
15,10,0.786,3.0,25006,-0.02999280172758538,-2.766445947065338,-0.31535522745990646,-29.08159970549766,0.28536242573232107
15,20,0.382,1.0,56631,-0.12507283996397733,-29.999224119805252,-0.2842844858043575,-67.45184850459299,0.15921164584038014
15,20,0.382,2.0,54233,-0.16194936662179854,-28.01877706624716,-0.32544035743578315,-56.11470725469913,0.1634909908139846
15,20,0.382,3.0,52098,-0.23805136473569044,-34.591732880920645,-0.4050154326675882,-58.8193598097715,0.16696406793189786
15,20,0.5,1.0,53057,-0.09018602634902087,-20.858347445975156,-0.276402057210481,-63.25270247588371,0.18621603086146016
15,20,0.5,2.0,51559,-0.09765511355922342,-16.117203785111723,-0.2871371713802945,-47.21291708992951,0.18948205782107105
15,20,0.5,3.0,50072,-0.14882569100495288,-20.341710851890284,-0.3411875395069904,-46.576055046332954,0.1923618485020375
15,20,0.618,1.0,46836,-0.08121957468613887,-17.6353123611751,-0.3002162807658821,-64.50463656627257,0.21899670607974325
15,20,0.618,2.0,45979,-0.055155614519672026,-8.487157592060642,-0.27656879887188046,-42.41734111735406,0.22141318435220847
15,20,0.618,3.0,45109,-0.07849874747833027,-9.898560858420517,-0.3020882184742188,-38.06461418474524,0.22358947099588855
15,20,0.705,1.0,39579,-0.0942671618787741,-18.83760186566997,-0.34240915241963216,-67.59113028052903,0.2481419905408581
15,20,0.705,2.0,39067,-0.04848081501011083,-6.863484542841961,-0.2984293899022369,-42.09504454534111,0.24994857489212602
