tf,ema,fib,rr,n,R,z,fuente
15,10,0.382,1.0,51171,-0.18293570923441424,-41.16498608522601,real
15,10,0.382,2.0,49087,-0.25350752120034037,-40.61879390676158,real
15,10,0.382,3.0,47168,-0.33920374807045733,-45.401568786905685,real
15,10,0.5,1.0,47692,-0.13828020601464205,-30.133812797885113,real
15,10,0.5,2.0,46347,-0.20997114544917475,-32.058543548762735,real
15,10,0.5,3.0,45057,-0.2798675190363609,-35.336639455036504,real
15,10,0.618,1.0,41789,-0.06473952065694656,-13.389669407697943,real
15,10,0.618,2.0,41007,-0.17460438608692944,-24.700434384372247,real
15,10,0.618,3.0,40256,-0.23622377679539885,-27.44743794093912,real
15,10,0.705,1.0,34968,-0.02804563407015866,-5.362895550013448,real
15,10,0.705,2.0,34499,-0.13186082537667237,-16.888186813362342,real
15,10,0.705,3.0,34092,-0.2090374456084239,-21.963565841091377,real
15,10,0.786,1.0,25537,-0.023989763103432843,-3.944670823339613,real
15,10,0.786,2.0,25297,-0.0708277571891621,-7.664408150535101,real
15,10,0.786,3.0,25034,-0.17449075422568322,-15.434987042713702,real
15,20,0.382,1.0,56651,-0.2343150277867105,-55.50900421515084,real
15,20,0.382,2.0,54253,-0.30855769509828435,-52.944836819295595,real
15,20,0.382,3.0,52113,-0.3979478008793993,-57.61560400766787,real
15,20,0.5,1.0,53113,-0.18806427349443755,-43.084101786988526,real
15,20,0.5,2.0,51578,-0.2538020593563325,-41.37803155076754,real
15,20,0.5,3.0,50092,-0.32724923652568516,-44.446013731758285,real
15,20,0.618,1.0,46900,-0.11452911070735358,-24.852165525387072,real
15,20,0.618,2.0,45995,-0.20991926724203852,-31.705876131206203,real
15,20,0.618,3.0,45127,-0.2710888770311424,-33.795109078489496,real
15,20,0.705,1.0,39657,-0.06146536682070645,-12.39541946027892,real
15,20,0.705,2.0,39110,-0.16193424538830162,-22.202120815083113,real
15,20,0.705,3.0,38622,-0.23117231781175338,-26.048113965993846,real
