ins,regla,k,dia,lado,rgo_u,R,mot,neta,dias
EURUSD,A,1,2020-01-14,1,21.700000000000053,1.0,TP,0.9341013824884794,1
EURUSD,A,1,2020-01-16,-1,35.49999999999942,1.0,TP,0.9597183098591543,1
EURUSD,A,1,2020-01-20,1,20.199999999999108,1.0,TP,0.929207920792076,1
EURUSD,A,1,2020-01-22,1,23.200000000000998,-1.0,SL,-1.0616379310344801,1
EURUSD,A,1,2020-01-28,1,24.100000000000232,-1.0,SL,-1.0593360995850616,1
EURUSD,A,1,2020-02-11,1,27.200000000000557,-1.0,SL,-1.0525735294117635,1
EURUSD,A,1,2020-02-19,1,25.600000000001177,-1.0,SL,-1.0558593749999974,1
EURUSD,A,1,2020-03-16,-1,73.30000000000058,1.0,TP,0.9804911323328788,1
EURUSD,A,1,2020-03-20,1,55.400000000001,-1.0,SL,-1.0258122743682305,1
EURUSD,A,1,2020-04-15,1,51.70000000000119,-1.0,SL,-1.0276595744680845,1
EURUSD,A,1,2020-04-17,1,59.19999999999925,-1.0,SL,-1.0241554054054056,3
EURUSD,A,1,2020-04-24,1,92.4999999999998,1.0,TP,0.9845405405405405,4
EURUSD,A,1,2020-05-07,1,64.9999999999995,1.0,TP,0.9779999999999999,4
EURUSD,A,1,2020-05-15,-1,32.600000000000406,-1.0,SL,-1.043865030674846,1
EURUSD,A,1,2020-05-21,-1,61.1000000000006,1.0,TP,0.9765957446808513,1
EURUSD,A,1,2020-06-05,-1,92.4999999999998,-1.0,SL,-1.0154594594594595,3
EURUSD,A,1,2020-06-16,-1,91.70000000000122,1.0,TP,0.9844056706652129,3
EURUSD,A,1,2020-06-30,1,40.40000000000043,-1.0,SL,-1.03539603960396,1
EURUSD,A,1,2020-07-02,-1,64.20000000000093,-1.0,SL,-1.0222741433021805,2
EURUSD,A,1,2020-07-09,-1,86.89999999999864,-1.0,SL,-1.016455696202532,2
EURUSD,A,1,2020-08-11,1,19.299999999999873,-1.0,SL,-1.074093264248705,1
EURUSD,A,1,2020-08-20,1,59.099999999998595,-1.0,SL,-1.0241962774957705,1
EURUSD,A,1,2020-08-26,1,58.499999999999105,1.0,TP,0.9755555555555552,1
EURUSD,A,1,2020-09-01,-1,95.60000000000012,1.0,TP,0.9850418410041841,2
EURUSD,A,1,2020-09-09,1,50.60000000000064,1.0,TP,0.971739130434783,1
EURUSD,A,1,2020-09-15,-1,52.60000000000042,1.0,TP,0.972813688212928,1
EURUSD,A,1,2020-09-17,1,107.20000000000063,-1.0,SL,-1.0133395522388058,2
EURUSD,A,1,2020-09-24,1,42.50000000000087,-1.0,SL,-1.0336470588235287,1
EURUSD,A,1,2020-09-30,-1,31.600000000000517,-1.0,SL,-1.0452531645569614,1
EURUSD,A,1,2020-10-06,-1,74.70000000000087,-1.0,SL,-1.0191432396251672,3
EURUSD,A,1,2020-10-14,1,27.29999999999899,-1.0,SL,-1.0523809523809544,1
EURUSD,A,1,2020-10-23,1,70.60000000000066,-1.0,SL,-1.020254957507082,2
EURUSD,A,1,2020-11-04,1,118.3999999999985,1.0,TP,0.9879222972972972,1
EURUSD,A,1,2020-11-10,1,39.00000000000014,-1.0,SL,-1.0366666666666666,1
EURUSD,A,1,2020-11-20,-1,36.399999999998656,-1.0,SL,-1.0392857142857157,1
EURUSD,A,1,2020-11-26,-1,31.400000000001427,-1.0,SL,-1.0455414012738833,1
EURUSD,A,1,2020-12-04,-1,57.099999999998815,1.0,TP,0.9749562171628716,3
EURUSD,A,1,2020-12-11,-1,54.30000000000046,-1.0,SL,-1.0263351749539593,1
EURUSD,A,1,2021-01-04,-1,59.200000000001474,-1.0,SL,-1.0241554054054047,2
EURUSD,A,1,2021-01-13,-1,66.39999999999979,1.0,TP,0.9784638554216867,2
EURUSD,A,1,2021-01-18,1,23.699999999999832,1.0,TP,0.9396624472573836,1
EURUSD,A,1,2021-01-20,-1,48.700000000001516,-1.0,SL,-1.0293634496919908,1
EURUSD,A,1,2021-01-22,-1,22.699999999999942,1.0,TP,0.9370044052863434,1
EURUSD,A,1,2021-01-26,1,53.19999999999991,-1.0,SL,-1.0268796992481204,1
