id,opera,lado,entrada,stop,obj,riesgo,rr,R,motivo,Rm,lado_mec,rgo_m,d_ent
S01,True,1.0,1.17983,1.17914,1.18233,6.899999999998574,3.623188405798095,-1.0,SL,-1.0,1,5.199999999998539,0.0
S07,True,-1.0,1.16393,1.16463,1.1627,7.0000000000014495,1.757142857142268,-0.3142857142858049,cierre Londres,-0.37288135593233096,-1,5.9000000000009045,0.0
S08,True,-1.0,1.1657,1.16653,1.16418,8.300000000001084,1.831325301204539,1.831325301204539,TP,2.0,-1,4.999999999999449,0.0
S09,True,-1.0,1.15443,1.15499,1.15302,5.599999999998939,2.5178571428578578,0.0,cierre Londres,0.0,-1,2.9999999999996696,0.0
S13,True,-1.0,1.14105,1.14201,1.13889,9.60000000000072,2.2499999999997686,2.2499999999997686,TP,2.000000000000258,-1,8.60000000000083,0.0
S20,True,-1.0,1.13875,1.13928,1.13751,5.300000000001415,2.3396226415086354,-1.0,SL,-1.0,-1,4.900000000001015,0.0
S24,True,-1.0,1.13986,1.14126,1.13812,13.999999999998458,1.2428571428573332,-0.7285714285713651,cierre Londres,-1.0,-1,7.599999999998719,0.0
S25,True,-1.0,1.16888,1.1696,1.1664,7.200000000000539,3.4444444444439304,-1.0,SL,-1.0,-1,6.6000000000010495,0.0
S27,True,1.0,1.14479,1.14273,1.15284,20.599999999999508,3.9077669902914094,1.4854368932039494,cierre Londres,2.4285714285714035,1,12.600000000000389,0.0
S30,True,-1.0,1.15578,1.15714,1.15289,13.60000000000028,2.125,0.9044117647059112,cierre Londres,1.051282051282202,-1,11.699999999998933,0.0
S31,True,-1.0,1.14513,1.14607,1.14207,9.399999999999409,3.255319148936441,-1.0,SL,-1.0,-1,7.900000000000684,0.0
S32,True,-1.0,1.16899,1.16971,1.16766,7.200000000000539,1.847222222222158,-1.0,SL,-1.0,-1,7.600000000000939,0.0
S34,True,-1.0,1.14302,1.1437,1.14192,6.800000000000139,1.617647058823318,-1.0,SL,-1.0,-1,6.399999999999739,0.0
S40,True,1.0,1.15527,1.15459,1.15705,6.800000000000139,2.617647058823318,-1.0,SL,-1.0,1,5.999999999999339,0.0
S41,True,1.0,1.16846,1.16748,1.17013,9.799999999999809,1.7040816326529291,1.7040816326529291,TP,2.1445783132526026,1,8.300000000001084,0.0
S42,True,-1.0,1.14335,1.14504,1.14093,16.899999999999693,1.431952662721972,0.3550295857989153,cierre Londres,2.0,-1,3.9999999999995595,0.0
S43,True,-1.0,1.15224,1.15298,1.15008,7.399999999999629,2.918918918918984,2.918918918918984,TP,2.0,-1,6.800000000000139,0.0
S44,True,1.0,1.15241,1.15144,1.15482,9.699999999999154,2.484536082474468,2.484536082474468,TP,3.346666666666556,1,7.500000000000284,0.0
S49,True,-1.0,1.14205,1.14248,1.1409,4.299999999999304,2.6744186046515592,-1.0,SL,-1.0,-1,4.299999999999304,0.0
S51,True,-1.0,1.1793,1.1797,1.17842,3.99999999999956,2.2000000000002222,-1.0,SL,-1.0,-1,4.500000000000615,0.0
S53,True,1.0,1.15579,1.1548,1.15774,9.900000000000464,1.9696969696967723,-1.0,SL,-1.0,1,8.300000000001084,0.0
S55,True,1.0,1.1626,1.16123,1.167,13.700000000000934,3.21167883211654,0.4087591240874859,cierre Londres,0.5599999999998313,1,10.000000000001119,0.0
S56,True,1.0,1.16343,1.16289,1.16608,5.399999999999849,4.907407407407621,-1.0,SL,-1.0,1,4.899999999998794,0.0
S58,True,1.0,1.15086,1.15004,1.15234,8.20000000000043,1.804878048780303,-1.0,SL,-1.0,1,6.500000000000394,0.0
S60,True,-1.0,1.17063,1.17222,1.16737,15.899999999999803,2.050314465408856,0.1006289308177119,cierre Londres,0.11347517730508516,-1,14.099999999999113,0.0
S63,True,1.0,1.13567,1.13501,1.13792,6.599999999998829,3.4090909090916437,1.2878787878790428,cierre Londres,2.2972972972974595,1,3.6999999999998145,0.0
S68,True,1.0,1.17073,1.17002,1.1726,7.099999999999884,2.6338028169015053,-1.0,SL,-1.0,1,6.900000000000794,0.0
S69,True,1.0,1.17306,1.16917,1.1794,38.89999999999949,1.6298200514139063,-0.6940874035989615,cierre Londres,-1.0,1,10.399999999999299,0.0
S71,True,-1.0,1.13671,1.13741,1.13528,6.999999999999229,2.0428571428574283,2.0428571428574283,TP,-1.0,-1,5.599999999998939,0.0
S72,True,1.0,1.16988,1.16956,1.17187,3.20000000000098,6.218749999997897,-1.0,SL,-1.0,1,2.6999999999999247,0.0
S75,True,1.0,1.15093,1.14964,1.15383,12.900000000000134,2.2480620155037774,2.2480620155037774,TP,4.9032258064509895,1,6.200000000000649,0.0
S81,True,1.0,1.16029,1.15952,1.16186,7.699999999999374,2.038961038961009,-1.0,SL,-1.0,1,5.800000000000249,0.0
S84,True,-1.0,1.17604,1.17698,1.17462,9.399999999999409,1.5106382978724109,-1.0,SL,-1.0,-1,7.099999999999884,-0.5000000000010552
S86,True,-1.0,1.17404,1.17481,1.17231,7.699999999999374,2.2467532467534417,-1.0,SL,-1.0,-1,6.900000000000794,0.0
S87,True,-1.0,1.14703,1.14822,1.14431,11.900000000000244,2.2857142857142856,-1.0,SL,-1.0,-1,8.399999999999519,0.0
S89,True,-1.0,1.14828,1.15071,1.14511,24.29999999999932,1.3045267489711867,-1.0,SL,-1.0,-1,15.899999999999803,0.0
S90,True,-1.0,1.16043,1.16144,1.15796,10.099999999999554,2.445544554455526,-0.2871287128712022,cierre Londres,2.0,-1,6.999999999999229,0.0
