id,opera,lado_mec,Rm,mot_m,rgo_m,lado,ent,sl,tp,rgo,rr,R,mot,pend,d_ent
S02,1,-1,2.0,TP,4.299999999999304,-1.0,1.17985,1.18024,1.17904,3.8999999999989043,2.0769230769236025,2.0769230769236025,TP,False,0.0
S03,1,-1,1.999999999999306,TP,3.1999999999987594,-1.0,1.07091,1.07136,1.06917,4.500000000000615,3.8666666666663048,2.666666666666502,cierre Londres,False,0.0
S04,1,1,-1.0,SL,3.4000000000000696,1.0,1.18747,1.187,1.18836,4.699999999999704,1.893617021276837,-1.0,SL,False,0.0
S07,1,-1,-1.0,SL,9.200000000000319,-1.0,1.22299,1.22356,1.22145,5.699999999999594,2.7017543859652746,-1.0,SL,False,0.0
S08,1,1,-1.0,SL,4.3999999999999595,1.0,1.15984,1.15886,1.16354,9.799999999999809,3.7755102040817436,-1.0,SL,False,0.0
S11,1,1,-1.0,SL,3.2999999999994145,1.0,1.08528,1.08482,1.08626,4.60000000000127,2.130434782608066,-1.0,SL,False,0.0
S13,1,1,0.23225806451608375,cierre Londres,15.499999999999403,1.0,1.06786,1.06547,1.07016,23.900000000001143,0.9623430962342505,0.15062761506271913,cierre Londres,False,0.0
S14,1,-1,-1.0,SL,9.799999999999809,-1.0,1.07375,1.07466,1.07225,9.099999999999664,1.6483516483517717,-1.0,SL,False,0.0
S15,1,-1,2.0,TP,12.300000000000644,-1.0,1.138,1.13998,1.12981,19.800000000000928,4.136363636363402,0.8535353535352981,cierre Londres,False,0.0
S18,1,-1,-1.0,SL,6.299999999999084,-1.0,1.17728,1.17787,1.17535,5.899999999998684,3.2711864406790503,-1.0,SL,False,0.0
S21,1,1,-1.0,SL,9.299999999998754,1.0,1.08689,1.08507,1.09084,18.199999999999328,2.1703296703298163,0.714285714285784,cierre Londres,False,0.0
S23,1,-1,2.000000000000274,TP,8.099999999999774,-1.0,1.05353,1.05438,1.05046,8.500000000000174,3.61176470588243,-1.0,SL,False,0.0
S28,1,1,-1.0,SL,3.8999999999989043,1.0,1.08531,1.08466,1.0872,6.500000000000394,2.90769230769205,-1.0,SL,False,0.0
S33,1,-1,1.4065040650408382,cierre Londres,12.299999999998423,-1.0,1.07109,1.07217,1.06854,10.799999999999699,2.3611111111112253,1.6018518518519052,cierre Londres,False,0.0
S35,1,1,2.8196721311478155,TP,6.099999999999994,1.0,1.0813,1.08035,1.08271,9.500000000000064,1.4842105263159198,1.4842105263159198,TP,False,0.0
S37,1,-1,-1.0,SL,11.099999999999444,-1.0,1.0546,1.05572,1.05311,11.200000000000099,1.3303571428571235,-1.0,SL,False,0.0
S40,1,-1,-1.0,SL,12.299999999998423,-1.0,1.18378,1.18541,1.17969,16.300000000000203,2.50920245398779,-1.0,SL,False,0.0
S42,1,1,-1.0,SL,9.600000000000719,1.0,1.12335,1.12199,1.125,13.600000000000279,1.2132352941175701,-1.0,SL,False,0.0
S44,1,1,2.270270270270254,TP,3.6999999999998145,1.0,1.099,1.09849,1.09978,5.1000000000001044,1.5294117647058567,1.5294117647058567,TP,False,0.0
S45,1,1,-1.0,SL,3.60000000000138,1.0,1.18416,1.18365,1.18498,5.1000000000001044,1.6078431372545179,-1.0,SL,False,0.0
S49,1,1,4.439560439560651,TP,9.099999999999664,1.0,1.17883,1.17732,1.18274,15.100000000001224,2.58940397350963,2.58940397350963,TP,False,0.0
S50,1,1,-1.0,SL,8.500000000000174,1.0,0.99838,0.99726,1.00099,11.200000000000099,2.3303571428571233,-1.0,SL,False,0.0
S52,1,-1,-1.0,SL,2.8999999999990145,-1.0,1.08614,1.08639,1.08511,2.4999999999986144,4.120000000002629,-1.0,SL,False,0.0
S53,1,1,-1.0,SL,3.8999999999989043,1.0,1.21596,1.21533,1.21719,6.299999999999084,1.9523809523813385,-1.0,SL,False,0.0
S56,1,1,-1.0,SL,8.099999999999774,1.0,1.00114,0.99998,1.00522,11.599999999999389,3.5172413793106023,-0.6637931034482569,cierre Londres,False,0.0
S60,1,-1,-1.0,SL,7.699999999999374,-1.0,1.17161,1.17254,1.17036,9.299999999998754,1.344086021505528,-1.0,SL,False,0.0
