dia,i_barrido,i_gatillo,i_fin_lon,i_inicio,lado,asia_hi,asia_lo,ts,ano,id,mec_entrada,mec_sl,mec_tp
2020-06-26,36374,36375,36430,36263,1,1.12263,1.12081,2020-06-26 07:24:00,2020,S01,1.12111,1.12046,1.12263
2021-07-22,115535,115536,115591,115424,-1,1.18001,1.17866,2021-07-22 07:24:00,2021,S02,1.17985,1.18028,1.1789900000000002
2024-06-28,325352,325353,325363,325196,-1,1.07108,1.06852,2024-06-28 11:09:00,2024,S03,1.07091,1.07123,1.0702700000000003
2021-09-03,124424,124425,124473,124311,1,1.18842,1.1873,2021-09-03 07:59:00,2021,S04,1.18747,1.18713,1.18842
2021-06-08,106341,106343,106397,106230,1,1.21941,1.21761,2021-06-08 07:29:00,2021,S05,1.21692,1.21649,1.21941
2022-10-20,208934,208936,209004,208837,-1,0.9789,0.97544,2022-10-20 06:19:00,2022,S06,0.97896,0.97948,0.9779200000000001
2021-05-25,103696,103698,103764,103597,-1,1.22313,1.22113,2021-05-25 06:29:00,2021,S07,1.22299,1.22391,1.22115
2025-10-30,425224,425225,425247,425080,1,1.16374,1.15967,2025-10-30 11:09:00,2025,S08,1.15984,1.1594,1.16374
2021-01-06,75302,75304,75372,75205,-1,1.23261,1.22755,2021-01-06 07:19:00,2021,S09,1.23282,1.2335,1.23146
2020-09-16,53023,53025,53087,52920,-1,1.18513,1.18286,2020-09-16 06:49:00,2020,S10,1.18513,1.18534,1.18471
2024-05-22,317553,317555,317609,317442,1,1.08633,1.0852,2024-05-22 07:29:00,2024,S11,1.08528,1.08495,1.08633
2022-06-03,180510,180511,180536,180369,1,1.07643,1.0745,2022-06-03 09:54:00,2022,S12,1.07461,1.07422,1.07643
2023-01-02,223868,223870,223930,223763,1,1.07087,1.06741,2023-01-02 07:59:00,2023,S13,1.06786,1.06631,1.07087
2023-02-14,232742,232743,232813,232646,-1,1.07428,1.07208,2023-02-14 07:09:00,2023,S14,1.07375,1.07473,1.07179
2025-04-16,384592,384593,384646,384479,-1,1.13853,1.12803,2025-04-16 07:34:00,2025,S15,1.138,1.13923,1.1355399999999998
2021-03-17,89684,89686,89755,89588,1,1.1908,1.1891,2021-03-17 07:14:00,2021,S16,1.18905,1.18859,1.1908
2022-12-29,223309,223311,223363,223196,-1,1.06372,1.06109,2022-12-29 08:39:00,2022,S17,1.06365,1.06436,1.06223
2020-08-04,44127,44128,44191,44024,-1,1.1777,1.17521,2020-08-04 06:44:00,2020,S18,1.17728,1.17791,1.1760200000000003
2020-06-29,36650,36652,36717,36550,-1,1.12592,1.1217,2020-06-29 06:34:00,2020,S19,1.12609,1.12678,1.1247100000000003
2025-04-14,384005,384007,384070,383903,-1,1.14087,1.13174,2025-04-14 06:44:00,2025,S20,1.14137,1.14196,1.1401899999999998
2020-04-16,21730,21732,21756,21589,1,1.09111,1.08645,2020-04-16 09:59:00,2020,S21,1.08689,1.08596,1.09111
2022-01-24,153495,153497,153513,153346,1,1.1345,1.13147,2022-01-24 11:39:00,2022,S22,1.13123,1.13098,1.1345
2022-12-02,217851,217852,217914,217747,-1,1.05393,1.05049,2022-12-02 07:49:00,2022,S23,1.05353,1.05434,1.0519100000000001
2024-09-05,339384,339385,339446,339279,-1,1.10863,1.10746,2024-09-05 06:54:00,2024,S24,1.10854,1.10891,1.1078000000000001
2023-09-29,269769,269771,269838,269671,-1,1.05861,1.05579,2023-09-29 06:24:00,2023,S25,1.05865,1.05906,1.0578300000000005
2025-05-06,388612,388614,388676,388509,-1,1.13271,1.12797,2025-05-06 06:49:00,2025,S26,1.13292,1.13362,1.1315199999999996
2022-05-31,179612,179614,179674,179507,1,1.0779,1.07342,2022-05-31 06:59:00,2022,S27,1.07337,1.07283,1.0779
2023-05-17,246384,246386,246443,246300,1,1.08736,1.08524,2023-05-17 06:14:00,2023,S28,1.08531,1.08492,1.08736
2020-05-12,26875,26877,26935,26768,-1,1.08172,1.07843,2020-05-12 07:09:00,2020,S29,1.082,1.08276,1.0804800000000003
2023-11-23,281015,281017,281068,280901,-1,1.09176,1.08834,2023-11-23 08:44:00,2023,S30,1.09219,1.0928,1.09097
2023-01-10,225608,225610,225650,225483,-1,1.0744,1.07205,2023-01-10 09:39:00,2023,S31,1.0746,1.0752599999999999,1.0732800000000002
2024-12-10,358948,358950,359005,358838,1,1.0568,1.05452,2024-12-10 08:24:00,2024,S32,1.05452,1.0538,1.0568
2023-02-16,233333,233335,233388,233221,-1,1.07147,1.06843,2023-02-16 08:34:00,2023,S33,1.07109,1.07232,1.0686300000000004
2020-12-23,72898,72900,72966,72799,-1,1.2192,1.21538,2020-12-23 07:29:00,2020,S34,1.21912,1.21947,1.2184199999999998
2024-07-31,331921,331923,331967,331800,1,1.08302,1.08123,2024-07-31 08:19:00,2024,S35,1.0813,1.08069,1.08302
2021-11-17,139692,139694,139703,139536,-1,1.13267,1.12635,2021-11-17 12:14:00,2021,S36,1.13276,1.13293,1.13242
2024-11-18,354342,354344,354397,354230,-1,1.05505,1.05302,2024-11-18 08:34:00,2024,S37,1.0546,1.05571,1.05238
2025-12-19,435521,435523,435584,435417,1,1.17285,1.17117,2025-12-19 07:54:00,2025,S38,1.17087,1.17068,1.17285
2024-09-18,341987,341988,342035,341868,-1,1.11303,1.1113,2024-09-18 08:04:00,2024,S39,1.11293,1.11321,1.1123699999999999
2020-11-06,63652,63653,63710,63543,-1,1.18466,1.17952,2020-11-06 08:14:00,2020,S40,1.18378,1.18501,1.1813200000000004
2025-07-15,402999,403000,403068,402901,-1,1.16861,1.16602,2025-07-15 06:19:00,2025,S41,1.16851,1.16889,1.1677499999999998
2020-07-03,37816,37817,37868,37701,1,1.12492,1.12275,2020-07-03 07:44:00,2020,S42,1.12335,1.12239,1.12492
2025-09-03,413371,413373,413427,413260,1,1.16438,1.16218,2025-09-03 07:29:00,2025,S43,1.16177,1.16071,1.16438
2024-08-14,334776,334778,334847,334680,1,1.09984,1.09887,2024-08-14 06:14:00,2024,S44,1.099,1.09863,1.09984
2021-07-02,111498,111499,111566,111399,1,1.18503,1.18402,2021-07-02 06:24:00,2021,S45,1.18416,1.1838,1.18503
2025-04-21,385458,385460,385509,385342,-1,1.15344,1.13925,2025-04-21 07:54:00,2025,S46,1.15369,1.15416,1.1527500000000002
2022-10-11,206987,206989,206994,206827,-1,0.97228,0.96698,2022-10-11 11:34:00,2022,S47,0.97334,0.97389,0.9722399999999999
2024-01-19,292248,292249,292301,292134,1,1.08896,1.08724,2024-01-19 08:39:00,2024,S48,1.08728,1.08671,1.08896
2025-09-18,416525,416526,416594,416427,1,1.18287,1.17851,2025-09-18 06:19:00,2025,S49,1.17883,1.17792,1.18287
2022-09-16,202038,202039,202109,201942,1,1.0012,0.99809,2022-09-16 06:09:00,2022,S50,0.99838,0.99753,1.0012
2020-08-19,47299,47300,47355,47188,1,1.19526,1.19277,2020-08-19 07:24:00,2020,S51,1.19286,1.19211,1.19526
2024-05-21,317255,317257,317321,317154,-1,1.08618,1.08509,2024-05-21 06:39:00,2024,S52,1.08614,1.08643,1.0855600000000003
2021-06-07,106038,106040,106109,105943,1,1.21726,1.21578,2021-06-07 06:14:00,2021,S53,1.21596,1.21557,1.21726
2022-03-21,164977,164979,165047,164880,-1,1.10558,1.10344,2022-03-21 07:19:00,2022,S54,1.10574,1.10635,1.10452
2021-08-02,117541,117543,117601,117434,-1,1.18753,1.18587,2021-08-02 07:09:00,2021,S55,1.18822,1.18881,1.1870400000000003
2022-09-01,198927,198929,198944,198777,1,1.00542,1.00077,2022-09-01 10:44:00,2022,S56,1.00114,1.00033,1.00542
2023-05-26,247865,247867,247867,247724,-1,1.07425,1.07189,2023-05-26 10:59:00,2023,S57,1.07441,1.07476,1.0737100000000004
2023-12-12,284738,284740,284809,284642,-1,1.07798,1.07612,2023-12-12 07:14:00,2023,S58,1.07801,1.07839,1.0772499999999998
2023-07-19,255483,255485,255539,255396,1,1.12356,1.12161,2023-07-19 06:29:00,2023,S59,1.1217,1.12124,1.12356
2025-09-08,414222,414223,414291,414124,-1,1.17208,1.17036,2025-09-08 06:19:00,2025,S60,1.17161,1.17238,1.1700700000000002
