id,gano,R,ts,ins
EUR00534,1,6.065217391305754,2021-07-13 17:00,EURUSD
EUR01920,0,-1.0,2025-07-15 05:00,EURUSD
EUR00128,1,0.39705882352939253,2020-05-14 21:00,EURUSD
EUR01602,1,2.294117647058785,2024-09-10 17:00,EURUSD
EUR01680,0,-1.0,2024-11-21 05:00,EURUSD
EUR00346,1,1.027777777777755,2020-12-30 09:00,EURUSD
EUR01097,0,-1.0,2023-02-13 05:00,EURUSD
EUR00103,1,1.424148606811097,2020-04-23 05:00,EURUSD
EUR00037,1,0.7777777777774253,2020-02-12 21:00,EURUSD
EUR00494,0,-1.0,2021-06-15 09:00,EURUSD
EUR02075,0,-1.0,2025-12-21 21:00,EURUSD
EUR01331,0,-1.0,2023-12-05 13:00,EURUSD
EUR01131,0,-1.0,2023-03-22 05:00,EURUSD
EUR00629,0,-1.0,2021-11-01 05:00,EURUSD
EUR01906,1,0.10526315789467533,2025-07-02 21:00,EURUSD
EUR00013,0,-1.0,2020-01-19 21:00,EURUSD
EUR00981,1,0.5095890410958925,2022-10-24 05:00,EURUSD
EUR02146,1,1.5648535564854582,2026-02-19 09:00,EURUSD
EUR01970,1,0.5100671140938767,2025-08-27 21:00,EURUSD
EUR01460,1,0.6333333333332017,2024-04-23 21:00,EURUSD
EUR01737,0,-1.0,2025-01-28 05:00,EURUSD
EUR00951,0,-1.0,2022-09-27 05:00,EURUSD
EUR00924,0,-1.0,2022-09-04 21:00,EURUSD
EUR00316,0,-1.0,2020-11-27 01:00,EURUSD
EUR00653,1,1.2222222222223136,2021-11-22 21:00,EURUSD
EUR01210,1,0.38842975206629615,2023-07-16 21:00,EURUSD
EUR00559,1,0.6275862068965496,2021-08-12 09:00,EURUSD
EUR00302,1,0.8800000000000227,2020-11-11 09:00,EURUSD
EUR00452,1,0.32786885245898056,2021-05-04 17:00,EURUSD
EUR00659,0,-1.0,2021-11-25 21:00,EURUSD
EUR00665,1,0.37609329446064044,2021-12-01 09:00,EURUSD
EUR01617,1,0.5974358974358807,2024-09-19 09:00,EURUSD
EUR00938,0,-1.0,2022-09-14 09:00,EURUSD
EUR01668,1,0.15333333333329582,2024-11-11 17:00,EURUSD
EUR00776,0,-1.0,2022-03-30 05:00,EURUSD
EUR01537,1,2.256410256409585,2024-07-17 17:00,EURUSD
EUR00899,1,1.3543689320388475,2022-08-05 09:00,EURUSD
EUR02175,1,0.2949061662198058,2026-03-19 01:00,EURUSD
EUR01405,1,1.301587301587559,2024-02-12 21:00,EURUSD
EUR00078,0,-1.0,2020-03-31 09:00,EURUSD
EUR01924,0,-1.0,2025-07-17 21:00,EURUSD
EUR00305,1,1.8046875000001004,2020-11-12 09:00,EURUSD
EUR00499,0,-1.0,2021-06-18 01:00,EURUSD
EUR01115,1,0.8010204081633173,2023-03-06 05:00,EURUSD
EUR01416,1,1.1384615384614123,2024-02-23 09:00,EURUSD
EUR00876,1,2.0997506234415,2022-07-13 09:00,EURUSD
EUR00290,1,1.5407407407408442,2020-10-27 09:00,EURUSD
EUR00311,1,4.652173913042261,2020-11-20 13:00,EURUSD
EUR02290,1,0.6582278481014899,2026-07-27 17:00,EURUSD
EUR00459,0,-1.0,2021-05-13 09:00,EURUSD
EUR01957,0,-1.0,2025-08-18 05:00,EURUSD
EUR01255,1,2.2812500000012577,2023-09-06 17:00,EURUSD
EUR00803,0,-1.0,2022-04-27 09:00,EURUSD
