s,dia,n,min,lado,rgo,mot,R,neta
1,2020-02-21,1,487,1,2.2,TP,2.0,1.35
1,2020-02-21,2,547,1,4.8,TP,2.0,1.7020833333333334
1,2020-02-21,3,574,-1,6.1,TP,2.0,1.7655737704918033
2,2020-09-18,4,506,1,6.1,TP,2.0,1.7655737704918033
2,2020-09-18,5,550,-1,8.3,TP,2.0,1.8277108433734939
3,2020-10-20,6,541,1,5.3,SL,-1.0,-1.269811320754717
3,2020-10-20,7,581,1,6.9,TP,2.0,1.7927536231884058
3,2020-10-20,8,633,-1,8.8,SL,-1.0,-1.1625
4,2021-01-27,9,506,-1,4.7,TP,2.0,1.695744680851064
5,2021-03-02,10,531,-1,11.8,SL,-1.0,-1.1211864406779661
6,2021-05-14,11,509,1,11.6,TP,2.0,1.8767241379310344
7,2022-06-01,12,504,1,8.1,TP,2.0,1.8234567901234568
7,2022-06-01,13,560,-1,9.4,SL,-1.0,-1.152127659574468
9,2022-07-28,14,520,-1,16.1,TP,2.0,1.9111801242236024
10,2022-08-04,15,528,1,8.7,TP,2.0,1.835632183908046
11,2022-08-26,16,489,1,7.5,SL,-1.0,-1.1906666666666665
11,2022-08-26,17,565,1,6.0,TP,2.0,1.7616666666666667
11,2022-08-26,18,643,1,6.8,TP,2.0,1.7897058823529413
12,2023-06-19,19,483,-1,7.1,cierre,1.51,1.3085915492957747
13,2023-12-19,20,491,1,7.0,TP,2.0,1.7957142857142858
14,2024-03-11,21,493,1,6.0,SL,-1.0,-1.2383333333333333
14,2024-03-11,22,610,1,4.1,cierre,1.15,0.8012195121951218
15,2024-09-23,23,513,1,4.1,SL,-1.0,-1.3487804878048781
16,2025-06-13,24,491,-1,11.0,SL,-1.0,-1.13
16,2025-06-13,25,548,1,19.1,SL,-1.0,-1.074869109947644
17,2025-12-15,26,480,1,7.7,SL,-1.0,-1.1857142857142857
17,2025-12-15,27,544,-1,9.3,SL,-1.0,-1.153763440860215
18,2026-01-29,28,550,1,10.5,SL,-1.0,-1.1361904761904762
19,2026-04-15,29,521,-1,7.0,SL,-1.0,-1.2042857142857142
20,2026-08-11,30,504,-1,7.2,cierre,0.08,-0.1186111111111111
