ses,min,salida,lado,ent,sl,tp,rgo,mot,R,neta,t,tanda,conf,ind,por,fallo,nota,dia,cuerpo_pct,toca,lleno,res
1,512,546,-1,1.0835,1.08379,1.08292,2.9,TP,2.0,1.506896551724138,0,1,claro,True,,,,2020-02-18,39.999999999982236,False,False,True
2,490,512,1,1.1736,1.17319,1.17442,4.1,TP,2.0,1.651219512195122,0,1,claro,False,,,,2020-07-29,70.96774193556243,True,True,True
2,515,517,1,1.17491,1.17453,1.17567,3.8,SL,-1.0,-1.3763157894736842,1,1,normal,False,,tarde,,2020-07-29,95.69892473117895,False,True,True
2,522,541,1,1.17469,1.17431,1.17545,3.8,TP,2.0,1.6236842105263158,1,1,claro,False,,,,2020-07-29,57.89473684211449,False,False,True
3,493,527,1,1.18057,1.17928,1.18315,12.9,SL,-1.0,-1.1108527131782946,2,1,claro,False,,,,2020-09-03,81.99999999999112,True,True,True
3,536,574,1,1.17973,1.1788,1.18159,9.3,TP,2.0,1.846236559139785,2,1,claro,False,,,,2020-09-03,41.176470588199436,False,False,True
5,492,535,1,1.22649,1.22588,1.22771,6.1,SL,-1.0,-1.2344262295081967,3,1,normal,True,,nivel,,2021-01-05,64.10256410256702,False,True,True
5,550,559,1,1.22681,1.22636,1.22771,4.5,TP,2.0,1.6822222222222225,4,1,normal,True,,,,2021-01-05,96.29629629627294,False,True,True
5,581,607,1,1.2267,1.2261,1.2279,6.0,TP,2.0,1.7616666666666667,4,1,normal,True,,,,2021-01-05,73.17073170730518,False,True,True
6,485,508,-1,1.20931,1.2098,1.20833,4.9,TP,2.0,1.7081632653061225,5,1,claro,False,,,,2021-01-28,87.09677419353683,False,True,True
6,510,517,1,1.20882,1.20814,1.21018,6.8,SL,-1.0,-1.2102941176470587,5,1,claro,False,,,,2021-01-28,22.641509433936967,False,False,True
6,520,562,1,1.20901,1.20802,1.21099,9.9,TP,2.0,1.855555555555556,5,1,claro,False,,,,2021-01-28,38.571428571431746,True,False,True
7,490,500,1,1.19654,1.19622,1.19718,3.2,SL,-1.0,-1.446875,6,1,normal,False,,nivel,,2021-02-05,28.571428571473888,False,False,True
7,514,545,1,1.19629,1.19585,1.19717,4.4,TP,2.0,1.675,6,1,normal,False,,,,2021-02-05,76.92307692309006,False,True,True
8,580,619,-1,1.21638,1.21708,1.21498,7.0,SL,-1.0,-1.2042857142857142,8,1,claro,True,,contexto,,2021-02-24,52.702702702720536,True,False,True
8,635,681,-1,1.21637,1.21694,1.21523,5.7,TP,2.0,1.7491228070175435,8,1,normal,True,,,,2021-02-24,63.768115942021055,True,True,True
11,490,507,-1,1.2198,1.22031,1.21878,5.1,TP,2.0,1.719607843137255,14,1,normal,False,,,,2021-05-27,63.93442622949029,True,True,True
14,505,544,1,1.05467,1.05383,1.05635,8.4,SL,-1.0,-1.1702380952380953,16,1,normal,True,,precipitada,,2022-04-29,70.0000000000222,True,True,True
15,490,510,-1,1.05011,1.05103,1.04827,9.2,SL,-1.0,-1.1554347826086957,16,1,normal,True,,,,2022-05-12,36.11111111109826,False,False,True
15,537,552,-1,1.05054,1.05159,1.04844,10.5,TP,2.0,1.863809523809524,17,1,normal,True,,,,2022-05-12,13.461538461539282,False,False,True
16,490,515,1,1.07566,1.07521,1.07656,4.5,SL,-1.0,-1.3177777777777775,17,1,normal,True,,contexto,,2022-06-03,92.30769230772515,False,True,True
16,560,578,1,1.0747,1.0743,1.0755,4.0,TP,2.0,1.6425,17,1,normal,True,,,,2022-06-03,66.66666666665215,True,True,True
18,536,542,-1,1.05319,1.05369,1.05219,5.0,SL,-1.0,-1.286,18,1,normal,False,,stopcorto,,2022-06-24,41.46341463416748,False,False,True
18,557,646,-1,1.05257,1.05325,1.05121,6.8,SL,-1.0,-1.2102941176470587,19,1,normal,False,,,,2022-06-24,82.53968253967136,False,True,True
19,485,546,-1,1.04359,1.04427,1.04223,6.8,TP,2.0,1.7897058823529413,19,1,claro,True,,,,2022-07-05,94.64285714286068,False,True,True
21,495,504,1,1.0176,1.01679,1.01922,8.1,SL,-1.0,-1.1765432098765432,21,1,claro,True,,,,2022-08-03,30.158730158710018,False,False,True
21,541,674,1,1.01675,1.01527,1.01971,14.8,TP,2.0,1.9033783783783784,21,1,normal,True,,,,2022-08-03,49.090909090923034,False,False,True
22,495,547,1,1.05808,1.0566,1.06104,14.8,TP,2.0,1.9033783783783784,22,1,normal,True,,,,2023-01-04,22.916666666676306,True,False,True
