hora,lado,rango_asia,dist_nivel,nivel,fuera_del_rango,roto,pos_rango,cuerpo_m5,rango30,mov_desde_08,min_desde_toque,a_favor_ruptura,quien,s,rgo,R
487,-1,10.299999999998644,1.7000000000000348,alto,False,True,83.49514563106545,0.4999999999988347,2.100000000000435,-1.7000000000000348,7,False,él,1,2.4,2.0
520,-1,10.299999999998644,3.1999999999987594,bajo,False,True,31.06796116504059,-2.1999999999988695,6.700000000001705,-7.099999999999884,-1,True,él,1,2.9,2.0
562,1,10.299999999998644,3.700000000002035,bajo,True,True,-35.92233009711187,0.0,12.399999999999078,-14.000000000000679,19,False,él,1,4.6,2.0
490,1,96.49999999999936,4.60000000000127,alto,True,True,104.7668393782397,6.099999999999994,21.599999999999397,6.399999999999739,8,True,él,2,11.8,2.0
570,-1,96.49999999999936,26.500000000000412,alto,True,True,127.46113989637367,-6.799999999997919,28.799999999999937,28.29999999999888,88,False,él,2,12.2,2.0
570,-1,20.999999999999908,1.80000000000069,alto,False,True,91.4285714285681,-2.300000000001745,17.300000000000093,-2.20000000000109,90,False,él,3,9.1,-1.0
630,-1,31.600000000000517,8.500000000000174,alto,False,True,73.1012658227847,-4.299999999999304,10.799999999999699,-2.4000000000001798,61,False,él,4,9.8,2.0
520,1,24.299999999999322,9.099999999999664,alto,False,False,62.551440329218444,4.3999999999999595,10.900000000000354,-2.500000000000835,-1,True,él,5,4.3,-1.0
512,-1,22.799999999998377,9.099999999999664,bajo,False,False,39.912280701755755,-0.3999999999981796,8.500000000000174,-3.8999999999989043,-1,True,él,6,5.1,2.0
575,1,22.799999999998377,1.2999999999996348,bajo,False,True,5.701754385963716,3.8000000000004697,12.799999999999478,-11.699999999998933,38,False,él,6,7.2,-1.0
509,1,24.800000000000377,0.700000000000145,bajo,True,True,-2.822580645161832,-0.40000000000040004,10.099999999999554,0.1999999999990898,29,False,él,7,5.5,2.0
590,1,24.800000000000377,12.099999999999334,bajo,False,True,48.79032258064173,3.1000000000003247,17.100000000001003,12.999999999998568,110,False,él,7,5.8,-1.0
489,1,23.100000000000342,4.100000000000215,bajo,False,True,17.748917748918416,-3.9999999999995595,9.600000000000719,5.999999999999339,9,False,él,8,7.4,-1.0
553,1,23.100000000000342,10.600000000000609,alto,False,True,54.112554112552154,-3.4000000000000696,20.799999999998597,14.399999999998858,-1,True,él,8,4.5,-1.0
505,1,31.10000000000057,12.599999999999278,bajo,False,True,40.51446945337314,4.20000000000087,18.799999999999926,14.799999999999258,25,False,él,9,8.7,-1.0
505,-1,32.00000000000092,5.399999999999849,alto,False,True,83.12500000000095,-1.9999999999997797,7.199999999998319,-2.6999999999999247,15,False,él,10,8.0,2.0
681,-1,32.00000000000092,8.20000000000043,bajo,False,True,25.625000000000608,-1.2999999999996348,11.999999999998678,-21.100000000000563,-1,True,él,10,3.7,0.35
506,-1,20.700000000000163,4.3999999999999595,alto,False,True,78.74396135265737,-2.500000000000835,11.799999999999589,6.399999999999739,7,False,él,13,4.9,2.0
482,1,9.799999999999809,2.2999999999995246,alto,True,True,123.46938775509764,,3.8000000000004697,1.7000000000000348,2,True,él,14,3.5,2.0
496,-1,19.300000000002093,8.500000000000174,bajo,False,False,44.0414507771982,-5.700000000001815,8.399999999999519,-1.900000000001345,-1,True,él,16,4.2,-1.0
522,1,47.40000000000188,4.899999999998794,alto,True,True,110.33755274261308,8.099999999999774,16.799999999999038,16.099999999998893,5,True,él,17,7.1,-1.0
498,1,28.69999999999928,13.700000000000934,alto,False,False,52.26480836236489,3.6999999999998145,11.900000000000244,6.399999999999739,-1,True,él,18,6.8,2.0
496,1,40.599999999999525,2.5999999999992696,bajo,False,True,6.403940886697783,-0.8000000000008001,11.499999999999844,0.6999999999979245,13,False,él,19,10.9,2.0
485,1,10.299999999998644,0.2999999999997449,alto,False,True,97.0873786407788,0.4999999999988347,1.2999999999996348,-0.2999999999997449,5,True,regla,-1,1.7999999999984695,-1.0
545,-1,10.299999999998644,1.80000000000069,bajo,True,True,-17.475728155348804,-3.1999999999987594,6.999999999999229,-12.099999999999334,2,True,regla,-1,4.299999999999304,-1.0
485,1,96.49999999999936,5.60000000000116,alto,True,True,105.8031088082914,6.299999999999084,20.199999999999108,7.399999999999629,3,True,regla,-1,23.800000000000487,2.0
620,-1,96.49999999999936,13.799999999999368,alto,False,True,85.69948186528553,-13.700000000000934,41.90000000000138,-12.000000000000899,138,False,regla,-1,27.20000000000056,0.7132352941176519
485,1,20.999999999999908,1.2999999999996348,alto,True,True,106.19047619047448,6.900000000000794,8.699999999999264,0.8999999999992347,5,True,regla,-1,8.900000000000574,-1.0
570,1,31.600000000000517,4.100000000000215,alto,False,True,87.02531645569573,2.4000000000001798,21.400000000000308,1.9999999999997797,1,True,regla,-1,8.699999999999264,-1.0
655,-1,31.600000000000517,3.6999999999998145,bajo,True,True,-11.708860759492893,-7.500000000000284,34.79999999999927,-29.200000000000337,5,True,regla,-1,13.499999999999623,0.4370370370371162
590,1,24.299999999999322,0.10000000000065512,alto,False,True,99.58847736625243,3.1000000000003247,9.600000000000719,6.499999999998174,2,True,regla,-1,4.999999999999449,2.0
540,-1,22.799999999998377,5.1000000000001044,bajo,True,True,-22.36842105263363,-6.800000000000139,17.100000000001003,-18.099999999998673,3,True,regla,-1,9.099999999999664,-1.0
630,1,24.800000000000377,2.4999999999986144,alto,True,True,110.08064516128458,13.300000000000534,25.299999999999212,28.199999999998226,4,True,regla,-1,20.400000000000414,-0.4019607843137383
