par,senal,orden,entrada,stop,objetivo,riesgo_pips,rr,coste_pct
EURUSD,2026-01-02 12:00:00,VENTA,1.17219,1.17649,1.16634,43.0,1.36,3.3
USDJPY,2026-01-02 12:00:00,VENTA,156.917,156.996,156.252,7.9,8.41,19.0
GBPUSD,2026-01-02 12:00:00,VENTA,1.34403,1.34909,1.33178,50.6,2.42,3.2
USDJPY,2026-01-03 00:00:00,VENTA,156.84,156.999,156.121,15.9,4.52,9.4
GBPUSD,2026-01-03 00:00:00,VENTA,1.34497,1.35019,1.33642,52.2,1.64,3.1
USDJPY,2026-01-05 12:00:00,VENTA,156.62,157.296,155.962,67.6,0.97,2.2
GBPUSD,2026-01-05 12:00:00,COMPRA,1.34593,1.34139,1.35584,45.4,2.18,3.5
EURUSD,2026-01-06 00:00:00,COMPRA,1.17144,1.16588,1.17727,55.6,1.05,2.6
USDJPY,2026-01-06 00:00:00,COMPRA,156.614,156.116,157.761,49.8,2.3,3.0
EURUSD,2026-01-06 12:00:00,VENTA,1.17061,1.17428,1.16014,36.7,2.85,3.9
GBPUSD,2026-01-06 12:00:00,VENTA,1.35204,1.35674,1.33357,47.0,3.93,3.4
GBPUSD,2026-01-07 12:00:00,COMPRA,1.34998,1.34848,1.35649,15.0,4.34,10.7
USDJPY,2026-01-07 12:00:00,VENTA,156.515,156.806,155.838,29.1,2.32,5.2
EURUSD,2026-01-07 12:00:00,COMPRA,1.16892,1.16728,1.17398,16.4,3.08,8.7
EURUSD,2026-01-08 00:00:00,COMPRA,1.16767,1.16727,1.17212,4.0,11.14,35.8
USDJPY,2026-01-08 12:00:00,VENTA,156.761,156.954,156.104,19.3,3.4,7.8
EURUSD,2026-01-08 12:00:00,COMPRA,1.16775,1.16687,1.17162,8.8,4.4,16.3
USDJPY,2026-01-09 00:00:00,VENTA,156.866,157.07,156.12,20.4,3.65,7.4
GBPUSD,2026-01-09 00:00:00,COMPRA,1.34355,1.34155,1.34853,20.0,2.49,8.0
EURUSD,2026-01-09 12:00:00,COMPRA,1.1646,1.16367,1.16988,9.3,5.68,15.4
GBPUSD,2026-01-10 00:00:00,VENTA,1.34003,1.34506,1.33492,50.3,1.02,3.2
EURUSD,2026-01-10 00:00:00,VENTA,1.16298,1.16604,1.15964,30.6,1.09,4.7
GBPUSD,2026-01-12 12:00:00,COMPRA,1.34595,1.33906,1.35471,68.9,1.27,2.3
USDJPY,2026-01-12 12:00:00,VENTA,157.893,158.203,156.668,31.0,3.95,4.8
EURUSD,2026-01-13 00:00:00,VENTA,1.16673,1.16984,1.15562,31.1,3.57,4.6
GBPUSD,2026-01-13 00:00:00,VENTA,1.34656,1.34858,1.33399,20.2,6.22,7.9
EURUSD,2026-01-13 12:00:00,COMPRA,1.16685,1.16537,1.17219,14.8,3.61,9.7
EURUSD,2026-01-14 00:00:00,VENTA,1.1642,1.16776,1.16113,35.6,0.86,4.0
GBPUSD,2026-01-14 00:00:00,VENTA,1.34254,1.34943,1.33904,68.9,0.51,2.3
USDJPY,2026-01-14 12:00:00,VENTA,158.711,159.452,157.779,74.1,1.26,2.0
