bloque,s,dia,n,min,lado,ent,rgo,mot,R,dura,gana
1,1,2020-01-15,1,487,-1,1.11347,2.4,TP,2.0,31,True
1,1,2020-01-15,2,520,-1,1.11293,2.9,TP,2.0,26,True
1,1,2020-01-15,3,562,1,1.11224,4.6,TP,2.0,67,True
1,2,2020-03-16,4,490,1,1.1186,11.8,TP,2.0,20,True
1,2,2020-03-16,5,570,-1,1.12079,12.2,TP,2.0,47,True
1,3,2020-05-01,6,570,-1,1.09536,9.1,SL,-1.0,27,False
1,4,2020-11-10,7,630,-1,1.18299,9.8,TP,2.0,17,True
1,5,2021-04-16,8,520,1,1.19655,4.3,SL,-1.0,10,False
1,6,2021-11-11,9,512,-1,1.14738,5.1,TP,2.0,26,True
1,6,2021-11-11,10,575,1,1.1466,7.2,SL,-1.0,58,False
1,7,2022-04-06,11,509,1,1.08826,5.5,TP,2.0,47,True
1,7,2022-04-06,12,590,1,1.08954,5.8,SL,-1.0,7,False
1,8,2022-05-04,13,489,1,1.05152,7.4,SL,-1.0,39,False
1,8,2022-05-04,14,553,1,1.05236,4.5,SL,-1.0,1,False
1,9,2022-09-16,15,505,1,0.99935,8.7,SL,-1.0,4,False
1,10,2023-09-08,16,505,-1,1.07207,8.0,TP,2.0,161,True
1,10,2023-09-08,17,681,-1,1.07023,3.7,cierre,0.35,9,True
1,13,2024-03-25,18,506,-1,1.08184,4.9,TP,2.0,13,True
1,14,2024-11-05,19,482,1,1.08845,3.5,TP,2.0,92,True
1,16,2025-03-26,20,496,-1,1.07862,4.2,SL,-1.0,6,False
1,17,2025-05-06,21,522,1,1.1332,7.1,SL,-1.0,14,False
1,18,2025-06-27,22,498,1,1.16956,6.8,TP,2.0,27,True
1,19,2026-03-19,23,496,1,1.14532,10.9,TP,2.0,65,True
2,1,2020-02-21,1,487,1,1.07913,2.2,TP,2.0,14,True
2,1,2020-02-21,2,547,1,1.07944,4.8,TP,2.0,9,True
2,1,2020-02-21,3,574,-1,1.08137,6.1,TP,2.0,101,True
2,2,2020-09-18,4,506,1,1.1852,6.1,TP,2.0,29,True
2,2,2020-09-18,5,550,-1,1.18615,8.3,TP,2.0,50,True
2,3,2020-10-20,6,541,1,1.17715,5.3,SL,-1.0,8,False
2,3,2020-10-20,7,581,1,1.17706,6.9,TP,2.0,40,True
2,3,2020-10-20,8,633,-1,1.17776,8.8,SL,-1.0,11,False
2,4,2021-01-27,9,506,-1,1.21566,4.7,TP,2.0,54,True
2,5,2021-03-02,10,531,-1,1.20064,11.8,SL,-1.0,150,False
2,6,2021-05-14,11,509,1,1.21054,11.6,TP,2.0,128,True
2,7,2022-06-01,12,504,1,1.07172,8.1,TP,2.0,45,True
2,7,2022-06-01,13,560,-1,1.07291,9.4,SL,-1.0,46,False
2,9,2022-07-28,14,520,-1,1.02205,16.1,TP,2.0,43,True
2,10,2022-08-04,15,528,1,1.01695,8.7,TP,2.0,92,True
2,11,2022-08-26,16,489,1,0.9964,7.5,SL,-1.0,41,False
2,11,2022-08-26,17,565,1,0.99625,6.0,TP,2.0,36,True
2,11,2022-08-26,18,643,1,0.99792,6.8,TP,2.0,23,True
2,12,2023-06-19,19,483,-1,1.0935,7.1,cierre,1.51,207,True
2,13,2023-12-19,20,491,1,1.09299,7.0,TP,2.0,116,True
2,14,2024-03-11,21,493,1,1.09426,6.0,SL,-1.0,97,False
2,14,2024-03-11,22,610,1,1.09366,4.1,cierre,1.15,80,True
2,15,2024-09-23,23,513,1,1.1159,4.1,SL,-1.0,30,False
2,16,2025-06-13,24,491,-1,1.15344,11.0,SL,-1.0,51,False
2,16,2025-06-13,25,548,1,1.15502,19.1,SL,-1.0,88,False
2,17,2025-12-15,26,480,1,1.17376,7.7,SL,-1.0,53,False
2,17,2025-12-15,27,544,-1,1.17287,9.3,SL,-1.0,29,False
2,18,2026-01-29,28,550,1,1.19835,10.5,SL,-1.0,7,False
2,19,2026-04-15,29,521,-1,1.1787,7.0,SL,-1.0,98,False
2,20,2026-08-11,30,504,-1,1.15346,7.2,cierre,0.08,186,True
