bloque,ses,dia,rgo,R,mot,mae
1,1,2020-01-15,2.4,2.0,TP,0.5000000000005
1,1,2020-01-15,2.9,2.0,TP,0.6206896551726517
1,1,2020-01-15,4.6,2.0,TP,0.36956521739131193
1,2,2020-03-16,11.8,2.0,TP,0.33898305084742025
1,2,2020-03-16,12.2,2.0,TP,0.2131147540984828
1,3,2020-05-01,9.1,-1.0,SL,1.1648351648352318
1,4,2020-11-10,9.8,2.0,TP,0.20408163265303875
1,5,2021-04-16,4.3,-1.0,SL,1.3488372093023837
1,6,2021-11-11,5.1,2.0,TP,0.4313725490193862
1,6,2021-11-11,7.2,-1.0,SL,1.111111111111297
1,7,2022-04-06,5.5,2.0,TP,0.8181818181819299
1,7,2022-04-06,5.8,-1.0,SL,1.000000000000043
1,8,2022-05-04,7.4,-1.0,SL,1.040540540540456
1,8,2022-05-04,4.5,-1.0,SL,1.1111111111109888
1,9,2022-09-16,8.7,-1.0,SL,1.0689655172413637
1,10,2023-09-08,8.0,2.0,TP,0.2249999999998087
1,10,2023-09-08,3.7,0.35,cierre,0.45945945945946887
1,13,2024-03-25,4.9,2.0,TP,0.5306122448982632
1,14,2024-11-05,3.5,2.0,TP,0.3142857142852356
1,16,2025-03-26,4.2,-1.0,SL,1.2857142857142498
1,17,2025-05-06,7.1,-1.0,SL,1.0422535211267083
1,18,2025-06-27,6.8,2.0,TP,0.45588235294122426
1,19,2026-03-19,10.9,2.0,TP,0.9449541284402425
2,1,2020-02-21,2.2,2.0,TP,0.45454545454540446
2,1,2020-02-21,4.8,2.0,TP,0.8749999999997187
2,1,2020-02-21,6.1,2.0,TP,0.9672131147542467
2,2,2020-09-18,6.1,2.0,TP,0.4262295081966016
2,2,2020-09-18,8.3,2.0,TP,0.4216867469880391
2,3,2020-10-20,5.3,-1.0,SL,1.0188679245282735
2,3,2020-10-20,6.9,2.0,TP,0.49275362318841587
2,3,2020-10-20,8.8,-1.0,SL,1.1363636363637635
2,4,2021-01-27,4.7,2.0,TP,0.6382978723403552
2,5,2021-03-02,11.8,-1.0,SL,1.0508474576272286
2,6,2021-05-14,11.6,2.0,TP,0.3534482758620875
2,7,2022-06-01,8.1,2.0,TP,0.95061728395054
2,7,2022-06-01,9.4,-1.0,SL,1.0851063829787455
2,9,2022-07-28,16.1,2.0,TP,0.3167701863354102
2,10,2022-08-04,8.7,2.0,TP,0.7126436781609943
2,11,2022-08-26,7.5,-1.0,SL,1.1066666666666631
2,11,2022-08-26,6.0,2.0,TP,0.7666666666666933
2,11,2022-08-26,6.8,2.0,TP,0.26470588235304265
2,12,2023-06-19,7.1,1.51,cierre,0.49295774647897533
2,13,2023-12-19,7.0,2.0,TP,0.49999999999978634
2,14,2024-03-11,6.0,-1.0,SL,1.0166666666666657
2,14,2024-03-11,4.1,1.15,cierre,0.09756097560985368
2,15,2024-09-23,4.1,-1.0,SL,1.3902439024389255
2,16,2025-06-13,11.0,-1.0,SL,1.2545454545453971
2,16,2025-06-13,19.1,-1.0,SL,1.0418848167538932
2,17,2025-12-15,7.7,-1.0,SL,1.0649350649348324
2,17,2025-12-15,9.3,-1.0,SL,1.0752688172041827
2,18,2026-01-29,10.5,-1.0,SL,1.1047619047619524
2,19,2026-04-15,7.0,-1.0,SL,1.0428571428569964
2,20,2026-08-11,7.2,0.08,cierre,0.749999999999979
3,1,2020-04-08,7.4,2.0,TP,1.4189189189189126
3,1,2020-04-08,10.2,2.0,TP,0.2745098039214078
3,2,2020-07-03,5.9,2.0,TP,0.5423728813560983
3,3,2021-02-26,7.3,2.0,TP,0.24657534246584795
3,4,2021-03-22,7.3,2.0,TP,0.1780821917807719
3,4,2021-03-22,4.8,2.0,TP,0.3124999999997343
3,5,2021-04-14,4.7,-1.0,SL,1.2553191489363626
3,7,2021-08-26,2.9,2.0,TP,0.7586206896547826
3,7,2021-08-26,5.5,2.0,TP,0.9636363636362172
3,7,2021-08-26,3.8,2.0,TP,0.36842105263165525
3,8,2021-11-26,5.3,2.0,TP,0.6981132075471348
3,10,2022-04-08,4.9,2.0,TP,0.9795918367347671
3,10,2022-04-08,5.1,-1.0,SL,1.0392156862747872
3,10,2022-04-08,6.0,-1.0,SL,1.083333333333399
3,10,2022-04-08,7.9,2.0,TP,0.2151898734177259
3,11,2022-08-22,3.2,2.0,TP,0.8125000000004656
3,13,2022-12-12,5.8,2.0,TP,0.9482758620690526
3,13,2022-12-12,3.8,2.0,TP,0.7631578947365828
3,14,2022-12-28,5.1,2.0,TP,0.47058823529415295
3,15,2023-04-26,5.0,2.0,TP,0.48000000000003595
3,15,2023-04-26,5.2,2.0,TP,0.21153846153813932
3,15,2023-04-26,5.8,2.0,TP,0.3448275862068586
3,16,2023-05-26,5.1,2.0,TP,0.6078431372545303
3,17,2024-02-12,3.2,-1.0,SL,1.1250000000004312
3,17,2024-02-12,4.0,2.0,TP,0.4500000000001725
3,18,2024-07-15,4.0,2.0,TP,0.7999999999996898
3,18,2024-07-15,4.8,1.67,cierre,0.16666666666683336
3,19,2024-10-02,4.4,2.0,TP,0.31818181818188407
3,20,2024-10-16,5.2,-1.0,SL,1.1153846153846634
3,20,2024-10-16,4.8,-1.0,SL,1.1041666666664989
3,20,2024-10-16,6.3,2.0,TP,0.7777777777779389
3,21,2025-01-15,6.3,2.0,TP,0.4603174603173039
3,22,2025-01-22,7.9,2.0,TP,0.2278481012659101
